id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result
1,1,1,0,0,0,0,0,0,255,255,255,0,387.547,눈꽃,0,140,-0.997,0.397,0,45.661,-82.203,0,0,1,0,1,Pring__,180.3,61,0,0,0,0,0,0,0,0,0,-0.139,-37.285,0.002,-17.66,-21.726,-50.935,-11.068,-62.25,21.135,-48.418,14.91,-63.381,37.03,-86.023,3.849,-112.898,-43.357,-85.589,0,0,0,0,0,,0,0,0,0
2,1,1,0,1,0,0,0,0,255,255,255,1,404.682,눈꽃,10,112,-2.43,-0.125,4,0,400,-0.536,-15.536,1,0,1,Pring__,180.3,61,0,0,0,0,0,0,0,0,0,0.139,-37.323,-0.077,-17.522,-21.44,-51.348,-11.136,-62.053,19.819,-45.238,14.778,-63.347,36.553,-84.977,2.614,-112.044,-43.34,-86.513,0,0,0,0,0,,0,0,0,0
3,1,1,0,2,0,0,0,0,255,255,255,2,420.412,눈꽃,13,105,-2.32,0.575,1,-351.797,337.893,-0.985,-14.011,0,0,1,Pring__,180.3,61,0,0,0,0,0,0,0,0,0,0.142,-37.608,-0.117,-17.614,-20.584,-48.721,-9.587,-62.115,18.703,-41.131,14.93,-63.427,38.824,-84.511,2.62,-112.051,-43.124,-86.633,0,0,0,0,0,,0,0,0,0
4,1,1,1,2,0,0,0,0,255,255,255,3,434.053,눈꽃,0,137,-2.494,-1.307,4,102.948,-61.176,0,0,1,0,1,Pring__,180.3,61,0,0,0,0,0,0,0,0,0,0.002,-37.272,-0.285,-17.7,-19.789,-46.307,-11.276,-62.321,23.68,-48.705,14.534,-63.863,38.766,-84.602,2.615,-112.073,-43.31,-86.481,0,0,0,0,0,,0,0,0,0
5,1,1,0,0,1,0,0,0,255,255,255,4,466.303,눈꽃,0,138,-0.006,-0.033,0,74.356,-98.795,0,0,0,1,5,IllilliIIIIllil,174.5,53,0,0,0,0,0,0,0,0,0,0.096,-37.088,0.022,-17.518,-21.145,-51.045,-12.023,-62.285,17.655,-42.835,15.236,-63.905,39.532,-84.208,2.623,-112.039,-43.341,-87.621,0,0,0,0,0,,0,0,0,0
6,1,1,0,1,1,0,0,0,255,255,255,5,483.082,눈꽃,10,101,0.884,0.85,2,0,400,0,0,1,1,5,IllilliIIIIllil,174.5,53,484.272,112,136,97,154,89,41.423,-47.336,0.973,0.055,-37.131,-0.046,-17.388,-21.168,-51.045,-13.217,-61.82,18.49,-43.358,15.231,-63.937,39.474,-84.233,2.633,-112.037,-43.577,-87.403,488.963,52.859,-69.934,0,0,,0,0,0,3
7,1,1,0,2,1,0,0,0,255,255,255,6,510.947,눈꽃,6,113,1.282,-0.607,2,399.931,37.085,0,0,1,1,5,IllilliIIIIllil,174.5,54,511.888,122,206,8,146,100,-63.123,-57.146,0.927,0.091,-36.982,0.331,-17.414,-21.184,-50.417,-12.527,-62.649,22.452,-46.595,16.097,-62.94,41.261,-85.098,2.533,-111.067,-45.799,-88.664,511.979,0.78,-20.967,0,0,,0,0,0,3
8,1,1,0,2,1,0,0,0,255,255,255,7,528.296,눈꽃,6,111,2.54,-1.935,4,398.473,224.754,0.587,-18.8,1,1,5,IllilliIIIIllil,174.5,54,0,0,0,0,0,0,0,0,0,0.061,-37.139,0.296,-17.606,-21.208,-45.412,-11.712,-60.834,18.972,-41.829,15.842,-63.447,41.826,-82.304,1.301,-109.423,-43.43,-86.465,0,0,0,0,0,,0,0,0,0
9,1,1,0,0,2,0,0,0,255,255,255,8,560.306,눈꽃,10,104,0.072,0.049,0,0,391.909,-0.021,-15.669,0,2,4,SOM_candy,179.5,54,0,0,0,0,0,0,0,0,0,0.242,-37.433,0.021,-17.358,-18.806,-47.068,-12.768,-62.742,20.191,-44.315,15.72,-64.22,42.077,-82.149,-0.891,-109.389,-44.739,-86.571,0,0,0,0,0,,0,0,0,0
10,1,1,0,1,2,0,0,0,255,255,255,9,577.156,눈꽃,0,140,-0.905,1.775,2,50.93,-142.812,0,0,1,2,4,SOM_candy,179.5,54,578.234,77,75,0,74,68,47.008,-55.179,0.758,-0.195,-37.099,0.022,-17.464,-18.964,-46.981,-13.513,-63.283,21.182,-44.429,15.645,-63.354,41.994,-82.299,6.048,-106.303,-40.343,-90.014,582.679,44.016,-45.71,0,0,,0,0,0,3
11,1,1,0,2,2,0,0,0,255,255,255,10,604.809,눈꽃,14,117,0.683,-1.034,1,399.554,300.594,0.371,-16.698,0,2,4,SOM_candy,179.5,44,0,0,0,0,0,0,0,0,0,0.171,-37.065,0.367,-17.386,-20.347,-46.523,-9.812,-61.354,21.645,-45.624,15.911,-62.908,38.983,-87.104,0.862,-109.446,-40.122,-89.711,0,0,0,0,0,,0,0,0,0
12,1,1,1,2,2,0,0,0,255,255,255,11,624.953,눈꽃,10,128,-0.988,1.578,1,0,400,0,0,0,2,4,SOM_candy,179.5,44,0,0,0,0,0,0,0,0,0,0.063,-37.51,-0.118,-17.346,-19.685,-46.466,-8.557,-62.211,20.857,-44.779,15.884,-62.959,38.897,-87.939,1.281,-109.036,-40.716,-88.066,0,0,0,0,0,,0,0,0,0
13,1,1,2,2,2,0,0,0,255,255,255,12,646.702,눈꽃,10,113,-4.008,-1.025,2,0,400,0,0,1,2,4,SOM_candy,179.5,44,647.793,120,145,36,146,90,-6.476,-7.384,-0.069,0.168,-37.053,-0.018,-17.576,-20.816,-50.003,-13.142,-62.197,20.838,-44.435,15.831,-63.32,40.942,-87.127,1.279,-109.081,-41.129,-87.927,648.079,0.439,-25.503,653.096,7,하루（Haru）,4.501,-93.661,1,2
14,1,1,0,0,2,1,0,0,4,255,255,13,679.869,눈꽃,13,113,0.811,0.229,2,-384.807,319.254,0,0,1,3,2,encounter v,190,54,681.01,105,162,17,143,82,24.952,29.958,-0.159,0.009,-36.996,0.208,-17.278,-18.045,-45.797,-8.857,-60.796,25.041,-50.147,15.175,-64.31,40.918,-85.052,5.576,-110.603,-41.18,-86.263,684.246,-21.681,-71.232,693.546,7,하루（Haru）,-39.375,-116.926,1,2
