id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result
1,1,1,0,0,0,0,0,0,255,255,255,0,268.157,Pugeuk,3,112,-2.864,0.186,1,-485.117,0,-1.084,-17.629,0,0,5,coder_,160,95,0,0,0,0,0,0,0,0,0,-0.1,-38.045,-0.7,-17.209,-21.09,-52.659,-10.994,-62.984,17.276,-50.918,9.07,-65.318,42.753,-89.377,2.966,-110.342,-12.757,-22.56,0,0,0,0,0,,0,0,0,0
2,1,1,1,0,0,0,0,0,255,255,255,1,288.802,Pugeuk,1,111,-1.939,-0.757,4,0,0,0,0,1,0,5,coder_,160,95,0,0,0,0,0,0,0,0,0,-0.014,-38.069,-0.072,-17.356,-21.284,-51.986,-10.802,-63.81,18.37,-49.592,9.144,-65.475,43.195,-89.712,3.035,-106.8,-12.765,-22.556,0,0,0,0,0,,0,0,0,0
3,1,1,1,1,0,0,0,0,255,255,255,2,308.136,Pugeuk,12,120,0.619,-1.073,2,0,95.411,0,0,1,0,5,coder_,160,93,309.22,88,97,6,124,118,-62.987,-50.134,0.538,-0.188,-37.011,0.102,-17.53,-22.19,-53.059,-10.872,-63.787,19.763,-50.889,9.127,-65.545,43.201,-89.712,1.559,-107.73,-12.337,-21.284,309.092,0.379,-19.946,0,0,,0,0,0,0
4,1,1,1,2,0,0,0,0,255,255,255,3,334.454,Pugeuk,0,126,0.554,0.641,2,17.701,-83.81,0,0,1,0,5,coder_,160,93,335.516,92,125,13,138,61,-21.191,35.744,-0.58,-0.267,-36.983,-0.018,-17.209,-21.475,-49.506,-13.47,-61.394,21.93,-49.853,9.699,-66.616,37.647,-91.2,4.349,-103.831,-12.368,-21.134,335.558,-1.564,-22.679,338.103,2,Yaksok~,-16.99,-42.593,0,2
5,1,1,0,0,1,0,0,0,255,255,255,4,363.683,Pugeuk,14,108,2.543,-0.944,1,380.679,315.7,0,0,0,1,2,IllilliIIIIllil,174.5,93,0,0,0,0,0,0,0,0,0,0.041,-38.103,0.202,-17.328,-19.888,-49.555,-13.802,-61.053,25.163,-48.362,14.57,-63.74,52.865,-74.609,10.142,-101.941,-13.28,-22.183,0,0,0,0,0,,0,0,0,0
6,1,1,1,0,1,0,0,0,255,255,255,5,380.445,Pugeuk,0,123,1.179,-0.256,2,-7.19,0,0,0,1,1,2,IllilliIIIIllil,174.5,93,381.512,96,139,158,152,110,25.361,-46.394,0.901,-0.269,-37.27,0.138,-17.411,-20.472,-49.291,-13.992,-61.006,24.916,-49.173,14.619,-63.751,44.22,-79.792,9.604,-104.126,-12.903,-21.82,385.547,72.551,-74.66,0,0,,0,0,0,3
7,1,1,1,1,1,0,0,0,255,255,255,6,401.973,Pugeuk,14,104,3.325,-1.317,1,369.138,312.348,0.855,-17.565,0,1,2,IllilliIIIIllil,174.5,92,0,0,0,0,0,0,0,0,0,-0.164,-38.104,0.581,-17.367,-21.94,-48.399,-13.494,-61.875,23.997,-47.994,15.611,-63.509,57.658,-78.699,15.849,-107.739,-13.115,-21.585,0,0,0,0,0,,0,0,0,0
8,1,1,2,1,1,0,0,0,255,255,255,7,417.752,Pugeuk,0,130,-1.023,0.754,2,39.506,-124.491,0,0,1,1,2,IllilliIIIIllil,174.5,92,418.833,106,156,90,153,127,-18.247,21.055,0.449,-0.375,-37.099,-0.188,-17.298,-21.914,-48.914,-10.468,-64.084,23.89,-48.246,15.858,-63.335,56.548,-78.25,6.055,-105.4,-13.099,-21.597,418.736,-1.463,-24.022,426.481,7,jdw4469,-21.681,-114.727,1,2
9,1,1,0,0,1,0,1,0,255,2,255,8,457.355,Pugeuk,10,111,-0.838,-1.256,2,0,400,0,0,1,2,3,mochi_2929,184.1,28,458.565,105,214,54,151,100,-37.373,-49.52,0.939,-0.105,-37.466,-0.208,-17.408,-20.519,-47.718,-12.198,-58.868,21.665,-46.397,10.433,-65.491,45.153,-91.345,8.609,-107.99,-11.718,-22.29,458.503,0.492,-20.6,0,0,,0,0,0,3
10,1,1,0,1,1,0,1,0,255,2,255,9,476.314,Pugeuk,3,107,1.47,1.781,1,-398.128,0,0.189,-18.208,0,2,3,mochi_2929,184.1,28,0,0,0,0,0,0,0,0,0,-0.004,-37.67,0.019,-17.186,-20.318,-46.681,-13.879,-61.764,22.051,-45.373,11.229,-65.675,47.091,-85.005,10.839,-106.161,-11.904,-22.257,0,0,0,0,0,,0,0,0,0
11,1,1,1,1,1,0,1,0,255,2,255,10,497.69,Pugeuk,0,126,-1.852,0.663,1,33.178,-170.34,0,0,0,2,3,mochi_2929,184.1,28,0,0,0,0,0,0,0,0,0,-0.278,-37.98,1.09,-18.642,-20.585,-46.695,-14.156,-61.686,21.98,-44.658,14.367,-64.538,46.685,-84.461,8.464,-105.938,-11.711,-21.951,0,0,0,0,0,,0,0,0,0
12,1,1,2,1,1,0,0,1,255,255,2,11,519.217,Pugeuk,0,125,-1.28,0.773,2,60.435,-119.298,0,0,1,2,3,mochi_2929,184.1,28,520.417,102,178,69,151,66,16.603,4.481,-0.679,-0.335,-37.446,-0.187,-17.391,-20.066,-48.528,-13.582,-61.516,23.372,-47.41,12.225,-65.49,46.117,-82.405,8.148,-104.733,-11.793,-22.181,522.88,-1.528,-59.139,525.858,7,jdw4469,-1.31,-82.766,1,2
13,1,1,0,0,1,1,0,0,3,255,255,12,555.908,Pugeuk,10,103,1.025,1.499,1,-0.034,400,0.86,-17.162,0,3,4,_Chun,190,92,0,0,0,0,0,0,0,0,0,-0.085,-37.826,0.313,-17.11,-18.728,-45.74,-7.85,-61.291,22.474,-45.593,14.974,-64.19,42.533,-80.357,7.181,-101.606,-1.185,-20.243,0,0,0,0,0,,0,0,0,0
14,1,1,1,0,1,1,0,0,3,255,255,13,576.611,Pugeuk,0,119,0.094,-0.196,2,0,0,0,0,0,3,4,_Chun,190,92,577.597,118,130,12,141,88,1.834,1.806,0.959,-0.288,-37.19,0.142,-17.384,-19.717,-45.299,-4.871,-62.462,25.255,-47.007,13.83,-63.976,44.058,-84.433,5.937,-101.707,-1.02,-20.287,578.036,-0.565,-38.016,579.469,3,Penguin_iDOL,-1.762,-57.003,0,2
15,1,0,0,0,0,0,0,0,255,255,255,0,749.769,ゆっち一,0,140,-1.958,0.366,2,-65.465,-200,0,0,1,0,1,encounter v,190,48,750.768,96,158,0,139,67,47.731,55.101,-0.37,-0.19,-36.859,-0.083,-16.678,-23.685,-47.997,-10.055,-61,19.739,-49.147,15.763,-63.708,38.753,-92.019,5.927,-104.439,-44.322,-91.325,754.858,-40.176,-51.061,0,0,,0,0,0,3
16,1,0,0,1,0,0,0,0,255,255,255,1,769.745,ゆっち一,6,110,2.636,-0.068,4,448.423,0,0,0,1,0,1,encounter v,190,48,0,0,0,0,0,0,0,0,0,-0.06,-37.509,-0.112,-16.779,-23.441,-47.572,-11.206,-61.524,20.185,-48.563,15.262,-63.393,37.962,-90.853,-0.719,-104.825,-44.801,-86.048,0,0,0,0,0,,0,0,0,0
17,1,0,0,2,0,0,0,0,255,255,255,2,787.276,ゆっち一,0,140,-1.214,-2.529,1,0,0,-0.204,-23.344,0,0,1,encounter v,190,48,0,0,0,0,0,0,0,0,0,-0.077,-37.163,-0.179,-16.802,-23.499,-47.497,-11.471,-61.12,20.16,-48.628,15.058,-63.625,40.425,-92.411,-0.713,-105.945,-45.679,-87.436,0,0,0,0,0,,0,0,0,0
18,1,0,1,2,0,0,0,0,255,255,255,3,802.419,ゆっち一,0,140,-2.104,0.221,2,-17.323,-173.013,0,0,1,0,1,encounter v,190,48,803.464,87,108,0,127,66,42.528,-30.022,-0.792,-0.099,-36.848,-0.044,-16.69,-23.495,-47.579,-10.878,-60.877,19.897,-48.866,15.633,-63.787,40.214,-90.557,-0.787,-105.826,-45.945,-88.422,0,0,0,808.148,5,coder_,23.342,-60.698,0,1
19,1,0,0,0,1,0,0,0,255,255,255,4,868.763,ゆっち一,0,140,0.616,0.49,2,0,0,0,0,1,1,3,Penguin_iDOL,180.3,91,869.783,105,131,33,143,65,30.637,4.739,-0.923,-0.141,-36.836,-0.043,-16.968,-22.27,-45.918,-11.89,-62.079,22.222,-48.974,14.379,-64.003,32.741,-88.649,-3.465,-103.613,-44.391,-87.563,0,0,0,873.925,3,mochi_2929,-3.735,-65.254,0,1
20,1,0,0,0,2,0,0,0,255,255,255,5,901.708,ゆっち一,0,140,0.817,0.667,0,0,0,0,0,0,2,6,소솨소솨,170,91,0,0,0,0,0,0,0,0,0,-0.006,-37.268,0.022,-16.854,-22.785,-47.258,-10.974,-61.328,21.352,-48.018,16.325,-63.041,37.998,-89.249,-5.666,-99.504,-42.123,-84.433,0,0,0,0,0,,0,0,0,0
21,1,0,0,1,2,0,0,0,255,255,255,6,916.474,ゆっち一,0,140,0.274,-0.08,0,0,0,0,0,1,2,6,소솨소솨,170,91,0,0,0,0,0,0,0,0,0,-0.062,-37.106,-0.116,-16.923,-23.794,-47.883,-10.916,-61.399,21.537,-47.747,15.957,-63.21,38.002,-89.359,-6.478,-98.857,-42.709,-83.79,0,0,0,0,0,,0,0,0,0
