id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,380.438,Oort__Cloud,5,121,-0.063,-2.463,1,-76.249,0,0,0,0,0,8,아침땅_,169.9,78,0,0,0,0,0,0,0,0,0,0,0,-0.343,-37.569,-0.067,-17.353,-19.781,-42.615,-13.789,-62.015,20.384,-51.899,12.248,-64.814,32.829,-78.395,0.754,-105.477,-36.343,-86.496,0,0,0,0,0,,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,395.161,Oort__Cloud,0,128,1.862,0.772,1,59.925,-98.487,0,0,0,0,8,아침땅_,169.9,78,0,0,0,0,0,0,0,0,0,0,0,-0.151,-37.264,-0.077,-17.508,-19.763,-42.589,-13.759,-61.913,20.646,-51.631,11.244,-63.981,31.606,-81.716,0.731,-105.478,-36.323,-85.986,0,0,0,0,0,,0,0,0,0,0
3,1,1,0,0,2,0,0,0,0,0,255,255,255,2,410.071,Oort__Cloud,0,118,0.735,0.418,0,47.553,-111.041,0,0,0,0,8,아침땅_,169.9,78,0,0,0,0,0,0,0,0,0,0,0,-0.124,-37.163,-0.019,-17.446,-19.889,-42.661,-14.128,-62.149,20.684,-51.57,11.081,-64.084,31.37,-81.477,0.717,-105.464,-36.497,-85.936,0,0,0,0,0,,0,0,0,0,0
4,1,1,0,0,2,1,0,0,0,0,255,255,255,3,424.675,Oort__Cloud,3,101,0.282,-0.208,2,-375.127,0,0,0,1,0,8,아침땅_,169.9,78,425.805,114,191,22,165,123,6.624,-3.964,0.679,-0.028,0.003,-0.138,-37.027,-0.059,-17.502,-20.311,-43.132,-14.025,-61.946,20.651,-51.593,11.082,-64.133,31.133,-81.612,0.687,-105.53,-36.489,-85.918,427.478,2.374,-67.655,428.995,7,crani,2.971,-93.849,1,0,2
5,1,1,0,0,0,0,0,1,0,0,8,255,255,4,469.043,Oort__Cloud,0,117,1.004,0.599,0,56.357,-65.843,0,0,1,1,6,ʚneul_ɞ,160,76,0,0,0,0,0,0,0,0,0,0,0,-0.124,-37.164,0.004,-17.632,-20.275,-41.067,-8.569,-61.495,19.418,-50.272,7.686,-63.356,30.068,-79.49,1.204,-106.831,-37.996,-82.134,0,0,0,0,0,,0,0,0,0,0
6,1,1,0,0,0,1,0,0,1,0,255,8,255,5,490.441,Oort__Cloud,0,112,1.175,0.318,2,62.981,-62.14,0,0,1,1,6,ʚneul_ɞ,160,76,491.542,83,93,114,88,62,110.235,-22.673,-0.482,-0.092,-0.09,-0.237,-37.465,-0.033,-17.441,-20.4,-44.664,-11.291,-60.896,19.775,-45.927,7.796,-63.28,30.447,-80.014,1.164,-108.074,-41.453,-83.009,498.442,-10.545,4.939,0,0,,0,0,0,0,3
7,1,1,0,0,0,2,0,0,1,0,255,8,255,6,518.461,Oort__Cloud,0,104,1.745,-0.699,2,105.338,-42.919,0,0,1,1,6,ʚneul_ɞ,160,74,519.412,129,100,9,148,62,3.809,-0.011,-0.645,-0.044,-0.049,-0.359,-37.43,0.037,-17.371,-20.317,-42.347,-15.233,-60.55,20.253,-45.285,5.88,-62.714,31.976,-82.913,0.488,-108.784,-42.179,-80.326,520.366,0.326,-34.31,520.85,0,Oort__Cloud,0.33,-35.547,0,0,2
8,1,1,0,0,0,0,1,0,0,1,255,255,8,7,561.988,Oort__Cloud,0,108,2.174,0.496,4,80.91,-71.628,0,0,1,2,9,Slaris,174.6,74,0,0,0,0,0,0,0,0,0,0,0,-0.139,-37.149,0.016,-17.485,-20.203,-44.465,-14.956,-59.721,19.216,-43.442,7.661,-61.503,32.101,-84.052,-0.243,-111.397,-39.982,-81.88,0,0,0,0,0,,0,0,0,0,0
9,1,1,0,0,0,1,1,0,0,1,255,255,8,8,581.27,Oort__Cloud,0,121,1.365,-0.008,2,76.546,-67.266,0,0,1,2,9,Slaris,174.6,74,582.179,118,177,106,176,64,101.156,-76.171,-0.657,-0.006,-0.06,-0.056,-37.081,0.011,-17.408,-20.992,-45.099,-16.267,-60.72,19.546,-43.297,11.739,-62.907,34.097,-85.067,0.053,-109.346,-39.993,-81.89,586.98,-37.464,-11.693,0,0,,0,0,0,0,3
10,1,1,0,0,0,2,1,0,0,1,255,255,8,9,640.974,Oort__Cloud,0,122,0.487,-0.643,2,68.535,-49.353,0,0,1,2,9,Slaris,174.6,67,641.893,111,138,19,159,88,5.38,-7.691,-0.208,-0.064,-0.133,-0.288,-36.995,-0.023,-17.387,-21.503,-45.469,-15.706,-60.897,19.72,-43.054,11.624,-62.34,31.499,-80.027,0.049,-106.705,-45.427,-81.712,643.103,2.085,-45.995,644.22,5,Pugeuk,3.11,-60.31,1,4,2
