id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,386.826,DoYaGee,0,129,-0.138,-0.029,2,101.204,-99.19,0,0,1,0,2,IllilliIIIIllil,174.5,59,387.891,118,181,95,150,90,39.788,5,0.965,-0.013,-0.003,-0.29,-36.328,-0.088,-16.923,-21.007,-48.968,-13.041,-65.125,21.725,-50.79,12.274,-63.766,42.108,-85.216,0,-100.6,-38.139,-84.114,392.991,0.032,-89.005,396.444,5,NABIMan,6.424,-64.602,0,0,1
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,424.225,DoYaGee,14,124,0.486,-0.883,0,373.337,332.595,0.095,-17.142,0,1,1,Dοpi,190,53,0,0,0,0,0,0,0,0,0,0,0,-0.686,-37.148,0.209,-17.147,-18.527,-48.418,-13.416,-65.009,22.275,-49.997,10.653,-62.59,40.628,-79.631,0,-100.6,-39.362,-82.156,0,0,0,0,0,,0,0,0,0,0
3,1,1,0,0,0,1,1,0,0,0,255,255,255,2,440.577,DoYaGee,0,128,0.86,0.754,2,90.21,-181.134,0,0,1,1,1,Dοpi,190,53,441.546,113,183,147,150,67,24.325,35.104,-0.567,-0.053,-0.043,-0.632,-36.411,0.287,-16.894,-20.286,-49.74,-13.44,-65.099,22.297,-50.235,11.107,-63.519,41.611,-83.548,0,-100.6,-38.772,-81.886,0,0,0,444.338,2,TaeGeuk_,-19.627,-49.211,0,0,1
4,1,1,0,0,0,0,2,0,0,0,255,255,255,3,471.097,DoYaGee,10,116,-1.443,-1.062,1,0,400,0,0,0,2,8,ByeolBam,175.3,52,0,0,0,0,0,0,0,0,0,0,0,-0.505,-36.851,0.028,-17.092,-21.468,-50.806,-13.406,-64.995,22.639,-51.875,10.36,-62.308,42.181,-83.512,0,-100.6,-39.447,-83.037,0,0,0,0,0,,0,0,0,0,0
5,1,1,0,0,1,0,2,0,0,0,255,255,255,4,492.448,DoYaGee,14,116,0.166,-0.671,0,360.912,346.038,0.127,-17.016,0,2,8,ByeolBam,175.3,52,0,0,0,0,0,0,0,0,0,0,0,-0.449,-36.322,0.218,-17.221,-21.046,-50.942,-13.407,-64.982,22.487,-52.06,10.178,-63.133,42.16,-83.462,0,-100.6,-39.579,-82.965,0,0,0,0,0,,0,0,0,0,0
6,1,1,0,0,1,1,2,0,0,0,255,255,255,5,513.183,DoYaGee,10,119,-2.996,-0.982,1,0,400,-0.559,-17.185,0,2,8,ByeolBam,175.3,52,0,0,0,0,0,0,0,0,0,0,0,-0.674,-36.785,-0.525,-17.236,-20.251,-50.803,-13.409,-64.98,22.524,-52.178,10.526,-63.043,43.098,-86.402,0,-100.6,-39.028,-82.213,0,0,0,0,0,,0,0,0,0,0
7,1,1,0,0,2,1,2,0,0,0,255,255,255,6,554.984,DoYaGee,12,117,-0.33,-0.981,2,0,123.168,0,0,1,2,8,ByeolBam,175.3,52,555.903,100,197,33,138,107,32.275,42.882,0.844,-0.13,-0.199,-0.234,-36.311,0.197,-17.274,-20.845,-51.353,-12.944,-65.199,21.431,-52.408,11.951,-63.404,44.157,-86.406,0,-100.6,-37.148,-81.063,560.458,-67.266,-82.39,0,0,,0,0,0,0,3
8,1,1,0,0,2,2,2,0,0,0,255,255,255,7,581.366,DoYaGee,0,137,-1.495,0.086,2,15.227,-93.272,0,0,1,2,8,ByeolBam,175.3,50,582.19,104,171,20,135,127,31.73,9.901,0.543,-0.044,-0.138,-0.249,-36.657,0.156,-17.254,-20.223,-50.278,-13.199,-65.146,23.346,-52.868,10.906,-63.495,43.64,-84.583,0,-100.6,-39.527,-82.306,588.084,-41.095,-128.502,0,0,,0,0,0,0,4
9,1,1,1,0,0,0,2,0,0,0,255,255,255,8,635.736,DoYaGee,0,98,1.039,1.165,1,5.113,-118.925,0,0,0,3,4,-라후이-,190,49,0,0,0,0,0,0,0,0,0,0,0,-0.065,-37.37,0.155,-17.217,-19.839,-47.647,-13.277,-65.159,21.388,-49.45,11.519,-65.26,43.305,-82.202,0,-100.6,-44.84,-84.314,0,0,0,0,0,,0,0,0,0,0
10,1,1,1,0,1,0,2,0,0,0,255,255,255,9,657.228,DoYaGee,14,120,-0.173,-1.842,4,217.36,400,0.009,-18.868,1,3,4,-라후이-,190,49,0,0,0,0,0,0,0,0,0,0,0,-0.209,-37.229,-0.008,-17.206,-18.937,-46.81,-13.304,-65.03,21.756,-49.877,9.251,-63.056,44.283,-81.934,0,-100.6,-42.409,-82.833,0,0,0,0,0,,0,0,0,0,0
