id,inn,half,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,result,scoreA,scoreB,hMoveX,hMoveY,tag
1,1,1,0,0,0,0,0,0,255,255,255,0,280.775,Pugeuk,0,136,-1.772,-0.457,1,11.091,-200,0,0,0,0,3,ke ro,160,95,0,0,0,0,0,0,0,0,0,-0.356,-37.768,-0.138,-17.277,-17.849,-43.373,-11.816,-63.63,21.148,-47.515,15.531,-62.232,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,1,1,1,0,0,0,0,0,255,255,255,1,292.5,Pugeuk,10,111,0.795,-0.403,2,0,400,0,0,1,0,3,ke ro,160,95,293.594,98,150,40,135,120,33.18,-6.327,0.556,-0.091,-37.562,-0.13,-17.271,-17.831,-43.434,-11.84,-63.629,21.108,-47.531,15.444,-61.261,35.7,-81.8,0,-100.6,-35.7,-81.8,306.068,-2.783,-64.182,301.45,-1,AI,-5.524,-130.66,1,0,0,0,-0.027,-0.102,0
3,1,1,0,0,0,0,1,0,255,3,255,2,328.051,Pugeuk,3,112,1.527,-0.214,2,-425.606,0,0,0,1,1,5,소솨소솨,170.3,90,328.887,129,206,27,143,60,-11.957,-26.311,-0.591,-0.367,-37.017,-0.122,-17.21,-16.396,-42.272,-12.399,-64.522,21.136,-47.41,15.818,-62.577,35.7,-81.8,0,-100.6,-35.7,-81.8,329.145,1.925,-23.401,332.138,5,mungjungh,16.174,-52.57,0,2,0,0,-0.064,-0.241,0
4,1,1,0,0,1,0,1,0,255,3,255,3,355.843,Pugeuk,4,121,-3.558,-0.289,1,-246.939,0,0,0,0,2,4,-라후이-,179.8,88,0,0,0,0,0,0,0,0,0,-0.275,-37.515,-0.311,-17.219,-17.339,-43.141,-8.963,-64.848,21.422,-46.287,15.568,-63.294,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
5,1,1,1,0,1,0,1,0,255,3,255,4,368.733,Pugeuk,0,130,0.878,0.911,2,7.372,-200,0,0,1,2,4,-라후이-,179.8,88,369.536,114,142,78,143,71,108.437,-32.862,-0.338,-0.148,-36.857,-0.193,-17.311,-17.361,-43.114,-9.829,-64.936,21.123,-47.146,17.031,-62.509,35.7,-81.8,0,-100.6,-35.7,-81.8,376.666,-13.166,4.861,0,0,,0,0,0,3,0,0,0.028,-0.024,0
6,1,1,1,1,1,0,1,0,255,3,255,5,392.807,Pugeuk,14,105,2.3,-1.641,4,341.827,348.944,0.759,-17.614,1,2,4,-라후이-,179.8,88,0,0,0,0,0,0,0,0,0,0.027,-38.019,0.386,-17.579,-18.011,-42.276,-8.907,-65.274,21.502,-45.426,15.822,-63.329,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
7,1,1,1,2,1,0,1,0,255,3,255,6,411.589,Pugeuk,14,112,2.439,-0.92,2,380.093,324.852,0,0,1,2,4,-라후이-,179.8,88,412.418,113,134,22,134,117,16.115,-24.988,0.229,0.08,-37.187,-0.181,-17.31,-17.521,-42.664,-11.123,-65.357,21.552,-45.398,15.834,-63.306,35.7,-81.8,0,-100.6,-35.7,-81.8,421.443,13.408,-124.171,421.443,-1,AI,13.482,-124.182,1,0,0,0,-0.028,-0.133,0
8,1,1,0,0,1,1,1,0,4,255,255,7,448.286,Pugeuk,0,134,-1.071,0.661,0,26.601,-191.403,0,0,0,3,2,Sabo_10,184.7,86,0,0,0,0,0,0,0,0,0,-0.127,-37.939,-0.007,-17.211,-17.426,-42.994,-5.285,-65.042,21.812,-47.155,14.229,-60.534,35.7,-81.8,0.001,-100.606,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
9,1,1,0,1,1,0,1,0,255,255,255,8,464.258,Pugeuk,14,113,0.724,-1.152,4,373.949,331.907,0.552,-17.566,1,3,2,Sabo_10,184.7,86,0,0,0,0,0,0,0,0,0,-0.148,-37.948,0.383,-17.253,-17.297,-42.963,-5.806,-63.781,21.824,-47.138,17.553,-62.091,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
10,1,1,0,2,1,0,1,0,255,255,255,9,481.326,Pugeuk,3,119,-1.799,-0.21,2,-419.24,0,0,0,1,3,2,Sabo_10,184.7,86,482.425,95,113,41,118,65,-15.722,37.755,-0.268,-0.412,-37.094,0.071,-17.317,-17.213,-43.174,-8.159,-64.722,21.884,-47.187,15.705,-63.341,35.7,-81.8,0,-100.6,-35.7,-81.8,482.687,-2.52,-23.857,484.332,2,甲斐野柊太,-14.156,-38.919,1,2,1,0,0.071,-0.153,0
11,1,1,0,0,1,1,1,0,2,4,255,10,518.687,Pugeuk,10,117,2.133,-1.264,1,0,400,0,0,0,4,1,Pring__,180.1,84,0,0,0,0,0,0,0,0,0,-0.043,-38.073,0.109,-17.869,-17.242,-40.965,-8.495,-64.259,21.441,-46.968,14.732,-62.725,35.703,-81.803,0,-100.6,-35.703,-81.803,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
12,1,1,1,0,1,1,1,0,2,4,255,11,535.429,Pugeuk,0,128,-0.769,0.684,0,13.33,-142.14,0,0,0,4,1,Pring__,180.1,84,0,0,0,0,0,0,0,0,0,-0.026,-38.103,-0.282,-17.611,-16.843,-41.197,-5.169,-65.101,21.497,-46.906,13.959,-63.797,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
