id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,300.228,CAT tourniquet,L,0,107,0.137,-0.069,0,-109.304,-26.696,0,0,0,0,6,R,별이__,174.6,33,0,0,0,0,0,0,0,0,0,0,0,0.217,-37.631,0.186,-17.524,-21.068,-46.862,-13.448,-61.869,23.28,-51.755,15.473,-62.722,42.479,-91.719,-7.508,-108.624,-47.658,-85.395,0,0,0,0,0,,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,319.455,CAT tourniquet,L,10,120,0.638,-1.031,0,0,379.446,0.092,-18.132,1,0,6,R,별이__,174.6,33,0,0,0,0,0,0,0,0,0,0,0,0.251,-37.579,0.1,-17.709,-21.044,-46.834,-12.829,-60.391,23.543,-51.971,15.499,-62.723,42.664,-91.874,-7.435,-108.663,-49.993,-86.996,0,0,0,0,0,,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,337.908,CAT tourniquet,L,0,118,2.197,0.26,4,-120.343,-3.97,0,0,1,0,6,R,별이__,174.6,33,0,0,0,0,0,0,0,0,0,0,0,0.318,-37.461,0.272,-17.848,-21.475,-46.642,-12.817,-60.547,23.581,-51.954,15.425,-62.746,42.583,-92.042,-7.243,-108.666,-51.222,-86.469,0,0,0,0,0,,0,0,0,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,361.837,CAT tourniquet,L,0,129,0.267,0.229,0,-150.378,-45.138,0,0,0,1,7,R,crani,174.6,43,0,0,0,0,0,0,0,0,0,0,0,0.218,-37.228,0.043,-17.393,-21.574,-46.063,-12.913,-60.549,23.415,-52.171,15.35,-62.871,42.943,-92.012,-7.195,-108.572,-51.164,-86.595,0,0,0,0,0,,0,0,0,0,0
5,1,1,0,0,0,1,1,0,0,0,255,255,255,4,377.515,CAT tourniquet,L,6,99,-3.906,-1.628,4,-359.987,0,-0.997,-17.674,1,1,7,R,crani,174.6,43,0,0,0,0,0,0,0,0,0,0,0,0.14,-37.548,-0.182,-17.558,-20.235,-44.593,-12.467,-60.772,16.351,-43.297,15.339,-62.86,38.353,-91.655,-7.366,-110.693,-51.286,-86.611,0,0,0,0,0,,0,0,0,0,0
6,1,1,0,0,0,2,1,0,0,0,255,255,255,5,395.031,CAT tourniquet,L,5,121,-7.921,3.272,4,52.413,0,-2.024,-5.664,1,1,7,R,crani,174.6,43,0,0,0,0,0,0,0,0,0,0,0,0.114,-37.411,-1.592,-16.597,-19.638,-41.24,-12.776,-61.155,23.965,-52.526,15.981,-63.016,39.346,-91.291,-7.68,-111.287,-51.277,-86.88,0,0,0,0,0,,0,0,0,0,0
7,1,1,0,0,0,0,2,0,0,0,255,255,255,6,434.59,CAT tourniquet,L,4,123,0.914,-0.182,2,190.912,0,0,0,1,2,2,L,ʚEveɞ,175.4,58,435.477,126,152,11,139,64,39.964,-35.022,-1,0.082,-0.144,0.332,-37.267,0.729,-17.462,-22.606,-48.296,-10.662,-64.177,23.206,-54.262,11.577,-60.611,39.637,-90.436,-1.94,-113.863,-49.528,-88.054,0,0,0,439.976,4,Espressο,27.23,-57.118,0,0,1
8,1,0,0,0,0,0,0,0,0,0,255,255,255,0,675.781,D_arling,R,0,105,1.169,-1.256,1,1.496,-57.021,0,0,0,0,9,R,ʚmingɞ,174.5,28,0,0,0,0,0,0,0,0,0,0,0,-0.054,-37.268,0.194,-17.442,-23.981,-50.739,-12.187,-64.821,20.065,-51.808,12.503,-59.286,35.65,-86.154,0.575,-104.347,-40.383,-85.735,0,0,0,0,0,,0,0,0,0,0
9,1,0,0,0,1,0,0,0,0,0,255,255,255,1,689.099,D_arling,R,0,102,2.719,-2.147,1,2.122,-94.769,0,0,0,0,9,R,ʚmingɞ,174.5,28,0,0,0,0,0,0,0,0,0,0,0,0.037,-37.191,0.065,-17.271,-23.311,-49.374,-12.202,-64.814,18.692,-49.824,12.425,-61.094,35.678,-86.183,0.492,-104.392,-40.412,-85.741,0,0,0,0,0,,0,0,0,0,0
10,1,0,0,0,2,0,0,0,0,0,255,255,255,2,702.016,D_arling,R,0,140,1.113,-0.429,0,151.807,-200,0.663,-17.553,0,0,9,R,ʚmingɞ,174.5,28,0,0,0,0,0,0,0,0,0,0,0,0.156,-37.174,0.121,-17.381,-23.264,-49.35,-12.173,-64.826,17.945,-49.758,12.494,-61.026,35.722,-86.265,0.36,-104.407,-40.643,-86.31,0,0,0,0,0,,0,0,0,0,0
11,1,0,0,0,2,1,0,0,0,0,255,255,255,3,733.441,D_arling,R,2,87,-0.798,0.39,0,-308.798,-312.348,0,0,0,0,9,R,ʚmingɞ,174.5,28,0,0,0,0,0,0,0,0,0,0,0,-0.129,-37.341,-0.048,-17.327,-22.856,-49.275,-12.324,-64.584,18.466,-48.497,12.12,-62.587,35.731,-86.265,0.476,-104.372,-40.691,-86.286,0,0,0,0,0,,0,0,0,0,0
12,1,0,0,0,2,2,0,0,0,0,255,255,255,4,752.865,D_arling,R,0,85,1.672,0.089,1,0,0,0,0,0,0,9,R,ʚmingɞ,174.5,28,0,0,0,0,0,0,0,0,0,0,0,-0.14,-37.216,0.033,-17.641,-23.044,-49.148,-12.379,-64.554,18.273,-50.872,12.416,-62.044,35.71,-86.232,0.543,-104.315,-40.701,-86.308,0,0,0,0,0,,0,0,0,0,0
13,1,0,0,0,3,2,0,0,0,0,255,255,255,5,768.761,D_arling,R,0,140,1.069,-0.636,0,111.045,-177.588,0.375,-12.581,1,0,9,R,ʚmingɞ,174.5,28,0,0,0,0,0,0,0,0,0,0,0,0.203,-37.062,0.009,-17.13,-22.012,-47.177,-12.363,-64.558,19.661,-49.933,11.538,-60.917,35.495,-86.215,0.569,-104.308,-40.626,-86.956,0,0,0,0,0,,0,0,1,0,0
14,1,0,0,0,0,0,0,1,0,0,9,255,255,6,812.351,D_arling,R,0,137,0.905,-0.309,2,139.118,-77.125,0,0,1,1,3,R,Penguin_iDOL,180.3,57,813.401,57,186,36,54,82,43.761,0.621,0.487,-0.066,-0.092,-0.249,-36.948,0.033,-17.291,-21.691,-44.922,-13.05,-64.465,20.095,-53.405,5.141,-60.999,34.781,-84.953,0.76,-98.435,-40.589,-82.643,818.311,-0.239,-77.165,818.478,3,IllilliIIIIllil,-0.229,-75.538,0,1,1
15,1,0,0,0,0,0,2,0,0,0,255,255,255,7,847.555,D_arling,R,14,84,0.55,-0.659,0,298.15,312.348,0.283,-16.95,1,2,2,L,-Alta-,190,57,0,0,0,0,0,0,0,0,0,0,0,-0.014,-37.257,0.516,-17.437,-22.531,-49.15,-12.292,-64.48,19.66,-51.778,12.251,-62.955,37.663,-82.027,1.242,-101.643,-37.97,-87.404,0,0,0,0,0,,0,0,0,0,0
16,1,0,0,0,0,1,2,0,0,0,255,255,255,8,868.951,D_arling,R,14,90,1.73,-0.096,4,283.037,361.012,0.358,-17.547,1,2,2,L,-Alta-,190,57,0,0,0,0,0,0,0,0,0,0,0,0.181,-37.379,0.399,-17.5,-22.142,-47.642,-12.315,-64.493,20.159,-50.426,12.737,-63.145,37.732,-82.005,1.211,-102.599,-39.254,-86.76,0,0,0,0,0,,0,0,0,0,0
17,1,0,0,0,0,2,2,0,0,0,255,255,255,9,886.232,D_arling,R,0,89,-0.031,1.706,2,0.984,-163.447,0,0,1,2,2,L,-Alta-,190,57,887.377,92,245,40,142,101,42.799,-2.067,0.911,0.049,-0.069,-0.259,-36.972,0.051,-17.346,-23.088,-49.37,-12.731,-64.156,20.242,-49.877,10.922,-63.61,37.699,-81.99,1.153,-102.603,-39.24,-86.761,892.691,7.503,-97.77,892.925,7,crani,7.331,-96.201,0,0,1
18,2,1,0,0,0,0,0,0,0,0,255,255,255,7,959.063,CAT tourniquet,L,0,129,0.893,-0.843,0,-138.149,-31.511,0,0,0,3,1,R,아침땅_,190,37,0,0,0,0,0,0,0,0,0,0,0,0.192,-37.41,0.22,-17.474,-20.964,-46.193,-16.097,-61.273,23.637,-53.505,14.327,-59.552,36.767,-85.621,0.833,-111.06,-41.108,-88.502,0,0,0,0,0,,0,0,0,0,0
19,2,1,0,0,0,1,0,0,0,0,255,255,255,8,976.717,CAT tourniquet,L,0,123,1.226,-0.208,0,-87.886,10.126,0,0,0,3,1,R,아침땅_,190,37,0,0,0,0,0,0,0,0,0,0,0,0.131,-37.461,0.134,-17.636,-20.953,-46.154,-15.937,-59.441,23.571,-53.504,11.192,-59.352,37.307,-87.169,-4.092,-110.762,-46.288,-92.41,0,0,0,0,0,,0,0,0,0,0
20,2,1,0,0,0,2,0,0,0,0,255,255,255,9,997.969,CAT tourniquet,L,0,122,-0.407,0.879,0,-104.432,-8.686,0,0,0,3,1,R,아침땅_,190,37,0,0,0,0,0,0,0,0,0,0,0,0.328,-37.285,0.015,-17.579,-20.96,-45.627,-15.665,-59.566,23.618,-53.539,8.857,-57.958,37.454,-85.616,-4.071,-110.772,-51.583,-93.016,0,0,0,0,0,,0,0,0,0,0
21,2,1,0,0,0,0,1,0,0,0,255,255,255,10,1030.637,CAT tourniquet,L,0,127,-2.905,0.643,1,-136.777,-77.828,0,0,0,4,4,R,_이누_,190,56,0,0,0,0,0,0,0,0,0,0,0,0.072,-37.401,-0.344,-17.637,-20.641,-46.2,-14.761,-58.292,23.608,-53.609,12.07,-60.125,36.341,-87.095,-4.099,-110.79,-52.398,-93.505,0,0,0,0,0,,0,0,0,0,0
22,2,1,0,0,1,0,1,0,0,0,255,255,255,11,1048.929,CAT tourniquet,L,10,123,1.478,-0.837,1,108.99,288.289,0,0,0,4,4,R,_이누_,190,64,0,0,0,0,0,0,0,0,0,0,0,0.26,-37.14,-0.021,-17.846,-20.471,-46.034,-13.919,-61.142,23.154,-52.938,12.02,-60.106,36.822,-87.82,-4.093,-110.776,-52.324,-93.388,0,0,0,0,0,,0,0,0,0,0
23,2,1,0,0,2,0,1,0,0,0,255,255,255,12,1065.512,CAT tourniquet,L,0,127,-2.176,0.639,1,-133.232,-35.083,0,0,0,4,4,R,_이누_,190,64,0,0,0,0,0,0,0,0,0,0,0,-0.02,-37.44,-0.35,-17.553,-20.623,-46.307,-13.995,-61.166,23.094,-52.966,12.018,-60.124,36.036,-87.846,-4.098,-110.787,-52.182,-93.285,0,0,0,0,0,,0,0,0,0,0
24,2,1,0,0,3,0,1,0,0,0,255,255,255,13,1081.948,CAT tourniquet,L,0,127,4.395,-0.216,3,-75.855,-11.038,0.089,-19.909,0,4,4,R,_이누_,190,64,0,0,0,0,0,0,0,0,0,0,0,0.112,-37.489,0.246,-17.477,-20.554,-46.162,-13.869,-61.218,13.025,-59.738,11.534,-60.002,37.14,-86.356,-4.09,-110.78,-52.223,-93.567,0,0,0,0,0,,0,0,0,16,6
25,2,1,0,0,0,0,1,0,1,0,255,4,255,14,1191.778,CAT tourniquet,L,3,120,1.336,-0.356,2,432.558,0,0,0,1,5,3,L,IllilliIIIIllil,174.5,57,1192.703,130,212,21,147,97,32.832,-9.955,0.943,0.046,0,0.232,-37.296,0.96,-17.014,-20.249,-45.295,-11.575,-59.591,22.994,-52.222,9.494,-62.144,39.718,-86.775,10.007,-110.236,-48.863,-86.91,0,0,0,1197.496,7,Kr_Luna,25.398,-93.776,0,0,1
26,2,1,0,0,0,0,2,0,1,0,255,4,255,15,1231.351,CAT tourniquet,L,5,121,0.326,0.48,0,122.57,0,0,0,0,6,5,R,_앰프_,170.6,56,0,0,0,0,0,0,0,0,0,0,0,0.17,-37.521,0.279,-17.297,-20.598,-44.069,-10.223,-61.439,21.457,-48.486,7.991,-62.662,37.583,-86.682,1,-111.944,-47.976,-94.104,0,0,0,0,0,,0,0,0,0,0
27,2,1,0,0,0,1,2,0,0,1,255,255,4,16,1437.692,CAT tourniquet,L,0,128,2.141,-2.797,1,0,0,0.345,-22.142,0,6,5,R,_앰프_,170.6,56,0,0,0,0,0,0,0,0,0,0,0,0.077,-37.589,0.154,-17.349,-18.042,-42.4,-14.35,-60.372,20.589,-48.565,12.172,-63.534,41.296,-93.591,2.969,-101.985,-53.486,-96.929,0,0,0,0,0,,0,0,0,0,0
28,2,1,0,0,1,1,2,0,0,1,255,255,4,17,1455.628,CAT tourniquet,L,3,118,-1.298,0.12,0,273.473,0,0.176,-11.425,0,6,5,R,_앰프_,170.6,56,0,0,0,0,0,0,0,0,0,0,0,0.101,-37.404,-0.278,-17.309,-19.637,-44.999,-14.136,-60.438,21.205,-46.5,12.044,-63.196,40.119,-92.387,5.974,-101.881,-52.293,-96.553,0,0,0,0,0,,0,0,0,0,0
29,2,1,0,0,1,2,2,0,0,1,255,255,4,18,1475.165,CAT tourniquet,L,0,135,-2.015,0.436,1,-204.291,-22.499,-0.879,-17.651,0,6,5,R,_앰프_,170.6,56,0,0,0,0,0,0,0,0,0,0,0,0.043,-37.419,-0.15,-17.443,-18.476,-41.975,-14.221,-60.383,19.054,-39.743,11.086,-61.349,39.336,-91.465,5.758,-101.891,-48.477,-94.091,0,0,0,0,0,,0,0,0,0,0
30,2,1,0,0,2,2,2,0,0,1,255,255,4,19,1495.835,CAT tourniquet,L,0,128,-1.657,0.41,2,-163.242,-20.442,0,0,1,6,5,R,_앰프_,170.6,56,1496.975,106,143,67,143,63,8.565,34.048,-1,-0.117,-0.08,0.129,-37.241,0.108,-17.394,-19.945,-45.312,-14.328,-60.336,18.924,-39.792,12.284,-62.911,39.726,-91.202,5.809,-103.055,-48.31,-94.217,1498.142,-12.068,-38.36,1503.275,8,NABIMan,-35.687,-69.17,1,0,2
31,2,1,1,0,0,0,2,1,0,0,5,255,255,20,1554.397,CAT tourniquet,L,3,116,2.841,0.432,3,375.947,0,0.381,-19.62,0,7,8,R,ByeolBam,174.5,56,1557.318,23,15,3,1,1,12.074,-9.894,0.903,0.06,-0.005,0.313,-37.401,0.224,-17.498,-20.605,-45.147,-14.389,-60.762,22.714,-53.246,6.999,-61.312,39.306,-92.021,-6.824,-109.632,-54.739,-95.83,0,0,0,1586.397,9,ʚmingɞ,0.419,-37.947,0,0,6
32,2,1,1,0,0,0,2,1,1,0,8,5,255,21,1590.248,CAT tourniquet,L,0,116,-0.732,0.359,0,-123.871,35.193,0,0,0,8,9,R,하루（Haru）,190,44,0,0,0,0,0,0,0,0,0,0,0,0.095,-37.394,-0.223,-17.388,-20.756,-44.974,-14.692,-61.42,20.032,-45.929,5.688,-61.195,35.386,-87.433,-2.271,-106.226,-46.01,-86.248,0,0,0,0,0,,0,0,0,0,0
33,2,1,1,0,0,1,2,1,1,0,8,5,255,22,1605.652,CAT tourniquet,L,0,118,-2.752,0.157,4,-131.479,12.883,0,0,1,8,9,R,하루（Haru）,190,44,0,0,0,0,0,0,0,0,0,0,0,0.121,-37.408,0.055,-17.693,-19.69,-42.761,-14.033,-62.147,24.159,-49.068,8.09,-61.885,34.939,-86.369,-2.328,-106.248,-46.521,-88.254,0,0,0,0,0,,0,0,0,0,0
34,2,1,1,0,0,2,2,0,1,1,255,8,5,23,1633.239,CAT tourniquet,L,3,100,1.181,0.122,2,373.304,0,0,0,1,8,9,R,하루（Haru）,190,44,1634.315,130,163,34,144,66,-47.547,-18.419,-0.524,-0.114,-0.1,0.255,-37.271,0.209,-17.734,-20.868,-46.198,-13.794,-60.518,21.477,-48.078,12.655,-61.227,37.006,-88.07,-9.718,-106.663,-49.313,-94.526,1634.203,0.549,-20.852,1637.787,4,Espressο,11.263,-48.754,1,128,2
35,2,0,2,0,0,0,0,0,0,0,255,255,255,10,1710.477,D_arling,R,0,89,2.359,1.436,1,12.872,-154.181,0,0,0,3,8,L,NABIMan,163.1,55,0,0,0,0,0,0,0,0,0,0,0,0.069,-37.223,0.131,-17.288,-23.627,-50.071,-11.425,-64.888,23.301,-48.878,11.137,-61.384,38.207,-85.441,0.037,-110.956,-37.578,-84.723,0,0,0,0,0,,0,0,0,0,0
