id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,381.638,Espressο,R,0,140,-0.034,0.29,2,66.906,-167.711,0,0,0,0,1,L,NABIMan,190,45,382.594,80,55,13,30,45,-39.315,-47.528,0.945,0.043,0.043,-0.241,-37.151,0.013,-17.559,-20.664,-46.755,-13.653,-64.586,19.593,-42.792,15.238,-62.695,35.701,-81.801,0,-100.602,-35.701,-81.801,0,0,0,382.796,1,Dοpi,0.05,-25.341,0,0,3
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,396.99,Espressο,R,6,121,1.966,0.872,2,447.049,0,0,0,1,0,1,L,NABIMan,190,45,398.022,115,179,81,150,130,36.734,-34.706,0.252,0.024,0.03,-0.325,-37.204,0.024,-17.46,-21.385,-48.976,-13.145,-64.56,19.421,-44.117,15.245,-62.691,35.702,-81.801,0,-100.602,-35.702,-81.801,409.663,69.57,-86.273,409.653,-1,AI,69.57,-86.273,0,0,4
3,1,1,1,0,0,0,0,0,0,0,255,255,255,2,440.937,Espressο,R,0,140,-0.796,-0.498,0,112.753,-200,0,0,0,1,5,R,Gonyong,190,97,0,0,0,0,0,0,0,0,0,0,0,0.246,-37.569,-0.114,-17.353,-20.889,-47.895,-10.272,-66.425,20.17,-46.586,18.386,-61.605,35.702,-81.802,0,-100.602,-35.702,-81.802,0,0,0,0,0,,0,0,0,0,0
4,1,1,1,0,0,1,0,0,0,0,255,255,255,3,455.719,Espressο,R,1,82,-2.123,-0.537,1,0,0,0,0,0,1,5,R,Gonyong,190,96,0,0,0,0,0,0,0,0,0,0,0,-0.132,-37.349,-0.322,-17.395,-20.904,-47.898,-10.273,-66.376,20.248,-45.619,18.454,-62.294,35.702,-81.801,0,-100.602,-35.702,-81.801,0,0,0,0,0,,0,0,0,0,0
5,1,1,1,0,1,1,0,0,0,0,255,255,255,4,468.27,Espressο,R,0,140,0.774,-0.506,2,59.541,-200,0,0,1,1,5,R,Gonyong,190,96,469.341,107,148,36,139,74,27.035,6.158,0.989,-0.063,-0.046,-0.19,-37.095,-0.056,-17.572,-20.887,-47.903,-10.292,-66.468,19.647,-44.973,18.205,-62.082,35.702,-81.802,0,-100.602,-35.702,-81.802,0,0,0,473.574,3,버블붐_Bubbleboom,-5.141,-74.352,0,0,1
6,1,1,1,0,0,0,1,0,0,0,255,255,255,5,546.044,Espressο,R,10,128,-0.914,0.055,0,-133.812,292.595,0,0,0,2,4,R,Apple_Sherbet,190,95,0,0,0,0,0,0,0,0,0,0,0,-0.049,-37.231,-0.155,-17.35,-20.274,-47.447,-11.38,-65.404,19.361,-44.456,17.137,-62.142,35.702,-81.802,0,-100.602,-35.702,-81.802,0,0,0,0,0,,0,0,0,0,0
7,1,1,1,0,0,1,1,0,0,0,255,255,255,6,558.016,Espressο,R,6,115,1.071,0.41,0,422.438,5.63,0,0,1,2,4,R,Apple_Sherbet,190,95,0,0,0,0,0,0,0,0,0,0,0,0.122,-37.372,-0.052,-17.406,-20.409,-47.245,-10.797,-65.66,19.225,-44.643,17.147,-62.205,35.702,-81.802,0,-100.602,-35.702,-81.802,0,0,0,0,0,,0,0,0,0,0
8,1,1,1,0,0,2,1,0,0,0,255,255,255,7,570.372,Espressο,R,0,140,0.182,0.58,2,69.591,-189.986,0,0,1,2,4,R,Apple_Sherbet,190,95,571.31,120,168,41,144,67,104.796,-57.864,-0.683,-0.04,-0.08,-0.318,-37.116,-0.006,-17.456,-20.35,-47.512,-10.811,-65.718,18.257,-44.282,17.163,-62.181,35.701,-81.801,0,-100.602,-35.701,-81.801,576.43,-24.406,-2.582,0,0,,0,0,0,0,3
9,1,1,1,0,0,2,1,0,0,0,255,255,255,8,586.402,Espressο,R,10,125,-0.528,-2.274,1,-29.912,400,0,0,0,2,4,R,Apple_Sherbet,190,95,0,0,0,0,0,0,0,0,0,0,0,0.076,-37.329,-0.043,-17.465,-20.419,-47.772,-14.373,-65.131,19.769,-45.685,14.465,-63.999,35.702,-81.802,0,-100.602,-35.702,-81.802,0,0,0,0,0,,0,0,0,0,0
10,1,1,1,0,1,2,1,0,0,0,255,255,255,9,598.199,Espressο,R,0,140,-0.727,-2.393,1,68.148,-200,0,0,0,2,4,R,Apple_Sherbet,190,95,0,0,0,0,0,0,0,0,0,0,0,0.217,-37.745,-0.186,-17.514,-20.587,-47.743,-12.833,-65.173,19.689,-45.532,14.515,-63.997,35.702,-81.802,0,-100.602,-35.702,-81.802,0,0,0,0,0,,0,0,0,0,0
