id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,287.595,인생최패망자,R,10,118,0.168,-0.418,0,0,400,0.32,-16.828,0,0,3,R,장덕춘_,175.4,57,0,0,0,0,0,0,0,0,0,0,0,0.115,-37.537,0.037,-17.034,-20.187,-47.618,-13.925,-61.723,20.371,-48.619,15.352,-63.869,44.518,-82.449,-2.134,-109.889,-39.134,-86.051,0,0,0,290.577,0,인생최패망자,0.576,-17.029,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,304.336,인생최패망자,R,3,122,0.206,0.176,2,-399.973,0,0,0,1,0,3,R,장덕춘_,175.4,57,305.322,53,49,40,17,49,39.682,30.36,-0.395,-0.012,-0.016,-0.24,-37.055,-0.103,-16.906,-20.452,-48.047,-13.858,-61.672,20.345,-48.625,14.918,-63.962,41.705,-82.753,-2.419,-109.663,-40.471,-88.811,0,0,0,309.06,2,Gonyong,-14.378,-44.75,0,0,1
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,334.278,인생최패망자,R,0,140,-1.5,-0.596,2,0,0,0,0,1,1,4,L,IllilliIIIIllil,174.5,57,335.104,186,169,9,143,67,-19.455,23.991,-0.746,0.074,-0.037,-0.335,-36.832,0.067,-17.229,-18.618,-46.959,-10.736,-62.304,20.273,-48.178,16.021,-62.482,36.741,-79.208,1.87,-113.021,-38.845,-90.501,335.26,-1.125,-22.258,338.277,3,crani,-15.608,-53.713,1,0,2
4,1,1,0,0,0,0,1,0,1,0,255,4,255,3,369.299,인생최패망자,R,6,118,2.235,0.035,2,500,0,0,0,1,2,8,R,ゆっち一,179.6,57,370.379,127,152,33,137,64,-1.944,20.709,-0.908,-0.099,-0.186,0.11,-36.849,0.345,-16.935,-18.424,-46.878,-13.771,-60.067,19.878,-46.802,10.461,-62.477,37.111,-86.307,-6.083,-113.211,-43.257,-93.094,371.01,-3.594,-29.273,373.194,3,crani,-11.889,-51.872,0,0,2
5,1,1,0,0,0,0,2,0,0,1,255,255,4,4,404.427,인생최패망자,R,0,140,0.852,1.036,4,0,0,0,0,1,3,0,L,-Alta-,190,57,0,0,0,0,0,0,0,0,0,0,0,0.246,-37.862,0.56,-17.006,-19.036,-48.575,-10,-63.36,18.983,-39.953,16.203,-62.648,48.69,-90.645,8.213,-103.928,-40.656,-89.238,0,0,0,0,0,,0,0,0,0,0
6,1,1,0,0,0,1,2,0,0,1,255,255,4,5,424.687,인생최패망자,R,10,119,-1.032,-0.463,2,0,400,0,0,1,3,0,L,-Alta-,190,57,425.706,168,177,10,142,120,36.233,47.477,0.143,0.035,-0.197,-0.163,-37.03,-0.293,-17.026,-18.673,-50.382,-10.241,-63.239,18.999,-45.212,16.185,-62.68,50.27,-89.663,12.11,-102.844,-32.49,-95.273,430.56,-62.731,-95.739,432.31,8,눈꽃,-56.247,-90.624,1,0,2
7,1,1,1,0,0,0,2,1,0,0,0,255,255,6,461.86,인생최패망자,R,10,128,0.331,-0.854,0,-29.795,400,0.271,-16.802,0,4,5,R,Yaksok~,168.2,57,0,0,0,0,0,0,0,0,0,0,0,0.113,-37.953,0.082,-17.033,-19.997,-49.479,-13.562,-61.958,19.366,-47.019,12.146,-60.831,35.442,-87.698,-4.866,-108.458,-45.916,-92.397,0,0,0,0,0,,0,0,0,0,0
8,1,1,1,0,0,1,2,1,0,0,0,255,255,7,518.338,인생최패망자,R,0,134,0.669,0.699,0,0,0,0,0,0,4,5,R,Yaksok~,168.2,57,0,0,0,0,0,0,0,0,0,0,0,-0.082,-38.309,0.112,-17.088,-20.107,-49.767,-13.321,-62.032,20.321,-47.361,13.065,-61.47,36.42,-88.21,-2.636,-107.132,-51.531,-90.482,0,0,0,0,0,,0,0,0,0,0
9,1,1,1,0,0,2,2,1,0,0,0,255,255,8,539.689,인생최패망자,R,10,118,1.339,0.96,0,0,400,0,0,0,4,5,R,Yaksok~,168.2,57,0,0,0,0,0,0,0,0,0,0,0,0.142,-37.708,0.283,-17.159,-20.438,-50.51,-13.331,-62.06,20.466,-49.423,11.362,-62.327,37.487,-86.671,-2.462,-107.553,-48.985,-91.341,0,0,0,0,0,,0,0,0,0,0
10,1,0,1,0,0,0,0,0,0,0,255,255,255,0,715.436,-Alta-,L,0,138,0.43,0.669,0,-73.923,-139.401,0,0,0,0,3,R,crani,173.5,57,0,0,0,0,0,0,0,0,0,0,0,0.063,-36.746,0.052,-16.78,-19.887,-46.656,-14.475,-64.201,19.637,-48.771,10.61,-59.2,43.818,-87.29,2.866,-108.969,-40.271,-76.473,0,0,0,0,0,,0,0,0,0,0
