id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,374.096,encounter v,R,0,138,-0.344,1.045,2,41.833,-121.783,0,0,1,0,2,L,Fresh825,172.9,91,375.122,86,106,0,102,64,42.82,-39.441,-0.565,0.03,-0.124,-0.237,-37.087,0.026,-17.129,-15.899,-40.403,-15.894,-61.122,20.169,-46.441,13.212,-58.885,35.702,-81.801,0,-100.602,-40.994,-88.6,0,0,0,379.528,4,인생최패망자,29.399,-53.554,0,0,1
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,400.868,encounter v,R,13,112,-0.086,0.547,0,-355.755,351.338,-0.537,-17.559,0,1,7,R,ke ro,160,91,0,0,0,0,0,0,0,0,0,0,0,0.229,-37.449,-0.007,-17.108,-21.215,-51.792,-13.559,-64.674,16.621,-47.963,12.119,-57.502,35.7,-81.8,0,-100.6,-42.922,-89.274,0,0,0,0,0,,0,0,0,0,0
3,1,1,0,0,0,1,1,0,0,0,255,255,255,2,417.977,encounter v,R,14,108,0.073,1.172,0,358.618,341.446,0,0,0,1,7,R,ke ro,160,91,0,0,0,0,0,0,0,0,0,0,0,-0.011,-37.378,0.004,-17.215,-21.416,-51.107,-14.1,-63.741,16.706,-47.684,12.002,-58.502,35.702,-81.802,0,-100.602,-43.443,-89.524,0,0,0,0,0,,0,0,0,0,0
4,1,1,0,0,0,2,1,0,0,0,255,255,255,3,434.097,encounter v,R,0,140,-1.556,-1.886,1,150.188,-200,-0.295,-17.293,0,1,7,R,ke ro,160,91,0,0,0,0,0,0,0,0,0,0,0,-0.117,-37.104,-0.063,-17.056,-21.36,-51.096,-14.086,-63.711,16.625,-47.795,11.87,-58.369,35.7,-81.8,0,-100.6,-43.386,-89.586,0,0,0,0,0,,0,0,0,0,0
5,1,1,0,0,1,2,1,0,0,0,255,255,255,4,448.93,encounter v,R,6,112,0.892,2.42,2,416.75,0,0,0,1,1,7,R,ke ro,160,91,450.077,129,86,0,108,77,-3.184,-17.885,-0.08,0.022,-0.01,-0.197,-37.269,-0.041,-17.131,-21.275,-51.246,-14.089,-63.74,16.618,-47.705,12.559,-59.295,35.702,-81.802,0,-100.602,-43.428,-89.685,450.628,4.052,-32.287,451.884,4,인생최패망자,10.055,-47.177,0,0,2
6,1,1,0,0,0,0,2,0,0,0,255,255,255,5,473.729,encounter v,R,6,123,0.359,0.711,0,457.093,0,0.663,-17.466,1,2,3,L,あいくんだよー,174.5,91,0,0,0,0,0,0,0,0,0,0,0,0.022,-37.399,0.011,-16.689,-16.064,-49.983,-13.83,-64.289,20.15,-46.609,13.964,-58.515,35.7,-81.8,0,-100.6,-43.627,-83.829,0,0,0,0,0,,0,0,0,0,0
7,1,1,0,0,0,1,2,0,0,0,255,255,255,6,489.221,encounter v,R,0,111,1.28,-0.411,2,0,0,0,0,1,2,3,L,あいくんだよー,174.5,91,490.37,139,129,0,134,62,-3.05,-12.952,1,0.169,-0.164,-0.115,-37.181,0.026,-17.149,-16.032,-49.847,-13.431,-64.302,20.201,-46.862,14.45,-59.138,35.702,-81.802,0,-100.602,-43.47,-84.082,490.684,2.057,-27.661,493.206,5,NABIMan,7.535,-53.83,0,0,2
8,1,0,0,0,0,0,0,0,0,0,255,255,255,0,574.645,_Chun,L,0,140,1.417,-0.745,2,-59.675,-97.013,0,0,1,0,3,R,mungjungh,160,83,575.465,180,101,1,134,77,-8.595,-33.648,-0.355,-0.073,-0.05,0.214,-36.688,0.177,-16.722,-25.595,-49.076,-14.192,-61.792,18.333,-45.785,6.666,-66.55,35.7,-81.8,-4.392,-106.899,-35.7,-81.8,575.562,2.459,-23.63,577.062,4,눈꽃,14.485,-43.17,0,0,2
9,1,0,0,0,0,0,1,0,0,0,255,255,255,1,606.546,_Chun,L,6,123,-1.666,-0.217,1,-429.396,0,0,0,0,1,8,R,CVPileMaki,170.3,90,0,0,0,0,0,0,0,0,0,0,0,-0.122,-37.628,-0.244,-16.637,-23.876,-46.902,-13.882,-62.696,15.382,-45.896,9.733,-65.476,35.7,-81.8,-7.797,-101.349,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0
10,1,0,0,0,1,0,1,0,0,0,255,255,255,2,623.554,_Chun,L,0,136,0.794,-0.76,2,-42.193,-62.755,0,0,1,1,8,R,CVPileMaki,170.3,90,624.616,154,107,0,131,125,-8.329,29.687,0.556,-0.027,-0.064,0.161,-36.656,0.211,-16.708,-23.522,-46.749,-13.919,-62.72,15.267,-45.791,9.275,-65.465,35.7,-81.8,-7.802,-101.352,-35.7,-81.8,627.506,-32.107,-80.583,627.506,-1,AI,-31.717,-79.812,1,0,0
11,1,0,0,0,0,0,1,1,0,0,15,255,255,3,652.32,_Chun,L,0,137,-0.742,-0.428,2,-28.823,0,0,0,1,2,4,R,인생최패망자,190,90,653.399,143,171,0,138,129,35.978,32.439,0.519,-0.101,-0.164,0.108,-36.667,-0.293,-16.645,-18.467,-39.697,-13.005,-58.597,16.729,-46.718,10.39,-65.411,35.7,-81.8,-5.458,-102.67,-35.7,-81.8,658.884,-64.254,-116.486,0,0,,0,0,0,0,4
