id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,686.834,muyang_,R,5,84,1.837,-0.199,1,-80.356,0,0,0,0,0,3,R,crani,174.4,65,0,0,0,0,0,0,0,0,0,0,0,-0.292,-38.066,0.017,-17.003,-21.54,-49.707,-15.39,-61.618,22.299,-52.384,11.341,-65.726,41.364,-89.213,-0.815,-115.432,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,701.148,muyang_,R,3,81,-2.089,-0.247,1,-281.423,0,0,0,0,0,3,R,crani,174.4,65,0,0,0,0,0,0,0,0,0,0,0,-0.39,-37.886,-0.085,-17.076,-21.572,-49.731,-16.209,-61.275,21.856,-51.493,10.844,-65.833,42.647,-91.208,-0.883,-115.444,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,2,0,0,0,0,0,255,255,255,2,713.951,muyang_,R,0,138,-2.186,0.42,4,0,0,-0.605,-7.194,1,0,3,R,crani,174.4,43,0,0,0,0,0,0,0,0,0,0,0,-0.329,-37.888,-0.469,-17.041,-21.145,-50.148,-16.436,-61.007,21.936,-49.355,10.855,-65.969,43.453,-91.42,-1.001,-115.422,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,2,1,0,0,0,0,255,255,255,3,731.178,muyang_,R,5,92,0.303,1.811,4,-144.563,0,0,0,1,0,3,R,crani,174.4,43,0,0,0,0,0,0,0,0,0,0,0,-0.313,-37.83,-0.064,-17.083,-20.97,-47.597,-16.428,-61.028,20.786,-51.341,11.493,-65.565,42.783,-90.826,-1.051,-115.468,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,745.767,muyang_,R,3,80,-1.007,-0.34,0,-363.636,0,0,0,0,0,3,R,crani,174.4,43,0,0,0,0,0,0,0,0,0,0,0,-0.264,-38.272,-0.063,-17.034,-20.926,-46.21,-16.451,-61.026,20.777,-51.888,11.503,-65.587,43.758,-92.238,-1.068,-115.513,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,0,1,0,0,0,255,255,255,5,807.186,muyang_,R,10,88,-3.304,-0.451,1,3.579,400,-0.91,-17.366,0,1,4,L,하루（Haru）,190,64,0,0,0,0,0,0,0,0,0,0,0,-0.367,-37.928,-0.373,-17.076,-21.53,-49.116,-16.106,-59.94,21.634,-48.242,14.762,-64.145,43.535,-90.508,-0.35,-116.617,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,1,1,0,0,0,255,255,255,6,868.342,muyang_,R,10,93,-1.205,-0.524,2,0,400,0,0,1,1,4,L,하루（Haru）,190,64,869.439,119,153,22,135,112,-24.334,-0.147,0.101,0.044,-0.075,-0.264,-37.812,-0.05,-17.06,-20.312,-49.521,-12.159,-64.699,21.974,-48.717,14.748,-64.139,43.72,-89.641,-0.296,-116.676,-35.7,-81.8,869.474,-0.213,-22.635,873.674,7,D_arling,1.229,-102.219,1,0,0,0,0,0,0,2
8,1,1,0,0,0,0,1,1,0,0,8,255,255,7,903.362,muyang_,R,3,80,0.603,-0.415,0,-363.636,0,0,0,1,2,1,R,Espressο,190,49,0,0,0,0,0,0,0,0,0,0,0,0.028,-37.709,0.223,-17.993,-18.078,-47.513,-2.682,-58.818,21.764,-45.651,5.643,-62.95,41.532,-95.612,-0.479,-114.083,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,1,1,1,0,0,8,255,255,8,929.4,muyang_,R,0,137,-2.293,-0.226,2,0,0,0,0,1,2,1,R,Espressο,190,64,930.329,125,174,13,136,115,90.236,-89.613,0.848,-0.122,-0.058,-0.375,-37.554,-0.013,-17.072,-21.129,-49.272,-8.038,-62.918,21.048,-51.755,5.561,-63.452,41.767,-95.457,-0.105,-113.947,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,2,1,0,1,0,255,4,255,9,949.544,muyang_,R,10,103,-2.715,0.77,2,0,400,0,0,1,2,1,R,Espressο,190,64,950.586,142,121,12,134,88,7.282,-24.388,-0.583,-0.014,0.016,-0.501,-37.334,-0.019,-17.119,-22.056,-48.687,-4.647,-63.012,19.826,-50.895,5.653,-62.967,41.727,-95.381,-0.25,-113.347,-35.7,-81.8,952.141,14.261,-53.09,953.374,5,아침땅_,18.73,-63.738,0,0,0,0,0,0,0,2
