id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,409.45,白霜らいふ,R,4,127,0.311,-0.59,0,-183.22,0,0,0,0,0,4,R,인생최패망자,190,90,0,0,0,0,0,0,0,0,0,0,0,0,0.222,-37.855,-0.119,-16.29,-17.835,-40.872,-15.414,-62.911,22.577,-47.883,10.846,-65.874,41.716,-93.6,-8.417,-115.031,-43.841,-93.319,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,420.942,白霜らいふ,R,13,110,-0.452,-1.147,4,-350.05,324.063,-0.309,-17.118,1,0,4,R,인생최패망자,190,90,0,0,0,0,0,0,0,0,0,0,0,0,0.007,-37.645,-0.144,-16.305,-19.37,-40.437,-15.415,-62.947,19.635,-48.5,10.389,-65.214,41.87,-93.926,-9.718,-114.421,-43.845,-93.326,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,431.651,白霜らいふ,R,0,121,0.056,1.116,1,6.223,-153.656,0,0,0,0,4,R,인생최패망자,190,90,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-37.754,-0.131,-16.264,-19.011,-40.886,-15.397,-62.917,22.286,-47.408,10.788,-64.702,41.863,-93.925,-9.731,-114.428,-43.842,-93.31,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,445.324,白霜らいふ,R,0,121,-0.127,1.24,2,-12.443,-200,0,0,1,0,4,R,인생최패망자,190,90,446.405,84,151,26,130,86,93.808,63.81,-0.55,-0.132,-0.049,0.216,-0.021,-37.345,-0.053,-16.331,-18.48,-42.928,-15.344,-62.913,22.602,-47.761,10.476,-65.202,41.864,-93.926,-9.375,-114.47,-43.27,-92.374,0,0,0,452.819,1,ゆっち一,12.99,-8.939,0,0,0,0,0,0,0,2
5,1,1,0,0,1,2,0,0,0,0,255,255,255,4,473.617,白霜らいふ,R,4,117,-0.591,-0.78,0,-232.037,0,0,0,0,0,4,R,인생최패망자,190,89,0,0,0,0,0,0,0,0,0,0,0,0,-0.071,-37.666,-0.195,-15.784,-19.006,-39.989,-14.542,-62.353,23.265,-47.737,10.472,-63.141,48.985,-88.132,-9.096,-110.316,-44.587,-91.651,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,0,1,0,0,0,255,255,255,5,499.712,白霜らいふ,R,0,140,-1.045,-0.347,0,27.862,-200,0,0,0,1,5,L,NABIMan,189.9,89,0,0,0,0,0,0,0,0,0,0,0,0,0.121,-37.304,-0.129,-16.006,-19.073,-40.409,-13.856,-61.887,23.796,-48.898,15.739,-63.28,48.058,-90.605,-8.452,-110.118,-44.861,-94.499,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,1,1,0,0,0,255,255,255,6,510.808,白霜らいふ,R,13,126,0.8,-0.635,2,-244.762,400,0,0,1,1,5,L,NABIMan,189.9,89,511.703,187,255,49,154,106,-62.233,-48.522,0.96,0.015,-0.042,0.173,-0.158,-37.172,-0.075,-16.084,-18.979,-40.298,-13.5,-62.895,23.758,-48.86,16.187,-64.064,47.951,-91.413,-5.583,-109.724,-44.88,-94.522,511.774,0.596,-21.448,514.663,4,encounter v,26.397,-44.387,0,0,0,0,0,0,0,2
8,1,1,0,0,0,2,1,0,0,0,255,255,255,7,532.315,白霜らいふ,R,10,116,1.056,-1.958,2,0,400,0,0,1,1,5,L,NABIMan,189.9,88,533.195,202,181,0,149,115,-33.178,17.835,0.93,0.07,-0.089,0.388,0.105,-37.042,-0.116,-16.307,-18.805,-42.333,-13.131,-65.485,22.897,-47.601,14.706,-63.016,47.829,-92.945,-5.155,-105.914,-43.652,-94.505,533.241,0.076,-20.746,535.385,3,ʚEveɞ,-12.766,-60.516,0,0,0,0,0,0,0,2
9,1,1,0,0,0,0,2,0,0,0,255,255,255,8,553.02,白霜らいふ,R,0,140,-0.181,-0.361,0,10.355,-200,0,0,0,2,7,L,IbikiKai_JP,171.4,88,0,0,0,0,0,0,0,0,0,0,0,0,0.079,-37.701,-0.021,-16.589,-18.885,-43.236,-13.212,-63.277,22.895,-48.078,15.304,-63.623,42.185,-93.072,0.918,-101.794,-47.572,-98.508,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,1,2,0,0,0,255,255,255,9,562.545,白霜らいふ,R,0,139,0.266,1.109,2,-22.807,-200,0,0,1,2,7,L,IbikiKai_JP,171.4,88,563.623,141,94,10,132,92,39.431,-32.327,-0.33,-0.031,-0.024,0.227,-0.171,-37.244,-0.026,-16.623,-18.714,-43.152,-13.142,-63.24,23.406,-48.226,15.31,-63.67,43.917,-96.413,1.837,-101.8,-46.349,-97.731,568.674,43.718,-77.482,576.397,8,눈꽃,59.076,-101.145,1,0,0,0,0,0,0,2
