id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,402.116,Gonyong,R,0,131,-0.383,-0.149,0,86.429,-168.403,0,0,0,0,5,R,coder_,160,96,0,0,0,0,0,0,0,0,0,0,0,0,0.168,-37.546,-0.551,-17.46,-21.017,-48.002,-11.915,-64.706,19.41,-46.602,10.427,-61.11,46.509,-85.891,-2.416,-108.409,-39.436,-85.945,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,416.928,Gonyong,R,0,134,-0.11,-0.666,0,86.328,-134.105,0,0,1,0,5,R,coder_,160,59,0,0,0,0,0,0,0,0,0,0,0,0,0.211,-37.537,-0.965,-17.005,-20.288,-47.912,-11.906,-64.735,18.971,-46.412,11.254,-61.256,47.692,-89.768,-2.342,-108.45,-39.676,-80.947,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,434.914,Gonyong,R,3,114,-1.047,0.003,2,-426.27,0,0,0,1,0,5,R,coder_,160,96,436.102,102,118,22,133,88,-41.932,52.432,0.92,-0.19,-0.142,0.151,-0.196,-37.081,-0.791,-17.163,-20.557,-47.358,-12.303,-64.428,18.343,-45.502,11.601,-61.577,44.395,-84.934,-3.056,-109.316,-37.157,-84.315,436.133,-1.928,-19.775,0,0,,0,0,0,0,0,0,0,0,0,3
4,1,1,0,0,0,2,0,0,0,0,255,255,255,3,453.242,Gonyong,R,4,109,1.225,0.778,2,-163.747,0,0,0,1,0,5,R,coder_,160,95,454.376,181,140,19,145,85,37.57,-35.446,-0.61,-0.143,-0.087,0.249,0.039,-36.964,-0.053,-17.141,-21.491,-48.198,-11.852,-64.833,19.494,-45.978,12.693,-63.996,43.865,-83.28,-1.293,-105.359,-35.991,-86.448,459.067,32.676,-80.088,459.422,6,schmoneymikey,31.642,-78.084,0,0,0,0,0,0,0,1
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,482.446,Gonyong,R,0,140,2.594,0.676,4,200.282,-27.947,1.195,-16.785,1,1,6,L,IbikiKai_JP,181.6,25,0,0,0,0,0,0,0,0,0,0,0,0,0.035,-37.691,0.735,-16.887,-20.182,-47.572,-12.2,-64.889,19.722,-46.478,13.622,-60.695,41.97,-85.283,-1.646,-105.808,-37.701,-88.026,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,1,1,0,0,0,255,255,255,5,497.441,Gonyong,R,10,128,-1.094,-1.657,2,0,400,0,0,1,1,6,L,IbikiKai_JP,181.6,25,498.524,181,210,10,150,85,-77.523,-70.82,0.98,-0.03,-0.144,0.422,-0.014,-37.065,-0.056,-17.169,-20.285,-47.596,-12.044,-64.886,19.782,-47.039,13.742,-60.645,39.895,-83.534,-0.133,-105.24,-37.697,-87.996,498.567,-0.085,-19.398,0,0,,0,0,0,0,0,0,0,0,0,3
7,1,1,0,0,0,2,1,0,0,0,255,255,255,6,513.533,Gonyong,R,0,140,2.424,0.8,4,229.052,-134.226,0,0,1,1,6,L,IbikiKai_JP,181.6,95,0,0,0,0,0,0,0,0,0,0,0,0,0.053,-37.535,-0.027,-17.075,-19.9,-45.918,-10.544,-65.438,19.114,-46.556,12.767,-60.235,42.89,-86.028,0.261,-101.888,-40.429,-84.119,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,0,2,0,0,0,255,255,255,7,541.026,Gonyong,R,0,140,-0.332,-0.904,0,213.683,-200,0,0,0,2,9,R,TaeGeuk_,177.3,95,0,0,0,0,0,0,0,0,0,0,0,0,-0.042,-37.863,0.006,-17.054,-20.696,-47.927,-12.332,-64.914,19.127,-46.568,13.41,-60.993,41.545,-88.233,0.04,-105.648,-40.4,-84.12,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,1,2,0,0,0,255,255,255,8,554.331,Gonyong,R,0,140,-1.664,-2.29,1,139.138,-200,-0.301,-18.94,0,2,9,R,TaeGeuk_,177.3,95,0,0,0,0,0,0,0,0,0,0,0,0,0.224,-37.468,-0.252,-16.959,-20.783,-47.968,-12.325,-64.907,19.114,-46.563,12.157,-59.737,41.543,-83.964,0.048,-105.64,-38.601,-85.64,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,1,1,2,0,0,0,255,255,255,9,569.869,Gonyong,R,0,140,0.819,0.306,2,184.802,-200,0,0,1,2,9,R,TaeGeuk_,177.3,95,570.692,119,50,0,63,64,57.427,-42.056,-0.5,-0.026,0.067,0.362,-0.193,-36.754,0.002,-17.122,-20.811,-48.005,-12.342,-64.923,19.124,-46.56,12.298,-61.08,41.428,-83.082,0.045,-105.633,-38.627,-85.668,0,0,0,570.78,1,눈꽃,0.169,-19.458,0,0,0,0,0,0,0,3
