id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,461.829,Apple_Sherbet,R,14,84,2.043,-0.504,1,257.95,368.642,0,0,0,0,7,R,Yaksok~,172.8,55,0,0,0,0,0,0,0,0,0,0,0,0,0.216,-37.396,0.136,-17.548,-19.263,-45.062,-13.993,-63.226,19.717,-49.265,10.323,-65.87,41.087,-87.281,-6.5,-120.823,-39.411,-89.181,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,478.171,Apple_Sherbet,R,0,140,-0.999,-0.417,2,-250,-200,0,0,1,0,7,R,Yaksok~,172.8,55,479.037,167,255,102,145,100,46.502,42.554,-0.04,-0.075,-0.176,0.263,-0.135,-36.846,-0.256,-17.265,-19.135,-46.473,-14.508,-63.046,19.789,-49.244,10.459,-66.094,40.821,-87.627,-6.541,-120.783,-39.47,-89.188,484.381,-54.308,-78.22,484.498,8,소솨소솨,-52.503,-76.29,0,0,0,0,0,0,0,1
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,572.819,Apple_Sherbet,R,10,97,-0.925,-1.089,2,-75.117,400,0,0,1,1,0,L,NABIMan,190,55,573.669,222,255,110,150,67,-55.956,-23.664,1,0.017,0.092,0.347,-0.277,-36.881,-0.073,-17.438,-19.816,-46.668,-14.089,-61.275,21.051,-48.722,12.052,-63.954,49.29,-82.805,-7.341,-118.683,-40.602,-82.511,573.865,0.072,-22.034,576.998,4,Gonyong,9.312,-44.553,0,0,0,0,0,0,0,2
4,1,1,0,0,0,0,2,0,0,0,255,255,255,3,608.134,Apple_Sherbet,R,0,140,-1.581,-1.282,1,0,0,0,0,0,2,2,R,Pugeuk,160,55,0,0,0,0,0,0,0,0,0,0,0,0,-0.022,-37.325,-0.119,-17.793,-20.742,-47.672,-14.548,-60.488,21.923,-51.274,12.661,-61.845,43.731,-89.058,-7.086,-119.484,-39.642,-83.109,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,0,2,0,0,0,255,255,255,4,623.443,Apple_Sherbet,R,13,125,-2.502,-2.201,1,-364.057,342.728,0,0,0,2,2,R,Pugeuk,160,55,0,0,0,0,0,0,0,0,0,0,0,0,0.333,-37.259,-0.276,-17.584,-20.96,-47.031,-12.258,-60.247,21.925,-51.393,11.969,-62.15,43.742,-89.055,-7.137,-119.463,-39.697,-83.186,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,2,0,2,0,0,0,255,255,255,5,640.068,Apple_Sherbet,R,0,140,0.445,-0.497,2,250,-200,0,0,1,2,2,R,Pugeuk,160,55,641.02,168,225,64,145,119,0.481,10.376,0.3,-0.049,-0.137,0.405,-0.135,-36.925,0.266,-17.69,-20.661,-47.045,-13.322,-62.767,24.996,-51.411,10.566,-63.232,43.761,-89.105,-7.123,-119.464,-39.692,-83.205,641.631,-2.312,-34.641,645.065,7,눈꽃,-12.595,-105.589,1,0,0,0,0,0,0,2
7,1,1,0,0,0,0,2,1,0,0,2,255,255,6,690.46,Apple_Sherbet,R,0,140,-0.684,-0.412,0,-180.223,-200,0,0,0,3,6,L,Kr_Luna,164.7,68,0,0,0,0,0,0,0,0,0,0,0,0,0.086,-36.941,0.05,-17.677,-17.808,-43.532,-6.721,-59.344,24.167,-52.201,10.98,-64.601,52.605,-84.865,7.183,-120.462,-38.28,-82.979,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,1,2,1,0,0,2,255,255,7,706.386,Apple_Sherbet,R,10,98,-0.069,-1.838,1,22.417,400,-0.016,-18.816,0,3,6,L,Kr_Luna,164.7,68,0,0,0,0,0,0,0,0,0,0,0,0,0.059,-37.145,0.398,-17.849,-18.157,-42.387,-1.829,-60.063,23.411,-52.887,7.846,-65.563,52.605,-84.847,7.194,-120.423,-38.276,-82.984,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,1,1,2,0,1,0,255,2,255,8,728.198,Apple_Sherbet,R,6,86,-0.192,-0.001,2,326.488,178.167,0,0,1,3,6,L,Kr_Luna,164.7,68,729.22,188,183,65,148,116,27.945,-23.159,0.13,-0.008,-0.036,0.334,0.001,-36.983,-0.101,-17.575,-19.535,-46.24,-4.62,-60.269,20.657,-46.098,10.952,-64.963,52.602,-85.125,7.199,-120.434,-38.238,-83.01,734.464,55.756,-102.858,740.165,6,아침땅_,47.27,-90.401,1,0,0,0,0,0,0,2
10,1,1,1,0,0,0,2,0,1,0,255,6,255,9,766.772,Apple_Sherbet,R,0,125,0.822,0.652,2,175.643,-200,0,0,1,4,3,R,장덕춘_,169.9,48,767.522,116,62,0,93,63,27.806,44.528,-0.44,-0.127,-0.077,0.086,-0.068,-36.868,0.143,-17.443,-20.208,-47.154,-13.803,-62.043,21.505,-50.081,11.102,-65.364,48.629,-92.379,-7.018,-121.831,-38.105,-82.927,0,0,0,770.548,2,하루（Haru）,-23.352,-44.075,0,0,0,0,0,0,0,1
