id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,284.415,Oort__Cloud,R,0,137,4.538,3.942,1,65.199,-130.847,1.925,-7.286,0,0,8,R,mungjungh,160,99,0,0,0,0,0,0,0,0,0,0,0,0,-0.215,-37.044,0.36,-17.199,-22.726,-48.964,-14.018,-60.951,20.747,-47.969,7.762,-64.059,41.222,-85.302,-0.223,-105.201,-35.244,-83.198,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,309.605,Oort__Cloud,R,0,128,-0.377,-0.897,0,41.773,-78.386,0,0,1,0,8,R,mungjungh,160,99,0,0,0,0,0,0,0,0,0,0,0,0,0.045,-37.43,-0.016,-17.416,-22.847,-49.061,-16.711,-62.358,20.737,-47.993,7.833,-62.835,42.004,-85.08,-0.225,-105.226,-35.261,-83.268,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,327.673,Oort__Cloud,R,3,101,0.109,-0.158,0,-401.523,0,0,0,1,0,8,R,mungjungh,160,93,0,0,0,0,0,0,0,0,0,0,0,0,-0.094,-37.906,-0.049,-17.383,-22.834,-49.034,-16.573,-62.344,20.818,-48.054,7.526,-62.672,40.677,-84.601,-0.232,-105.216,-35.296,-83.265,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,2,2,0,0,0,0,255,255,255,3,474.378,Oort__Cloud,R,0,119,0.795,1.899,4,0,0,0,0,1,0,8,R,mungjungh,160,83,0,0,0,0,0,0,0,0,0,0,0,0,-0.232,-37.299,-0.053,-17.361,-22.454,-49.213,-17.121,-61.688,19.529,-47.538,7.84,-64.801,41.067,-83.413,-0.626,-102.484,-42.121,-84.203,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,501.833,Oort__Cloud,R,3,118,13.708,0.056,1,-446.686,0,2.703,-13.088,0,1,6,R,ke ro,160,82,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-37.242,0.092,-17.455,-22.408,-49.28,-16.618,-62.563,20.544,-50.705,8.376,-66.263,40.663,-85.153,-0.234,-102.599,-42.94,-84.985,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,1,0,1,0,0,0,255,255,255,5,519.308,Oort__Cloud,R,3,100,0.029,-1.273,4,-454.546,0,0,0,1,1,6,R,ke ro,160,82,0,0,0,0,0,0,0,0,0,0,0,0,-0.086,-37.387,-0.054,-17.417,-22.527,-49.277,-15.967,-63.441,20.57,-50.723,8.39,-66.225,42.008,-85.968,-0.239,-102.593,-42.985,-84.949,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,1,1,1,0,0,0,255,255,255,6,534.539,Oort__Cloud,R,3,97,-1.058,0.503,0,-431.237,0,0,0,0,1,6,R,ke ro,160,82,0,0,0,0,0,0,0,0,0,0,0,0,0.037,-37.385,-0.044,-17.482,-22.368,-49.247,-16.023,-63.426,20.624,-50.661,9.086,-65.594,40.012,-86.229,-0.233,-102.578,-42.958,-84.96,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,1,2,1,0,0,0,255,255,255,7,549.887,Oort__Cloud,R,0,139,0.18,-1.018,0,17.099,-101.966,0,0,0,1,6,R,ke ro,160,82,0,0,0,0,0,0,0,0,0,0,0,0,-0.174,-37.171,-0.046,-17.43,-22.618,-49.268,-16.067,-63.41,20.596,-50.633,9.174,-66.176,37.584,-90.615,-0.233,-102.587,-43.037,-84.961,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,0,2,0,0,0,255,255,255,8,578.131,Oort__Cloud,R,3,100,1.006,-0.536,2,-423.027,0,0,0,1,2,3,R,mochi_2929,180.2,79,579.175,235,231,107,150,65,9.274,42.774,1,0.018,-0.078,0.038,0.156,-37.297,-0.029,-17.461,-22.625,-49.233,-15.807,-63.2,20.414,-50.584,9.207,-66.159,35.852,-89.049,0.132,-102.822,-42.89,-84.925,580.377,-13.701,-36.436,581.481,2,encounter v,-19.848,-43.65,0,4,0,0,0,0,0,2
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,763.646,甲斐野柊太,R,1,89,0.658,-0.751,0,0,0,0,0,1,0,9,L,SOM_candy,179.9,74,0,0,0,0,0,0,0,0,0,0,0,0,-0.244,-37.355,-0.03,-16.917,-20.285,-44.445,-9.338,-58.298,19.887,-46.153,15.281,-69.002,44.402,-98.178,7.628,-121.084,-38.065,-86.752,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
