id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,326.605,Slaris,R,0,127,-1.005,0.321,0,10.251,-200,0,0,0,0,4,R,Eaglebuter,170.2,78,0,0,0,0,0,0,0,0,0,0,0,0,-0.263,-37.428,-0.069,-17.199,-23.417,-51.028,-13.262,-65.158,19.098,-48.098,14.639,-63.917,39.883,-86.099,-2.243,-114.208,-41.336,-89.645,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,356.904,Slaris,R,0,140,-1.971,-0.958,1,-15.197,-168.841,0,0,0,0,4,R,Eaglebuter,170.2,78,0,0,0,0,0,0,0,0,0,0,0,0,-0.125,-37.024,-0.14,-17.197,-23.471,-51.049,-13.41,-65.049,20.624,-49.883,14.626,-63.94,38.838,-85.459,-3.266,-112.936,-41.789,-90.372,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,370.517,Slaris,R,0,140,-1.74,-0.929,4,-17.804,-165.698,0,0,1,0,4,R,Eaglebuter,170.2,78,0,0,0,0,0,0,0,0,0,0,0,0,0.007,-36.912,-0.13,-17.289,-23.45,-51.024,-13.261,-65.025,19.864,-49.612,14.589,-63.895,38.892,-85.397,-3.195,-112.953,-41.992,-90.349,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,383.682,Slaris,R,0,136,-1.791,1.099,1,20.809,-200,0,0,0,0,4,R,Eaglebuter,170.2,78,0,0,0,0,0,0,0,0,0,0,0,0,-0.278,-37.094,-0.333,-17.277,-23.471,-51.045,-13.256,-65.021,20.455,-49.471,15.007,-63.499,38.837,-85.464,-3.204,-113.003,-40.828,-87.767,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,398.439,Slaris,R,10,128,-1.62,-2.803,1,0,400,-0.278,-22.701,0,0,4,R,Eaglebuter,170.2,78,0,0,0,0,0,0,0,0,0,0,0,0,-0.176,-36.914,-0.12,-17.468,-23.459,-51.012,-13.137,-64.754,19.026,-48.27,15.097,-63.138,37.116,-84.724,-3.613,-112.417,-41.024,-88.687,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,3,2,0,0,0,0,255,255,255,5,409.745,Slaris,R,0,136,1.206,0.587,0,42.264,-152.586,0,0,1,0,4,R,Eaglebuter,170.2,78,0,0,0,0,0,0,0,0,0,0,0,0,0.063,-37.183,0.061,-17.445,-22.679,-48.942,-13.104,-64.7,20.151,-49.279,14.1,-63.458,36.786,-84.252,-3.533,-112.477,-41.078,-88.825,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,0,1,0,0,0,255,255,255,6,432.738,Slaris,R,10,123,0.958,-1.025,0,117.373,400,0,0,0,1,5,R,Oort__Cloud,160,57,0,0,0,0,0,0,0,0,0,0,0,0,-0.19,-37.076,0.011,-17.409,-21.21,-47.995,-13.143,-64.797,19.82,-49.399,15.315,-63.969,36.146,-85.01,-3.541,-112.442,-41.116,-88.562,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,1,1,0,0,0,255,255,255,7,448.156,Slaris,R,14,126,2.554,-0.717,2,390.434,312.348,0,0,1,1,5,R,Oort__Cloud,160,57,449.293,67,47,47,87,65,-8.582,40.255,0.82,-0.067,-0.13,0.161,-0.216,-36.788,0,-17.443,-22.998,-51.609,-13.159,-64.635,20.466,-49.467,15.229,-63.952,35.859,-84.98,-3.548,-112.468,-40.842,-88.777,449.566,-1.798,-21.259,452.166,2,encounter v,-19.784,-44.692,0,0,0,0,0,0,0,2
9,1,1,0,0,0,0,2,0,0,0,255,255,255,8,473.282,Slaris,R,14,127,-0.096,-1.222,1,214.584,400,0.041,-17.681,0,2,2,R,_앰프_,170.7,57,0,0,0,0,0,0,0,0,0,0,0,0,0.033,-37.399,-0.106,-17.496,-22.694,-50.796,-13.259,-64.876,20.744,-49.088,14.151,-64.725,36.689,-86.035,-7.649,-112.355,-38.647,-85.606,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,1,0,2,0,0,0,255,255,255,9,486.836,Slaris,R,0,140,0.117,0.494,0,-7.402,-200,0,0,1,2,2,R,_앰프_,170.7,57,0,0,0,0,0,0,0,0,0,0,0,0,0.229,-37.273,-0.082,-17.264,-22.605,-50.725,-13.236,-64.886,21.198,-48.258,14.155,-64.729,34.671,-84.347,-6.744,-110.727,-38.656,-85.59,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
