id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,196.857,인생최패망자,R,0,88,0.802,-0.839,0,0,0,0,0,0,0,8,L,Sabo_10,184.7,92,0.6,47,197.81,134,40,34,112,73,-26.149,-3.785,0.01,0.092,-0.112,0,-0.238,-36.832,0.141,-16.978,-22.628,-50.381,-12.886,-64.652,18.549,-46.332,18.73,-60.562,37.577,-85.344,3.196,-112.698,-33.587,-90.648,197.851,0.391,-20.248,199.118,0,인생최패망자,1.425,-35.592,0,0,0,0,0,0,0,2
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,238.535,인생최패망자,R,3,123,-1.13,-0.096,2,-398.273,0,0,0,1,1,5,L,sano jpn,160,95.023,0.326,45,239.644,209,108,40,144,79,36.599,26.14,-0.55,-0.016,-0.031,0.35,-0.505,-36.918,-0.085,-16.916,-23.271,-51.494,-12.395,-64.85,16.819,-42.323,17.885,-61.089,38.013,-88.497,4.538,-113.457,-37.167,-87.137,0,0,0,244.334,8,ゆっち一,-21.684,-77.483,0,0,0,0,0,0,0,1
3,1,1,0,0,0,0,2,0,0,0,255,255,255,2,271.555,인생최패망자,R,0,140,-1.663,0.13,1,0,0,0,0,0,2,7,R,ke ro,160,100.868,0.411,43,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-37.696,-0.071,-16.756,-22.41,-50.572,-13.045,-64.831,17.342,-43.465,14.753,-64.536,43.337,-85.257,-5.73,-108.484,-38.81,-83.669,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,0,2,0,0,0,255,255,255,3,286.82,인생최패망자,R,6,107,-0.013,-0.005,2,389.009,0,0,0,1,2,7,R,ke ro,160,100.868,0.411,43,287.938,19,31,113,15,35,34.551,17.739,0.01,-0.048,-0.035,0.103,-0.421,-37.017,-0.051,-16.887,-22.401,-50.341,-13.069,-64.868,16.452,-43.912,14.579,-64.845,42.85,-85.796,-4.677,-113.143,-38.756,-84.1,0,0,0,290.101,0,인생최패망자,-4.088,-33.301,0,0,0,0,0,0,0,1
5,1,0,0,0,0,0,0,0,0,0,255,255,255,0,463.864,encounter v,R,6,120,0.318,-0.046,0,476.793,47.106,0,0,0,0,6,R,Eaglebuter,170.2,95,0.5,40,0,0,0,0,0,0,0,0,0,0,0,0,-0.101,-37.275,-0.005,-16.653,-18.093,-48.06,-14.021,-62.599,22.586,-49.016,8.52,-66.467,41.158,-82.977,1.532,-106.912,-45.664,-88.408,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,1,0,0,0,0,255,255,255,1,478.403,encounter v,R,6,129,0.856,-0.802,0,373.708,0,0.403,-17.1,0,0,6,R,Eaglebuter,170.2,95,0.5,40,0,0,0,0,0,0,0,0,0,0,0,0,-0.069,-37.12,0.317,-17.221,-19.073,-48.002,-13.962,-62.469,22.437,-48.368,8.529,-66.512,38.845,-83.289,1.334,-106.922,-46.366,-88.395,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,2,0,0,0,0,255,255,255,2,491.854,encounter v,R,14,126,-1.056,1.219,1,385.149,318.842,0,0,0,0,6,R,Eaglebuter,170.2,95,0.5,40,0,0,0,0,0,0,0,0,0,0,0,0,-0.332,-36.847,0.01,-16.819,-19.715,-45.523,-14.218,-62.804,22.371,-48.282,8.518,-66.594,39.709,-82.883,1.459,-106.938,-46.616,-90.163,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,1,2,0,0,0,0,255,255,255,3,505.768,encounter v,R,14,126,0.398,-0.416,0,368.827,337.589,0,0,0,0,6,R,Eaglebuter,170.2,95,0.5,40,0,0,0,0,0,0,0,0,0,0,0,0,-0.164,-36.995,-0.225,-17.001,-18.747,-44.83,-12.571,-61.245,22.673,-48.721,8.624,-66.589,39.995,-83.687,1.465,-106.96,-44.794,-93.572,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,1,0,0,0,255,255,255,4,529.958,encounter v,R,14,126,0.533,0.818,0,354.257,352.849,0,0,0,1,3,R,Oort__Cloud,160,90.355,0.296,38,0,0,0,0,0,0,0,0,0,0,0,0,-0.104,-37.428,0.01,-16.77,-16.414,-47.253,-13.412,-61.176,22.947,-49.254,8.975,-66.472,38.116,-82.105,2.102,-106.84,-42.206,-95.469,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,1,1,0,0,0,255,255,255,5,545.369,encounter v,R,14,126,0.324,0.596,2,364.823,341.913,0,0,1,1,3,R,Oort__Cloud,160,90.355,0.296,38,546.321,98,47,0,72,60,23.772,9.784,-0.53,-0.157,-0.106,0.262,-0.171,-36.787,-0.063,-16.821,-17.073,-47.134,-13.414,-61.189,23.214,-49.836,9.788,-65.949,38.085,-82.196,1.04,-103.537,-42.102,-95.253,549.268,-6.663,-56.652,549.701,3,schmoneymikey,-6.141,-53.732,0,0,0,0,0,0,0,1
