id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,317.655,Slaris,R,14,119,-2.569,-0.781,1,390.434,312.348,-0.218,-16.794,0,0,3,R,crani,175.2,100,0.5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.288,-37.788,-0.187,-16.629,-21.324,-47.538,-15.677,-63.335,22.039,-48.724,14.824,-63.576,39.638,-88.524,0,-100.6,-41.197,-86.864,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,333.659,Slaris,R,0,140,-0.428,-0.935,0,15.836,-137.998,0,0,1,0,3,R,crani,175.2,100,0.5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,-36.741,-0.06,-16.907,-21.367,-47.599,-15.816,-63.568,21.708,-48.591,14.88,-63.671,41.669,-90.075,0,-100.6,-41.186,-86.853,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,347.385,Slaris,R,0,140,0.576,0.409,0,1.596,-126.559,0,0,1,0,3,R,crani,175.2,100,0.5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,-36.863,-0.082,-16.824,-21.45,-47.519,-15.846,-63.579,21.943,-48.3,14.927,-63.66,41.665,-90.179,0,-100.6,-41.181,-86.845,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,362.401,Slaris,R,13,115,1.7,-2.728,2,-361.954,344.949,0.336,-21.133,1,0,3,R,crani,175.2,100,0.5,56,363.387,131,85,56,137,86,-30,-9.432,0.94,-0.049,-0.097,0.078,0,0,0,-0.004,-36.358,0.187,-16.86,-21.378,-47.6,-15.929,-63.72,21.89,-48.334,14.953,-63.642,41.652,-90.143,0,-100.6,-41.194,-86.8,364.608,8.022,-45.364,365.691,5,장덕춘_,12.6,-59.061,0,0,0,0,0,0,0,2
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,399.693,Slaris,R,0,140,2.008,-0.363,4,18.17,-141.1,0,0,1,1,2,L,하루（Haru）,190,107,0.5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116,-36.946,0.319,-16.691,-21.412,-47.665,-12.684,-65.343,22.817,-49.238,15.373,-63.684,41.551,-87.14,0,-100.6,-31.063,-94.534,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,1,1,0,0,0,255,255,255,5,415.423,Slaris,R,0,133,3.664,0.802,4,86.658,-40.923,0,0,1,1,2,L,하루（Haru）,190,107,0.5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.237,-36.832,0.286,-16.886,-21.373,-47.7,-12.779,-65.388,22.555,-49.37,15.501,-63.684,41.595,-87.216,0,-100.6,-31.04,-94.531,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,2,1,0,0,0,255,255,255,6,434.642,Slaris,R,0,123,0.229,1.032,4,9.611,0,0,0,1,1,2,L,하루（Haru）,190,107,0.5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.314,-36.89,-0.058,-16.882,-21.405,-47.729,-12.742,-65.318,22.806,-49.383,15.336,-63.718,41.579,-87.177,0,-100.6,-31.023,-94.533,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,0,2,0,0,0,255,255,255,7,462.432,Slaris,R,0,121,-0.56,0.833,2,-16.586,0,0,0,1,2,6,L,schmoneymikey,190,100,0.6,57,463.299,126,103,18,135,84,89.703,89.622,-0.51,0.036,-0.062,0.221,0,0,0,-0.353,-36.911,-0.257,-16.964,-21.643,-48.61,-12.794,-65.394,23.078,-49.314,15.292,-63.611,41.579,-87.191,0,-100.6,-30.597,-94.917,468.858,-54.152,-22.425,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,1,2,0,0,0,255,255,255,8,486.951,Slaris,R,0,140,-1.228,1.237,4,-55.904,-200,0,0,1,2,6,L,schmoneymikey,190,100,0.6,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.284,-36.714,-0.33,-16.627,-22.388,-48.627,-13.255,-65.096,22.897,-49.241,14.958,-63.838,40.196,-84.172,0,-100.6,-33.389,-90.783,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,2,2,0,0,0,255,255,255,9,504.859,Slaris,R,14,114,1.867,-1.455,4,348.457,358.578,0.503,-17.806,1,2,6,L,schmoneymikey,190,100,0.6,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023,-37.054,0.369,-16.669,-22.364,-48.674,-13.248,-65.131,22.889,-49.3,14.859,-63.819,40.169,-84.149,0,-100.6,-30.042,-92.653,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,0,0,0,0,0,255,255,255,0,628.575,눈꽃,R,10,109,-0.069,0.215,0,0,400,0,0,0,0,6,R,별이__,174.5,95,0.5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,-37.384,-0.063,-17.035,-21.022,-47.052,-14.362,-61.665,19.259,-49.637,13.873,-64.253,46.014,-86.117,0.846,-103.72,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
12,1,0,0,0,0,1,0,0,0,0,255,255,255,1,640.237,눈꽃,R,10,106,0.261,-0.87,0,0,400,0,0,0,0,6,R,별이__,174.5,95,0.5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,-37.277,-0.032,-16.984,-20.947,-46.764,-14.395,-61.698,18.781,-50.264,13.884,-64.269,46.043,-86.127,0.705,-103.754,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
13,1,0,0,0,0,2,0,0,0,0,255,255,255,2,655.761,눈꽃,R,0,140,1.136,-0.461,0,0.424,-91.641,0,0,1,0,6,R,별이__,174.5,95,0.5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104,-36.96,-0.008,-17.129,-20.158,-44.822,-14.33,-61.646,20.477,-50.506,13.854,-64.265,46.033,-86.115,0.896,-103.703,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
14,1,0,0,0,0,0,1,0,0,0,255,255,255,3,679.522,눈꽃,R,10,109,-1.119,0.037,0,0,400,0.14,-17.154,0,1,2,L,신과함께1,179.2,93,0.2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,-37.399,-0.053,-17.107,-19.592,-44.253,-11.419,-62.949,21.818,-50.393,14.034,-64.486,46.879,-85.904,1.403,-110.951,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
