id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,235.882,Pugeuk,R,0,140,2.511,-0.896,4,138.964,-34.832,0.857,-17.977,1,0,5,L,NABIMan,179.9,99,0.55,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016,-37.609,0.749,-17.613,-21.257,-47.925,-12.612,-63.343,19.289,-44.294,15.046,-61.286,35.7,-81.8,6.257,-112.921,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,253.302,Pugeuk,R,6,80,-0.507,0.428,2,308.279,0,0,0,1,0,5,L,NABIMan,179.9,99,0.55,43,254.53,89,85,0,127,119,15.697,-45.639,0.32,-0.103,-0.04,0.02,0,0,0,-0.366,-37.123,-0.091,-17.111,-20.973,-47.628,-11.863,-63.227,19.984,-45.465,15.115,-61.332,9.053,-15.77,6.366,-112.96,-35.7,-81.8,257.391,60.537,-62.892,0,0,,0,0,0,0,0,0,0,0,0,3
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,274.142,Pugeuk,R,0,133,1.182,1.361,4,76.518,-69.103,0,0,1,0,5,L,NABIMan,179.9,99,0.55,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,-37.95,-0.016,-17.104,-20.901,-46.692,-10.169,-62.497,20.082,-44.476,14.953,-60.495,36.958,-86.465,8.534,-111.951,-35.699,-81.81,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,299.481,Pugeuk,R,2,110,-4.604,0.256,1,-373.606,-332.293,0,0,0,1,1,R,甲斐野柊太,190,86,0.2,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.073,-38.008,-0.222,-16.761,-20.857,-46.408,-11.54,-60.601,15.989,-47.897,12.924,-61.712,37.072,-86.444,8.543,-111.944,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,0,1,0,0,0,255,255,255,4,316.433,Pugeuk,R,0,98,1.291,0.548,2,-33.617,0,0,0,1,1,1,R,甲斐野柊太,190,86,0.2,91,317.652,80,118,118,129,114,-29.834,47.196,0.76,0.053,-0.126,0.099,0,0,0,-0.175,-37.29,-0.096,-16.864,-20.891,-46.439,-11.279,-62.058,15.36,-49.505,9.372,-62.738,37.668,-86.049,5.74,-108.771,-35.7,-81.8,325.458,-67.292,-80.043,330.647,3,schmoneymikey,-6.806,-52.467,1,0,0,0,0,0,0,0
6,1,1,0,0,0,0,1,0,1,0,255,1,255,5,357.27,Pugeuk,R,0,128,1.024,0.567,0,87.383,-122.914,0,0,1,2,3,R,_앰프_,170.6,90,0.396,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.253,-38.013,-0.018,-16.834,-20.319,-44.576,-7.516,-60.692,17.527,-43.188,12.17,-61.163,38.692,-86.258,0.268,-97.134,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,1,1,0,1,0,255,1,255,6,392.034,Pugeuk,R,14,112,2.264,-1.029,4,375.008,330.709,0.124,-20.978,1,2,3,R,_앰프_,170.6,90,0.396,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-37.662,0.082,-18.977,-20.677,-44.333,-8.511,-59.495,17.292,-44.019,13.192,-59.295,38.684,-86.868,0.304,-97.167,-35.707,-81.806,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,2,1,0,1,0,255,1,255,7,409.067,Pugeuk,R,0,131,2.833,1.683,4,234.136,-32.487,-0.087,-20.814,1,2,3,R,_앰프_,170.6,90,0.396,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.345,-37.836,-0.168,-18.825,-21.2,-45.075,-9.319,-60.799,17.143,-44.072,13.444,-60.439,38.693,-86.801,0.295,-97.142,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,0,2,0,1,0,255,1,255,8,436.208,Pugeuk,R,0,131,-1.366,0.08,2,47.18,-158.563,0,0,0,3,8,L,눈꽃,175.447,100.309,0.5,91,437.088,225,97,25,146,86,95.159,-84.254,-0.55,0.04,-0.025,0.098,0,0,0,-0.546,-37.029,-0.246,-16.774,-20.526,-44.344,-9.117,-62.634,20.036,-44.378,9.785,-60.353,38.752,-86.869,-0.668,-106.971,-35.7,-81.8,442.302,-58.239,-9.657,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,1,2,0,1,0,255,1,255,9,492.374,Pugeuk,R,0,0,0,0,0,0,0,0,0,0,3,8,L,눈꽃,175.447,100.309,0.5,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
