id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,463.833,coder_,R,0,88,-0.119,0.074,0,8.458,-21.692,0,0,1,0,1,R,썬써니_,190,95,0.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.209,-37.572,-0.036,-16.814,-22.388,-49.916,-14.035,-62.374,24.351,-51.746,11.988,-65.216,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,475.002,coder_,R,0,121,-0.386,-0.335,0,-25.365,-71.858,0,0,0,0,1,R,썬써니_,190,95,0.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.097,-37.514,-0.03,-16.791,-22.382,-49.92,-14.075,-62.426,24.119,-51.567,12.391,-65.047,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,486.735,coder_,R,0,91,-0.467,-0.131,2,-4.241,-26.65,0,0,1,0,1,R,썬써니_,190,95,0.5,60,488.042,85,89,41,127,126,-29.001,37.912,0.46,-0.11,-0.102,0.151,0,0,0,-0.083,-36.787,-0.037,-16.953,-22.379,-49.919,-14.553,-62.674,24.132,-51.625,12.88,-64.641,35.7,-81.8,0,-100.6,-35.7,-81.8,494.239,-57.247,-93.899,498.871,5,muyang_,-1.693,-60.92,1,0,0,0,0,0,0,0
4,1,1,0,0,0,0,0,1,0,0,1,255,255,3,522.246,coder_,R,10,81,-0.95,0.335,2,0,400,0,0,1,1,5,R,TaeGeuk_,176.9,86,0.375,45,523.365,146,95,47,145,128,5.819,-16.855,0.59,-0.083,0.017,0.174,0,0,0,-0.188,-36.708,-0.017,-16.893,-17.797,-42.554,-14.854,-59.834,24.518,-50.381,12.153,-62.946,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,525.135,5,muyang_,11.367,-60.272,0,0,0,0,0,0,0,1
5,1,1,0,0,0,0,1,1,0,0,1,255,255,4,549.284,coder_,R,10,81,-2.517,-1.992,4,-138.436,400,-0.512,-19.459,1,2,4,R,Roscosmos,174.8,88,0.37,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.238,-37.713,-0.151,-16.817,-16.612,-43.752,-13.948,-59.245,22.872,-49.448,10.268,-62.716,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,1,1,1,0,0,1,255,255,5,562.472,coder_,R,0,136,0.317,0.397,0,6.962,-200,0,0,0,2,4,R,Roscosmos,174.8,88,0.37,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,-37.426,-0.047,-16.83,-20.478,-47.267,-15.381,-60.544,22.585,-49.538,5.25,-62.613,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,2,1,1,0,0,1,255,255,6,574.573,coder_,R,0,85,-1.217,0.5,0,-7.692,-19.972,0,0,1,2,4,R,Roscosmos,174.8,88,0.37,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.274,-37.684,-0.155,-16.887,-20.61,-46.72,-14.252,-60.985,23.401,-49.918,5.605,-62.32,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,0,2,1,0,0,1,255,255,7,605.751,coder_,R,0,129,-0.623,2.066,1,16.955,-142.493,0,0,0,3,3,R,jdw4469,173.2,92.883,0.353,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.181,-37.474,-0.039,-16.749,-19.238,-44.453,-13.377,-58.987,22.836,-49.4,9.503,-65.199,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,1,0,2,1,0,0,1,255,255,8,619.485,coder_,R,10,83,-1.049,1.068,0,0,353.495,0,0,0,3,3,R,jdw4469,173.2,92.883,0.353,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.279,-37.52,-0.068,-16.806,-20.587,-45.016,-13.271,-58.571,22.611,-49.318,7.916,-63.79,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,1,1,2,1,0,0,1,255,255,9,630.651,coder_,R,0,127,-0.117,2.544,4,28.062,-109.199,0,0,1,3,3,R,jdw4469,173.2,92.883,0.353,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.083,-37.327,-0.022,-16.693,-20.076,-45.116,-13.049,-58.9,22.742,-49.318,6.977,-63.012,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
11,1,1,0,0,1,2,2,1,0,0,1,255,255,10,642.407,coder_,R,10,90,-0.485,-0.812,0,0,267.574,0,0,0,3,3,R,jdw4469,173.2,92.883,0.353,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.169,-37.314,-0.107,-16.92,-20.603,-46.743,-13.66,-58.624,22.35,-48.965,9.061,-65.909,35.7,-81.8,0,-100.6,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
12,1,1,0,0,1,2,2,0,1,0,255,1,255,11,676.362,coder_,R,0,101,-4.751,0.348,4,-130.597,-101.147,0,0,1,3,3,R,jdw4469,173.2,92.883,0.353,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.184,-37.248,-0.165,-16.791,-21.005,-46.634,-15.634,-60.485,22.467,-48.421,11.457,-64.015,35.705,-81.804,0,-100.6,-35.705,-81.804,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0,0,0,0,255,255,255,0,789.536,Yaksok~,R,0,139,3.643,-0.352,4,174.038,-2.328,0.066,-20.415,1,0,1,R,Dοpi,179.7,90,0.297,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.273,-36.814,-0.068,-17.052,-21.688,-48.738,-15.373,-63.331,19.782,-46.95,16.445,-59.19,35.7,-81.8,0,-100.6,-37.861,-85.55,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
14,1,0,0,0,0,1,0,0,0,0,255,255,255,1,806.212,Yaksok~,R,0,94,-1.026,1.53,1,-70.779,-200,0,0,0,0,1,R,Dοpi,179.7,90,0.297,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.586,-37.646,-0.062,-17.114,-21.68,-48.728,-15.38,-63.372,19.755,-46.065,16.987,-59.976,35.7,-81.8,0,-100.6,-37.088,-83.543,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
