id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,balk,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,352.852,encounter v,R,3,109,0.827,2.026,1,0,-314.192,33.101,-0.963,-7.326,0,0,3,L,IllilliIIIIllil,174.5,95.213,0.497,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107,-37.686,Roscosmos,-0.003,-16.88,하루（Haru）,-20.903,-48.038,ʚEveɞ,-13.074,-64.87,Yaksok~,18.289,-49.576,Gonyong,13.671,-63.903,AI,35.7,-81.8,AI,0,-100.6,SOM_candy,-39.946,-84.673,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,369.035,encounter v,R,0,140,-1.867,-0.138,2,0,25.419,-73.655,0,0,1,0,3,L,IllilliIIIIllil,174.5,95.213,0.497,3,59,370.025,192,192,58,155,91,-8.522,-27.474,-0.48,0.055,-0.082,0.311,0,0,0,-0.343,-36.92,Roscosmos,-0.125,-17.026,하루（Haru）,-21.34,-48.278,ʚEveɞ,-13.177,-64.641,Yaksok~,18.276,-49.568,Gonyong,13.719,-63.93,AI,35.7,-81.8,AI,0,-100.6,SOM_candy,-40.122,-84.55,370.402,2.165,-25.1,372.052,4,Yaksok~,13.263,-51.107,0,0,0,0,0,0,0,2
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,394.688,encounter v,R,0,140,-1.972,-0.808,4,0,54.135,-162.71,0,0,1,1,2,R,-라후이-,179.9,99.987,0.502,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,-37.1,Roscosmos,-0.415,-16.941,하루（Haru）,-21.811,-49.185,ʚEveɞ,-14.425,-64.429,Yaksok~,18.3,-50.508,Gonyong,13.287,-64.05,AI,35.7,-81.8,AI,0,-100.6,SOM_candy,-40.147,-85.424,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,1,1,0,0,0,255,255,255,3,413.492,encounter v,R,0,140,1.04,0.378,2,0,31.613,-82.24,0,0,1,1,2,R,-라후이-,179.9,99.987,0.502,3,59,414.266,157,107,24,145,88,94.922,-73.428,-0.44,0.016,-0.062,0.102,0,0,0,-0.146,-36.718,Roscosmos,0.345,-16.936,하루（Haru）,-21.954,-49.177,ʚEveɞ,-14.413,-64.169,Yaksok~,18.794,-51.088,Gonyong,13.397,-64.198,AI,35.7,-81.8,AI,0,-100.6,SOM_candy,-42.737,-96.982,420.736,-25.344,-9.763,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,2,1,0,0,0,255,255,255,4,438.374,encounter v,R,0,133,0.614,1.819,4,0,79.096,-104.724,0,0,1,1,2,R,-라후이-,179.9,99.987,0.502,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.409,-37.012,Roscosmos,-0.078,-16.959,하루（Haru）,-21.321,-47.755,ʚEveɞ,-14.096,-63.167,Yaksok~,20.052,-51.965,Gonyong,13.755,-63.72,AI,35.7,-81.8,AI,0,-100.6,SOM_candy,-42.871,-94.742,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,0,2,0,0,0,255,255,255,5,466.14,encounter v,R,0,124,1.73,1.535,1,0,75.222,-78.553,0,0,0,2,4,R,별이__,174.5,95,0.5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.269,-37.054,Roscosmos,-0.047,-17.148,하루（Haru）,-20.665,-47.667,ʚEveɞ,-14.07,-63.174,Yaksok~,20.073,-51.945,Gonyong,13.733,-63.629,AI,35.7,-81.8,AI,0,-100.6,SOM_candy,-43.124,-95.181,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,1,0,2,0,0,0,255,255,255,6,479.109,encounter v,R,0,140,0.008,-0.677,0,0,11.195,-132.651,0,0,0,2,4,R,별이__,174.5,95,0.5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14,-36.996,Roscosmos,-0.134,-17.152,하루（Haru）,-20.278,-45.663,ʚEveɞ,-13.847,-63.199,Yaksok~,20.063,-51.957,Gonyong,13.699,-63.547,AI,35.7,-81.8,AI,0,-100.6,SOM_candy,-41.987,-94.297,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,1,1,2,0,0,0,255,255,255,7,493.73,encounter v,R,10,128,-0.258,0.267,0,0,0,400,-0.12,-13.968,1,2,4,R,별이__,174.5,95,0.5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,-37.503,Roscosmos,-0.03,-17.35,하루（Haru）,-20.389,-48.024,ʚEveɞ,-14.343,-62.85,Yaksok~,20.067,-51.949,Gonyong,13.734,-63.644,AI,35.7,-81.8,AI,0,-100.6,SOM_candy,-42.436,-94.739,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,1,2,2,0,0,0,255,255,255,8,508.831,encounter v,R,0,140,-4.385,-2.028,1,0,7.983,-167.442,-0.952,-16.954,0,2,4,R,별이__,174.5,95,0.5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.288,-37.57,Roscosmos,-0.729,-17.44,하루（Haru）,-19.755,-45.705,ʚEveɞ,-14.005,-65.342,Yaksok~,20.073,-51.953,Gonyong,13.779,-63.685,AI,35.7,-81.8,AI,0,-100.6,SOM_candy,-42.442,-94.73,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,2,2,2,0,0,0,255,255,255,9,525.459,encounter v,R,0,140,0.927,0.502,0,0,0.823,-76.411,0.119,-7.703,0,2,4,R,별이__,174.5,95,0.5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.128,-37.495,Roscosmos,0.079,-17.169,하루（Haru）,-20.309,-45.613,ʚEveɞ,-14.599,-65.077,Yaksok~,20.073,-51.953,Gonyong,13.775,-63.694,AI,35.7,-81.8,AI,0,-100.6,SOM_candy,-38.723,-85.698,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
