id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,208.696,Yaksok~,R,0,133,5.503,0.816,3,0,0,0,0,0.458,-19.974,0,0,5,R,coder_,165.3,107,0.349,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015,-37.254,ゆっち一,0.356,-16.77,Penguin_iDOL,-19.975,-45.539,IllilliIIIIllil,-12.222,-64.41,인생최패망자,17.861,-47.183,Soleil Luna,16.169,-61.656,소솨소솨,43.786,-78.863,눈꽃,0.008,-111.058,Apple_Sherbet,-43.753,-87.032,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,6
2,1,1,0,0,0,0,0,1,0,0,5,255,255,1,254.12,Yaksok~,R,0,112,0.039,1.367,1,0,0,0,0,0,0,0,1,3,R,_이누_,175,90,0.5,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,-37.506,ゆっち一,-0.072,-16.298,Penguin_iDOL,-20.395,-43.498,IllilliIIIIllil,-5.694,-62.657,인생최패망자,15.969,-49.236,Soleil Luna,12.985,-64.057,소솨소솨,30.955,-96.749,눈꽃,-3.422,-111.639,Apple_Sherbet,-44.71,-84.747,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,0,0,1,0,0,5,255,255,2,269.353,Yaksok~,R,0,114,-1.305,0.666,0,0,0,0,0,0,0,0,1,3,R,_이누_,175,90,0.5,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.195,-37.294,ゆっち一,-0.334,-18.901,Penguin_iDOL,-19.447,-43.676,IllilliIIIIllil,-10.705,-64.375,인생최패망자,17.207,-48.588,Soleil Luna,8.995,-64.12,소솨소솨,37.416,-102.754,눈꽃,-4.679,-111.591,Apple_Sherbet,-44.473,-84.83,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,1,0,0,1,0,255,5,255,3,288.633,Yaksok~,R,0,121,8.953,1.6,1,0,0,0,0,2.611,-9.248,0,1,3,R,_이누_,175,90,0.5,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331,-37.763,ゆっち一,2.302,-16.577,Penguin_iDOL,-20.549,-44.744,IllilliIIIIllil,-12.978,-63.879,인생최패망자,18.242,-44.268,Soleil Luna,1.956,-58.969,소솨소솨,32.412,-99.336,눈꽃,-8.094,-113.641,Apple_Sherbet,-45.642,-84.566,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,2,1,0,0,0,1,255,255,5,4,309.917,Yaksok~,R,38,93,0.181,1.264,2,0,0,0,0,0,0,1,1,3,R,_이누_,175,90,0.5,3,56,310.912,166,106,47,139,32,58,60.692,0.42,-0.059,-0.15,0.447,0,0,0,0.071,-37.148,ゆっち一,-0.158,-16.393,Penguin_iDOL,-19.904,-43.912,IllilliIIIIllil,-13.219,-64.458,인생최패망자,15.518,-45.017,Soleil Luna,14.409,-62.819,소솨소솨,38.577,-95.415,눈꽃,-8.083,-113.635,Apple_Sherbet,-44.506,-82.907,313.746,-13.748,-28.33,0,0,,0,0,0,0,0,0,0,0,0,3
6,1,1,0,0,2,2,0,0,0,1,255,255,5,5,332.97,Yaksok~,R,10,88,-1.137,-1.417,4,0,0,400,-0.801,0,0,1,1,3,R,_이누_,175,90,0.5,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114,-37.498,ゆっち一,-0.228,-16.808,Penguin_iDOL,-20.324,-44.309,IllilliIIIIllil,-12.761,-64.362,인생최패망자,17.689,-42.101,Soleil Luna,14.469,-60.184,소솨소솨,35.334,-95.727,눈꽃,-7.046,-112.205,Apple_Sherbet,-44.186,-83.205,0,0,0,0,0,,0,0,0,4,0,0,0,0,0,0
7,1,1,0,0,0,0,1,0,0,1,255,255,5,6,367.706,Yaksok~,R,0,140,6.079,0.104,1,0,0,0,0,1.708,-9.359,0,2,1,L,Sabo_10,184.7,94,0.6,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.565,-33.55,ゆっち一,1.369,-16.878,Penguin_iDOL,-20.923,-45.13,IllilliIIIIllil,-12.515,-63.27,인생최패망자,19.153,-40.651,Soleil Luna,13.243,-61.979,소솨소솨,40.695,-95.763,눈꽃,7.802,-120.297,Apple_Sherbet,-44.357,-81.829,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,1,0,1,0,1,0,0,0,255,255,255,7,397.469,Yaksok~,R,12,94,-0.369,1.871,1,0,0,89.016,-9.644,0,0,0,2,1,L,Sabo_10,184.7,94,0.6,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.32,-37.727,ゆっち一,0.037,-16.077,Penguin_iDOL,-20.901,-46.366,IllilliIIIIllil,-12.475,-63.78,인생최패망자,21.709,-46.632,Soleil Luna,13.433,-61.836,소솨소솨,41.618,-93.587,눈꽃,9.08,-115.726,Apple_Sherbet,-45.703,-85.854,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,1,1,0,2,0,1,0,0,0,255,255,255,8,410.011,Yaksok~,R,14,91,1.411,-0.16,0,0,305.133,337.572,-8.771,0.343,-17.073,0,2,1,L,Sabo_10,184.7,94,0.6,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.59,-37.451,ゆっち一,0.136,-16.719,Penguin_iDOL,-20.919,-44.914,IllilliIIIIllil,-12.503,-63.768,인생최패망자,20.958,-45.328,Soleil Luna,12.481,-61.706,소솨소솨,40.165,-94.835,눈꽃,4.713,-115.203,Apple_Sherbet,-43.96,-86.752,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,1,0,2,1,1,0,0,0,255,255,255,9,423.509,Yaksok~,R,0,105,0.902,0.125,0,0,0,0,0,0,0,1,2,1,L,Sabo_10,184.7,94,0.6,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.176,-37.545,ゆっち一,0,-15.865,Penguin_iDOL,-21.195,-45.167,IllilliIIIIllil,-11.788,-64.842,인생최패망자,20.226,-43.913,Soleil Luna,13.659,-62.865,소솨소솨,36.644,-94.556,눈꽃,4.747,-115.167,Apple_Sherbet,-44.58,-87.415,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
