id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,307.774,CAT tourniquet,L,33,139,-2.538,0.509,-0.178,1.464,-36.442,2,0,-133.781,-38.321,8.941,0,0,0,0,5,R,coder_,160,107,0.405,3,102,308.816,16,18,9,24,34,34,-83.034,76,0.49,-0.024,-0.121,0,0,0,0,-0.111,-37.088,Kr_Luna,-0.017,-17.029,Sabo_10,-20.338,-47.907,ke ro,-14.945,-63.892,Pugeuk,17.179,-48.779,HANA_ARASHI,14.414,-63.029,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,308.942,-0.919,-19.562,0,0,,0,0,0,0,0,0,0,0,0,3
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,334.067,CAT tourniquet,L,32,138,-0.999,2.322,-0.017,1.684,-36.539,2,0,-174.072,-113.517,-5.086,0,0,1,0,5,R,coder_,160,107,0.405,3,68,335.119,23,40,12,47,50,50,-15.743,26.786,0.24,-0.031,-0.065,0.023,0,0,0,0.087,-37.51,Kr_Luna,0.056,-17.038,Sabo_10,-20.641,-49.238,ke ro,-14.915,-61.392,Pugeuk,12.581,-39.094,HANA_ARASHI,10.392,-56.257,AI,31.547,-75.44,AI,-0.806,-93.271,AI,-33.406,-75.621,335.532,-2.237,-23.857,337.907,2,Sabo_10,-12.982,-43.247,0,0,0,0,0,0,0,2
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,374.73,CAT tourniquet,L,33,137,-4.016,-1.538,-0.32,1.165,-36.56,1,0,-124.231,17.292,8.701,-0.958,-15.532,0,1,6,R,소솨소솨,174.8,95.643,0.5,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.597,-37.676,Kr_Luna,0.061,-17.161,Sabo_10,-20.471,-46.983,ke ro,-11.533,-63.145,Pugeuk,11.899,-38.11,HANA_ARASHI,13.552,-62.069,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,0,1,0,0,0,255,255,255,3,393.199,CAT tourniquet,L,32,140,1.12,1.01,0.187,1.542,-36.565,0,0,-185.642,-86.197,4.952,0,0,0,1,6,R,소솨소솨,174.8,95.643,0.5,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.077,-37.411,Kr_Luna,-0.047,-17.038,Sabo_10,-19.258,-46.129,ke ro,-11.528,-63.138,Pugeuk,12.572,-37.588,HANA_ARASHI,14.139,-61.964,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,1,1,0,0,0,255,255,255,4,406.009,CAT tourniquet,L,33,140,-1.565,1.781,-0.093,1.674,-36.528,1,0,-118.34,-71.468,6.632,0,0,0,1,6,R,소솨소솨,174.8,95.643,0.5,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029,-37.485,Kr_Luna,-0.026,-17.1,Sabo_10,-19.542,-46.437,ke ro,-12.103,-61.038,Pugeuk,14.065,-41.681,HANA_ARASHI,12.012,-61.645,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,2,1,1,0,0,0,255,255,255,5,420.404,CAT tourniquet,L,33,135,1.128,-0.523,0.149,1.325,-36.554,0,0,-103.734,2.146,4.669,0,0,0,1,6,R,소솨소솨,174.8,95.643,0.5,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.155,-37.853,Kr_Luna,-0.085,-17.106,Sabo_10,-20.093,-46.692,ke ro,-12.373,-60.607,Pugeuk,14.325,-39.206,HANA_ARASHI,12.036,-60.784,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,2,2,1,0,0,0,255,255,255,6,435.421,CAT tourniquet,L,38,73,-0.598,-0.089,-0.083,1.4,-36.375,0,0,-0.003,1.783,-0.267,0,0,0,1,6,R,소솨소솨,174.8,95.643,0.5,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.093,-37.317,Kr_Luna,-0.027,-17.078,Sabo_10,-19.537,-44.109,ke ro,-12.336,-60.497,Pugeuk,15.677,-37.833,HANA_ARASHI,15.417,-59.969,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,0,2,0,0,0,255,255,255,7,457.462,CAT tourniquet,L,34,140,0.69,0.286,0.103,1.437,-36.402,0,0,-90.533,-58.776,0.295,0,0,0,2,2,L,Pring__,180.1,95.637,0.411,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013,-37.459,Kr_Luna,-0.057,-17.118,Sabo_10,-21.275,-48.554,ke ro,-11.487,-64.471,Pugeuk,19.555,-46.478,HANA_ARASHI,14.555,-60.771,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,1,2,0,0,0,255,255,255,8,495.825,CAT tourniquet,L,33,140,-2.575,0.943,-0.179,1.554,-36.535,4,0,-136.876,-52.838,0.616,0,0,1,2,2,L,Pring__,180.1,95.637,0.411,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.198,-37.616,Kr_Luna,-0.031,-17.109,Sabo_10,-20.372,-46.59,ke ro,-10.959,-63.752,Pugeuk,19.43,-48.43,HANA_ARASHI,14.463,-62.245,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,2,2,0,0,0,255,255,255,9,510.357,CAT tourniquet,L,5,136,3.172,-0.643,0.235,1.298,-36.527,4,0,140.203,0,3.189,1.008,-11.461,1,2,2,L,Pring__,180.1,95.637,0.411,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19,-37.566,Kr_Luna,0.504,-16.34,Sabo_10,-19.736,-44.43,ke ro,-9.389,-62.39,Pugeuk,18.996,-49.457,HANA_ARASHI,15.035,-60.345,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0
