id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,303.639,Yaksok~,R,33,134,2.878,0.698,0.18,1.831,-36.631,4,0,147.638,-66.218,-0.379,0.79,-20.585,1,0,1,R,mungjungh,190,90,0.551,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.201,-37.258,TaeGeuk_,0.485,-17.393,아침땅_,-20.969,-45.776,vovopo 보보포,-18.498,-61.097,즉석카레,21.395,-51.538,Pugeuk,13.265,-61.696,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,321.227,Yaksok~,R,33,129,0.149,1.019,0.071,1.878,-36.671,2,0,100.432,-53.034,-0.035,0,0,1,0,1,R,mungjungh,190,90,0.551,3,57,322.255,104,50,37,76,109,97,-28.011,-26.257,0.69,-0.113,-0.111,0.215,0,0,0,-0.174,-36.919,TaeGeuk_,-0.02,-17.48,아침땅_,-20.897,-45.798,vovopo 보보포,-18.816,-61.204,즉석카레,21.843,-51.12,Pugeuk,11.267,-63.523,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,322.438,1.214,-22.561,324.305,4,즉석카레,16.222,-53.29,0,0,0,0,0,0,0,2
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,355.121,Yaksok~,R,32,128,0.451,1.048,0.073,1.846,-36.608,0,0,167.173,-71.85,1.652,0.49,-17.891,0,1,2,R,버블붐_Bubbleboom,174.7,86,0.5,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.211,-37.628,TaeGeuk_,0.005,-17.418,아침땅_,-20.887,-45.397,vovopo 보보포,-16.677,-63.015,즉석카레,21.509,-50.235,Pugeuk,13.366,-63.507,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,1,1,0,0,0,255,255,255,3,370.187,Yaksok~,R,13,106,-3.68,-1.893,0.16,1.772,-36.524,1,0,-340.429,353.831,-11.17,-0.823,-18.975,0,1,2,R,버블붐_Bubbleboom,174.7,86,0.5,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.491,-37.625,TaeGeuk_,-0.06,-17.701,아침땅_,-20.919,-45.371,vovopo 보보포,-17.007,-62.927,즉석카레,21.505,-50.191,Pugeuk,15.845,-63.527,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,1,1,0,0,0,255,255,255,4,383.572,Yaksok~,R,10,113,-0.255,0.184,0.095,2.019,-36.582,0,0,0,400,-0.802,0,0,0,1,2,R,버블붐_Bubbleboom,174.7,86,0.5,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.454,-37.335,TaeGeuk_,-0.019,-17.515,아침땅_,-20.913,-45.377,vovopo 보보포,-17.017,-62.886,즉석카레,21.076,-50.525,Pugeuk,13.105,-64.103,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,1,2,1,0,0,0,255,255,255,5,397.886,Yaksok~,R,10,114,0.456,-1.708,0.081,1.903,-36.603,2,0,0,333.067,-0.954,0,0,1,1,2,R,버블붐_Bubbleboom,174.7,86,0.5,2,57,398.83,40,46,47,46,80,64,-4.969,40.04,0.92,-0.074,-0.099,0.055,0,0,0,-0.118,-37.197,TaeGeuk_,0.018,-17.513,아침땅_,-20.906,-45.382,vovopo 보보포,-16.984,-62.517,즉석카레,21.037,-50.443,Pugeuk,12.795,-63.995,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,399.105,-2.155,-23.136,401.122,2,아침땅_,-16.31,-42.398,0,0,0,0,0,0,0,2
7,1,1,0,0,0,0,2,0,0,0,255,255,255,6,421.254,Yaksok~,R,27,118,-0.308,0.882,0.032,1.9,-36.588,0,0,-42.52,-109.969,3.43,-0.084,-18.23,0,2,5,R,CVPileMaki,169.6,94.462,0.399,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.542,-37.536,TaeGeuk_,-0.054,-17.753,아침땅_,-20.392,-44.839,vovopo 보보포,-16.775,-62.629,즉석카레,20.747,-50.184,Pugeuk,6.402,-65.337,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,1,2,0,0,0,255,255,255,7,435.904,Yaksok~,R,13,107,-1.568,-1.068,0.079,1.701,-36.54,2,0,-297.273,395.732,-9.312,0,0,1,2,5,R,CVPileMaki,169.6,94.462,0.399,3,57,437.069,98,68,68,87,129,99,-16.016,-27.234,0.77,-0.031,-0.057,0.062,0,0,0,-0.074,-37.38,TaeGeuk_,0.143,-17.569,아침땅_,-20.363,-44.808,vovopo 보보포,-16.827,-62.54,즉석카레,20.692,-50.114,Pugeuk,8.538,-65.865,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,444.671,38.977,-110.596,449.388,3,vovopo 보보포,0.233,-60.812,1,0,0,0,0,0,0,2
9,1,1,0,0,0,0,2,0,1,0,255,6,255,8,473.165,Yaksok~,R,34,137,-1.119,0.281,-0.043,1.735,-36.414,0,0,89.465,-29.702,-1.832,-0.366,-17.686,0,3,4,R,Slaris,175.2,90,0.446,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.176,TaeGeuk_,-0.113,-17.512,아침땅_,-20.805,-45.109,vovopo 보보포,-15.224,-63.326,즉석카레,20.477,-50.066,Pugeuk,4.201,-62.851,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,1,2,0,1,0,255,6,255,9,486.427,Yaksok~,R,10,112,-2.7,-2.459,0.044,1.802,-36.584,1,0,-5.347,400,-13.015,-0.514,-19.975,0,3,4,R,Slaris,175.2,90,0.446,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.38,-37.428,TaeGeuk_,-0.293,-17.591,아침땅_,-20.694,-44.896,vovopo 보보포,-15.723,-63.045,즉석카레,19.594,-49.226,Pugeuk,2.802,-62.606,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
