id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,236.996,CAT tourniquet,L,26,131,-0.802,0.864,-0.059,1.793,-36.496,0,0,-38.936,-156.222,2.75,0,0,0,0,4,R,magimari,190,90,0.502,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142,-37.411,눈꽃,0.012,-16.929,Sabo_10,-23.092,-49.814,mungjungh,-14.005,-64.043,인생최패망자,16.239,-50.413,HANA_ARASHI,13.065,-63.252,소솨소솨,26.491,-81.608,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,255.19,CAT tourniquet,L,6,111,-2.092,-0.633,0.019,1.563,-36.514,4,0,-500,0,4.915,0,0,1,0,4,R,magimari,190,90,0.502,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034,-37.705,눈꽃,-0.448,-16.943,Sabo_10,-23.401,-51.575,mungjungh,-15.088,-63.525,인생최패망자,16.256,-50.425,HANA_ARASHI,13.645,-62.039,소솨소솨,26.338,-81.712,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,272.624,CAT tourniquet,L,10,121,-0.747,-1.452,-0.069,1.547,-36.384,2,0,0,400,-17.897,0,0,1,0,4,R,magimari,190,90,0.502,2,102,273.789,167,135,78,175,142,92,-24.479,-9.863,-0.47,-0.027,-0.08,0.053,0,0,0,-0.136,-37.361,눈꽃,-0.091,-17.064,Sabo_10,-24.148,-52.814,mungjungh,-15.975,-63.651,인생최패망자,15.978,-50.066,HANA_ARASHI,13.174,-63.933,소솨소솨,25.958,-79.926,AI,0,-100.6,AI,-35.7,-81.8,273.609,-0.089,-19.183,275.873,5,HANA_ARASHI,7.189,-57.574,0,1,0,0,0,0,0,2
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,372.976,CAT tourniquet,L,3,128,3.757,-0.772,0.187,1.59,-36.609,1,0,399.292,55.662,-3.861,1.193,-14.832,0,1,5,R,coder_,164.8,95,0.448,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13,-37.58,눈꽃,0.213,-16.904,Sabo_10,-21.916,-49.123,mungjungh,-14.353,-63.868,인생최패망자,16.311,-48.971,HANA_ARASHI,12.668,-62.95,소솨소솨,25.554,-82.337,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,0,1,0,0,0,255,255,255,4,392.827,CAT tourniquet,L,26,138,0.693,1.469,0.081,1.821,-36.522,2,0,-38.212,-191.664,-6.917,0,0,1,1,5,R,coder_,164.8,95,0.448,3,91,393.94,94,79,37,41,122,115,46.239,47.536,0.52,-0.108,-0.029,0.181,0,0,0,0.098,-37.855,눈꽃,0.064,-16.927,Sabo_10,-21.924,-48.337,mungjungh,-13.455,-64.426,인생최패망자,16.128,-48.721,HANA_ARASHI,10.754,-64.822,소솨소솨,25.559,-81.494,AI,0,-100.6,AI,-35.7,-81.8,399.533,-80.529,-74.841,0,0,,0,0,0,0,0,0,0,0,0,3
6,1,1,0,0,1,1,1,0,0,0,255,255,255,5,425.732,CAT tourniquet,L,0,81,3.531,-0.226,0.069,1.408,-36.857,1,0,0,0,13.491,0,0,0,1,5,R,coder_,164.8,95,0.448,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179,-37.473,눈꽃,0.117,-16.828,Sabo_10,-19.812,-45.619,mungjungh,-14.944,-63.469,인생최패망자,16.742,-48.698,HANA_ARASHI,12.705,-63.657,소솨소솨,24.318,-81.666,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,2,1,1,0,0,0,255,255,255,6,443.514,CAT tourniquet,L,6,103,2.417,1.701,0.404,1.933,-36.634,1,0,-379.162,0,4.786,0,0,0,1,5,R,coder_,164.8,95,0.448,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104,-37.667,눈꽃,-0.096,-17.123,Sabo_10,-21.692,-47.076,mungjungh,-15.359,-63.338,인생최패망자,16.771,-48.742,HANA_ARASHI,14.648,-62.335,소솨소솨,24.492,-81.641,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,3,1,1,0,0,0,255,255,255,7,462.145,CAT tourniquet,L,26,132,1.515,0.49,0.013,1.817,-36.449,2,0,-57.616,-197.473,-4.069,0,0,1,1,5,R,coder_,164.8,95,0.448,3,61,463.215,116,53,44,24,115,85,34.275,29.148,0.78,-0.087,-0.047,0.146,0,0,0,0.194,-37.244,눈꽃,-0.021,-17.025,Sabo_10,-22.124,-48.506,mungjungh,-15.288,-63.493,인생최패망자,16.12,-48.733,HANA_ARASHI,12.307,-65.501,소솨소솨,24.436,-81.632,AI,0,-100.6,AI,-35.7,-81.8,467.679,-32.782,-79.565,471.644,5,HANA_ARASHI,-1.681,-60.134,0,0,0,0,0,0,0,1
9,1,1,0,0,0,0,2,0,0,0,255,255,255,8,495.62,CAT tourniquet,L,5,124,-2.994,0.899,-0.344,1.83,-36.728,3,0,148.698,0,-2.93,-0.686,-20.613,0,2,3,L,IllilliIIIIllil,174.5,86,0.497,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,-37.298,눈꽃,-0.015,-16.931,Sabo_10,-22.3,-48.846,mungjungh,-14.536,-64.238,인생최패망자,20.486,-45.564,HANA_ARASHI,12.87,-64.242,소솨소솨,35.883,-83.595,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,6
10,1,1,0,0,0,0,2,1,0,0,3,255,255,9,541.031,CAT tourniquet,L,26,133,-0.73,1.82,-0.042,1.871,-36.576,1,0,-62.593,-159.686,-2.504,-0.368,-17.574,0,3,2,L,vovopo 보보포,160,94,0.549,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124,-37.565,눈꽃,-0.061,-16.948,Sabo_10,-21.27,-46.229,mungjungh,-14.375,-63.274,인생최패망자,20.539,-45.378,HANA_ARASHI,12.603,-63.985,소솨소솨,36.253,-76.043,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
