id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,287.971,Oort__Cloud,R,33,121,2.362,-0.526,0.426,0.912,-36.704,2,0,116.579,21.6,7.774,0,0,1,0,4,R,Tamari_,190,86,0.2,3,55,288.874,146,132,60,31,84,150,106,-3.638,-15.08,-0.54,-0.02,-0.103,0.143,0,0,0,0.077,-36.521,하루（Haru）,0.197,-16.898,CAT tourniquet,-21.436,-47.565,IllilliIIIIllil,-11.699,-64.388,_이누_,17.67,-50.568,Yaksok~,13.793,-59.922,즉석카레,39.051,-92.041,Multeinn,0.453,-111.189,NABIMan,-46.991,-88.433,289.272,2.959,-28.991,291.056,5,Yaksok~,10.522,-57.162,0,1,0,0,0,0,0,2
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,314.674,Oort__Cloud,R,34,121,0.114,-0.076,0.28,0.967,-36.456,0,0,97.748,-94.046,1.142,0,0,0,1,8,R,아침땅_,160,95,0.5,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07,-37.131,하루（Haru）,0.199,-17.032,CAT tourniquet,-20.68,-47.256,IllilliIIIIllil,-13.458,-64.155,_이누_,17.951,-50.309,Yaksok~,8.585,-63.699,즉석카레,39.937,-93.117,Multeinn,0.947,-99.723,NABIMan,-44.37,-85.777,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,1,1,0,0,0,255,255,255,2,328.271,Oort__Cloud,R,34,122,1.678,-0.62,0.383,0.953,-36.616,1,0,71.155,53.173,3.549,0.315,-17.537,0,1,8,R,아침땅_,160,95,0.5,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,-37.1,하루（Haru）,0.231,-17.096,CAT tourniquet,-20.673,-47.263,IllilliIIIIllil,-13.336,-63.843,_이누_,18.026,-50.36,Yaksok~,8.998,-63.503,즉석카레,39.946,-93.135,Multeinn,0.996,-97.946,NABIMan,-42.786,-85.71,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,1,1,0,0,0,255,255,255,3,344.92,Oort__Cloud,R,10,107,-1.391,0.207,0.213,1.131,-36.484,0,0,0,383.852,20.643,-0.353,-17.614,1,1,8,R,아침땅_,160,95,0.5,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-37.144,하루（Haru）,0.133,-17.215,CAT tourniquet,-20.981,-47.263,IllilliIIIIllil,-13.324,-63.806,_이누_,18.311,-50.422,Yaksok~,8.794,-63.672,즉석카레,39.932,-93.126,Multeinn,1.09,-98.934,NABIMan,-43.671,-87.636,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,2,1,0,0,0,255,255,255,4,366.656,Oort__Cloud,R,0,113,0.852,-0.187,0.351,0.98,-36.566,0,0,0,0,35.354,0,0,0,1,8,R,아침땅_,160,95,0.5,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,-37.056,하루（Haru）,0.202,-17.346,CAT tourniquet,-20.838,-46.357,IllilliIIIIllil,-13.114,-63.788,_이누_,18.536,-53.906,Yaksok~,8.768,-63.686,즉석카레,38.841,-95.579,Multeinn,0.921,-99.57,NABIMan,-43.998,-87.718,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,0,2,0,0,0,255,255,255,5,385.57,Oort__Cloud,R,3,108,-0.559,-1.172,0.376,0.861,-36.574,2,0,-393.543,0,-1.163,0,0,1,2,2,L,Pring__,179.9,95,0.401,3,56,386.47,221,128,107,53,68,150,128,36.067,22.35,0.57,0.032,-0.044,0.063,0,0,0,0.296,-37.015,하루（Haru）,-0.165,-17.362,CAT tourniquet,-20.363,-48.928,IllilliIIIIllil,-13.469,-63.627,_이누_,18.47,-53.764,Yaksok~,9.639,-64.491,즉석카레,37.752,-93.546,Multeinn,-2.342,-103.426,NABIMan,-43.883,-87.513,392.522,-22.498,-132.107,396.055,7,Multeinn,-6.548,-127.584,1,0,0,0,0,0,0,2
7,1,1,0,0,0,0,2,0,1,0,255,2,255,6,430.817,Oort__Cloud,R,0,108,0.373,0.882,0.312,1.081,-36.635,2,0,43.728,22.462,-0.192,0,0,1,3,9,R,Apple_Sherbet,190,89.641,0.297,3,56,431.801,213,125,77,29,78,150,107,31.909,-15.701,0,-0.011,-0.006,0.223,0,0,0,0.022,-36.552,하루（Haru）,0.177,-17.292,CAT tourniquet,-20.513,-46.292,IllilliIIIIllil,-13.769,-63.118,_이누_,19.609,-52.875,Yaksok~,5.778,-63.946,즉석카레,36.142,-93.56,Multeinn,-4.684,-113.796,NABIMan,-44.989,-89.581,0,0,0,437.122,7,Multeinn,9.376,-108.301,0,0,0,0,0,0,0,1
8,1,0,0,0,0,0,0,0,0,0,255,255,255,0,610.179,Penguin_iDOL,R,28,108,-2.96,-0.72,0.171,1.802,-36.752,1,0,79.917,-87.857,13.161,0,0,0,0,7,R,Multeinn,160,94.634,0.498,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118,-37.956,coder_,-0.122,-16.963,Pring__,-22.415,-48.353,D_arling,-10.517,-66.114,Tamari_,23.857,-52.203,ʚEveɞ,11.052,-65.912,소솨소솨,29.343,-79.776,ʚneul_ɞ,1.77,-111.847,아침땅_,-38.527,-81.658,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,1,0,0,0,0,0,255,255,255,1,622.646,Penguin_iDOL,R,14,108,0.226,-1.53,0.278,1.858,-36.835,1,0,362.678,336.969,27.131,0.113,-18.33,0,0,7,R,Multeinn,160,94.634,0.498,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.086,-37.915,coder_,-0.145,-16.721,Pring__,-22.581,-48.528,D_arling,-10.506,-66.149,Tamari_,23.724,-52.291,ʚEveɞ,11.053,-65.929,소솨소솨,29.266,-79.834,ʚneul_ɞ,-1.387,-112.32,아침땅_,-39.046,-82.085,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,2,0,0,0,0,0,255,255,255,2,635.64,Penguin_iDOL,R,10,109,-1.546,-1.756,0.284,1.857,-36.824,1,0,0,400,9.662,-0.346,-18.691,0,0,7,R,Multeinn,160,94.634,0.498,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145,-37.892,coder_,-0.131,-16.801,Pring__,-22.58,-48.533,D_arling,-10.969,-65.353,Tamari_,24.225,-52.711,ʚEveɞ,11.041,-65.932,소솨소솨,29.227,-79.929,ʚneul_ɞ,-1.149,-111.908,아침땅_,-39.05,-82.062,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
