id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,204.919,encounter v,R,26,133,-2.343,1.701,0.019,2.033,-36.636,1,0,-33.326,-192.621,-23.206,-1.319,-16.349,0,0,2,L,Pring__,180.1,95,0.401,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,-37.547,Sabo_10,-0.193,-17.054,HANA_ARASHI,-18.685,-41.864,ʚEveɞ,-12.628,-64.063,인생최패망자,21.704,-46.405,IllilliIIIIllil,13.661,-63.576,vovopo 보보포,45.179,-84.063,ke ro,-4.152,-111.116,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,219.156,encounter v,R,29,134,1.59,-1.18,0.241,1.712,-36.638,4,0,-175.446,-150.473,-10.771,0,0,1,0,2,L,Pring__,180.1,95,0.401,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,-37.056,Sabo_10,0.291,-17.153,HANA_ARASHI,-19.734,-42.825,ʚEveɞ,-12.591,-64.086,인생최패망자,19.515,-43.546,IllilliIIIIllil,13.953,-63.338,vovopo 보보포,44.55,-86.16,ke ro,-3.933,-110.471,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,230.527,encounter v,R,14,115,2.292,-1.685,0.137,1.787,-36.635,4,0,361.521,345.402,-13.062,0,0,1,0,2,L,Pring__,180.1,95,0.401,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,-37.523,Sabo_10,0.242,-16.914,HANA_ARASHI,-19.581,-41.852,ʚEveɞ,-12.655,-64.107,인생최패망자,19.906,-42.922,IllilliIIIIllil,13.954,-63.342,vovopo 보보포,43.716,-86.518,ke ro,-3.464,-109.415,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,241.789,encounter v,R,29,140,-3.29,2.31,0.236,1.763,-36.528,2,0,-156.94,-141.286,-19.009,0,0,1,0,2,L,Pring__,180.1,95,0.401,3,99,242.631,119,68,68,44,47,132,126,-15.058,-18.959,0.76,0.001,-0.073,0.049,0,0,0,0,-0.149,-36.798,Sabo_10,0.205,-16.863,HANA_ARASHI,-19.59,-43.739,ʚEveɞ,-12.614,-64.098,인생최패망자,20.108,-44.727,IllilliIIIIllil,13.956,-63.327,vovopo 보보포,46.923,-83.647,ke ro,-3.481,-109.412,AI,-35.7,-81.8,242.8,1.096,-22.451,244.432,5,IllilliIIIIllil,14.14,-60.383,0,0,0,0,0,0,0,2
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,302.602,encounter v,R,32,120,3.023,1.568,0.269,2.047,-36.779,3,0,219.794,-200,-15.386,0.145,-20.804,0,1,3,R,Oort__Cloud,160,90.284,0.345,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104,-37.313,Sabo_10,0.171,-19.001,HANA_ARASHI,-20.911,-44.603,ʚEveɞ,-13.902,-64.578,인생최패망자,15.243,-49.683,IllilliIIIIllil,5.772,-67.026,vovopo 보보포,45.292,-87.024,ke ro,-3.643,-105.752,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,6
6,1,1,0,0,2,0,1,0,0,0,255,255,255,5,330.752,encounter v,R,10,111,-1.357,0.099,-0.031,2.078,-36.775,0,0,-2.188,400,-24.598,-0.259,-17.633,0,1,3,R,Oort__Cloud,160,90.284,0.345,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006,-37.556,Sabo_10,-0.156,-17.269,HANA_ARASHI,-20.315,-44.694,ʚEveɞ,-14.042,-64.26,인생최패망자,14.994,-49.122,IllilliIIIIllil,5.766,-67.02,vovopo 보보포,40.171,-92.351,ke ro,-2.982,-104.656,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,2,1,1,0,0,0,255,255,255,6,346.234,encounter v,R,10,117,-0.481,-0.995,0.041,1.906,-36.609,0,0,22.312,400,-14.801,0,0,0,1,3,R,Oort__Cloud,160,90.284,0.345,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,-37.587,Sabo_10,-0.05,-17.012,HANA_ARASHI,-19.258,-43.001,ʚEveɞ,-14.065,-64.289,인생최패망자,14.928,-48.854,IllilliIIIIllil,5.729,-67.003,vovopo 보보포,39.233,-92.857,ke ro,-2.983,-104.66,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,2,2,1,0,0,0,255,255,255,7,362.056,encounter v,R,26,136,1.184,3.576,-0.063,2.117,-36.87,2,0,88.079,-200,-12.93,0,0,1,1,3,R,Oort__Cloud,160,90.284,0.345,3,54,363.156,155,58,9,5,39,103,69,98.623,-78.615,0.95,-0.024,0.004,0.125,0,0,0,0,-0.107,-37.256,Sabo_10,0.077,-17.009,HANA_ARASHI,-19.057,-43.467,ʚEveɞ,-14.036,-64.237,인생최패망자,14.409,-49.433,IllilliIIIIllil,5.736,-67.021,vovopo 보보포,38.608,-92.733,ke ro,-1.549,-103.416,AI,-35.7,-81.8,368.162,-38.697,-9.701,0,0,,0,0,0,0,0,0,0,0,0,3
9,1,1,0,0,2,2,1,0,0,0,255,255,255,8,379.023,encounter v,R,13,121,-0.919,-1.499,0.144,1.833,-36.588,4,0,-390.434,312.348,7.265,0,0,1,1,3,R,Oort__Cloud,160,90.284,0.345,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,-37.559,Sabo_10,-0.088,-17.044,HANA_ARASHI,-19.764,-43.996,ʚEveɞ,-15.442,-63.528,인생최패망자,14.595,-48.531,IllilliIIIIllil,5.509,-65.939,vovopo 보보포,37.595,-94.427,ke ro,-0.192,-101.771,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,0,2,0,0,0,255,255,255,9,404.101,encounter v,R,13,114,-0.844,0.183,0.153,1.995,-36.686,0,0,-390.434,312.348,12.107,-0.649,-17.067,0,2,8,R,별이__,174.5,95,0.5,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169,-37.538,Sabo_10,-0.265,-16.963,HANA_ARASHI,-20.291,-45.755,ʚEveɞ,-15.47,-63.585,인생최패망자,14.037,-48.66,IllilliIIIIllil,5.838,-66.327,vovopo 보보포,36.667,-93.247,ke ro,-0.299,-102.714,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
