id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,236.029,눈꽃,R,32,140,0.186,-0.723,-0.151,1.781,-36.44,0,0,158.246,-144.012,18.583,0,0,0,0,7,R,mungjungh,160,86,0.551,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.434,-37.621,하루（Haru）,0.116,-17.086,それいゆ るな,-22.737,-48.41,わかなで,-9.326,-61.82,인생최패망자,16.138,-48.569,아침땅_,12.419,-64.85,-라후이-,42.665,-90.74,alcohol500,0.506,-103.778,Penguin_iDOL,-42.726,-88.028,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,250.277,눈꽃,R,26,140,1.234,0.413,-0.032,1.902,-36.549,0,0,103.629,-157.557,19.747,0,0,0,0,7,R,mungjungh,160,86,0.551,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,-37.063,하루（Haru）,-0.011,-17.186,それいゆ るな,-22.637,-48.357,わかなで,-9.122,-59.913,인생최패망자,15.394,-48.489,아침땅_,11.843,-64.938,-라후이-,47.061,-90.916,alcohol500,0.317,-104.986,Penguin_iDOL,-43.177,-87.815,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,281.164,눈꽃,R,0,126,-0.432,0.14,0.071,1.898,-36.427,2,0,-1.186,0,-1.639,0,0,1,0,7,R,mungjungh,160,86,0.551,3,54,282.122,114,80,33,29,67,125,100,-30,-11.669,0.92,-0.101,-0.078,0.177,0.286,0.168,-37.116,하루（Haru）,-0.261,-17.146,それいゆ るな,-22.105,-47.097,わかなで,-10.731,-60.482,인생최패망자,15.977,-48.341,아침땅_,10.935,-65.416,-라후이-,43.809,-88.154,alcohol500,-2.784,-104.363,Penguin_iDOL,-42.28,-86.864,282.245,0.21,-21.724,294.276,7,alcohol500,17.873,-134.882,1,0,0,0,0,0,0,2
4,1,1,1,0,0,0,0,1,0,0,7,255,255,3,329.508,눈꽃,R,32,126,2.867,0.677,0.252,1.981,-36.637,2,0,158.437,-142.345,13.648,0,0,1,1,5,R,Pugeuk,160,95,0.547,3,54,330.691,129,58,27,13,65,114,68,4.619,15.3,-0.49,0.046,0.015,0.104,0,-0.012,-37.117,하루（Haru）,0.05,-17.406,それいゆ るな,-22.363,-47.665,わかなで,-9.549,-59.761,인생최패망자,16.425,-49.257,아침땅_,10.347,-65.493,-라후이-,41.653,-88.858,alcohol500,-2.551,-108.165,Penguin_iDOL,-43.787,-93.389,331.76,-3.24,-37.31,333.257,3,わかなで,-6.087,-53.157,0,0,0,0,0,0,0,2
5,1,1,1,0,0,0,1,0,0,0,255,255,255,4,423.041,눈꽃,R,32,129,4.091,1.16,0.299,2.085,-36.649,4,0,179.827,-133.877,14.814,0.258,-21.334,1,2,8,R,HANA_ARASHI,190,86,0.25,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,-37.039,하루（Haru）,0.346,-17.051,それいゆ るな,-22.627,-45.906,わかなで,-10.202,-60.28,인생최패망자,14.588,-47.975,아침땅_,10.539,-65.545,-라후이-,42.54,-96.756,alcohol500,1.02,-108.224,Penguin_iDOL,-40.59,-89.801,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,1,0,0,1,1,0,0,0,255,255,255,5,440.228,눈꽃,R,27,140,-0.727,0.428,-0.063,1.807,-36.462,2,0,87.433,-122.722,17.563,0,0,1,2,8,R,HANA_ARASHI,190,86,0.25,2,54,441.103,112,107,44,16,190,136,94,-28.497,-31.708,-0.3,-0.087,-0.115,0.183,0,-0.004,-37.043,하루（Haru）,0.013,-17.495,それいゆ るな,-22.221,-45.936,わかなで,-10.345,-59.792,인생최패망자,16.354,-48.924,아침땅_,10.569,-65.457,-라후이-,41.163,-96.047,alcohol500,0.207,-108.199,Penguin_iDOL,-40.704,-90.28,441.154,1.137,-21.244,442.773,4,인생최패망자,14.436,-42.558,0,0,0,0,0,0,0,2
7,1,1,1,0,0,0,2,0,0,0,255,255,255,6,469.286,눈꽃,R,28,137,2.688,0.435,0.128,1.955,-36.538,4,0,67.073,-75.869,8.007,1.153,-20.109,1,3,6,R,Yaksok~,173.1,92.369,0.505,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.067,-37.051,하루（Haru）,0.418,-17.851,それいゆ るな,-22.665,-47.405,わかなで,-10.576,-61.596,인생최패망자,15.31,-48.532,아침땅_,11.211,-65.56,-라후이-,39.026,-97.036,alcohol500,-4.555,-105.493,Penguin_iDOL,-44.261,-90.092,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,1,0,0,1,2,0,0,0,255,255,255,7,488.772,눈꽃,R,32,140,-0.139,-0.627,-0.132,1.786,-36.498,0,0,163.437,-147.053,27.04,0,0,0,3,6,R,Yaksok~,173.1,92.369,0.505,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,-37.024,하루（Haru）,0.062,-17.484,それいゆ るな,-22.559,-45.135,わかなで,-10.798,-61.761,인생최패망자,15.064,-48.225,아침땅_,10.901,-65.542,-라후이-,42.247,-95.451,alcohol500,-5.949,-107.38,Penguin_iDOL,-44.444,-90.428,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,1,1,0,0,2,2,0,0,0,255,255,255,8,503.109,눈꽃,R,5,112,0.884,0.931,0.209,2.09,-36.583,2,0,-86.694,0,-3.095,0,0,1,3,6,R,Yaksok~,173.1,92.369,0.505,3,54,504.042,149,120,53,28,171,150,95,-15.108,-31.511,-0.02,-0.135,-0.097,0.045,0,0.125,-36.94,하루（Haru）,0.107,-17.516,それいゆ るな,-22.231,-46.789,わかなで,-11.273,-61.549,인생최패망자,14.859,-48.631,아침땅_,10.715,-65.551,-라후이-,41.614,-98.417,alcohol500,-6.093,-107.543,Penguin_iDOL,-44.681,-89.981,504.354,2.575,-24.35,505.657,4,인생최패망자,14.032,-43.711,0,0,0,0,0,0,0,2
10,1,0,1,0,0,0,0,0,0,0,255,255,255,0,642.279,encounter v,R,32,136,1.274,0.653,0.27,1.798,-36.667,0,0,206.938,-200,-3.394,0,0,0,0,8,R,Penguin_iDOL,180,90.011,0.501,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126,-37.427,소솨소솨,0.024,-17.041,coder_,-23.554,-50.763,Oort__Cloud,-13.009,-64.406,Kr_Luna,21.09,-50.337,Pugeuk,12.972,-64.131,Yaksok~,39.72,-87.531,mungjungh,1.047,-105.774,HANA_ARASHI,-41.911,-96.573,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
