id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,288.629,coder_,R,26,134,1.919,0.525,0.175,1.782,-36.513,1,0,14.753,-171.102,9.523,0,0,0,0,2,L,Pring__,180,95,0.401,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,-37.2,甲斐野柊太,0.008,-16.173,それいゆ るな,-22.073,-49.238,즉석카레,-15.405,-62.693,NABIMan,24.702,-49.43,vovopo 보보포,14.234,-61.971,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,298.693,coder_,R,26,137,-1.754,-0.471,-0.143,1.606,-36.51,2,0,-68.389,-183.815,16.984,0,0,1,0,2,L,Pring__,180,95,0.401,3,93,299.531,226,19,119,92,41,129,150,94,91.041,-88.875,-0.47,0.009,-0.06,0.078,0,-0.106,-36.824,甲斐野柊太,-0.017,-16.207,それいゆ るな,-22.315,-49.571,즉석카레,-15.426,-62.703,NABIMan,25.29,-49.816,vovopo 보보포,14.696,-62.198,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,314.243,coder_,R,26,127,-1.967,1.636,-0.165,1.963,-36.505,1,0,-55.081,-200,17.526,0,0,0,0,2,L,Pring__,180,95,0.401,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,-37.243,甲斐野柊太,-0.035,-16.162,それいゆ るな,-24.896,-50.735,즉석카레,-15.673,-62.61,NABIMan,24.323,-48.845,vovopo 보보포,14.488,-62.783,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,2,1,0,0,0,0,255,255,255,3,324.687,coder_,R,27,127,-0.111,2.138,-0.01,2.073,-36.635,4,0,0.572,-117.959,0.61,0,0,1,0,2,L,Pring__,180,95,0.401,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007,-37.121,甲斐野柊太,-0.947,-17.818,それいゆ るな,-23.954,-48.757,즉석카레,-15.705,-62.649,NABIMan,24.82,-49.293,vovopo 보보포,15.061,-62.424,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,336.719,coder_,R,14,99,2.491,-1.288,0.126,1.644,-36.583,4,0,325.824,344.872,1.62,0.623,-17.823,1,0,2,L,Pring__,180,95,0.401,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,-37.402,甲斐野柊太,0.014,-18.178,それいゆ るな,-23.828,-48.083,즉석카레,-15.64,-62.579,NABIMan,23.472,-47.729,vovopo 보보포,16.87,-61.536,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,0,1,0,0,0,255,255,255,5,363.647,coder_,R,26,137,0.521,0.091,0.057,1.682,-36.496,4,0,-12.051,-175.357,3.194,0.186,-20.554,1,1,5,R,Espressο,160,89.769,0.2,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,-37.151,甲斐野柊太,0.012,-17.213,それいゆ るな,-23.525,-48.511,즉석카레,-13.751,-59.019,NABIMan,24.11,-49.206,vovopo 보보포,10.47,-64.864,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,1,1,0,0,0,255,255,255,6,392.035,coder_,R,13,94,-2.921,-0.984,-0.241,1.829,-36.453,4,0,-232.171,400,17.8,-0.785,-17.552,1,1,5,R,Espressο,160,89.769,0.2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115,-36.98,甲斐野柊太,-0.403,-18.882,それいゆ るな,-24.048,-48.584,즉석카레,-14.386,-57.528,NABIMan,21.344,-47.47,vovopo 보보포,8.723,-65.487,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,2,1,0,0,0,255,255,255,7,410.828,coder_,R,26,133,0.748,0.361,0.092,1.731,-36.502,0,0,-73.467,-200,24.381,0,0,0,1,5,R,Espressο,160,89.769,0.2,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.172,-37.672,甲斐野柊太,-0.106,-17.826,それいゆ るな,-23.28,-46.942,즉석카레,-14.711,-60.928,NABIMan,23.322,-49.393,vovopo 보보포,9.641,-66.514,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,2,0,0,0,0,0,0
9,1,1,0,0,0,0,2,0,0,0,255,255,255,8,440.718,coder_,R,8,98,-2.831,0.549,-0.439,1.9,-36.588,1,0,77.234,0,2.787,-0.959,-16.483,0,2,1,L,하루（Haru）,190,95,0.55,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.228,-37.366,甲斐野柊太,-0.165,-16.337,それいゆ るな,-21.913,-47.31,즉석카레,-15.289,-62.989,NABIMan,23.41,-48.605,vovopo 보보포,12.245,-65.307,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,1,0,2,0,0,0,255,255,255,9,454.065,coder_,R,6,96,-0.672,0.2,-0.334,1.801,-36.534,2,0,343.621,0,2.012,0,0,1,2,1,L,하루（Haru）,190,95,0.55,3,91,455.02,154,17,29,113,56,90,77,66,-6.339,-24.783,-0.14,0.087,-0.005,0,0,-0.163,-36.975,甲斐野柊太,-0.081,-16.286,それいゆ るな,-23.065,-48.043,즉석카레,-15.268,-62.953,NABIMan,23.985,-48.895,vovopo 보보포,12.231,-65.34,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,455.497,2.899,-26.894,458.43,5,vovopo 보보포,18.402,-56.725,1,4,0,0,0,0,0,2
11,1,1,0,0,0,0,2,1,0,0,1,255,255,10,565.225,coder_,R,14,97,1.693,-1.055,0.079,1.666,-36.561,4,0,264.341,379.078,8.947,0.46,-17.241,0,3,4,L,눈꽃,190,90,0.496,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013,-37.577,甲斐野柊太,0.064,-16.319,それいゆ るな,-20.982,-43.428,즉석카레,-10.283,-63.738,NABIMan,23.982,-49.899,vovopo 보보포,10.508,-63.43,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
12,1,1,0,0,0,1,2,1,0,0,1,255,255,11,590.738,coder_,R,26,130,-1.645,-0.548,-0.146,1.588,-36.46,2,0,-21.429,-152.056,16.522,0,0,0,3,4,L,눈꽃,190,90,0.496,3,90,591.747,98,16,91,72,59,95,139,115,-30,37.753,0.92,0.047,-0.029,0,0,-0.162,-36.987,甲斐野柊太,-0.02,-16.202,それいゆ るな,-20.782,-40.4,즉석카레,-12.816,-63.968,NABIMan,25.057,-50.476,vovopo 보보포,5.742,-62.141,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,598.275,-59.918,-93.213,602.619,3,즉석카레,-11.145,-64.703,1,0,0,0,0,0,0,2
13,1,1,0,0,0,0,2,0,1,1,255,4,1,12,634.366,coder_,R,26,120,-0.834,2.901,-0.068,2.149,-36.65,2,0,-31.204,-172.988,5.053,0,0,1,4,3,L,Fresh825,173,86,0.8,3,90,635.557,128,9,51,44,18,37,117,80,26.825,-27.858,-0.04,-0.03,-0.004,0.08,0,0.003,-34.444,甲斐野柊太,-0.007,-16.312,それいゆ るな,-23.179,-49.193,즉석카레,-13.377,-63.547,NABIMan,24.122,-49.834,vovopo 보보포,11.053,-63.541,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,640.208,35.335,-76.847,0,0,,0,0,0,0,0,0,0,0,0,1
