id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,251.903,Pring__,R,32,133,-2.19,-0.316,-0.266,1.342,-36.195,1,0,247.252,-200,19.913,0,0,0,1,3,R,아침땅_,160,95,0.5,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103,-37.749,vovopo 보보포,0.142,-16.855,encounter v,-23.166,-50.265,눈꽃,-11.331,-60.386,_Chun,23.483,-48.171,소솨소솨,16.301,-63.319,Gonyong,37.36,-81.357,ByeolBam,-0.469,-107.467,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,267.079,Pring__,R,32,127,0.622,0.759,-0.018,1.496,-36.333,0,0,238.628,-164.307,10.859,0,0,1,1,3,R,아침땅_,160,95,0.5,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,-37.537,vovopo 보보포,0.073,-16.806,encounter v,-22.294,-50.271,눈꽃,-11.337,-60.403,_Chun,24.01,-48.668,소솨소솨,16.278,-63.334,Gonyong,37.347,-81.338,ByeolBam,-0.428,-106.98,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,284.126,Pring__,R,26,131,-2.44,1.138,-0.281,1.54,-36.297,1,0,188.398,-200,41.469,0,0,0,0,3,R,아침땅_,160,95,0.5,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.248,-38.055,vovopo 보보포,0.029,-16.82,encounter v,-22.078,-50.059,눈꽃,-11.719,-60.533,_Chun,23.637,-49.069,소솨소솨,16.296,-63.33,Gonyong,37.254,-81.229,ByeolBam,-0.766,-104.93,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,2,1,0,0,0,0,255,255,255,3,300.792,Pring__,R,13,104,0.563,-1.163,0.287,1.418,-36.311,0,0,-340.721,346.594,-6.946,0,0,0,0,3,R,아침땅_,160,95,0.5,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.217,-38.108,vovopo 보보포,0.121,-16.812,encounter v,-22.436,-50.481,눈꽃,-11.728,-60.526,_Chun,23.444,-48.775,소솨소솨,16.281,-63.415,Gonyong,37.279,-81.289,ByeolBam,0.498,-102.798,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,316.454,Pring__,R,32,134,-1.515,0.8,-0.213,1.495,-36.315,4,0,250,-200,26.326,0,0,1,0,3,R,아침땅_,160,95,0.5,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125,-37.985,vovopo 보보포,0.007,-17.032,encounter v,-22.364,-49.789,눈꽃,-11.721,-60.525,_Chun,23.459,-48.795,소솨소솨,16.214,-62.387,Gonyong,37.359,-81.336,ByeolBam,-0.894,-104.343,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,0,1,0,0,0,255,255,255,5,342.224,Pring__,R,14,96,-1.503,-0.888,-0.386,1.388,-36.184,4,0,314.978,346.038,-3.419,0,0,1,1,2,R,bdg06213,190,95,0.499,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08,-38.311,vovopo 보보포,0.01,-16.985,encounter v,-23.422,-51.343,눈꽃,-12.71,-65.467,_Chun,22.949,-48.835,소솨소솨,16.077,-62.312,Gonyong,41.165,-90.694,ByeolBam,0.366,-103.202,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,1,1,0,0,0,255,255,255,6,364.654,Pring__,R,14,98,1.365,-0.696,-0.025,1.479,-36.29,0,0,321.935,345.575,-19.19,0,0,1,1,2,R,bdg06213,190,95,0.499,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.199,-37.886,vovopo 보보포,0.006,-16.982,encounter v,-22.951,-51.07,눈꽃,-12.737,-65.563,_Chun,23.145,-48.984,소솨소솨,16.111,-62.314,Gonyong,42.814,-91.045,ByeolBam,0.201,-106.514,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,2,1,0,0,0,255,255,255,7,383.706,Pring__,R,32,133,0.187,1.002,-0.053,1.586,-36.333,2,0,234.572,-180.029,14.074,0,0,1,1,2,R,bdg06213,190,95,0.499,3,82,384.855,255,13,132,82,57,143,150,97,27.333,27.81,-0.51,-0.02,-0.032,0.054,0,-0.207,-37.289,vovopo 보보포,-0.001,-17.124,encounter v,-23.095,-50.943,눈꽃,-12.664,-65.375,_Chun,23.48,-49.003,소솨소솨,16.119,-62.329,Gonyong,42.744,-91.015,ByeolBam,-0.27,-109.114,AI,-35.7,-81.8,389.615,-27.342,-99.024,393.059,7,ByeolBam,-33.63,-121.732,1,0,0,0,0,0,0,2
9,1,1,0,0,0,0,1,0,1,0,255,2,255,8,425.465,Pring__,R,13,101,1.4,-0.485,0.362,1.51,-36.392,0,0,-306.004,372.733,-6.987,0,0,0,2,4,R,인생최패망자,190,90,0.45,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.241,-38.047,vovopo 보보포,0.07,-17.05,encounter v,-22.983,-50.023,눈꽃,-11.733,-65.676,_Chun,21.441,-45.744,소솨소솨,13.197,-63.394,Gonyong,43.837,-91.528,ByeolBam,-0.281,-107.959,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,1,1,0,1,0,255,2,255,9,444.735,Pring__,R,13,100,0.049,-1.099,0.218,1.356,-36.32,4,0,-326.225,348.179,10.961,0,0,1,2,4,R,인생최패망자,190,90,0.45,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142,-38.226,vovopo 보보포,0.102,-17.045,encounter v,-22.915,-50.108,눈꽃,-11.775,-65.817,_Chun,21.589,-45.654,소솨소솨,13.046,-61.533,Gonyong,43.811,-91.497,ByeolBam,-1.655,-113.355,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
