id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,174.037,인생최패망자,R,27,140,1.713,0.645,0.162,1.768,-36.525,2,0,-11.186,-120.961,9.849,0,0,1,0,4,R,coder_,179.6,95,0.353,3,40,175.084,234,17,133,64,28,196,150,93,14.063,16.22,-0.48,-0.054,-0.061,0.24,0,0.284,-37.183,vovopo 보보포,-0.035,-17.046,WhiteMountain,-21.278,-46.697,Kr_Luna,-15.695,-62.488,Pring__,21.766,-47.996,Pugeuk,8.687,-65.742,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,178.503,-27.398,-81.289,182.92,2,WhiteMountain,-19.552,-41.833,0,0,0,0,0,0,0,1
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,201.273,인생최패망자,R,26,140,2.184,0.796,0.21,1.792,-36.454,4,0,-29.662,-200,30.833,1.125,-16.918,1,1,2,R,encounter v,190,95,0.447,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,-37.694,vovopo 보보포,-0.035,-16.948,WhiteMountain,-21.631,-46.252,Kr_Luna,-14.297,-62.8,Pring__,22.485,-48.56,Pugeuk,7.449,-63.8,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,1,1,0,0,0,255,255,255,2,217.495,인생최패망자,R,27,140,1.616,0.091,0.173,1.675,-36.4,2,0,-80.559,-127.171,22.539,0,0,1,1,2,R,encounter v,190,95,0.447,3,39,218.53,124,16,84,21,0,37,128,89,92.404,-87.527,-0.34,-0.05,-0.067,0.197,0,0.134,-37.002,vovopo 보보포,0.082,-17.03,WhiteMountain,-21.657,-46.297,Kr_Luna,-14.269,-62.8,Pring__,22.664,-48.603,Pugeuk,7.185,-66.408,AI,35.7,-81.8,AI,0,-100.61,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3
4,1,1,0,0,0,2,1,0,0,0,255,255,255,3,234.371,인생최패망자,R,14,106,3.793,-2.524,0.201,1.306,-36.449,1,0,376.237,312.348,9.43,0.68,-20.798,0,1,2,R,encounter v,190,95,0.447,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153,-37.467,vovopo 보보포,0.049,-16.947,WhiteMountain,-21.432,-47.006,Kr_Luna,-14.519,-62.493,Pring__,22.501,-48.558,Pugeuk,8.081,-65.239,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,2,1,0,0,0,255,255,255,4,248.388,인생최패망자,R,14,113,3.211,-2.529,0.193,1.281,-36.323,1,0,295.936,367.514,5.923,0.56,-21.245,0,1,2,R,encounter v,190,95,0.447,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,-37.568,vovopo 보보포,0.047,-16.957,WhiteMountain,-21.395,-46.971,Kr_Luna,-14.645,-62.66,Pring__,22.501,-48.561,Pugeuk,8.061,-65.702,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,2,2,1,0,0,0,255,255,255,5,263.328,인생최패망자,R,0,115,1.413,-1.852,0.131,1.33,-36.423,2,0,0.036,0,-1.977,0,0,1,1,2,R,encounter v,190,95,0.447,3,39,264.431,255,12,152,95,59,168,150,129,-3.09,-13.846,0.45,-0.061,-0.119,0.065,0,-0.307,-37.6,vovopo 보보포,0.135,-16.847,WhiteMountain,-21.375,-46.965,Kr_Luna,-14.625,-62.434,Pring__,22.526,-48.585,Pugeuk,7.707,-63.387,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,270.886,15.094,-122.484,276.103,4,Pring__,19.215,-51.709,1,0,0,0,0,0,0,2
7,1,1,0,0,0,0,1,0,1,0,255,2,255,6,300.006,인생최패망자,R,26,140,-1.928,-0.039,-0.226,1.631,-36.459,1,0,188.019,-200,61.151,0,0,0,2,1,L,Sabo_10,180,94,0.6,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078,-37.552,vovopo 보보포,-0.032,-16.65,WhiteMountain,-21.861,-47.583,Kr_Luna,-3.789,-59.329,Pring__,20.851,-45.059,Pugeuk,14.768,-62.664,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,1,0,1,0,1,0,255,2,255,7,314.813,인생최패망자,R,26,140,-0.844,1.095,-0.097,1.826,-36.43,2,0,45.649,-173.597,32.033,0,0,1,2,1,L,Sabo_10,180,94,0.6,3,36,315.861,180,9,90,52,26,106,141,97,37.397,-15.718,-0.19,0.005,-0.057,0.191,0,0.088,-37.122,vovopo 보보포,-0.057,-16.772,WhiteMountain,-21.853,-47.554,Kr_Luna,-4.688,-60.115,Pring__,21.569,-46.423,Pugeuk,16.055,-61.037,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,321.103,28.107,-90.716,325.803,4,Pring__,19.862,-40.902,0,0,0,0,0,0,0,1
9,1,1,0,0,0,0,2,0,1,0,255,2,255,8,347.25,인생최패망자,R,26,140,-1.336,1.172,0.066,1.69,-36.42,2,0,-19.061,-182.918,38.642,0,0,0,3,3,R,Multeinn,160,95,0.498,3,35,348.147,219,12,5,20,4,38,24,45,-74.406,-60.429,-0.48,-0.014,-0.023,0.055,0,-0.052,-36.882,vovopo 보보포,0.013,-16.632,WhiteMountain,-22.798,-48.515,Kr_Luna,0.517,-59.864,Pring__,21.2,-46.058,Pugeuk,12.785,-63.784,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,348.07,0.544,-19.219,353.136,4,Pring__,16.594,-29.283,0,0,0,0,0,0,0,2
10,1,1,0,0,0,1,2,0,1,0,255,2,255,9,372.924,인생최패망자,R,26,140,0.7,1.804,0.066,1.882,-36.488,4,0,-4.696,-200,38.473,0,0,0,3,3,R,Multeinn,160,95,0.498,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,-37.584,vovopo 보보포,0.092,-16.691,WhiteMountain,-22.85,-48.171,Kr_Luna,-14.538,-61.963,Pring__,20.806,-45.659,Pugeuk,4.487,-62.901,AI,35.7,-81.8,AI,0,-100.6,AI,-35.7,-81.8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
