id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,237.322,HANA_ARASHI,R,26,128,39.825,-2.866,-0.109,1.684,-36.372,2,0,-117.213,-200,11.062,0,0,1,0,3,R,ke ro,166.2,81.984,0.303,2,56,238.287,121,8,86,43,8,125,138,115,26.147,13.43,0.74,-0.011,-0.014,0.161,0,0.064,-36.915,encounter v,-0.094,-17.095,Pugeuk,-20.006,-52.017,장덕춘_,-12.946,-64.902,아침땅_,21.094,-48.742,Yaksok~,9.593,-63.679,ByeolBam,38.929,-89.621,Oort__Cloud,-5.423,-112.382,coder_,-38.67,-88.677,243.194,-23.594,-116.909,243.428,7,Oort__Cloud,-22.737,-113.37,0,0,0,0,0,0,0,1
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,269.538,HANA_ARASHI,R,27,134,-1.72,-2.599,-0.15,1.248,-36.384,1,0,-40.566,-145.216,2.538,-0.332,-19.336,0,1,7,R,Multeinn,160,95,0.498,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19,-37.445,encounter v,-0.145,-17.027,Pugeuk,-23.453,-53.195,장덕춘_,-13.245,-64.658,아침땅_,21.133,-47.757,Yaksok~,9.904,-62.72,ByeolBam,39.699,-89.797,Oort__Cloud,-5.569,-118.028,coder_,-40.635,-85.685,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,0,1,0,0,0,255,255,255,2,282.905,HANA_ARASHI,R,13,108,-1.662,-0.339,-0.01,1.743,-36.445,1,0,-363.077,336.522,14.866,0,0,0,1,7,R,Multeinn,160,95,0.498,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.314,-37.632,encounter v,-0.11,-16.98,Pugeuk,-22.698,-50.963,장덕춘_,-13.207,-65.056,아침땅_,21.293,-47.908,Yaksok~,10.686,-63.665,ByeolBam,39.686,-89.918,Oort__Cloud,-5.596,-118.073,coder_,-41.433,-84.996,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,2,0,1,0,0,0,255,255,255,3,297.17,HANA_ARASHI,R,26,128,0.414,2.32,0.045,1.91,-36.452,1,0,-18.925,-200,0.7,0,0,0,1,7,R,Multeinn,160,95,0.498,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.113,-37.397,encounter v,-0.053,-16.97,Pugeuk,-22.251,-50.898,장덕춘_,-13.28,-64.78,아침땅_,21.027,-48.056,Yaksok~,10.606,-64.054,ByeolBam,39.642,-89.895,Oort__Cloud,-5.598,-118.038,coder_,-40.232,-84.153,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,3,0,1,0,0,0,255,255,255,4,313.273,HANA_ARASHI,R,26,134,-1.919,-0.703,-0.159,1.5,-36.35,1,0,-64.812,-200,16.348,0,0,0,1,7,R,Multeinn,160,95,0.498,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11,-37.372,encounter v,-0.263,-17.13,Pugeuk,-22.882,-50.163,장덕춘_,-13.257,-64.761,아침땅_,20.912,-48.746,Yaksok~,12.483,-64.153,ByeolBam,39.458,-89.698,Oort__Cloud,-5.603,-118.054,coder_,-40.252,-84.408,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,5
6,1,1,0,0,0,0,1,1,0,0,7,255,255,5,340.347,HANA_ARASHI,R,13,116,-1.049,-0.226,0.011,1.719,-36.415,2,0,-355.007,352.094,2.196,0,0,1,2,1,L,Kr_Luna,190,91.641,0.497,2,57,341.188,221,20,83,57,42,81,141,126,-30,1.669,0.74,0.015,-0.007,0.224,0,-0.431,-36.883,encounter v,-0.032,-17.048,Pugeuk,-20.605,-41.502,장덕춘_,-9.112,-62.774,아침땅_,23.418,-48.719,Yaksok~,15.32,-61.613,ByeolBam,39.968,-90.404,Oort__Cloud,4.056,-118.495,coder_,-40.683,-92.111,341.294,-0.24,-21.926,345.294,7,Oort__Cloud,-3.408,-104.774,1,0,0,0,0,0,0,2
7,1,1,0,0,0,0,1,1,1,0,255,7,255,6,377.036,HANA_ARASHI,R,13,96,-1.209,-0.406,0.029,1.86,-36.491,0,0,-331.818,324.718,-1.422,0,0,0,3,4,R,인생최패망자,190,80,0.45,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.363,-37.786,encounter v,-0.269,-17.101,Pugeuk,-21.365,-45.835,장덕춘_,-12.482,-64.602,아침땅_,20.442,-48.218,Yaksok~,7.244,-62.58,ByeolBam,37.555,-90.531,Oort__Cloud,-4.866,-114.705,coder_,-38.338,-85.243,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,1,1,1,1,0,255,7,255,7,394.144,HANA_ARASHI,R,26,129,-1.254,0.239,-0.128,1.772,-36.342,2,0,-110.644,-200,16.502,0,0,1,3,4,R,인생최패망자,190,80,0.45,3,57,395.218,160,10,102,60,24,113,146,107,33.669,3.508,0,0.022,-0.003,0.107,0,-0.201,-37.024,encounter v,-0.161,-17.051,Pugeuk,-20.851,-46.183,장덕춘_,-11.787,-64.694,아침땅_,20.906,-47.732,Yaksok~,9.387,-62.011,ByeolBam,37.707,-90.558,Oort__Cloud,-4.928,-114.774,coder_,-38.671,-85.106,400.861,-11.833,-108.545,401.044,7,Oort__Cloud,-11.498,-106.287,0,0,0,0,0,0,0,1
9,1,1,0,0,0,0,2,1,1,0,255,7,255,8,443.593,HANA_ARASHI,R,0,105,0.422,0.969,0.059,1.891,-36.548,0,0,0,0,3.858,0,0,0,4,5,L,vovopo 보보포,160,90,0.599,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.324,-37.545,encounter v,0.098,-16.876,Pugeuk,-21.031,-47.701,장덕춘_,-12.916,-64.68,아침땅_,21.857,-46.678,Yaksok~,12.282,-62.107,ByeolBam,37.326,-87.42,Oort__Cloud,2.64,-115.96,coder_,-40.306,-88.187,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,1,2,1,1,0,255,7,255,9,465.349,HANA_ARASHI,R,10,119,0.194,-0.786,0.018,1.843,-36.436,0,0,0,400,-0.461,0,0,0,4,5,L,vovopo 보보포,160,90,0.599,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.188,-37.488,encounter v,0.865,-18.14,Pugeuk,-21.926,-47.197,장덕춘_,-8.304,-65.394,아침땅_,21.346,-45.028,Yaksok~,13.105,-63.402,ByeolBam,37.097,-86.742,Oort__Cloud,2.906,-115.972,coder_,-40.646,-88.263,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
