id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,1,0,0,0,0,0,255,255,255,0,358.725,encounter v,R,26,135,-0.416,-0.479,0.308,1.846,-36.671,0,0,106.432,-200,-26.173,0,0,0,0,6,R,별이__,175,95,0.5,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,-36.986,Pugeuk,-0.1,-16.815,NABIMan,-21.317,-47.233,mochi_2929,-12.379,-61.506,눈꽃,16.486,-45.277,소솨소솨,15.365,-63.494,AI,35.702,-81.802,-yeoro-,3.466,-109.824,Kr_Luna,-46.672,-91.233,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,1,0,0,0,0,255,255,255,1,376.091,encounter v,R,32,124,1.531,0.734,0.461,1.772,-36.982,2,0,162.781,-94.128,-14.648,0,0,1,0,6,R,별이__,175,95,0.5,2,72,377.059,155,7,71,37,14,134,135,86,90.448,-89.043,-0.45,0.034,0.027,0.095,0,-0.19,-36.899,Pugeuk,-0.062,-16.759,NABIMan,-23.506,-47.964,mochi_2929,-12.355,-61.432,눈꽃,16.745,-44.561,소솨소솨,15.435,-63.504,AI,35.702,-81.802,-yeoro-,3.422,-109.85,Kr_Luna,-46.901,-91.135,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3
3,1,1,0,0,1,2,0,0,0,0,255,255,255,2,392.805,encounter v,R,26,140,0.776,0.301,0.414,1.692,-36.595,2,0,131.889,-151.993,-27.501,0,0,1,0,6,R,별이__,175,95,0.5,2,71,393.682,47,3,48,6,0,160,24,44,22.278,24.38,0.95,0.016,-0.029,0.095,0,-0.126,-36.689,Pugeuk,-0.034,-16.719,NABIMan,-22.521,-47.354,mochi_2929,-11.554,-60.215,눈꽃,16.54,-45.045,소솨소솨,15.245,-63.113,AI,35.702,-81.802,-yeoro-,1.402,-109.114,Kr_Luna,-48.461,-89.652,395.729,-8.584,-37.629,397.484,3,mochi_2929,-12.582,-47.176,0,0,0,0,0,0,0,2
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,423.064,encounter v,R,34,125,-0.22,1.923,0.338,1.868,-36.867,1,0,63.977,-36.299,-1.371,0,0,0,1,5,L,CAT tourniquet,169.9,94.945,0.357,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.157,-37.444,Pugeuk,-0.076,-16.73,NABIMan,-21.973,-46.819,mochi_2929,-10.494,-61.704,눈꽃,17.921,-43.666,소솨소솨,16.878,-62.847,AI,35.7,-81.8,-yeoro-,-0.616,-109.278,Kr_Luna,-2.722,-104.065,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,0,1,0,0,0,255,255,255,4,441.748,encounter v,R,27,135,-1.824,0.498,0.211,1.63,-36.485,1,0,-10.763,-114.594,-5.988,-0.798,-7.515,0,1,5,L,CAT tourniquet,169.9,94.945,0.357,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169,-37.134,Pugeuk,-0.131,-16.875,NABIMan,-20.862,-46.943,mochi_2929,-10.429,-62.527,눈꽃,17.847,-43.639,소솨소솨,16.929,-62.834,AI,35.701,-81.801,-yeoro-,4.739,-113.884,Kr_Luna,27.989,-110.64,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,2,0,1,0,0,0,255,255,255,5,456.909,encounter v,R,0,127,-1.392,0.947,0.248,1.729,-36.604,2,0,0,0,-13.45,0,0,1,1,5,L,CAT tourniquet,169.9,94.945,0.357,2,71,457.875,128,10,62,45,25,102,129,80,90,-90,-0.5,-0.021,-0.002,0.135,0,-0.089,-36.789,Pugeuk,-0.071,-16.798,NABIMan,-22.734,-48.348,mochi_2929,-10.516,-62.556,눈꽃,17.898,-43.523,소솨소솨,16.921,-62.833,AI,35.702,-81.802,-yeoro-,4.726,-113.936,Kr_Luna,27.937,-110.695,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3
7,1,1,0,0,2,1,1,0,0,0,255,255,255,6,473.866,encounter v,R,27,140,-2.633,-0.295,0.123,1.508,-36.439,4,0,34.96,-114.916,-6.139,0,0,1,1,5,L,CAT tourniquet,169.9,94.945,0.357,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.076,-37.108,Pugeuk,-0.463,-17.349,NABIMan,-22.194,-46.081,mochi_2929,-10.268,-62.309,눈꽃,17.777,-43.709,소솨소솨,16.895,-62.496,AI,35.702,-81.802,-yeoro-,3.445,-114.079,Kr_Luna,-27.512,-106.931,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,2,2,1,0,0,0,255,255,255,7,491.7,encounter v,R,26,129,-6.953,-2.807,0.278,1.599,-36.75,1,0,-62.315,-200,8.034,-0.852,-24.851,0,1,5,L,CAT tourniquet,169.9,94.945,0.357,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021,-36.987,Pugeuk,-1.074,-16.798,NABIMan,-22.16,-46.683,mochi_2929,-10.163,-62.535,눈꽃,17.54,-43.513,소솨소솨,16.951,-62.498,AI,35.7,-81.8,-yeoro-,2.973,-114.377,Kr_Luna,-42.091,-97.339,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,3,2,1,0,0,0,255,255,255,8,510.497,encounter v,R,10,128,-2.785,-2.125,0.119,1.378,-36.423,1,1,0,400,-29.668,-0.825,-16.732,0,1,5,L,CAT tourniquet,169.9,94.945,0.357,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126,-37.078,Pugeuk,-0.566,-17.234,NABIMan,-20.293,-44.959,mochi_2929,-10.904,-63.342,눈꽃,17.593,-43.515,소솨소솨,17.071,-62.049,AI,35.7,-81.8,-yeoro-,3.912,-113.866,Kr_Luna,-42.161,-97.278,0,0,0,0,0,,0,0,0,2,0,0,0,0,0,5
10,1,1,0,0,1,0,2,0,0,0,255,255,255,9,594.599,encounter v,R,0,140,0.727,0.511,0.436,1.651,-36.643,2,0,37.448,-31.314,-4.794,0,0,1,2,3,R,ke ro,166.2,84.746,0.313,2,68,595.591,172,11,92,52,24,118,141,88,91.948,-81.312,-0.4,-0.013,-0.015,0.182,0,-0.141,-36.892,Pugeuk,-0.088,-16.819,NABIMan,-23.761,-46.905,mochi_2929,-11.768,-62.156,눈꽃,17.173,-44.72,소솨소솨,13.938,-64.308,AI,35.702,-81.802,-yeoro-,4.953,-108.41,Kr_Luna,-41.464,-91.426,601.873,-22.56,-13.731,0,0,,0,0,0,0,0,0,0,0,0,3
11,1,1,0,0,1,1,2,0,0,0,255,255,255,10,619.615,encounter v,R,0,118,0.486,1.621,0.436,1.823,-37.084,4,0,-33.038,0,-1.13,0,0,1,2,3,R,ke ro,166.2,84.746,0.313,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109,-37.16,Pugeuk,-0.059,-16.791,NABIMan,-21.959,-44.394,mochi_2929,-11.788,-61.096,눈꽃,16.645,-44.514,소솨소솨,13.388,-63.684,AI,35.702,-81.801,-yeoro-,4.434,-109.047,Kr_Luna,-34.171,-101.48,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
