id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,267.897,소솨소솨,R,34,140,-1.436,0.737,-0.118,1.675,-36.788,0,0,87.005,-68.103,3.437,0.052,-16.365,1,0,3,L,あいくんだよー『아이 군』,174.7,90.233,0.4,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.288,-37.937,0,Pugeuk,-0.197,-16.662,0,Pring__,-22.305,-48.207,0,ke ro,-11.193,-65.148,0,인생최패망자,19.955,-44.962,0,ByeolBam,15.719,-63.72,0,AI,35.7,-81.8,0,눈꽃,3.142,-110.258,0,AI,-35.7,-81.8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,283.765,소솨소솨,R,0,134,-4.1,-0.981,-0.334,1.434,-36.802,3,0,5.562,-11.658,2.725,-0.619,-20.651,0,0,3,L,あいくんだよー『아이 군』,174.7,90.233,0.4,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.202,-37.563,0,Pugeuk,-0.386,-16.932,0,Pring__,-22.335,-48.201,0,ke ro,-11.206,-65.127,0,인생최패망자,18.052,-42.939,0,ByeolBam,15.601,-63.952,0,AI,35.7,-81.8,0,눈꽃,3.156,-110.263,0,AI,-35.7,-81.8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,6
3,1,1,0,0,2,1,0,0,0,0,255,255,255,2,334.158,소솨소솨,R,0,116,4.19,2.873,0.469,2.057,-37.17,4,0,-0.72,0,-2.075,0,0,1,0,3,L,あいくんだよー『아이 군』,174.7,90.233,0.4,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-37.858,0,Pugeuk,1.654,-18.555,0,Pring__,-22.758,-48.194,0,ke ro,-8.731,-65.344,0,인생최패망자,18.436,-42.688,0,ByeolBam,15.714,-63.669,0,AI,35.7,-81.8,0,눈꽃,0.296,-111.409,0,vovopo 보보포,-40.3,-80.277,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,2,2,0,0,0,0,255,255,255,3,357.201,소솨소솨,R,33,138,2.457,2.008,0.232,1.895,-36.96,1,0,120.741,-20.615,2.427,0,0,0,0,3,L,あいくんだよー『아이 군』,174.7,90.233,0.4,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17,-37.64,0,Pugeuk,0.08,-16.523,0,Pring__,-22.85,-48.105,0,ke ro,-8.695,-65.367,0,인생최패망자,19.073,-44.328,0,ByeolBam,15.45,-63.942,0,AI,35.7,-81.8,0,눈꽃,0.294,-111.43,0,vovopo 보보포,-33.98,-88.433,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,3,2,0,0,0,0,255,255,255,4,371.191,소솨소솨,R,4,112,-0.546,1.057,0.176,1.931,-36.969,0,0,-178.464,0,1.952,0,0,0,0,3,L,あいくんだよー『아이 군』,174.7,90.233,0.4,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.066,-38.234,0,Pugeuk,-0.055,-16.57,0,Pring__,-22.509,-47.586,0,ke ro,-9.117,-65.537,0,인생최패망자,19.369,-43.212,0,ByeolBam,15.204,-63.947,0,AI,35.7,-81.8,0,눈꽃,0.295,-111.43,0,vovopo 보보포,-33.565,-89.286,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,0,1,0,0,0,255,255,255,5,394.634,소솨소솨,R,26,140,-2.6,-0.311,-0.252,1.47,-36.699,1,0,195.39,-200,4.519,0,0,0,1,1,R,Yaksok~,172.9,86.312,0.301,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104,-37.899,0,Pugeuk,-0.354,-16.864,0,Pring__,-21.989,-47.68,0,ke ro,-12.134,-64.308,0,인생최패망자,18.067,-47.723,0,ByeolBam,15.188,-63.891,0,AI,35.7,-81.8,0,눈꽃,0.528,-111.527,0,vovopo 보보포,-35.257,-88.296,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,1,0,1,0,0,0,255,255,255,6,410.639,소솨소솨,R,39,92,4.817,5.168,0.047,1.802,-37.879,1,0,85.105,-159.481,10.222,2.288,-6.468,0,1,1,R,Yaksok~,172.9,86.312,0.301,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.247,-37.593,0,Pugeuk,1.512,-17.807,0,Pring__,-22.193,-47.498,0,ke ro,-12.102,-64.241,0,인생최패망자,18.013,-47.767,0,ByeolBam,14.983,-64.071,0,AI,35.7,-81.8,0,눈꽃,0.54,-111.523,0,vovopo 보보포,-42.749,-84.166,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,2,0,1,0,0,0,255,255,255,7,432.738,소솨소솨,R,28,120,-0.305,0.867,0.002,1.68,-36.57,2,0,30.136,-94.708,-2.78,0,0,1,1,1,R,Yaksok~,172.9,86.312,0.301,3,57,433.58,116,19,124,53,64,96,144,101,16.668,24.922,0.91,-0.13,-0.1,0.067,0,-0.22,-37.661,0,Pugeuk,-0.043,-16.377,0,Pring__,-22.184,-47.691,0,ke ro,-12.083,-64.214,0,인생최패망자,18,-47.666,0,ByeolBam,15.165,-64.044,0,AI,35.7,-81.8,0,눈꽃,0.532,-111.539,0,vovopo 보보포,-44.098,-82.936,0,436.079,-28.637,-73.874,436.896,8,vovopo 보보포,-32.712,-79.386,1,2,0,0,0,0,0,2
9,1,1,0,0,0,0,2,0,0,0,255,255,255,8,493.741,소솨소솨,R,3,104,-5.476,0.117,-0.126,1.534,-37.122,1,0,-419.221,0,3.142,-2.183,-10.976,0,2,4,R,HANA_ARASHI,190,86,0.25,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.227,-38.201,0,Pugeuk,-0.884,-16.779,0,Pring__,-22.487,-48.206,0,ke ro,-12.495,-63.261,0,인생최패망자,16.643,-47.668,0,ByeolBam,14.99,-63.463,0,AI,35.7,-81.8,0,눈꽃,-6.365,-110.039,0,vovopo 보보포,-45.901,-82.139,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,1,0,2,0,0,0,255,255,255,9,512.895,소솨소솨,R,28,139,-2.275,0.105,-0.185,1.578,-36.669,4,0,47.107,-59.935,2.698,0,0,1,2,4,R,HANA_ARASHI,190,86,0.25,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.193,-37.99,0,Pugeuk,-0.487,-16.746,0,Pring__,-22.393,-48.084,0,ke ro,-13,-63.743,0,인생최패망자,16.204,-47.831,0,ByeolBam,14.955,-63.488,0,AI,35.7,-81.8,0,눈꽃,-5.729,-110.299,0,vovopo 보보포,-45.943,-82.146,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
11,1,1,0,0,1,1,2,0,0,0,255,255,255,10,527.292,소솨소솨,R,27,127,1.544,0.827,0.194,1.877,-36.939,2,0,115.209,-132.407,4.277,0,0,1,2,4,R,HANA_ARASHI,190,86,0.25,3,57,528.365,82,11,107,36,13,173,132,92,42.201,38.659,-0.32,-0.004,-0.053,0.118,0,-0.046,-37.825,0,Pugeuk,-0.094,-16.583,0,Pring__,-22.44,-48.156,0,ke ro,-13.014,-63.747,0,인생최패망자,16.63,-48.252,0,ByeolBam,14.55,-64.036,0,AI,35.7,-81.8,0,눈꽃,-5.713,-110.274,0,vovopo 보보포,-45.897,-82.188,0,532.946,-43.973,-76.986,533.112,8,vovopo 보보포,-42.942,-75.661,0,0,0,0,0,0,0,1
12,1,0,0,0,0,0,0,0,0,0,255,255,255,0,637.311,하루（Haru）,R,3,115,-3.59,-0.077,0.122,1.977,-36.718,1,0,-396.372,0,11.188,0,0,0,0,4,R,인생최패망자,190,80,0.4,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.238,-37.216,0,Yaksok~,-0.442,-17.07,0,WhiteMountain,-23.725,-50.204,0,あいくんだよー『아이 군』,-14.071,-63.498,0,HANA_ARASHI,22.848,-48.028,0,bdg06213,15.098,-62.02,0,AI,35.7,-81.8,0,AI,0,-100.6,0,Kr_Luna,-44.665,-98.577,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
13,1,0,0,0,1,0,0,0,0,0,255,255,255,1,652.635,하루（Haru）,R,33,139,2.954,1.373,0.229,2.064,-36.68,3,0,127.549,-108.226,6.98,0.247,-21.314,0,0,4,R,인생최패망자,190,80,0.4,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114,-37.17,0,Yaksok~,-0.073,-18.719,0,WhiteMountain,-23.837,-50.103,0,あいくんだよー『아이 군』,-14.09,-63.416,0,HANA_ARASHI,23.222,-48.196,0,bdg06213,12.257,-60.02,0,AI,35.7,-81.8,0,AI,0,-100.6,0,Kr_Luna,-38.655,-103.883,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,6
