id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,316.592,Yaksok~,R,10,100,-0.735,-0.352,0.003,1.99,-36.635,0,0,0,400,-3.142,0,0,0,0,9,R,Pugeuk,190,92.687,0.548,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.34,-37.228,0,WhiteMountain,-0.108,-17.06,0,Pring__,-24.732,-50.334,0,ʚEveɞ,-13.286,-65.195,0,인생최패망자,16.941,-47.753,0,소솨소솨,13.839,-65.089,0,Apple_Sherbet,40.904,-76.793,0,Oort__Cloud,-5.697,-116.729,0,Kr_Luna,-45.325,-91.258,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,328.935,Yaksok~,R,33,140,-2.206,-0.167,-0.146,1.575,-36.507,1,0,147.571,-27.864,1.847,0,0,0,0,9,R,Pugeuk,190,92.687,0.548,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.26,-37.039,0,WhiteMountain,-0.234,-17.085,0,Pring__,-24.601,-50.203,0,ʚEveɞ,-13.397,-64.87,0,인생최패망자,15.939,-43.733,0,소솨소솨,13.962,-64.226,0,Apple_Sherbet,41.784,-79.606,0,Oort__Cloud,-6.044,-114.502,0,Kr_Luna,-45.131,-94.024,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,340.793,Yaksok~,R,13,93,-0.005,-0.555,0.421,1.859,-36.835,0,0,-305.678,345.367,-4.926,0,0,1,0,9,R,Pugeuk,190,92.687,0.548,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.29,-37.391,0,WhiteMountain,-0.055,-17.082,0,Pring__,-24.609,-50.204,0,ʚEveɞ,-13.421,-64.868,0,인생최패망자,15.666,-48.72,0,소솨소솨,12.567,-61.858,0,Apple_Sherbet,42.8,-81.971,0,Oort__Cloud,-6.056,-114.482,0,Kr_Luna,-44.902,-94.029,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,352.204,Yaksok~,R,10,114,-0.485,-0.954,0.056,1.578,-36.407,2,0,0,400,0.499,0,0,1,0,9,R,Pugeuk,190,92.687,0.548,3,67,353.217,208,9,116,51,6,94,150,130,-30,-32.019,0.36,-0.048,-0.072,0.192,0,-0.295,-36.68,0,WhiteMountain,-0.018,-17.01,0,Pring__,-24.61,-50.203,0,ʚEveɞ,-13.4,-64.867,0,인생최패망자,15.314,-49.303,0,소솨소솨,12.692,-64.137,0,Apple_Sherbet,40.35,-86.631,0,Oort__Cloud,-6.318,-114.605,0,Kr_Luna,-44.92,-93.973,0,353.127,-0.155,-19.759,360.468,6,Apple_Sherbet,40.508,-97.217,1,0,0,0,0,0,0,2
5,1,1,0,0,0,0,0,0,1,0,255,0,255,4,399.058,Yaksok~,R,33,134,-10.657,-0.985,-0.198,1.568,-36.495,1,0,148.717,15.165,-4.189,-2.455,-15.29,0,1,2,L,하루（Haru）,190,94.522,0.55,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.408,-37.289,0,WhiteMountain,-0.182,-16.805,0,Pring__,-22.598,-47.532,0,ʚEveɞ,-13.214,-65.034,0,인생최패망자,19.923,-42.999,0,소솨소솨,16.357,-61.839,0,Apple_Sherbet,44.236,-86.547,0,Oort__Cloud,3.234,-120.395,0,Kr_Luna,-22.811,-116.155,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,1,0,0,0,0,1,255,255,0,5,419.917,Yaksok~,R,26,101,0.824,0.41,0.157,1.731,-36.579,2,0,-110.146,-200,6.256,0,0,1,1,2,L,하루（Haru）,190,94.522,0.55,3,64,420.916,249,11,106,153,98,43,150,65,-12.263,-45.511,0.99,0.179,-0.056,0.017,0,-0.534,-36.869,0,WhiteMountain,-0.028,-17.062,0,Pring__,-21.84,-47.563,0,ʚEveɞ,-12.589,-65.109,0,인생최패망자,19.761,-45.207,0,소솨소솨,16.759,-62.388,0,Apple_Sherbet,46.086,-84.919,0,Oort__Cloud,3.912,-115.765,0,Kr_Luna,-28.37,-113.51,0,421.191,5.305,-24.886,423.049,4,인생최패망자,20.099,-38.593,0,0,0,0,0,0,0,2
7,1,1,0,0,1,1,0,0,0,1,255,255,0,6,438.896,Yaksok~,R,32,140,1.275,0.131,0.167,1.629,-36.521,0,0,183.564,-43.68,-0.009,0,0,0,1,2,L,하루（Haru）,190,94.522,0.55,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.247,-37.161,0,WhiteMountain,0.049,-17.178,0,Pring__,-22.38,-44.452,0,ʚEveɞ,-11.333,-65.742,0,인생최패망자,19.183,-42.504,0,소솨소솨,16.383,-61.126,0,Apple_Sherbet,47.193,-84.465,0,Oort__Cloud,3.598,-115.463,0,Kr_Luna,-34.231,-92.125,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,1,2,0,0,0,1,255,255,0,7,452.339,Yaksok~,R,29,108,0.573,-0.173,0.158,1.613,-36.552,2,0,-158.754,-138.351,-1.905,0,0,1,1,2,L,하루（Haru）,190,94.522,0.55,3,63,453.347,99,9,78,51,77,45,136,101,11.108,-10.431,0.01,0.048,-0.014,0,0.048,-0.3,-36.647,0,WhiteMountain,-0.039,-17.098,0,Pring__,-21.344,-46.702,0,ʚEveɞ,-11.225,-65.655,0,인생최패망자,19.984,-45.181,0,소솨소솨,16.82,-59.475,0,Apple_Sherbet,47.195,-84.808,0,Oort__Cloud,3.422,-115.447,0,Kr_Luna,-34.183,-92.11,0,455.498,8.693,-74.435,457.59,7,Oort__Cloud,11.913,-100.536,1,0,0,0,0,0,0,2
9,1,1,1,0,0,0,0,1,0,0,2,255,255,8,483.272,Yaksok~,R,33,140,-2.939,-0.636,-0.199,1.521,-36.384,4,0,108.629,-16.447,0.019,0,0,1,2,3,R,장덕춘_,160,95.177,0.548,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.387,-37.266,0,WhiteMountain,-0.349,-17.245,0,Pring__,-19.513,-40.598,0,ʚEveɞ,-10.215,-64.596,0,인생최패망자,13.47,-42.247,0,소솨소솨,5.067,-61.722,0,Apple_Sherbet,37.089,-84.037,0,Oort__Cloud,-2.403,-116.542,0,Kr_Luna,-35.857,-103.076,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,1,0,0,1,0,1,0,0,2,255,255,9,498.88,Yaksok~,R,33,138,1.421,0.581,0.192,1.686,-36.551,0,0,138.596,-20.829,0.667,0,0,0,2,3,R,장덕춘_,160,95.177,0.548,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.312,-37.071,0,WhiteMountain,0.03,-17.113,0,Pring__,-19.592,-41.03,0,ʚEveɞ,-13.28,-61.249,0,인생최패망자,16.255,-48.236,0,소솨소솨,7.029,-61.397,0,Apple_Sherbet,37.488,-84.858,0,Oort__Cloud,-2.929,-116.257,0,Kr_Luna,-35.869,-103.061,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
