id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,252.899,HANA_ARASHI,R,10,116,1.049,-1.176,0.098,1.765,-36.489,2,0,0,400,7.687,0,0,1,0,3,R,ke ro,173.1,86.691,0.363,2,79,253.814,209,15,132,75,40,176,150,64,8.645,-9.703,1,-0.024,-0.023,0,0,-0.109,-37.092,0,それいゆ るな,0.01,-17.134,0,하루（Haru）,-20.842,-47.799,0,아침땅_,-14.26,-64.359,0,Pring__,23.019,-48.564,0,-라후이-,12.673,-61.956,0,Multeinn,42.961,-83.147,0,소솨소솨,-0.669,-105.574,0,CAT tourniquet,-34.57,-85.215,0,255.138,3.839,-41.464,256.613,5,-라후이-,7.159,-54.798,0,0,0,0,0,0,0,2
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,285.883,HANA_ARASHI,R,0,129,-0.271,1.852,-0.025,2.091,-36.619,1,0,0,0,0,0,0,0,1,4,R,인생최패망자,190,80,0.4,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,-37.595,0,それいゆ るな,-0.03,-17.038,0,하루（Haru）,-20.504,-46.572,0,아침땅_,-14.172,-64.362,0,Pring__,23.616,-49.221,0,-라후이-,10.991,-62.859,0,Multeinn,42.241,-80.308,0,소솨소솨,0.335,-107.731,0,CAT tourniquet,-33.47,-80.901,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,0,1,0,0,0,255,255,255,2,300.765,HANA_ARASHI,R,10,101,1.181,-0.205,0.158,2.022,-36.475,2,0,101.334,400,-6.979,0,0,1,1,4,R,인생최패망자,190,80,0.4,3,79,301.935,159,18,68,103,34,98,139,94,90.03,89.932,-0.49,0.06,-0.057,0.044,0,-0.131,-36.837,0,それいゆ るな,0.024,-17.097,0,하루（Haru）,-20.96,-48.145,0,아침땅_,-14.298,-64.315,0,Pring__,23.611,-49.252,0,-라후이-,11.537,-62.508,0,Multeinn,43.843,-79.685,0,소솨소솨,0.332,-107.846,0,CAT tourniquet,-33.509,-80.83,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3
4,1,1,0,0,1,1,1,0,0,0,255,255,255,3,316.947,HANA_ARASHI,R,13,119,-2.662,-0.986,-0.06,1.755,-36.374,4,0,-376.565,328.936,6.724,0,0,1,1,4,R,인생최패망자,190,80,0.4,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.199,-37.383,0,それいゆ るな,-0.353,-16.939,0,하루（Haru）,-21.016,-46.164,0,아침땅_,-14.23,-64.219,0,Pring__,24.014,-49.881,0,-라후이-,9.656,-61.761,0,Multeinn,42.552,-78.746,0,소솨소솨,0.726,-105.221,0,CAT tourniquet,-31.429,-79.724,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,2,1,0,0,0,255,255,255,4,335.051,HANA_ARASHI,R,13,114,-0.95,0.912,0.021,2.072,-36.569,2,0,-291.507,400,10.05,0,0,1,1,4,R,인생최패망자,190,80,0.4,3,76,336.186,214,6,98,33,28,78,141,97,95.001,38.337,-0.39,-0.001,-0.015,0.102,0,-0.007,-36.805,0,それいゆ るな,-0.048,-17.149,0,하루（Haru）,-20.448,-47.435,0,아침땅_,-14.254,-64.347,0,Pring__,24.074,-49.904,0,-라후이-,10.75,-61.252,0,Multeinn,45.774,-88.26,0,소솨소솨,0.725,-106.23,0,CAT tourniquet,-31.293,-79.716,0,343.16,6.625,-3.013,0,0,,0,0,0,0,0,0,0,0,0,3
6,1,1,0,0,1,2,1,0,0,0,255,255,255,5,359.361,HANA_ARASHI,R,13,118,-2.79,-0.602,-0.138,1.831,-36.419,2,0,-357.269,349.799,18.727,0,0,1,1,4,R,인생최패망자,190,80,0.4,3,76,360.423,205,11,98,87,59,72,150,100,12.453,-21.972,0.96,-0.072,-0.053,0.037,0,-0.04,-36.712,0,それいゆ るな,0.003,-17.014,0,하루（Haru）,-20.353,-47.597,0,아침땅_,-14.292,-64.394,0,Pring__,24.812,-50.2,0,-라후이-,9.956,-61.468,0,Multeinn,40.172,-87.43,0,소솨소솨,-0.333,-104.39,0,CAT tourniquet,-32.088,-78.704,0,0,0,0,362.525,5,-라후이-,13.43,-62.513,0,0,0,0,0,0,0,1
7,1,1,0,0,0,0,2,0,0,0,255,255,255,6,384.825,HANA_ARASHI,R,0,134,-2.087,-1.128,-0.194,1.511,-36.411,1,0,0,0,0,0,0,0,2,8,L,NABIMan,190,99.228,0.547,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145,-37.144,0,それいゆ るな,-0.223,-17.126,0,하루（Haru）,-20.719,-45.662,0,아침땅_,-9.271,-66.533,0,Pring__,21.475,-47.614,0,-라후이-,12.297,-62.952,0,Multeinn,42.041,-92.431,0,소솨소솨,-0.597,-106.717,0,CAT tourniquet,-31.313,-92.859,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,1,0,2,0,0,0,255,255,255,7,397.339,HANA_ARASHI,R,13,115,2.509,0.782,0.37,1.982,-36.551,4,0,-358.685,348.347,11.805,0.671,-17.485,1,2,8,L,NABIMan,190,99.228,0.547,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,-36.916,0,それいゆ るな,0.266,-17.085,0,하루（Haru）,-21.02,-45.257,0,아침땅_,-9.265,-66.527,0,Pring__,21.483,-47.615,0,-라후이-,12.663,-62.263,0,Multeinn,42.073,-92.425,0,소솨소솨,-0.545,-106.78,0,CAT tourniquet,-29.123,-94.782,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,1,1,2,0,0,0,255,255,255,8,412.414,HANA_ARASHI,R,0,140,-1.608,-0.167,-0.131,1.736,-36.407,4,0,0,0,0,-0.038,-19.837,1,2,8,L,NABIMan,190,99.228,0.547,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,-37.171,0,それいゆ るな,-0.116,-17.105,0,하루（Haru）,-19.632,-46.856,0,아침땅_,-9.253,-66.538,0,Pring__,21.39,-47.484,0,-라후이-,13.265,-62.21,0,Multeinn,40.499,-91.726,0,소솨소솨,-0.608,-106.789,0,CAT tourniquet,-29.327,-94.798,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,1,2,2,0,0,0,255,255,255,9,455.345,HANA_ARASHI,R,13,111,-1.744,-1.026,-0.038,1.717,-36.425,2,0,-367.726,338.789,14.254,0,0,1,2,8,L,NABIMan,190,99.228,0.547,3,37,456.317,172,15,169,90,33,246,150,129,-15.036,27.807,0.43,0.081,-0.061,0.067,0,-0.144,-36.695,0,それいゆ るな,0.006,-17.036,0,하루（Haru）,-19.79,-46.753,0,아침땅_,-9.533,-66.429,0,Pring__,21.929,-47.77,0,-라후이-,14.324,-62.2,0,Multeinn,39.379,-89.618,0,소솨소솨,-0.639,-106.885,0,CAT tourniquet,-30.578,-95.166,0,456.313,-1.484,-22.465,459.48,8,CAT tourniquet,-38.9,-90.778,1,4,0,0,0,0,0,2
