id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,717.832,눈꽃,R,0,140,-1.778,0.778,0.522,1.049,-36.663,4,0,0,0,0,0,0,1,0,0,L,-Alta-,189.7,88.994,0.502,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368,-36.678,0,Pring__,-0.005,-16.614,0,하루（Haru）,-20.114,-46.978,0,장덕춘_,-13.952,-64.126,0,즉석카레,22.452,-51.143,0,Pugeuk,13.43,-63.574,0,소솨소솨,41.641,-81.835,0,Gonyong,9.015,-106.051,0,AI,-35.7,-81.8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,733.535,눈꽃,R,0,140,2.962,-0.284,0.584,1.07,-36.548,1,0,0,0,0,0,0,0,0,0,L,-Alta-,189.7,88.994,0.502,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386,-37.17,0,Pring__,0.04,-16.622,0,하루（Haru）,-21.423,-48.525,0,장덕춘_,-13.843,-64.354,0,즉석카레,22.428,-51.11,0,Pugeuk,13.368,-63.6,0,소솨소솨,40.359,-79.561,0,Gonyong,10.27,-104.795,0,AI,-35.7,-81.8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,745.007,눈꽃,R,6,96,0.072,-0.675,0.164,1.035,-36.681,2,0,417.377,-145.886,26.888,0,0,1,0,0,L,-Alta-,189.7,88.994,0.502,3,91,746.241,133,21,104,92,85,101,150,81,-30,-45.777,0.98,0.007,-0.123,0.059,0,0.303,-36.96,0,Pring__,-0.065,-16.876,0,하루（Haru）,-21.329,-48.31,0,장덕춘_,-14.443,-64.473,0,즉석카레,22.504,-51.362,0,Pugeuk,12.474,-62.633,0,소솨소솨,40.572,-80.309,0,Gonyong,15.054,-116.164,0,AI,-35.7,-81.8,0,746.427,1.269,-22.102,750.772,6,소솨소솨,43.14,-62.215,1,0,0,0,0,0,0,2
4,1,1,0,0,1,0,0,1,0,0,0,255,255,4,800.308,눈꽃,R,0,132,-0.505,0.524,0.203,1.328,-36.347,2,0,0,0,0,0,0,1,1,3,R,ByeolBam,174.9,95.06,0.496,3,90,801.139,118,15,92,69,44,57,141,127,30.268,3.246,0.56,-0.036,-0.058,0.102,0,0.415,-36.9,0,Pring__,-0.026,-16.786,0,하루（Haru）,-18.814,-42.61,0,장덕춘_,-13.104,-64.196,0,즉석카레,22.338,-49.203,0,Pugeuk,9.021,-64.04,0,소솨소솨,36.96,-81.36,0,Gonyong,1.666,-98.742,0,AI,-35.708,-81.807,0,807.527,-15.528,-133.065,809.327,7,Gonyong,-17.218,-125.581,1,0,0,0,0,0,0,2
5,1,1,0,0,0,0,0,0,1,1,255,3,0,5,862.452,눈꽃,R,0,139,-0.167,0.127,0.499,1.114,-36.695,2,0,0,0,0,0,0,1,2,5,R,TaeGeuk_,177.3,88.195,0.58,3,90,863.254,141,20,95,56,0,124,141,93,33.962,38.792,-0.34,-0.003,-0.045,0.018,0,0.305,-37.058,0,Pring__,0.024,-16.714,0,하루（Haru）,-21.387,-49.18,0,장덕춘_,-14.045,-64.341,0,즉석카레,19.743,-43.432,0,Pugeuk,3.937,-66.152,0,소솨소솨,36.282,-76.821,0,Gonyong,-10.115,-105.995,0,Kr_Luna,-42.464,-89.882,0,867.816,-38.02,-84.637,867.983,8,Kr_Luna,-37.012,-82.598,0,0,0,0,0,0,0,1
6,1,1,0,0,0,0,1,0,1,1,255,3,0,6,895.307,눈꽃,R,0,140,3.251,-1.901,0.603,0.953,-36.766,1,0,0,0,0,0.678,-17.514,0,3,8,L,SOM_candy,160,95,0.581,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372,-36.641,0,Pring__,0.084,-16.777,0,하루（Haru）,-19.92,-47.413,0,장덕춘_,-14.329,-63.992,0,즉석카레,20.165,-45.164,0,Pugeuk,11.065,-62.366,0,소솨소솨,41.797,-79.309,0,Gonyong,17.917,-118.55,0,Kr_Luna,-15.882,-102.605,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,1,0,1,0,1,1,255,3,0,7,912.504,눈꽃,R,0,140,-0.061,0.995,0.203,1.29,-36.41,0,0,0,0,0,0,0,1,3,8,L,SOM_candy,160,95,0.581,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,-36.841,0,Pring__,0.014,-16.682,0,하루（Haru）,-19.343,-46.172,0,장덕춘_,-14.138,-64.032,0,즉석카레,19.41,-45.916,0,Pugeuk,14.066,-61.112,0,소솨소솨,41.791,-79.329,0,Gonyong,17.961,-118.467,0,Kr_Luna,-15.766,-102.604,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,1,1,1,0,1,1,255,3,0,8,949.357,눈꽃,R,3,127,-0.788,0.52,0.408,1.221,-36.519,2,0,-440.267,-65.215,3.483,0,0,1,3,8,L,SOM_candy,160,95,0.581,3,47,950.467,97,10,54,54,30,35,120,105,95.856,72.556,0.34,-0.031,0.048,0.015,0,0.388,-36.97,0,Pring__,0.205,-16.777,0,하루（Haru）,-19.412,-46.388,0,장덕춘_,-14.218,-63.955,0,즉석카레,19.413,-44.698,0,Pugeuk,13.052,-58.469,0,소솨소솨,38.631,-75.106,0,Gonyong,22.79,-119.584,0,Kr_Luna,-18.792,-107.135,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3
9,1,1,0,0,1,2,1,0,1,1,255,3,0,9,968.619,눈꽃,R,2,121,-1.995,0.898,0.364,1.103,-36.642,1,0,-376.612,-328.882,2.505,0,0,0,3,8,L,SOM_candy,160,95,0.581,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,-37.024,0,Pring__,0.004,-16.776,0,하루（Haru）,-20.185,-46.91,0,장덕춘_,-14.04,-63.757,0,즉석카레,19.491,-44.008,0,Pugeuk,17.41,-60.582,0,소솨소솨,39.652,-74.369,0,Gonyong,22.465,-119.15,0,Kr_Luna,-17.506,-110.798,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,2,2,1,0,1,1,255,3,0,10,982.686,눈꽃,R,2,122,-1.022,-0.161,0.362,1.174,-36.585,2,0,-390.434,-312.348,9.525,0,0,1,3,8,L,SOM_candy,160,95,0.581,3,47,983.609,87,7,78,41,17,63,132,83,-36.101,-45.398,-0.21,-0.016,-0.004,0.086,0,0.285,-36.853,0,Pring__,-0.011,-16.869,0,하루（Haru）,-20.321,-47.059,0,장덕춘_,-14.043,-63.929,0,즉석카레,19.122,-44.607,0,Pugeuk,15.58,-61.256,0,소솨소솨,42.276,-76.054,0,Gonyong,22.447,-119.177,0,Kr_Luna,-17.612,-110.01,0,983.705,0.578,-19.483,985.838,4,즉석카레,22.085,-40.872,0,0,0,0,0,0,0,2
