id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,387.19,Gonyong,R,26,125,0.158,0.928,-0.013,1.611,-36.465,0,0,99.095,-200,13.322,0.14,-17.106,0,0,3,R,ke ro,165.4,80,0.5,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.036,-37.496,0,WhiteMountain,-0.023,-17.02,0,NABIMan,-22.491,-49.919,0,하루（Haru）,-13.449,-64.926,0,bdg06213,22.42,-53.288,0,Sabo_10,11.883,-65.558,0,아침땅_,36.99,-78.596,0,Tamari_,0.9,-120.835,0,_Chun,-47.491,-90.592,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,401.402,Gonyong,R,26,125,-0.251,0.692,-0.075,1.576,-36.514,0,0,155.792,-200,20.498,0,0,0,0,3,R,ke ro,165.4,80,0.5,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,-37.337,0,WhiteMountain,-0.018,-16.959,0,NABIMan,-22.841,-48.501,0,하루（Haru）,-13.497,-64.87,0,bdg06213,21.642,-52.279,0,Sabo_10,11.753,-65.435,0,아침땅_,35.467,-84.413,0,Tamari_,-7.614,-119.479,0,_Chun,-45.373,-90.502,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,412.96,Gonyong,R,26,129,-0.518,0.004,-0.077,1.478,-36.47,2,0,91.417,-200,15.987,0,0,1,0,3,R,ke ro,165.4,80,0.5,2,78,413.988,147,10,85,49,30,170,139,87,30.414,20.572,-0.34,-0.034,-0.066,0,0,-0.269,-37.074,0,WhiteMountain,-0.051,-16.728,0,NABIMan,-23.272,-49.083,0,하루（Haru）,-14.779,-64.533,0,bdg06213,22.677,-52.669,0,Sabo_10,11.837,-65.451,0,아침땅_,35.764,-85.383,0,Tamari_,-7.569,-119.472,0,_Chun,-45.402,-90.509,0,418.733,-30.634,-83.568,423.192,7,Tamari_,-44.482,-106.562,1,0,0,0,0,0,0,2
4,1,1,0,0,0,0,0,0,0,1,255,255,3,3,456.528,Gonyong,R,10,118,-1.762,-0.96,-0.124,1.484,-36.455,2,0,-136.145,400,9.069,0,0,1,1,6,L,Pring__,180.4,95.172,0.482,3,77,457.431,185,32,127,148,74,173,150,79,-30,-42.36,0.98,0.026,-0.036,0.081,0,-0.309,-37.19,0,WhiteMountain,-0.032,-16.838,0,NABIMan,-24.018,-50.94,0,하루（Haru）,-13.528,-64.542,0,bdg06213,19.58,-43.514,0,Sabo_10,12.251,-63.964,0,아침땅_,43.071,-86.03,0,Tamari_,-13.192,-122.979,0,_Chun,-44.634,-86.766,0,457.482,0.671,-22.116,459.357,4,bdg06213,18.288,-41.908,0,0,0,0,0,0,0,2
5,1,1,0,0,0,0,1,0,0,1,255,255,3,4,487.729,Gonyong,R,13,113,1.09,0.049,0.219,1.64,-36.529,2,0,-384.405,319.738,2.403,0,0,1,2,4,R,白霜らいふ,190,100.374,0.8,2,75,488.819,199,25,130,73,48,255,150,128,-15.092,5.497,0.26,-0.053,-0.058,0.328,0,0.067,-37.315,0,WhiteMountain,0.05,-16.835,0,NABIMan,-23.62,-49.791,0,하루（Haru）,-15.217,-63.526,0,bdg06213,18.496,-41.417,0,Sabo_10,12.934,-62.924,0,아침땅_,40.091,-87.316,0,Tamari_,-13.024,-123.035,0,_Chun,-43.503,-85.781,0,488.906,-0.153,-25.201,492.447,7,Tamari_,-6.876,-108.79,1,0,0,0,0,0,0,2
6,1,1,1,0,0,0,1,1,0,0,4,255,255,5,521.667,Gonyong,R,32,139,0.786,0.01,0.014,1.486,-36.28,2,0,250,-200,24.664,0,0,1,3,1,R,인생최패망자,190,80,0.4,3,74,522.674,187,18,112,90,44,98,150,96,89.981,-89.979,-0.52,-0.024,-0.052,0.047,0,-0.28,-37.118,0,WhiteMountain,-0.051,-16.834,0,NABIMan,-19.727,-42.879,0,하루（Haru）,-16.586,-65.121,0,bdg06213,23.733,-51.106,0,Sabo_10,12.572,-63.936,0,아침땅_,38.981,-90.047,0,Tamari_,-1.041,-121.07,0,_Chun,-38.393,-84.676,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3
7,1,1,1,0,0,1,1,0,0,1,255,255,255,6,560.06,Gonyong,R,26,129,-2.338,-0.709,-0.24,1.343,-36.41,1,0,70.838,-200,8.129,0,0,0,3,1,R,인생최패망자,190,80,0.4,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,-37.762,0,WhiteMountain,-0.121,-16.701,0,NABIMan,-19.681,-43.063,0,하루（Haru）,-11.635,-63.613,0,bdg06213,19.312,-47.422,0,Sabo_10,9.445,-62.432,0,아침땅_,37.009,-85.772,0,Tamari_,0.047,-118.469,0,_Chun,-40.756,-90.12,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,1,0,1,1,1,0,0,1,255,255,255,7,585.392,Gonyong,R,32,125,1.253,1.043,0.042,1.675,-36.504,2,0,233.587,-200,13.66,0,0,1,3,1,R,인생최패망자,190,80,0.4,3,74,586.416,210,21,102,102,49,129,150,130,106.374,-2.053,0.44,-0.034,-0.043,0.048,0,-0.221,-37.233,0,WhiteMountain,-0.026,-17.014,0,NABIMan,-22.959,-47.92,0,하루（Haru）,-14.011,-64.361,0,bdg06213,24.102,-53.073,0,Sabo_10,10.818,-64.054,0,아침땅_,38.565,-90.704,0,Tamari_,0.305,-119.514,0,_Chun,-41.266,-89.451,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3
9,1,1,1,0,1,2,1,0,0,1,255,255,255,8,604.615,Gonyong,R,26,124,-0.713,-0.913,-0.083,1.3,-36.418,0,0,49.879,-200,17.465,0,0,0,3,1,R,인생최패망자,190,80,0.4,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,-37.768,0,WhiteMountain,-0.049,-16.68,0,NABIMan,-21.916,-48.2,0,하루（Haru）,-15.35,-66.567,0,bdg06213,23.091,-47.601,0,Sabo_10,9.543,-62.058,0,아침땅_,39.5,-91.457,0,Tamari_,3.728,-118.956,0,_Chun,-42.942,-90.31,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,1,0,0,0,2,0,0,1,255,255,255,9,628.654,Gonyong,R,13,112,-0.471,1.177,0.077,1.816,-36.667,2,0,-359.517,347.487,4.885,0,0,1,4,5,R,nalssi,160,89.899,0.2,3,72,629.615,79,15,29,33,43,29,47,47,-69.209,43.309,-0.19,-0.015,0.003,0.06,0,0.042,-37.255,0,WhiteMountain,-0.012,-16.813,0,NABIMan,-22.721,-47.288,0,하루（Haru）,-14.555,-63.823,0,bdg06213,24.42,-52.566,0,Sabo_10,11.267,-64.652,0,아침땅_,35.075,-84.056,0,Tamari_,1.01,-120.13,0,_Chun,-43.297,-87.632,0,629.658,-0.481,-20.515,632.7,0,Gonyong,-8.151,-30.075,0,0,0,0,0,0,0,2
