id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,242.636,Penguin_iDOL,R,27,139,-2.682,-0.598,0.002,1.789,-36.543,1,0,-2.933,-122.035,26.098,0,0,0,0,1,L,_Chun,190,94.847,0.452,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,-37.763,0,-라후이-,-0.066,-17.079,0,눈꽃,-19.771,-44.861,0,それいゆ るな,-11.448,-57.641,0,Kr_Luna,20.865,-53.672,0,Chunsik03,15.334,-62.402,0,˗ˋˏ 카피 ˎˊ˗,41.392,-92.887,0,아침땅_,5.267,-110.461,0,Oort__Cloud,-36.989,-86.433,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,258.411,Penguin_iDOL,R,14,118,2.335,0.818,0.311,2.128,-36.875,1,0,163.799,400,14.507,0.614,-17.178,0,0,1,L,_Chun,190,94.847,0.452,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.057,-37.786,0,-라후이-,0.729,-16.664,0,눈꽃,-19.486,-45.64,0,それいゆ るな,-11.768,-63.091,0,Kr_Luna,21.655,-52.2,0,Chunsik03,15.41,-62.366,0,˗ˋˏ 카피 ˎˊ˗,42.121,-93.387,0,아침땅_,5.705,-110.529,0,Oort__Cloud,-36.905,-86.395,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,2,0,0,0,0,0,255,255,255,2,274.807,Penguin_iDOL,R,14,126,-0.093,-0.808,0.184,1.911,-36.667,0,0,180.412,400,29.642,0,0,1,0,1,L,_Chun,190,94.847,0.452,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115,-37.58,0,-라후이-,0.166,-16.764,0,눈꽃,-19.543,-45.226,0,それいゆ るな,-12.081,-62.867,0,Kr_Luna,21.625,-52.192,0,Chunsik03,15.468,-62.561,0,˗ˋˏ 카피 ˎˊ˗,42.123,-93.404,0,아침땅_,5.719,-110.475,0,Oort__Cloud,-36.984,-86.469,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,2,1,0,0,0,0,255,255,255,3,287.897,Penguin_iDOL,R,26,140,-0.628,-0.227,0.204,1.841,-36.537,2,0,-44.598,-200,38.742,0,0,1,0,1,L,_Chun,190,94.847,0.452,3,63,288.829,173,13,94,48,20,147,141,104,111.461,65.9,-0.04,0.018,-0.032,0.22,0,-0.033,-36.751,0,-라후이-,0.097,-16.929,0,눈꽃,-19.288,-45.407,0,それいゆ るな,-12.091,-62.863,0,Kr_Luna,21.69,-51.898,0,Chunsik03,15.48,-62.578,0,˗ˋˏ 카피 ˎˊ˗,42.133,-93.408,0,아침땅_,5.703,-110.517,0,Oort__Cloud,-37.012,-86.398,0,294.395,65.598,24.485,0,0,,0,0,0,0,0,0,0,0,0,3
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,304.264,Penguin_iDOL,R,14,126,3.115,-0.705,0.335,1.827,-36.746,2,0,355.618,351.477,20.43,0,0,1,0,1,L,_Chun,190,94.847,0.452,3,61,305.281,158,12,100,54,15,67,143,117,-30,-36.789,0.89,0.065,-0.056,0.145,0,-0.222,-37.021,0,-라후이-,0.175,-16.589,0,눈꽃,-19.461,-45.758,0,それいゆ るな,-11.795,-63.936,0,Kr_Luna,22.693,-51.938,0,Chunsik03,15.619,-62.451,0,˗ˋˏ 카피 ˎˊ˗,42.835,-92.244,0,아침땅_,6.207,-109.69,0,Oort__Cloud,-42.759,-86.481,0,305.22,1.349,-19.541,308.745,6,˗ˋˏ 카피 ˎˊ˗,44.038,-76.808,1,0,0,0,0,0,0,2
6,1,1,0,0,0,0,0,1,0,0,0,255,255,5,342.685,Penguin_iDOL,R,26,137,2.479,1.507,0.435,2.048,-36.733,1,0,1.969,-200,22.998,0,0,0,1,3,L,vovopo 보보포,160,80,0.599,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,-38.072,0,-라후이-,-0.02,-16.452,0,눈꽃,-19.474,-42.634,0,それいゆ るな,-11.496,-62.667,0,Kr_Luna,21.034,-50.565,0,Chunsik03,14.494,-63.02,0,˗ˋˏ 카피 ˎˊ˗,43.722,-87.622,0,아침땅_,7.438,-93.722,0,Oort__Cloud,-42.951,-87.741,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,1,0,0,1,0,0,0,255,255,6,355.158,Penguin_iDOL,R,26,140,1.395,0.857,0.399,1.999,-36.681,0,0,-67.804,-200,32.729,0,0,0,1,3,L,vovopo 보보포,160,80,0.599,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-37.559,0,-라후이-,0.201,-16.574,0,눈꽃,-19.054,-42.667,0,それいゆ るな,-9.96,-61.099,0,Kr_Luna,21.855,-51.666,0,Chunsik03,14.663,-63.113,0,˗ˋˏ 카피 ˎˊ˗,44.082,-88.19,0,아침땅_,8.014,-101.428,0,Oort__Cloud,-42.952,-87.757,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,1,1,0,1,0,0,0,255,255,7,369.019,Penguin_iDOL,R,14,125,0.241,-0.039,0.149,2.046,-36.701,2,0,365.781,340.887,7.378,0,0,1,1,3,L,vovopo 보보포,160,80,0.599,3,60,370.156,236,36,104,61,11,109,150,89,6.114,-26.392,-0.29,-0.034,-0.019,0.16,0,-0.212,-37.633,0,-라후이-,0.088,-16.574,0,눈꽃,-18.751,-42.726,0,それいゆ るな,-9.721,-61.436,0,Kr_Luna,21.882,-51.572,0,Chunsik03,10.347,-60.629,0,˗ˋˏ 카피 ˎˊ˗,44.734,-88.271,0,아침땅_,8.016,-101.422,0,Oort__Cloud,-42.945,-87.76,0,371.367,14.783,-44.686,371.834,4,Kr_Luna,18.105,-49.288,1,0,0,0,0,0,0,2
9,1,1,0,0,0,0,1,1,0,0,0,255,255,8,400.962,Penguin_iDOL,R,26,138,-0.72,-0.697,0.221,1.746,-36.579,2,0,-192.672,-200,30.072,0,0,1,2,4,R,인생최패망자,190,80,0.4,3,59,402.001,176,22,97,102,36,165,150,108,0.477,-5.282,0.95,0.006,-0.076,0.023,0,-0.141,-37.126,0,-라후이-,0.017,-16.66,0,눈꽃,-19.176,-42.469,0,それいゆ るな,-10.581,-63.244,0,Kr_Luna,21.25,-51.557,0,Chunsik03,8.415,-63.77,0,˗ˋˏ 카피 ˎˊ˗,42.232,-85.511,0,아침땅_,-6.366,-106.492,0,Oort__Cloud,-41.32,-84.715,0,402.449,1.118,-35.587,403.849,5,Chunsik03,3.557,-63.684,0,0,0,0,0,0,0,2
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,518.199,Pugeuk,R,26,140,-1.493,-0.235,-0.102,1.301,-36.524,1,0,-150.644,-200,20.43,-0.789,-17.141,0,0,6,L,˗ˋˏ 카피 ˎˊ˗,167.1,88.405,0.549,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.162,-37.582,0,_Chun,-0.296,-16.775,0,WhiteMountain,-22.442,-52.697,0,vovopo 보보포,-8.923,-65.783,0,인생최패망자,18.774,-44.564,0,오그림_,12.326,-58.692,0,_이누_,35.388,-83.342,0,CAT tourniquet,5.245,-99.09,0,coder_,-35.051,-87.971,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
11,1,0,0,0,1,0,0,0,0,0,255,255,255,1,529.807,Pugeuk,R,6,123,0.974,0.393,-0.182,1.509,-36.552,0,0,500,0,30.189,1.678,-9.592,1,0,6,L,˗ˋˏ 카피 ˎˊ˗,167.1,88.405,0.549,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026,-37.543,0,_Chun,0.393,-16.628,0,WhiteMountain,-22.429,-52.707,0,vovopo 보보포,-10.315,-65.231,0,인생최패망자,17.167,-43.432,0,오그림_,12.333,-58.634,0,_이누_,35.39,-83.353,0,CAT tourniquet,5.104,-99.065,0,coder_,-35.126,-88.147,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
12,1,0,0,0,1,1,0,0,0,0,255,255,255,2,547.727,Pugeuk,R,14,124,-0.595,-0.045,-0.238,1.497,-36.491,0,0,383.059,321.35,45.975,0,0,0,0,6,L,˗ˋˏ 카피 ˎˊ˗,167.1,88.405,0.549,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.057,-37.615,0,_Chun,0.252,-17.059,0,WhiteMountain,-22.353,-52.74,0,vovopo 보보포,-8.108,-64.851,0,인생최패망자,18.638,-44.427,0,오그림_,12.33,-58.691,0,_이누_,35.405,-83.437,0,CAT tourniquet,5.166,-99.122,0,coder_,-33.134,-85.181,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
13,1,0,0,0,1,2,0,0,0,0,255,255,255,3,560.845,Pugeuk,R,6,114,3.829,0.25,-0.003,1.509,-36.533,4,0,424.052,0,10.848,0,0,1,0,6,L,˗ˋˏ 카피 ˎˊ˗,167.1,88.405,0.549,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.171,-37.964,0,_Chun,-0.079,-18.435,0,WhiteMountain,-22.66,-52.54,0,vovopo 보보포,-7.218,-67.018,0,인생최패망자,19.21,-41.892,0,오그림_,12.325,-58.689,0,_이누_,35.421,-83.445,0,CAT tourniquet,5.445,-103.648,0,coder_,-32.577,-86.218,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
14,1,0,0,0,0,0,1,0,0,0,255,255,255,4,587.33,Pugeuk,R,29,140,-0.297,0.935,0.035,1.463,-36.539,0,0,-250,-200,9.72,0,0,0,1,7,R,아침땅_,160,95.405,0.5,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,-37.281,0,_Chun,-0.038,-16.799,0,WhiteMountain,-21.869,-51.41,0,vovopo 보보포,-16.512,-63.4,0,인생최패망자,14.409,-48.439,0,오그림_,12.28,-58.757,0,_이누_,35.516,-83.424,0,CAT tourniquet,-6.006,-103.032,0,coder_,-32.968,-86.711,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,0,1,1,0,0,0,255,255,255,5,598.66,Pugeuk,R,3,104,-0.497,-0.095,0.236,1.371,-36.565,0,0,-465.247,0,42.151,0,0,0,1,7,R,아침땅_,160,95.405,0.5,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.068,-37.271,0,_Chun,-0.012,-17.019,0,WhiteMountain,-21.907,-51.466,0,vovopo 보보포,-13.679,-64.66,0,인생최패망자,15.079,-48.795,0,오그림_,12.28,-58.791,0,_이누_,35.416,-83.415,0,CAT tourniquet,-4.478,-103.133,0,coder_,-36.784,-89.837,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
