id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,260.797,_Chun,L,8,136,1.663,-0.293,0.205,1.525,-36.54,1,0,-114.648,65.228,-29.203,0,0,0,0,1,R,HANA_ARASHI,190,85.808,0.254,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,-37.342,0,それいゆ るな,0.002,-16.933,0,Yaksok~,-21.782,-51.511,0,Pugeuk,-15.719,-61.985,0,Pring__,21.289,-49.996,0,Kr_Luna,12.285,-63.029,0,AI,35.7,-81.8,0,AI,0,-100.6,0,-라후이-,-38.388,-89.677,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,274.091,_Chun,L,10,129,-0.688,-0.46,-0.064,1.528,-36.581,0,0,0.019,382.6,-10.944,0,0,0,0,1,R,HANA_ARASHI,190,85.808,0.254,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.038,-37.288,0,それいゆ るな,-0.109,-17.014,0,Yaksok~,-21.739,-51.996,0,Pugeuk,-13.745,-63.229,0,Pring__,21.232,-50.054,0,Kr_Luna,12.308,-63.004,0,AI,35.7,-81.8,0,AI,0,-100.6,0,-라후이-,-37.48,-88.83,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,296.485,_Chun,L,34,140,-0.257,1.428,0.011,1.799,-36.588,2,0,-82.25,-63.894,-6.96,0,0,1,0,1,R,HANA_ARASHI,190,85.808,0.254,3,89,297.446,160,13,65,26,15,47,124,106,94.334,-85.103,0.86,0.039,-0.029,0.05,0,-0.033,-36.864,0,それいゆ るな,0.067,-17.084,0,Yaksok~,-21.344,-52.496,0,Pugeuk,-13.211,-63.41,0,Pring__,21.24,-50.069,0,Kr_Luna,12.195,-63.093,0,AI,35.7,-81.8,0,AI,0,-100.6,0,-라후이-,-39.408,-88.474,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,310.387,_Chun,L,7,132,1.039,-0.115,0.178,1.622,-36.544,2,0,-229.593,144.416,-22.706,0,0,1,0,1,R,HANA_ARASHI,190,85.808,0.254,3,89,311.335,119,15,113,61,23,190,145,104,-27.229,6.401,-0.14,0.02,-0.086,0.251,0,0.118,-36.939,0,それいゆ るな,0.05,-17.117,0,Yaksok~,-22.137,-52.933,0,Pugeuk,-14.052,-62.949,0,Pring__,21.265,-50.467,0,Kr_Luna,10.968,-63.517,0,AI,35.7,-81.8,0,AI,0,-100.6,0,-라후이-,-48.099,-84.89,0,315.45,-6.857,-90.833,318.484,3,Pugeuk,-0.714,-62.565,1,0,0,0,0,0,0,2
5,1,1,0,0,0,0,0,1,0,0,1,255,255,4,339.767,_Chun,L,6,129,1.1,-0.705,0.209,1.37,-36.494,0,0,-391.528,0,-20.207,0,0,0,1,4,R,ByeolBam,179.6,89.864,0.496,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131,-37.444,0,それいゆ るな,0.136,-16.893,0,Yaksok~,-20.137,-44.607,0,Pugeuk,-12.182,-61.326,0,Pring__,22.109,-49.881,0,Kr_Luna,9.343,-62.479,0,muyang_,17.535,-17.991,0,AI,0,-100.6,0,-라후이-,-40.637,-83.76,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,1,0,1,0,0,1,255,255,5,353.646,_Chun,L,28,140,-0.952,-0.429,-0.074,1.393,-36.471,2,0,-52.18,-97.046,-4.673,0,0,1,1,4,R,ByeolBam,179.6,89.864,0.496,3,88,354.494,179,17,108,68,29,142,150,129,-30,-14.513,0.52,-0.043,-0.083,0.139,0,-0.043,-37.086,0,それいゆ るな,0.042,-17.151,0,Yaksok~,-19.817,-46.998,0,Pugeuk,-15.268,-60.84,0,Pring__,22.085,-49.87,0,Kr_Luna,9.209,-62.475,0,AI,35.7,-81.8,0,AI,0,-100.6,0,-라후이-,-40.26,-84.452,0,362.028,16.161,-128.871,368.561,4,Pring__,19.41,-43.237,1,0,0,0,0,0,0,2
7,1,1,0,0,0,0,0,0,1,1,255,4,1,6,389.79,_Chun,L,28,136,0.952,1.598,0.103,1.756,-36.511,4,0,-56.877,-71.262,-4.646,0,0,1,2,5,R,하루（Haru）,160,94.855,0.55,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.036,-37.601,0,それいゆ るな,0.061,-17.114,0,Yaksok~,-20.846,-50.674,0,Pugeuk,-14.998,-60.608,0,Pring__,21.659,-47.35,0,Kr_Luna,7.378,-60.582,0,muyang_,36.58,-88.121,0,AI,0,-100.6,0,-라후이-,-40.831,-88.755,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,1,0,0,1,1,255,4,1,7,404.431,_Chun,L,13,128,1.922,-1.246,0.087,1.416,-36.476,4,0,288.01,298.923,-14.799,0.527,-16.644,1,2,5,R,하루（Haru）,160,94.855,0.55,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,-37.567,0,それいゆ るな,0.056,-17.089,0,Yaksok~,-21.558,-50.59,0,Pugeuk,-14.951,-60.571,0,Pring__,21.739,-46.922,0,Kr_Luna,6.556,-61.684,0,muyang_,30.578,-94.743,0,AI,0,-100.61,0,-라후이-,-40.847,-88.682,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,2,0,0,1,1,255,4,1,8,436.499,_Chun,L,10,128,-1.146,-1.56,-0.111,1.406,-36.505,4,0,13.44,400,-15.151,0,0,1,2,5,R,하루（Haru）,160,94.855,0.55,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,-37.434,0,それいゆ るな,-0.022,-17.015,0,Yaksok~,-22.232,-49.232,0,Pugeuk,-14.816,-60.729,0,Pring__,21.528,-45.011,0,Kr_Luna,7.689,-62.034,0,muyang_,31.006,-96.029,0,AI,0,-100.6,0,-라후이-,-39.124,-84.139,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,0,1,0,1,1,255,4,1,10,487.587,_Chun,L,28,140,-0.749,-0.446,-0.052,1.386,-36.399,0,0,-72.047,-79.4,-4.059,0,0,0,3,2,L,눈꽃,190,85,0.496,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.094,-37.734,0,それいゆ るな,-0.019,-16.972,0,Yaksok~,-20.285,-48.832,0,Pugeuk,-12.659,-63.41,0,Pring__,22.939,-48.072,0,Kr_Luna,15.035,-60.946,0,muyang_,37.462,-92.947,0,AI,0,-100.6,0,-라후이-,-43.889,-88.443,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
