id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,268.535,눈꽃,R,28,140,0.021,-0.148,0.089,1.835,-36.497,0,0,53.895,-61.756,9.467,0,0,0,0,2,L,CAT tourniquet,190,90.041,0.631,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312,-37.303,0,Pring__,-0.026,-16.766,0,Sabo_10,-21.641,-50.974,0,vovopo 보보포,-10.809,-66.305,0,인생최패망자,19.589,-45.245,0,ke ro,14.066,-62.481,0,소솨소솨,48.205,-84.302,0,Pugeuk,10.435,-106.312,0,아침땅_,-30.307,-93.095,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,285.015,눈꽃,R,34,123,4.555,1.031,0.489,2.052,-36.864,4,0,96.783,-82.79,13.942,0,0,1,0,2,L,CAT tourniquet,190,90.041,0.631,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,-37.195,0,Pring__,-0.019,-16.894,0,Sabo_10,-21.709,-51.031,0,vovopo 보보포,-7.218,-65.069,0,인생최패망자,19.632,-45.19,0,ke ro,13.517,-63.624,0,소솨소솨,48.196,-84.386,0,Pugeuk,10.895,-106.726,0,아침땅_,-29.277,-93.242,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,305.021,눈꽃,R,26,125,-1.765,-0.43,-0.046,1.73,-36.429,2,0,-122.658,-190.814,8.657,0,0,1,0,2,L,CAT tourniquet,190,90.041,0.631,3,63,305.995,148,13,101,69,30,100,147,91,-1.249,10.175,-0.54,0.069,-0.185,0.168,0,-0.074,-37.024,0,Pring__,-0.218,-16.954,0,Sabo_10,-21.435,-50.871,0,vovopo 보보포,-10.544,-66.427,0,인생최패망자,19.575,-45.722,0,ke ro,12.942,-63.772,0,소솨소솨,48.545,-84.795,0,Pugeuk,13.269,-107.779,0,아침땅_,-32.106,-94.209,0,306.085,-2.639,-31.465,307.843,3,vovopo 보보포,-7.214,-58.263,0,0,0,0,0,0,0,2
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,330.943,눈꽃,R,27,140,0.423,-0.048,0.12,1.842,-36.466,2,0,78.522,-109.597,14.191,0,0,1,1,8,R,ゆっち一,180.3,95.61,0.42,3,62,332.003,69,20,115,51,24,162,120,119,-30,38.917,0.63,-0.085,-0.113,0.237,0,-0.166,-37.027,0,Pring__,0.033,-16.968,0,Sabo_10,-21.875,-49.591,0,vovopo 보보포,-17.886,-62.074,0,인생최패망자,17.717,-52.942,0,ke ro,8.769,-67.514,0,소솨소솨,45.435,-84.464,0,Pugeuk,-14.312,-107.263,0,아침땅_,-45.238,-89.168,0,331.634,-1.152,-20.67,335.084,8,아침땅_,-46.25,-76.29,1,0,0,0,0,0,0,2
5,1,1,0,0,0,0,1,1,0,0,8,255,255,4,364.129,눈꽃,R,28,140,-0.974,0.329,-0.01,1.921,-36.526,0,0,78.061,-84.891,17.666,0,0,0,2,4,R,Slaris,190,92,0.451,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006,-37.268,0,Pring__,0.034,-16.868,0,Sabo_10,-21.768,-44.064,0,vovopo 보보포,-13.53,-61.068,0,인생최패망자,15.733,-48.843,0,ke ro,6.708,-66.638,0,소솨소솨,45.489,-86.343,0,Pugeuk,-6.41,-106.922,0,아침땅_,-42.977,-84.379,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,1,1,1,0,0,8,255,255,5,378.006,눈꽃,R,0,135,6.729,1.556,0.679,1.987,-37.1,1,0,31.798,-16.385,1.778,0,0,0,2,4,R,Slaris,190,92,0.451,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.226,-37.449,0,Pring__,0.188,-16.636,0,Sabo_10,-21.678,-44.747,0,vovopo 보보포,-14.778,-63.213,0,인생최패망자,16.548,-48,0,ke ro,6.846,-66.586,0,소솨소솨,45.477,-86.338,0,Pugeuk,-6.517,-106.961,0,아침땅_,-42.777,-84.615,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,1,1,1,1,0,0,8,255,255,6,391.897,눈꽃,R,28,140,1.719,0.312,0.308,1.97,-36.605,2,0,60.124,-86.005,16.597,0,0,1,2,4,R,Slaris,190,92,0.451,3,62,392.734,154,20,105,98,51,125,150,130,-27.204,-2.036,0.7,-0.014,0.059,0.043,0,0.059,-37.09,0,Pring__,-0.015,-16.88,0,Sabo_10,-20.681,-46.654,0,vovopo 보보포,-17.179,-61.984,0,인생최패망자,15.317,-48.794,0,ke ro,7.049,-66.402,0,소솨소솨,45.486,-86.35,0,Pugeuk,-6.471,-107.007,0,아침땅_,-42.937,-84.516,0,392.398,0.386,-23.976,395.531,7,Pugeuk,2.324,-95.702,1,0,0,0,0,0,0,2
8,1,1,0,0,0,0,1,1,1,0,255,8,255,7,423.176,눈꽃,R,26,121,-0.8,0.057,0.063,1.829,-36.308,0,0,-129.093,-190.2,11.498,0,0,1,3,7,L,_Chun,160,86,0.455,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234,-36.895,0,Pring__,-0.223,-18.138,0,Sabo_10,-19.926,-40.773,0,vovopo 보보포,-3.799,-63.595,0,인생최패망자,19.08,-41.078,0,ke ro,9.298,-62.475,0,소솨소솨,52.826,-88.123,0,Pugeuk,-1.499,-110.215,0,아침땅_,-32.117,-91.859,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,1,1,1,1,0,255,8,255,8,437.422,눈꽃,R,26,126,-1.696,-0.669,-0.009,1.734,-36.277,1,0,-154.124,-181.44,5.07,0,0,0,3,7,L,_Chun,160,86,0.455,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.091,-37.252,0,Pring__,0.015,-16.739,0,Sabo_10,-19.428,-39.955,0,vovopo 보보포,-1.319,-59.038,0,인생최패망자,20.182,-42.52,0,ke ro,9.262,-62.517,0,소솨소솨,52.814,-88.127,0,Pugeuk,-1.677,-111.424,0,아침땅_,-33.339,-91.168,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,1,1,1,1,1,0,255,8,255,9,450.13,눈꽃,R,26,125,-1.306,0.517,0.011,1.891,-36.244,0,0,-102.411,-200,7.207,0,0,0,3,7,L,_Chun,160,86,0.455,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,-37.18,0,Pring__,0.009,-16.76,0,Sabo_10,-19.692,-41.102,0,vovopo 보보포,-4.607,-62.684,0,인생최패망자,18.843,-41.836,0,ke ro,8.769,-63.053,0,소솨소솨,52.82,-88.116,0,Pugeuk,3.976,-111.706,0,아침땅_,-32.68,-90.666,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
11,1,1,0,0,1,2,1,1,1,0,255,8,255,10,466.948,눈꽃,R,26,134,-0.176,-2.819,0.117,1.443,-36.196,4,0,-113.646,-152.967,18.201,-0.043,-19.847,1,3,7,L,_Chun,160,86,0.455,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233,-36.923,0,Pring__,0.009,-17.131,0,Sabo_10,-18.709,-40.228,0,vovopo 보보포,-5.43,-61.625,0,인생최패망자,19.185,-44.527,0,ke ro,8.977,-65.357,0,소솨소솨,52.827,-88.134,0,Pugeuk,4.028,-111.714,0,아침땅_,-32.44,-90.667,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
