id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,373.895,"Pring__",R,32,131,-1.828,-0.344,-0.236,1.327,-36.415,1,0,250,-173.448,16.63,0,0,0,0,4,L,"NABIMan",190,98.73,0.547,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.478,-38.052,0,"소솨소솨",-0.075,-17.065,0,"인생최패망자",-17.506,-47.565,0,"아침땅_",-9.668,-66.439,0,"Kr_Luna",17.553,-49.578,0,"それいゆ るな",13.834,-63.396,0,"Pugeuk",43.407,-99.309,0,"버터밀크",-1.225,-109.418,0,"ByeolBam",-41.392,-87.356,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,387.063,"Pring__",R,3,115,-1.289,-0.421,0.055,1.356,-36.43,2,0,-500,0,13.962,0,0,1,0,4,L,"NABIMan",190,98.73,0.547,3,72,388.01,111,17,107,68,48,122,141,98,94.014,-85.568,-0.31,0.043,-0.081,0.056,0,-0.114,-37.06,0,"소솨소솨",-0.031,-17.076,0,"인생최패망자",-17.338,-47.357,0,"아침땅_",-9.701,-66.391,0,"Kr_Luna",17.398,-50.576,0,"それいゆ るな",13.816,-63.362,0,"Pugeuk",43.487,-99.17,0,"버터밀크",-1.23,-109.417,0,"ByeolBam",-41.481,-87.753,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,403.718,"Pring__",R,32,128,0.694,0.711,-0.016,1.545,-36.534,2,0,250,-112.977,14.019,0,0,1,0,4,L,"NABIMan",190,98.73,0.547,3,70,404.674,114,9,90,72,20,103,141,95,18.897,-39.955,-0.47,0.041,-0.093,0.171,0,-0.154,-37.188,0,"소솨소솨",-0.024,-17.071,0,"인생최패망자",-17.534,-46.259,0,"아침땅_",-11.176,-65.691,0,"Kr_Luna",18.12,-49.845,0,"それいゆ るな",13.218,-64.233,0,"Pugeuk",40.65,-100.084,0,"버터밀크",-1.616,-109.487,0,"ByeolBam",-41.735,-87.286,0,408.163,52.254,-64.16,0,0,"",0,0,0,0,0,0,0,0,0,3
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,423.985,"Pring__",R,13,100,0.017,-0.621,0.224,1.455,-36.379,2,0,-354.94,312.348,5.746,0,0,1,0,4,L,"NABIMan",190,98.73,0.547,3,31,424.97,109,17,107,54,36,133,140,93,13.572,18.393,-0.44,0.074,-0.15,0.134,0,-0.228,-37.043,0,"소솨소솨",0.441,-17.313,0,"인생최패망자",-16.946,-46.535,0,"아침땅_",-11.784,-65.471,0,"Kr_Luna",19.801,-49.37,0,"それいゆ るな",14.748,-64.375,0,"Pugeuk",46.88,-93.593,0,"버터밀크",0.38,-109.897,0,"ByeolBam",-39.574,-85.572,0,427.746,-18.996,-74.652,429.079,8,"ByeolBam",-23.489,-86.122,1,0,0,0,0,0,0,2
5,1,1,0,0,0,0,0,1,0,0,4,255,255,4,459.841,"Pring__",R,13,102,0.642,-0.333,0.288,1.533,-36.522,0,0,-359.742,315.419,1.651,0,0,1,1,2,R,"Gonyong",179.6,90.12,0.2,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027,-37.881,0,"소솨소솨",-0.198,-17.073,0,"인생최패망자",-19.263,-40.713,0,"아침땅_",-14.261,-64.464,0,"Kr_Luna",18.34,-49.373,0,"それいゆ るな",9.618,-64.968,0,"Pugeuk",34.877,-101.463,0,"버터밀크",-1.68,-109.574,0,"ByeolBam",-40.538,-84.443,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,1,0,1,0,0,4,255,255,5,477.749,"Pring__",R,32,131,-1.366,0.718,-0.201,1.532,-36.48,2,0,241.909,-114.828,22.414,0,0,1,1,2,R,"Gonyong",179.6,90.12,0.2,3,69,478.824,128,15,81,46,32,84,138,126,25.892,5.913,0.63,-0.013,0.008,0,0,-0.181,-37.474,0,"소솨소솨",-0.071,-17.4,0,"인생최패망자",-18.616,-44.581,0,"아침땅_",-14.268,-64.335,0,"Kr_Luna",18.447,-49.319,0,"それいゆ るな",9.601,-65.993,0,"Pugeuk",35.371,-101.297,0,"버터밀크",-1.663,-109.585,0,"ByeolBam",-40.741,-84.608,0,0,0,0,479.152,1,"소솨소솨",-0.267,-21.861,0,0,0,0,0,0,0,3
7,1,1,0,0,0,2,0,1,0,0,4,255,255,6,496.648,"Pring__",R,13,99,0.552,-0.838,0.296,1.465,-36.534,0,0,-324.855,345.999,-13.778,0,0,1,1,2,R,"Gonyong",179.6,90.12,0.2,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163,-37.631,0,"소솨소솨",0.068,-17.385,0,"인생최패망자",-19.871,-41.28,0,"아침땅_",-14.148,-64.329,0,"Kr_Luna",18.58,-49.381,0,"それいゆ るな",7.665,-65.479,0,"Pugeuk",35.324,-100.943,0,"버터밀크",-1.7,-109.613,0,"ByeolBam",-40.265,-85.167,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,0,1,1,0,0,4,255,255,7,524.42,"Pring__",R,14,95,-1.438,-0.086,-0.381,1.629,-36.323,0,0,311.153,346.694,-1.429,0,0,1,2,3,R,"_이누_",175,89.841,0.501,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.075,-37.74,0,"소솨소솨",-0.213,-17.448,0,"인생최패망자",-20.083,-40.176,0,"아침땅_",-14.476,-64.218,0,"Kr_Luna",15.954,-54.84,0,"それいゆ るな",5.381,-63.766,0,"Pugeuk",35.708,-102.127,0,"버터밀크",-1.681,-109.628,0,"ByeolBam",-40.238,-85.111,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,1,1,0,1,0,255,4,255,8,552.777,"Pring__",R,32,127,-0.022,0.323,-0.082,1.459,-36.352,2,0,250,-119.339,9.98,0,0,1,2,3,R,"_이누_",175,89.841,0.501,3,67,553.781,163,9,85,61,0,121,141,94,90.977,-89.015,-0.2,0.001,-0.081,0.173,0,-0.101,-37.227,0,"소솨소솨",-0.066,-17.242,0,"인생최패망자",-19.969,-45.57,0,"아침땅_",-14.353,-64.265,0,"Kr_Luna",18.43,-49.006,0,"それいゆ るな",3.172,-63.805,0,"Pugeuk",35.612,-102.32,0,"버터밀크",-1.691,-109.629,0,"ByeolBam",-40.22,-85.133,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
10,1,1,0,0,0,2,1,0,1,0,255,4,255,9,572.786,"Pring__",R,13,103,0.688,-0.704,0.321,1.468,-36.433,2,0,-360.628,318.856,-0.787,0,0,1,2,3,R,"_이누_",175,89.841,0.501,3,67,573.92,184,16,69,79,35,66,140,128,-18.346,-9.34,0.4,-0.03,-0.067,0.078,0,0.1,-37.193,0,"소솨소솨",-0.04,-17.176,0,"인생최패망자",-19.868,-45.341,0,"아침땅_",-14.361,-64.277,0,"Kr_Luna",16.429,-47.825,0,"それいゆ るな",5.633,-65.066,0,"Pugeuk",35.908,-100.445,0,"버터밀크",-2.069,-108.136,0,"ByeolBam",-41.025,-86.66,0,573.94,0.391,-21.941,582.881,7,"버터밀크",4.72,-129.698,1,0,0,0,0,0,0,2
11,1,1,1,0,0,0,1,0,0,1,255,255,255,10,618.414,"Pring__",R,14,99,1.57,-0.849,0.052,1.425,-36.235,1,0,306.804,365.775,3.053,0,0,0,3,6,L,"Sabo_10",180.2,94,0.6,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178,-37.092,0,"소솨소솨",0.219,-17.118,0,"인생최패망자",-17.394,-47.888,0,"아침땅_",-10.827,-66.027,0,"Kr_Luna",20.377,-43.026,0,"それいゆ るな",10.882,-64.394,0,"Pugeuk",49.994,-97.912,0,"버터밀크",0.397,-109.655,0,"ByeolBam",-39.78,-90.242,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
