id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,229.231,"muyang_",R,13,83,-2.47,-0.973,-0.156,1.546,-37.002,1,0,-294.911,297.395,0,-0.637,-17.44,0,0,1,R,"coder_",180.4,96.154,0.2,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.315,-37.964,0,"Kr_Luna",-0.053,-17.154,0,"하루（Haru）",-20.171,-45.947,0,"TaeGeuk_",-5.962,-59.897,0,"-라후이-",20.941,-48.424,0,"ByeolBam",14.703,-63.484,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"SOM_candy",-37.896,-84.261,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,266.959,"muyang_",R,3,80,-0.95,-0.26,0.141,1.526,-37.267,2,0,-363.636,0,0,0,0,1,0,1,R,"coder_",180.4,96.154,0.2,3,46,268.421,198,21,53,82,52,143,136,129,-0.35,27.908,0.65,-0.051,-0.046,0.034,0,-0.274,-37.802,0,"Kr_Luna",0.023,-17.232,0,"하루（Haru）",-20.434,-42.741,0,"TaeGeuk_",-10.592,-62.332,0,"-라후이-",22.791,-52.81,0,"ByeolBam",13.724,-63.492,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"SOM_candy",-40.5,-86.279,0,275.487,-25.385,-107.007,275.661,8,"SOM_candy",-24.98,-106.81,1,0,0,0,0,0,0,2
3,1,1,0,0,0,0,0,0,1,0,255,1,255,2,306.31,"muyang_",R,3,84,-1.598,-0.238,0.126,1.531,-37.202,4,0,-381.818,0,0,-0.842,-14.493,1,1,2,R,"ke ro",190,80,0.404,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.283,-38.107,0,"Kr_Luna",-0.106,-17.238,0,"하루（Haru）",-20.502,-46.659,0,"TaeGeuk_",-12.61,-63.887,0,"-라후이-",21.486,-44.547,0,"ByeolBam",7.623,-62.459,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"SOM_candy",-38.988,-84.644,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,1,0,0,1,0,255,255,255,3,475.816,"muyang_",R,3,81,-0.253,0.113,0.132,1.606,-37.4,0,0,-368.182,0,0,0,0,0,1,2,R,"ke ro",190,80,0.404,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.292,-38.13,0,"Kr_Luna",0.045,-17.346,0,"하루（Haru）",-20.156,-45.982,0,"TaeGeuk_",-12.475,-61.503,0,"-라후이-",19.006,-40.548,0,"ByeolBam",11.902,-62.273,0,"AI",35.7,-81.8,0,"Yaksok~",-7.482,-104.62,0,"SOM_candy",-37.63,-84.566,0,0,0,0,0,0,"",0,0,0,1,0,0,0,0,0,0
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,500.362,"muyang_",R,3,95,-2.246,0.02,-0.001,1.616,-37.084,4,0,-415.758,0,0,0,0,1,1,2,R,"ke ro",190,80,0.404,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.341,-37.613,0,"Kr_Luna",0.046,-17.319,0,"하루（Haru）",-20.173,-46.035,0,"TaeGeuk_",-14.312,-62.27,0,"-라후이-",19.135,-43.676,0,"ByeolBam",15.601,-62.919,0,"AI",35.7,-81.8,0,"Yaksok~",-7.369,-105.518,0,"SOM_candy",-37.046,-85.794,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,0,2,0,0,0,255,255,255,5,538.916,"muyang_",R,14,99,-0.383,-1.604,-0.318,1.683,-36.905,4,0,336.204,332.345,0,0,0,1,2,3,L,"vovopo 보보포",174.6,89.725,0.599,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.208,-38.061,0,"Kr_Luna",0.123,-17.322,0,"하루（Haru）",-21.323,-47.755,0,"TaeGeuk_",-13.39,-62.214,0,"-라후이-",23.702,-49.254,0,"ByeolBam",15.059,-63.278,0,"AI",35.702,-81.802,0,"Yaksok~",-7.859,-105.26,0,"SOM_candy",-37.503,-86.077,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,1,2,0,0,0,255,255,255,6,554.271,"muyang_",R,4,83,-0.914,0.594,0.116,1.495,-37.605,2,0,-174.816,-21.399,0,0,0,1,2,3,L,"vovopo 보보포",174.6,89.725,0.599,3,41,555.637,228,25,91,96,62,169,150,106,25.608,-27.455,0.92,0.045,-0.04,0.067,0,-0.307,-37.798,0,"Kr_Luna",0.022,-17.376,0,"하루（Haru）",-20.507,-47.379,0,"TaeGeuk_",-13.396,-62.215,0,"-라후이-",23.672,-49.302,0,"ByeolBam",14.23,-63.249,0,"AI",35.7,-81.8,0,"Yaksok~",6.109,-103.742,0,"SOM_candy",-39.183,-88.948,0,560.327,25.79,-110.146,564.234,7,"Yaksok~",22.917,-124.749,1,0,0,0,0,0,0,2
8,1,1,0,0,0,0,2,0,1,0,255,3,255,7,596.402,"muyang_",R,2,87,-0.094,0.506,0.144,1.549,-37.297,0,0,-339.713,-255.951,0,0,0,0,3,4,R,"Roscosmos",175.1,93,0.346,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.235,-38.186,0,"Kr_Luna",-0.005,-17.4,0,"하루（Haru）",-20.45,-46.896,0,"TaeGeuk_",-13.308,-63.755,0,"-라후이-",19.49,-41.827,0,"ByeolBam",13.547,-63.729,0,"AI",35.7,-81.8,0,"Yaksok~",-7.438,-106.871,0,"SOM_candy",-39.962,-86.03,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,1,2,0,1,0,255,3,255,8,615.08,"muyang_",R,0,126,-3.032,-0.617,-0.052,1.6,-37.071,2,0,0,0,0,0,0,1,3,4,R,"Roscosmos",175.1,93,0.346,3,41,616.011,106,25,46,91,92,56,115,61,30.789,35.242,0.98,-0.136,-0.045,0,0,-0.382,-37.716,0,"Kr_Luna",-0.011,-17.366,0,"하루（Haru）",-19.923,-46.787,0,"TaeGeuk_",-7.848,-62.049,0,"-라후이-",19.172,-40.647,0,"ByeolBam",11.757,-63.973,0,"AI",35.7,-81.8,0,"Yaksok~",-9.036,-107.318,0,"SOM_candy",-39.955,-85.995,0,0,0,0,619.127,2,"하루（Haru）",-21.239,-48.347,0,0,0,0,0,0,0,1
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,718.667,"_Chun",L,26,137,-0.883,2.138,-0.054,1.864,-36.578,4,0,-108.731,-154.953,-8.241,0,0,1,0,4,R,"-라후이-",190,95,0.502,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.238,-37.141,0,"coder_",-0.025,-17.16,0,"ke ro",-19.404,-48.918,0,"vovopo 보보포",-17.067,-62.587,0,"Roscosmos",19.673,-44.703,0,"ʚneul_ɞ",12.7,-64.828,0,"AI",35.7,-81.8,0,"crani",-6.563,-108.958,0,"Apple_Sherbet",-37.498,-82.984,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
