id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1540.781,"Chunsik03",R,26,140,-0.355,1.263,-0.072,1.686,-36.614,4,0,153.022,-171.882,5.141,0,0,1,0,5,R,"CVPileMaki",169.6,94,0.395,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,-37.206,0,"-라후이-",-0.004,-16.834,0,"siesta_aves",-20.575,-44.971,0,"즉석카레",-14.794,-64.055,0,"Dοpi",20.087,-47.897,0,"muyang_",13.104,-61.59,0,"Roscosmos",40.956,-82.555,0,"ByeolBam",0.095,-110.533,0,"Penguin_iDOL",-41.599,-90.107,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1555.239,"Chunsik03",R,26,140,2.046,1.886,0.137,1.774,-36.641,4,0,183.268,-200,-4.009,0,0,1,0,5,R,"CVPileMaki",169.6,94,0.395,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178,-37.295,0,"-라후이-",0.205,-16.868,0,"siesta_aves",-21.141,-45.501,0,"즉석카레",-14.547,-64.199,0,"Dοpi",20.335,-48.008,0,"muyang_",14.061,-63.738,0,"Roscosmos",40.944,-82.622,0,"ByeolBam",0.24,-110.512,0,"Penguin_iDOL",-41.73,-90.074,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,1571.549,"Chunsik03",R,32,129,-0.917,1.583,-0.166,1.72,-36.995,2,0,234.653,-200,-5.237,0,0,1,0,5,R,"CVPileMaki",169.6,94,0.395,3,83,1572.681,90,7,74,35,19,103,126,114,-30,40.51,0.75,0.003,0.006,0.171,0,-0.013,-36.956,0,"-라후이-",-0.168,-17.056,0,"siesta_aves",-21.117,-45.552,0,"즉석카레",-14.6,-64.238,0,"Dοpi",20.273,-47.864,0,"muyang_",13.796,-63.56,0,"Roscosmos",40.957,-82.699,0,"ByeolBam",0.269,-111.036,0,"Penguin_iDOL",-41.575,-90.195,0,1572.694,-1.951,-20.752,1574.178,2,"siesta_aves",-20.629,-42.213,0,0,0,0,0,0,0,2
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,1601.759,"Chunsik03",R,27,140,-2.011,0.11,-0.12,1.523,-36.501,1,0,129.584,-139.588,-0.183,0,0,0,1,2,L,"Kr_Luna",190,95.054,0.505,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,-37.2,0,"-라후이-",-0.021,-16.879,0,"siesta_aves",-22.393,-46.87,0,"즉석카레",-12.882,-64.922,0,"Dοpi",20.333,-48.609,0,"muyang_",13.012,-60.579,0,"Roscosmos",47.008,-91.386,0,"ByeolBam",1.693,-113.203,0,"Penguin_iDOL",-43.558,-90.145,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,0,1,0,0,0,255,255,255,4,1612.081,"Chunsik03",R,26,140,-0.07,0.45,0.036,1.573,-36.549,0,0,197.682,-200,4.852,0,0,0,1,2,L,"Kr_Luna",190,95.054,0.505,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193,-37.199,0,"-라후이-",-0.062,-17.022,0,"siesta_aves",-22.49,-46.966,0,"즉석카레",-12.831,-63.952,0,"Dοpi",20.41,-48.527,0,"muyang_",15.089,-62.721,0,"Roscosmos",47.509,-90.524,0,"ByeolBam",-0.689,-113.673,0,"Penguin_iDOL",-43.701,-90.262,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,1,1,1,0,0,0,255,255,255,5,1626.321,"Chunsik03",R,13,108,0.365,-0.706,0.369,1.533,-36.583,2,0,-366.106,333.101,12.639,0,0,0,1,2,L,"Kr_Luna",190,95.054,0.505,3,85,1627.208,76,27,85,97,44,186,128,112,-30,-25.47,0.93,-0.003,-0.027,0.069,0,-0.079,-36.944,0,"-라후이-",0.119,-17.179,0,"siesta_aves",-22.505,-46.952,0,"즉석카레",-12.78,-64.628,0,"Dοpi",20.588,-48.4,0,"muyang_",14.491,-62.826,0,"Roscosmos",47.505,-90.518,0,"ByeolBam",0.021,-114.467,0,"Penguin_iDOL",-43.765,-90.193,0,1627.076,0.678,-22.019,1629.1,5,"muyang_",11.645,-55.138,0,0,0,0,0,0,0,2
7,1,1,0,0,0,0,2,0,0,0,255,255,255,6,1669.716,"Chunsik03",R,26,140,-0.205,0.902,0.13,1.659,-36.668,0,0,193.967,-200,0.67,0,0,0,2,1,L,"_Chun",190,80,0.455,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099,-37.259,0,"-라후이-",-0.175,-16.785,0,"siesta_aves",-22.573,-47.191,0,"즉석카레",-14.161,-64.282,0,"Dοpi",20.857,-48.278,0,"muyang_",12.976,-63.939,0,"Roscosmos",47.234,-92.943,0,"ByeolBam",-3.678,-114.669,0,"Penguin_iDOL",-39.142,-98.698,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,1,2,0,0,0,255,255,255,7,1683.89,"Chunsik03",R,22,115,-1.027,0,0.132,1.62,-36.535,2,0,-143.259,166.157,-0.096,0,0,1,2,1,L,"_Chun",190,80,0.455,3,87,1684.871,255,22,135,60,33,89,150,130,-30,43.253,0.41,-0.005,0.005,0.257,0,-0.095,-36.866,0,"-라후이-",-0.303,-17.012,0,"siesta_aves",-22.826,-46.707,0,"즉석카레",-14.174,-64.313,0,"Dοpi",20.754,-48.216,0,"muyang_",13.554,-63.303,0,"Roscosmos",47.674,-93.032,0,"ByeolBam",2.689,-113.213,0,"Penguin_iDOL",-39.209,-98.639,0,1684.848,-1.683,-22.691,1693.44,8,"Penguin_iDOL",-57.668,-72.517,1,0,0,0,0,0,0,2
9,1,1,0,0,0,0,2,0,1,0,255,1,255,8,1725.55,"Chunsik03",R,32,140,3.691,0.401,0.479,1.563,-36.616,1,0,250,-200,-16.025,0,0,0,3,4,L,"NABIMan",190,89.838,0.531,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142,-37.019,0,"-라후이-",0.354,-16.626,0,"siesta_aves",-22.23,-45.585,0,"즉석카레",-5.223,-64.545,0,"Dοpi",20.414,-44.013,0,"muyang_",13.935,-62.714,0,"Roscosmos",43.989,-86.457,0,"ByeolBam",3.723,-113.939,0,"Penguin_iDOL",-40.627,-91.75,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,1,0,2,0,1,0,255,1,255,9,1740.881,"Chunsik03",R,26,140,1.209,-0.165,0.266,1.455,-36.586,2,0,156.325,-195.31,3.29,0,0,1,3,4,L,"NABIMan",190,89.838,0.531,3,86,1741.766,222,15,148,48,56,125,150,66,20.114,4.254,1,0.083,-0.073,0.082,0,0.119,-36.848,0,"-라후이-",0.341,-16.649,0,"siesta_aves",-22.171,-45.614,0,"즉석카레",-8.56,-64.055,0,"Dοpi",20.649,-46.934,0,"muyang_",14.241,-63.182,0,"Roscosmos",43.97,-86.068,0,"ByeolBam",0.744,-112.41,0,"Penguin_iDOL",-41.048,-93.255,0,1744.729,-4.576,-60.477,1744.854,3,"즉석카레",-4.189,-57.213,0,0,0,0,0,0,0,1
