id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,253.569,Sabo_10,L,1,86,5.883,-1.862,0,0,0,1,0,0,0,3.893,0,0,0,0,4,R,인생최패망자,190,80,0.4,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.351,-37.776,0,3Ducks,0.348,-16.816,0,NABIMan,-21.146,-43.024,0,신과함께1,-12.729,-60.863,0,Pring__,20.786,-47.232,0,ByeolBam,13.253,-58.783,0,AI,35.7,-81.8,0,AI,0,-100.6,0,AI,-35.7,-81.8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,0,0,0,0,0,255,255,255,0,298.274,Sabo_10,L,32,140,-1.557,0.238,-0.418,1.566,-36.816,1,0,-186.223,-147.28,-15.375,0,0,0,0,3,L,Kr_Luna,169.8,91.523,0.497,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.161,-37.5,0,3Ducks,-0.09,-16.887,0,NABIMan,-20.629,-45.706,0,신과함께1,-13.321,-60.726,0,Pring__,21.193,-48.613,0,ByeolBam,15.965,-63.257,0,AI,35.7,-81.8,0,AI,0,-100.6,0,AI,-35.7,-81.8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,0,0,0,0,0,255,255,255,1,313.765,Sabo_10,L,32,127,-6.108,1.719,-0.904,1.613,-37.212,2,0,-231.325,-24.065,-5.402,0,0,0,0,3,L,Kr_Luna,169.8,91.523,0.497,2,82,314.622,39,4,19,19,22,25,15,43,25.812,17.305,-0.24,0.016,-0.007,0.014,0,-0.454,-37.191,0,3Ducks,-0.054,-17.116,0,NABIMan,-20.401,-44.978,0,신과함께1,-13.253,-60.805,0,Pring__,21.153,-48.582,0,ByeolBam,15.933,-63.284,0,AI,35.7,-81.8,0,AI,0,-100.6,0,AI,-35.7,-81.8,0,317.207,-8.102,-41.786,318.674,3,신과함께1,-10.386,-48.675,0,1,0,0,0,0,0,2
4,1,1,0,0,0,0,1,0,0,0,255,255,255,2,343.426,Sabo_10,L,32,140,-0.767,0.814,-0.322,1.57,-36.756,2,0,-173.85,-118.07,-18.836,0,0,0,1,5,R,coder_,160,96.154,0.455,3,83,344.477,5,0,15,6,6,13,1,30,-9.593,39.531,0.66,-0.034,-0.057,0.013,1,-0.233,-37.053,0,3Ducks,-0.055,-17.394,0,NABIMan,-20.275,-44.46,0,신과함께1,-13.018,-59.039,0,Pring__,16.85,-42.905,0,ByeolBam,14.74,-62.779,0,AI,35.7,-81.8,0,AI,0,-100.6,0,AI,-35.7,-81.8,0,345.085,-2.564,-22.732,349.34,1,3Ducks,-14.095,-33.741,0,2,0,0,0,0,0,2
5,1,1,0,0,0,1,1,0,0,0,255,255,255,3,514.582,Sabo_10,L,27,140,-1.982,-0.607,-0.259,1.498,-36.887,2,0,-85.541,-121.793,-9.418,0,0,1,1,5,R,coder_,160,96.154,0.455,3,61,515.603,10,2,6,1,3,11,0,30,13.414,-36.022,-0.19,-0.012,-0.093,0.032,1,-0.144,-37.342,0,3Ducks,-0.016,-17.263,0,NABIMan,-20.686,-44.559,82,신과함께1,-11.109,-60.553,0,Pring__,19.417,-45.721,98,ByeolBam,12.292,-63.092,0,AI,35.7,-81.8,0,AI,0,-100.6,0,AI,-35.7,-81.8,0,516.685,4.474,-26.385,518.996,4,Pring__,10.087,-34.864,1,0,0,0,0,0,0,2
6,1,1,0,0,0,0,1,1,0,0,7,255,255,4,549.531,Sabo_10,L,27,127,0.894,-0.015,-0.315,1.592,-36.933,0,0,-104.632,-143.548,-12.54,0.261,-17.504,0,2,4,R,인생최패망자,190,80,0.4,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.266,-38.089,0,3Ducks,-0.054,-17.02,108,NABIMan,-19.159,-44.443,0,신과함께1,-4.46,-59.274,0,Pring__,24.246,-45.472,0,ByeolBam,7.389,-60.785,0,AI,35.7,-81.8,0,AI,0,-100.6,0,AI,-35.7,-81.8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,1,1,0,1,0,255,5,255,5,566.071,Sabo_10,L,26,137,0.927,0.233,-0.196,1.566,-36.711,2,0,-135.327,-200,-44.248,0,0,1,2,4,R,인생최패망자,190,80,0.4,3,84,567.114,255,18,126,112,46,121,150,96,88.716,-87.828,-0.53,-0.02,-0.06,0.044,0,-0.132,-37.172,0,3Ducks,0.001,-17.202,0,NABIMan,-20.793,-43.985,0,신과함께1,-11.823,-59.569,0,Pring__,22.492,-47.589,0,ByeolBam,13.119,-62.142,0,AI,35.7,-81.8,0,AI,0,-100.6,0,AI,-35.7,-81.8,0,573.418,54.4,-13.154,0,0,,0,0,0,0,0,0,0,0,0,3
8,1,1,0,0,0,2,1,0,1,0,255,5,255,6,582.446,Sabo_10,L,26,135,-0.4,0.81,-0.336,1.685,-36.858,0,0,-150.897,-200,-26.592,0,0,1,2,4,R,인생최패망자,190,80,0.4,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.384,-37.82,0,3Ducks,-0.139,-16.967,0,NABIMan,-19.318,-42.405,0,신과함께1,-11.388,-60.492,0,Pring__,23.824,-45.979,0,ByeolBam,13.746,-60.55,0,AI,35.7,-81.8,0,AI,0,-100.6,0,AI,-35.7,-81.8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,0,2,0,1,0,255,5,255,7,607.551,Sabo_10,L,0,73,1.102,-2.369,-0.069,1.022,-36.764,1,1,0,0,2.773,0.216,-19.68,0,3,2,R,Gonyong,175.1,80,0.2,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.231,-38.075,0,3Ducks,-0.066,-16.95,0,NABIMan,-21.038,-44.67,0,신과함께1,-11.478,-62.061,0,Pring__,22.346,-47.883,0,ByeolBam,12.71,-60.235,0,AI,35.7,-81.8,0,AI,0,-100.6,0,AI,-35.7,-81.8,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,0,2,0,0,1,255,255,5,8,643.369,Sabo_10,L,32,134,0.581,0.336,-0.266,1.594,-36.781,2,0,-160.379,-133.094,-29.545,0,0,1,3,2,R,Gonyong,175.1,80,0.2,3,85,644.427,136,18,73,53,22,79,138,110,32.394,38.061,0.83,-0.005,-0.014,0.052,0,-0.2,-37.223,0,3Ducks,0.029,-17.245,0,NABIMan,-20.917,-44.758,0,신과함께1,-10.139,-63.702,0,Pring__,22.188,-47.762,0,ByeolBam,15.545,-63.636,0,AI,35.7,-81.8,0,AI,0,-100.6,0,AI,-35.7,-81.8,0,652.463,-72.645,-86.27,0,0,,0,0,0,0,0,0,0,0,0,2
