id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,420.472,"하루（Haru）",R,27,140,0.849,0.983,0.048,1.97,-36.541,4,0,124.68,-134.142,14.046,0.417,-20.296,1,0,7,R,"coder_",160,96.466,0.2,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.036,-37.287,0,"CAT tourniquet",0.25,-19.113,0,"3Ducks",-19.627,-46.392,0,"それいゆ るな",-11,-63.887,0,"ゆっち一",19.36,-47.946,0,"WhiteMountain",14.358,-62.972,0,"아침땅_",38.388,-85.377,0,"_앰프_",-7.383,-111.866,0,"Riyaj",-43.724,-92.584,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,453.886,"하루（Haru）",R,27,140,-1.217,-0.208,-0.131,1.771,-36.382,2,0,63.317,-112.041,12.19,0,0,0,0,7,R,"coder_",160,96.466,0.2,0,57,454.937,20,1,33,10,6,56,7,30,20.425,39.476,0.83,-0.022,-0.09,0.06,1,-0.548,-36.989,110,"CAT tourniquet",-0.174,-17.137,0,"3Ducks",-19.805,-46.513,72,"それいゆ るな",-10.98,-64.039,0,"ゆっち一",14.376,-41.898,0,"WhiteMountain",14.437,-62.931,0,"아침땅_",39.068,-84.331,0,"_앰프_",-9.025,-113.847,0,"Riyaj",-42.279,-89.922,0,456.222,-6.355,-26.756,458.4,0,"하루（Haru）",-10.309,-34.28,1,0,0,0,0,0,0,2
3,1,1,0,0,0,0,0,1,0,0,7,255,255,2,488.805,"하루（Haru）",R,27,140,-2.23,-1.097,-0.224,1.621,-36.309,1,0,67.127,-109.76,11.814,-0.448,-14.817,0,1,3,R,"Gonyong",175.1,80,0.2,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,-37.587,0,"CAT tourniquet",-0.287,-17.877,120,"3Ducks",-19.35,-43.941,0,"それいゆ るな",-4.842,-64.428,0,"ゆっち一",21.589,-48.817,0,"WhiteMountain",14.31,-63.18,0,"아침땅_",36.923,-88.005,0,"_앰프_",-10.546,-114.956,0,"Riyaj",-44.942,-87.716,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,0,0,1,0,0,7,255,255,3,509.432,"하루（Haru）",R,26,132,1.574,1.77,0.11,2.071,-36.621,1,0,115.871,-169.815,12.103,0,0,0,1,3,R,"Gonyong",175.1,80,0.2,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.325,-37.325,0,"CAT tourniquet",0.211,-17.658,0,"3Ducks",-18.961,-44.134,0,"それいゆ るな",-3.695,-63.909,85,"ゆっち一",20.434,-47.148,0,"WhiteMountain",14.387,-62.795,0,"아침땅_",36.195,-88.572,0,"_앰프_",-10.957,-115.199,0,"Riyaj",-45.099,-88.054,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,2,0,0,1,0,0,7,255,255,4,534.571,"하루（Haru）",R,27,139,-0.273,0.029,-0.063,1.797,-36.425,0,0,131.067,-140.683,11.578,0,0,1,1,3,R,"Gonyong",175.1,80,0.2,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.089,-37.389,0,"CAT tourniquet",-0.256,-17.897,14,"3Ducks",-19.064,-43.671,0,"それいゆ るな",-2.774,-64.259,86,"ゆっち一",20.065,-49.447,0,"WhiteMountain",13.167,-63.347,0,"아침땅_",36.166,-88.516,0,"_앰프_",-13.758,-113.353,0,"Riyaj",-45.45,-88.495,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,2,1,0,1,0,0,7,255,255,5,560.422,"하루（Haru）",R,10,110,-0.735,-1.888,-0.068,1.676,-36.274,4,0,0,400,-7.255,-0.142,-18.878,1,1,3,R,"Gonyong",175.1,80,0.2,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.113,-37.524,0,"CAT tourniquet",-0.148,-17.436,120,"3Ducks",-18.85,-42.852,0,"それいゆ るな",-2.452,-63.314,0,"ゆっち一",22.817,-48.651,0,"WhiteMountain",9.619,-62.16,0,"아침땅_",35.149,-88.852,0,"_앰프_",-13.673,-109.003,0,"Riyaj",-45.762,-88.586,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,2,2,0,1,0,0,7,255,255,6,579.124,"하루（Haru）",R,27,133,1.358,1.384,0.095,2.021,-36.489,1,0,102.38,-126.487,6.164,0,0,0,1,3,R,"Gonyong",175.1,80,0.2,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.166,-37.86,0,"CAT tourniquet",-0.188,-17.747,0,"3Ducks",-19.362,-43.302,0,"それいゆ るな",-2.079,-60.917,0,"ゆっち一",21.284,-48.112,0,"WhiteMountain",10.372,-62.065,0,"아침땅_",35.35,-89.588,0,"_앰프_",-12.952,-107.782,0,"Riyaj",-46.326,-88.882,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,3,2,0,0,1,0,255,7,255,7,602.342,"하루（Haru）",R,28,140,-2.353,-1.485,-0.235,1.563,-36.286,1,0,57.161,-87.355,12.249,-0.434,-18.042,0,1,3,R,"Gonyong",175.1,80,0.2,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,-37.43,0,"CAT tourniquet",-0.341,-17.765,0,"3Ducks",-19.634,-44.505,0,"それいゆ るな",-1.531,-62.181,0,"ゆっち一",20.311,-44.057,70,"WhiteMountain",12.88,-62.756,0,"아침땅_",35.349,-90.113,0,"_앰프_",-14.641,-109.943,0,"Riyaj",-46.343,-88.92,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,5
9,1,1,0,0,0,0,0,1,1,0,3,7,255,8,633.971,"하루（Haru）",R,33,129,2.223,0.287,0.161,1.86,-36.505,4,0,138.194,-31.911,12.3,0.005,-21.27,1,2,8,R,"-라후이-",190,80,0.502,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,-37.137,0,"CAT tourniquet",0.172,-17.467,0,"3Ducks",-19.584,-45.218,0,"それいゆ るな",-0.34,-60.425,0,"ゆっち一",19.866,-41.816,0,"WhiteMountain",13.609,-62.726,0,"아침땅_",41.621,-94.089,0,"_앰프_",-17.825,-115.746,0,"Riyaj",-46.028,-88.948,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,1,0,1,1,0,3,7,255,9,654.171,"하루（Haru）",R,0,99,0.991,0.367,0.108,1.953,-36.772,0,0,0,0,-6.907,0,0,0,2,8,R,"-라후이-",190,80,0.502,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.444,-37.14,0,"CAT tourniquet",-0.113,-17.692,0,"3Ducks",-19.882,-44.553,0,"それいゆ るな",-0.563,-61.298,0,"ゆっち一",19.159,-41.459,0,"WhiteMountain",13.605,-62.722,0,"아침땅_",39.813,-96.7,0,"_앰프_",-17.913,-115.759,0,"Riyaj",-45.98,-88.861,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
