id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,434.862,"-라후이-",R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,R,"소솨소솨",174.6,89.574,0.5,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,0,0,0,0,0,255,255,255,0,478.069,"-라후이-",R,32,89,140,2.867,-0.074,0.295,1.457,-36.204,4,0,250,-200,53.411,0.776,-21.204,1,2,5,R,"소솨소솨",174.6,89.574,0.5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,-36.592,0,"Pring__",0.156,-17.79,0,"CAT tourniquet",-19.822,-45.542,0,"버터밀크",-11.938,-66.072,0,"Yaksok~",20.921,-50.311,0,"_Chun",10.034,-61.59,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"WhiteMountain",-46.659,-83.298,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,1,0,0,0,0,255,255,255,1,493.79,"-라후이-",R,32,87,140,2.203,0.27,0.082,1.545,-36.137,4,0,250,-200,64.094,-0.24,-19.824,1,2,5,R,"소솨소솨",174.6,89.574,0.5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016,-36.887,0,"Pring__",-0.013,-17.048,0,"CAT tourniquet",-20.059,-46.446,0,"버터밀크",-11.944,-66.09,0,"Yaksok~",20.939,-50.309,0,"_Chun",11.788,-63.052,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"WhiteMountain",-45.804,-90.847,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,2,0,0,0,0,255,255,255,2,510.687,"-라후이-",R,13,71,112,0.821,-0.585,0.457,1.766,-36.357,2,0,-390.434,312.348,46.114,0,0,1,2,5,R,"소솨소솨",174.6,89.574,0.5,2,59,511.581,255,13,194,111,47,255,150,95,-9.938,-16.156,-0.31,0.033,-0.054,0.08,0,0.176,-36.612,0,"Pring__",-0.01,-16.897,0,"CAT tourniquet",-20.011,-46.451,0,"버터밀크",-11.163,-64.363,0,"Yaksok~",20.914,-50.304,0,"_Chun",10.973,-60.608,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"WhiteMountain",-45.72,-90.853,0,511.638,1.268,-24.608,513.427,5,"_Chun",11.721,-54.599,0,0,0,0,0,0,0,2
5,1,1,0,0,0,0,1,0,0,0,255,255,255,3,541.821,"-라후이-",R,26,85,139,-0.496,0.81,-0.049,1.714,-36.244,0,0,186.54,-200,64.897,0,0,0,1,1,R,"Pugeuk",190,86.322,0.548,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164,-36.842,0,"Pring__",-0.022,-16.841,0,"CAT tourniquet",-20.263,-46.842,0,"버터밀크",-12.28,-64.866,0,"Yaksok~",19.858,-49.206,0,"_Chun",8.636,-63.173,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"WhiteMountain",-46.509,-90.205,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,1,1,0,0,0,255,255,255,4,552.973,"-라후이-",R,32,97,140,2.452,0.217,0.188,1.563,-36.225,2,0,250,-200,67.961,0,0,1,1,1,R,"Pugeuk",190,86.322,0.548,3,72,553.779,176,8,79,42,12,85,139,100,-71.225,-57.978,-0.16,-0.043,-0.061,0.08,0,0.208,-36.817,0,"Pring__",-0.004,-16.884,0,"CAT tourniquet",-20.105,-46.432,0,"버터밀크",-12.271,-64.859,0,"Yaksok~",19.89,-49.225,0,"_Chun",8.244,-62.2,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"WhiteMountain",-46.54,-90.177,0,553.671,1.052,-19.35,0,0,"",0,0,0,0,0,0,0,0,0,3
7,1,1,0,0,0,2,1,0,0,0,255,255,255,5,567.363,"-라후이-",R,13,78,116,-3.256,0.114,0.083,1.821,-36.355,2,0,-390.434,312.348,35.209,0,0,1,1,1,R,"Pugeuk",190,86.322,0.548,3,73,568.243,234,21,123,79,30,128,150,126,-30,43.134,0.75,-0.082,-0.054,0.082,0,0.1,-36.738,0,"Pring__",-0.025,-16.884,0,"CAT tourniquet",-20.043,-46.574,0,"버터밀크",-12.921,-65.013,0,"Yaksok~",20.203,-49.703,0,"_Chun",10.206,-62.055,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"WhiteMountain",-48.806,-91.068,0,568.215,-2.21,-22.19,571.593,8,"WhiteMountain",-52.547,-78.591,1,0,0,0,0,0,0,2
8,1,1,0,0,0,0,1,0,1,0,255,1,255,6,613.628,"-라후이-",R,13,70,111,-0.469,0.651,0.361,1.903,-36.515,2,0,-336.807,369.542,10.009,0,0,0,2,4,L,"Kr_Luna",190,94.523,0.497,3,72,614.525,118,18,101,72,44,109,144,111,16.961,-24.68,0.07,-0.018,-0.011,0.092,0,-0.183,-36.937,0,"Pring__",0.008,-16.827,0,"CAT tourniquet",-19.997,-46.568,0,"버터밀크",-12.161,-65.358,0,"Yaksok~",19.465,-48.847,0,"_Chun",5.566,-61.412,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"WhiteMountain",-51.948,-92.706,0,622.393,1.032,-59.786,622.582,5,"_Chun",2.512,-60.75,0,0,0,0,0,0,0,1
9,1,1,0,0,0,0,2,0,1,0,255,1,255,7,639.203,"-라후이-",R,32,85,138,0.88,-0.687,0.179,1.552,-36.146,0,0,250,-200,45.74,0,0,0,3,2,R,"それいゆ るな",160,89.534,0.45,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,-36.874,0,"Pring__",0,-16.838,0,"CAT tourniquet",-19.906,-45.917,0,"버터밀크",-13.81,-63.145,0,"Yaksok~",19.628,-46.462,0,"_Chun",2.875,-61.173,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"WhiteMountain",-51.92,-92.675,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,1,2,0,1,0,255,1,255,8,650.473,"-라후이-",R,26,91,140,0.016,0.681,-0.034,1.4,-36.22,0,0,175.615,-200,42.055,0,0,1,3,2,R,"それいゆ るな",160,89.534,0.45,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.313,0,"Pring__",-0.012,-16.803,0,"CAT tourniquet",-19.652,-45.882,0,"버터밀크",-13.86,-63.166,0,"Yaksok~",19.276,-47.597,0,"_Chun",5.686,-61.128,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"WhiteMountain",-51.653,-92.848,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
