id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,347.502,"Riyaj",R,26,95,140,0.038,1.047,-0.014,1.859,-36.694,0,0,179.282,-200,11.841,0.356,-17.698,0,0,0,R,"3Ducks",176.2,83.295,0.451,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.238,-37.36,0,"_Chun",0.012,-17.08,0,"IbikiKai_JP",-23.637,-46.545,0,"아침땅_",-14.388,-64.469,0,"ゆっち一",24.748,-50.329,0,"sano jpn",14.467,-63.11,0,"AI",35.706,-81.805,0,"AI",0,-100.6,0,"AI",-35.706,-81.805,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,361.188,"Riyaj",R,10,67,99,-0.407,1.778,-0.025,2.345,-37.108,1,0,0,400,-11.271,0,0,0,0,0,R,"3Ducks",176.2,83.295,0.451,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261,-37.169,0,"_Chun",0.016,-17.235,0,"IbikiKai_JP",-23.642,-46.534,0,"아침땅_",-14.451,-64.379,0,"ゆっち一",22.293,-50.876,0,"sano jpn",14.606,-63.061,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,375.788,"Riyaj",R,27,91,140,-2.189,-0.539,-0.182,1.709,-36.593,4,0,44.537,-117.114,3.748,0,0,1,0,0,R,"3Ducks",176.2,83.295,0.451,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.189,-37.338,0,"_Chun",-0.093,-17.328,0,"IbikiKai_JP",-23.62,-46.557,0,"아침땅_",-14.459,-64.387,0,"ゆっち一",21.432,-50.846,0,"sano jpn",10.756,-64.665,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,390.982,"Riyaj",R,10,65,98,-2.363,-0.405,-0.222,2.05,-36.751,1,0,0,400,1.694,0,0,0,0,0,R,"3Ducks",176.2,83.295,0.451,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.164,-37.606,0,"_Chun",-0.075,-17.288,0,"IbikiKai_JP",-22.162,-44.093,0,"아침땅_",-14.485,-64.419,0,"ゆっち一",22.048,-50.986,0,"sano jpn",13.266,-63.698,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,404.386,"Riyaj",R,10,77,106,3.346,-1.047,0.005,1.993,-36.657,2,0,-85.158,400,-4.48,0,0,1,0,0,R,"3Ducks",176.2,83.295,0.451,3,85,405.427,128,9,28,42,30,67,59,59,42.436,20.724,-0.39,-0.043,-0.003,0,0,0.103,-36.688,0,"_Chun",-0.004,-17.368,0,"IbikiKai_JP",-22.361,-44.176,0,"아침땅_",-14.469,-64.374,0,"ゆっち一",22.325,-50.739,0,"sano jpn",10.169,-64.442,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,410.148,-15.298,-59.584,410.704,0,"3Ducks",-15.026,-58.864,0,0,0,0,0,0,0,1
6,1,1,0,0,0,0,1,0,0,0,255,255,255,5,440.718,"Riyaj",R,13,67,97,-1.121,0.374,0.072,2.027,-36.911,2,0,-308.57,357.145,-9.631,0,0,1,1,5,L,"CAT tourniquet",174.6,80,0.597,2,83,441.806,164,8,44,47,34,175,120,84,27.659,-14.741,0.03,0.058,0.018,0.07,0,-0.281,-36.988,0,"_Chun",-0.012,-17.343,0,"IbikiKai_JP",-21.137,-44.334,0,"아침땅_",-12.505,-65.278,0,"ゆっち一",23.524,-50.37,0,"sano jpn",14.26,-61.829,0,"AI",35.705,-81.804,0,"AI",0,-100.6,0,"AI",-35.705,-81.804,0,446.426,18.672,-88.015,450.392,0,"3Ducks",0.029,-59.155,1,0,0,0,0,0,0,2
7,1,1,0,0,0,0,1,1,0,0,5,255,255,6,469.468,"Riyaj",R,34,80,131,1.02,2.445,0.108,2.109,-36.839,1,0,73.57,-69.985,-0.943,0.695,-17.582,0,2,3,R,"ByeolBam",174.5,85,0.5,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.346,-37.108,0,"_Chun",-0.102,-17.841,0,"IbikiKai_JP",-19.285,-40.217,0,"아침땅_",-8.221,-65.353,0,"ゆっち一",22.929,-49.389,0,"sano jpn",10.647,-64.238,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,1,0,1,0,1,0,255,5,255,7,486.92,"Riyaj",R,0,63,103,0.568,2.237,0.143,2.305,-37.099,1,0,-19.01,47.253,-8.699,0,0,0,2,3,R,"ByeolBam",174.5,85,0.5,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21,-37.314,0,"_Chun",0.05,-17.147,0,"IbikiKai_JP",-21.314,-43.41,0,"아침땅_",-13.642,-64.633,0,"ゆっち一",20.079,-44.468,0,"sano jpn",6.561,-60.021,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,2,0,1,0,1,0,255,5,255,8,503.601,"Riyaj",R,13,74,102,-2.556,-0.431,-0.154,1.887,-36.619,4,0,-260.33,400,-9.108,0,0,1,2,3,R,"ByeolBam",174.5,85,0.5,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.303,-37.363,0,"_Chun",-0.128,-17.119,0,"IbikiKai_JP",-21.328,-43.376,0,"아침땅_",-13.715,-64.615,0,"ゆっち一",21.214,-48.582,0,"sano jpn",6.092,-58.026,0,"AI",35.702,-81.802,0,"AI",0,-100.602,0,"AI",-35.702,-81.802,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,2,1,1,0,1,0,255,5,255,9,517.992,"Riyaj",R,26,91,140,-0.531,0.461,-0.046,1.755,-36.477,2,0,110.949,-200,3.163,0,0,1,2,3,R,"ByeolBam",174.5,85,0.5,3,83,518.969,163,13,76,52,30,94,139,124,111.125,-35.679,0.67,0.085,-0.115,0.168,0,0,-36.847,0,"_Chun",-0.05,-17.19,0,"IbikiKai_JP",-21.346,-43.393,0,"아침땅_",-13.698,-64.596,0,"ゆっち一",20.223,-42.593,0,"sano jpn",6.945,-58.111,0,"AI",35.702,-81.802,0,"AI",0,-100.602,0,"AI",-35.702,-81.802,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
