id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,295.368,"Pugeuk",R,26,94,140,1.585,-0.853,0.104,1.169,-36.429,2,0,-85.623,-200,25.105,0,0,1,0,3,R,"아침땅_",160,95.405,0.5,2,93,296.232,84,7,73,57,13,120,66,-32.537,5.732,-0.79,-0.006,-0.037,0.13,0,0.214,-0.118,-36.824,0,"소솨소솨",-0.089,-17.041,0,"WhiteMountain",-23.098,-49.613,0,"ke ro",-13.686,-64.14,0,"인생최패망자",18.724,-46.833,0,"AI",12.281,-57.379,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,296.26,0.221,-20.015,299.401,3,"ke ro",-5.327,-56.516,0,0,0,0,0,0,0,2
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,325.687,"Pugeuk",R,26,95,140,-0.52,-0.304,-0.124,1.2,-36.412,0,0,-42.252,-190.693,20.834,0,0,0,1,2,L,"Pring__",180.3,95.172,0.477,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169,-37.426,0,"소솨소솨",0.026,-16.953,0,"WhiteMountain",-23.32,-49.544,0,"ke ro",-9.013,-65.61,0,"인생최패망자",19.943,-45.774,0,"-라후이-",15.824,-62.498,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,1,1,0,0,0,255,255,255,2,336.373,"Pugeuk",R,6,78,107,1.794,0.062,-0.031,1.491,-36.479,1,0,337.367,199.76,20.553,0,0,0,1,2,L,"Pring__",180.3,95.172,0.477,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.049,-37.441,0,"소솨소솨",0.133,-16.968,0,"WhiteMountain",-23.307,-49.64,0,"ke ro",-10.536,-64.158,0,"인생최패망자",19.874,-46.022,0,"-라후이-",13.897,-62.785,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,1,1,0,0,0,255,255,255,3,347.872,"Pugeuk",R,10,78,107,1.095,-2.071,0.122,1.301,-36.564,4,0,0,400,0,0.206,-17.614,1,1,2,L,"Pring__",180.3,95.172,0.477,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.053,-37.522,0,"소솨소솨",0.117,-17.652,0,"WhiteMountain",-23.429,-49.522,0,"ke ro",-10.217,-64.029,0,"인생최패망자",18.211,-42.379,0,"-라후이-",13.099,-63.878,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,2,1,0,0,0,255,255,255,4,361.848,"Pugeuk",R,26,89,140,2.714,-0.239,0.157,1.22,-36.429,2,0,-9.858,-200,20.623,0,0,1,1,2,L,"Pring__",180.3,95.172,0.477,3,92,362.718,148,22,55,73,69,139,80,28.355,-25.904,0.95,-0.002,-0.05,0.146,0,0.609,-0.265,-36.908,0,"소솨소솨",0.004,-17.114,0,"WhiteMountain",-22.424,-48.358,0,"ke ro",-10.231,-64.034,0,"인생최패망자",19.935,-45.906,0,"-라후이-",14.064,-64.67,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,367.251,35.694,-76.272,372.018,0,"Pugeuk",1.154,-39.086,0,0,0,0,0,0,0,1
6,1,1,0,0,0,0,2,0,0,0,255,255,255,5,385.044,"Pugeuk",R,3,73,105,-1.452,0.448,0.161,1.354,-36.518,0,0,-320.398,0,10.256,0,0,1,2,4,R,"오그림_",190,94.952,0.503,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,-37.279,0,"소솨소솨",-0.243,-16.814,0,"WhiteMountain",-22.193,-47.991,0,"ke ro",-11.518,-62.506,0,"인생최패망자",14.958,-46.851,0,"-라후이-",14.708,-61.522,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,1,2,0,0,0,255,255,255,6,397.315,"Pugeuk",R,28,89,140,0.788,-0.564,0.072,1.275,-36.476,2,0,12.389,-89.15,14.772,0,0,1,2,4,R,"오그림_",190,94.952,0.503,3,89,398.403,145,12,50,56,39,135,84,32.624,-7.856,-0.84,-0.064,-0.095,0.035,0,0.202,-0.013,-37.036,0,"소솨소솨",-0.041,-17.018,0,"WhiteMountain",-22.371,-47.785,0,"ke ro",-11.102,-62.357,0,"인생최패망자",15.105,-47.148,0,"-라후이-",12.545,-62.892,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,403.21,12.518,-83.672,406.81,3,"ke ro",0.872,-61.281,1,0,0,0,0,0,0,2
8,1,1,0,0,0,0,2,1,0,0,4,255,255,7,432.502,"Pugeuk",R,26,95,140,1.328,-0.935,0.063,1.121,-36.435,0,0,-24.019,-200,15.533,0.258,-17.614,0,3,1,L,"Kr_Luna",190,94.523,0.497,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.184,-37.336,0,"소솨소솨",0.791,-17.287,0,"WhiteMountain",-19.496,-44.419,0,"ke ro",-7.056,-63.365,0,"인생최패망자",19.073,-43.422,0,"-라후이-",15.241,-63.866,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,1,2,1,0,0,4,255,255,8,447.632,"Pugeuk",R,6,79,105,3.562,-0.276,0.072,1.49,-36.524,1,0,443.796,183.96,19.289,0,0,0,3,1,L,"Kr_Luna",190,94.523,0.497,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.188,-37.926,0,"소솨소솨",0.873,-16.854,0,"WhiteMountain",-20.818,-43.164,0,"ke ro",-4.363,-61.827,0,"인생최패망자",18.84,-41.89,0,"-라후이-",14.472,-65.765,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,4,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,528.591,"편하비_",R,14,58,104,-0.776,-0.006,-0.239,2.001,-37.067,0,0,369.138,312.348,0,0,0,0,0,4,R,"인생최패망자",190,80,0.4,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,-37.677,0,"Kr_Luna",-0.006,-17.278,0,"Pring__",-20.931,-47.12,0,"아침땅_",-14.648,-64.297,0,"오그림_",21.034,-49.041,0,"Sabo_10",11.583,-60.847,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
