id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,229.828,"편하비_",R,32,52,111,0.736,-0.489,0.035,1.73,-36.854,0,0,250,-145.87,0,0.461,-16.797,0,0,3,R,"_앰프_",160,80,0.396,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.155,-37.822,0,"Riyaj",-0.027,-17.472,0,"Multeinn",-20.275,-45.505,0,"오띵__",-12.959,-65.479,0,"눈꽃",17.168,-45.452,0,"ke ro",9.623,-65.44,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,241.358,"편하비_",R,32,56,114,-3.887,-1.371,-0.034,1.692,-36.875,1,0,250,-176.641,0,-0.996,-17.203,0,0,3,R,"_앰프_",160,80,0.396,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.051,-37.953,0,"Riyaj",-1.128,-17.242,0,"Multeinn",-20.154,-45.036,0,"오띵__",-12.96,-65.468,0,"눈꽃",17.249,-45.451,0,"ke ro",8.86,-65.885,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,255.533,"편하비_",R,13,57,103,-2.071,-1.382,-0.031,1.809,-36.831,1,0,-364.05,314.39,0,-0.823,-16.91,0,0,3,R,"_앰프_",160,80,0.396,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,-38.138,0,"Riyaj",-0.522,-17.441,0,"Multeinn",-20.24,-44.324,0,"오띵__",-12.946,-65.412,0,"눈꽃",17.282,-45.466,0,"ke ro",8.078,-65.515,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,2,1,0,0,0,0,255,255,255,3,268.513,"편하비_",R,10,53,102,-2.156,-2.183,-0.032,2.111,-37.103,4,0,0,400,0,-0.589,-17.523,1,0,3,R,"_앰프_",160,80,0.396,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04,-38.278,0,"Riyaj",-0.226,-17.573,0,"Multeinn",-22.36,-47.192,0,"오띵__",-12.973,-65.487,0,"눈꽃",17.289,-45.467,0,"ke ro",7.789,-65.242,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,282.582,"편하비_",R,10,44,96,-1.01,-1.016,0.008,2.018,-37.311,2,0,0,400,0,0,0,1,0,3,R,"_앰프_",160,80,0.396,3,39,283.87,214,22,39,63,56,127,104,8.222,44.058,0.42,-0.168,-0.057,0.031,0,0.206,0.164,-37.98,0,"Riyaj",-0.001,-17.438,0,"Multeinn",-21.303,-48.437,0,"오띵__",-12.965,-65.462,0,"눈꽃",17.215,-45.479,0,"ke ro",7.697,-64.868,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,291.033,-57.846,-93.391,294.833,3,"오띵__",-17.268,-69.357,1,0,0,0,0,0,0,2
6,1,1,0,0,0,0,0,0,1,0,255,3,255,5,316.787,"편하비_",R,33,54,112,2.697,-0.459,0.434,1.655,-37.085,2,0,102.292,-43.774,0,0,0,1,1,5,R,"ByeolBam",175.4,85,0.5,3,37,317.864,147,18,70,100,59,144,112,-5.741,-27.445,0.06,-0.081,-0.111,0.044,0,0.115,0.17,-37.661,0,"Riyaj",-0.044,-17.495,0,"Multeinn",-21.325,-49.719,0,"오띵__",-12.932,-65.291,0,"눈꽃",17.328,-44.399,0,"ke ro",6.374,-64.611,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,318.083,3.766,-26.588,319.25,4,"눈꽃",14.499,-45.202,0,0,0,0,0,0,0,2
7,1,1,0,0,0,0,1,0,1,0,255,3,255,6,374.659,"편하비_",R,32,61,118,1.287,-0.164,0.053,1.755,-36.789,2,0,216.029,-200,0,0,0,1,2,2,R,"Gonyong",190,80,0.2,3,37,375.895,232,18,70,103,41,149,92,35.725,9.752,-0.73,0.06,0.019,0.119,0,0.356,0.048,-37.66,0,"Riyaj",-0.067,-17.416,0,"Multeinn",-20.764,-48.538,0,"오띵__",-13.514,-64.896,0,"눈꽃",19.524,-41.18,0,"ke ro",2.588,-62.05,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,380.783,-10.699,-92.163,384.583,5,"ke ro",-0.699,-61.206,0,0,0,0,0,0,0,1
8,1,1,0,0,0,0,2,0,1,0,255,3,255,7,410.508,"편하비_",R,26,59,116,0.674,-0.235,0.017,1.745,-36.727,0,0,143.283,-200,0,0.278,-17.281,0,3,1,L,"Kr_Luna",190,94.523,0.497,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,-37.839,0,"Riyaj",0.106,-17.574,0,"Multeinn",-20.809,-46.193,0,"오띵__",-8.637,-64.765,0,"눈꽃",19.539,-41.974,0,"ke ro",8.725,-64.206,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,1,2,0,1,0,255,3,255,8,428.325,"편하비_",R,14,50,99,1.446,-0.314,0.035,1.992,-36.896,2,0,211.12,400,0,0,0,1,3,1,L,"Kr_Luna",190,94.523,0.497,3,37,429.35,166,23,104,112,40,150,100,12.318,-30.932,0.92,0.007,-0.012,0.101,0,0.113,0.254,-37.795,0,"Riyaj",0.027,-17.337,0,"Multeinn",-20.794,-51.628,0,"오띵__",-10.639,-64.921,0,"눈꽃",18.567,-44.074,0,"ke ro",8.32,-63.33,0,"AI",35.7,-81.8,0,"AI",0,-100.61,0,"AI",-35.7,-81.8,0,437.05,61.688,-88.988,441.117,5,"ke ro",14.898,-65.961,1,0,0,0,0,0,0,2
10,1,1,1,0,0,0,2,0,1,0,255,255,255,9,462.887,"편하비_",R,32,49,108,3.476,0.074,0.253,1.816,-36.756,1,0,197.784,-154.408,0,1.26,-16.914,0,4,4,R,"아침땅_",180.2,95.405,0.5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,-37.757,0,"Riyaj",0.532,-17.402,0,"Multeinn",-21.88,-48.094,0,"오띵__",-12.694,-65.593,0,"눈꽃",18.6,-43.228,0,"ke ro",6.185,-62.359,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
11,1,1,1,0,1,0,2,0,1,0,255,255,255,10,480.795,"편하비_",R,10,56,105,2.42,-0.229,0.289,1.975,-36.81,2,0,-17.37,400,0,0,0,1,4,4,R,"아침땅_",180.2,95.405,0.5,2,36,481.968,135,9,69,96,51,141,86,7.387,-30.478,-0.77,-0.036,-0.042,0.062,0,0.289,0.356,-37.741,0,"Riyaj",-0.048,-17.092,0,"Multeinn",-20.95,-47.956,0,"오띵__",-12.638,-65.558,0,"눈꽃",18.07,-44.162,0,"ke ro",6.542,-62.036,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,483.167,15.053,-42.032,483.5,4,"눈꽃",14.365,-41.058,0,0,0,0,0,0,0,1
12,1,0,1,0,0,0,0,0,0,0,255,255,255,0,534.47,"coder_",R,26,87,140,1.313,-2.92,0.143,1.258,-36.606,1,0,-88.46,-200,22.47,0.243,-20.624,0,0,5,R,"ke ro",160,85.038,0.399,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,-37.391,0,"Kr_Luna",0.076,-17.224,0,"Gonyong",-18.802,-47.721,0,"_앰프_",-13.539,-63.747,0,"아침땅_",20.901,-49.735,0,"ByeolBam",13.711,-63.551,0,"AI",35.701,-81.801,0,"AI",0,-100.601,0,"Pugeuk",-13.401,-20.908,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
13,1,0,1,0,1,0,0,0,0,0,255,255,255,1,545.238,"coder_",R,26,83,136,0.941,-1.674,0.111,1.458,-36.473,1,0,-80.252,-200,5.658,0.161,-16.554,0,0,5,R,"ke ro",160,85.038,0.399,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,-37.083,0,"Kr_Luna",0.119,-17.168,0,"Gonyong",-18.891,-47.869,0,"_앰프_",-13.561,-63.846,0,"아침땅_",20.764,-50.091,0,"ByeolBam",13.671,-63.564,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"Pugeuk",-28.485,-44.151,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
14,1,0,1,0,2,0,0,0,0,0,255,255,255,2,587.793,"coder_",R,26,78,129,1.194,0.579,0.128,1.776,-36.489,0,0,-54.056,-153.565,2.44,0,0,1,0,5,R,"ke ro",160,85.038,0.399,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169,-37.348,0,"Kr_Luna",0.094,-17.296,0,"Gonyong",-19.337,-49.679,0,"_앰프_",-13.674,-63.737,0,"아침땅_",20.757,-50.092,0,"ByeolBam",14.428,-62.519,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"Pugeuk",-37.251,-91.171,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
15,1,0,1,0,2,1,0,0,0,0,255,255,255,3,600.581,"coder_",R,27,73,126,2.768,2.739,0.262,2.076,-36.704,1,0,-12.437,-132.23,2.761,0,0,0,0,5,R,"ke ro",160,85.038,0.399,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11,-37.327,0,"Kr_Luna",-0.005,-17.845,0,"Gonyong",-19.347,-49.709,0,"_앰프_",-13.66,-63.805,0,"아침땅_",20.925,-50.012,0,"ByeolBam",14.544,-63.057,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"Pugeuk",-36.708,-96.601,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
