id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,259.376,"_이누_",R,26,85,138,0.524,0.883,0.038,1.861,-36.571,2,0,53.39,-155.294,4.95,0,0,1,0,4,R,"인생최패망자",190,80,0.4,3,74,260.371,170,17,87,132,65,150,130,102.526,34.11,0.68,-0.017,-0.033,0.075,0,0.354,-0.412,-36.783,0,"HANA_ARASHI",-0.059,-16.926,0,"CAT tourniquet",-19.972,-45.582,0,"_앰프_",-13.468,-64.255,0,"장덕춘_",19.696,-48.194,0,"ke ro",11.408,-65.034,0,"muyang_",40.225,-84.349,0,"Gonyong",0.069,-108.747,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,273.468,"_이누_",R,14,69,111,3.632,-1.68,-0.022,1.836,-36.644,4,0,304.723,396.414,2.685,1.089,-21.035,1,0,4,R,"인생최패망자",190,80,0.4,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009,-37.157,0,"HANA_ARASHI",0.014,-16.707,0,"CAT tourniquet",-19.874,-44.854,0,"_앰프_",-13.941,-63.91,0,"장덕춘_",19.223,-46.186,0,"ke ro",11.524,-64.068,0,"muyang_",45.128,-88.894,0,"Gonyong",1.211,-108.78,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,288.625,"_이누_",R,13,71,112,-3.259,-1.828,0.037,1.865,-36.696,4,0,-351.944,355.156,6.003,-0.715,-18.925,1,0,4,R,"인생최패망자",190,80,0.4,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.088,-37.561,0,"HANA_ARASHI",-0.499,-16.83,0,"CAT tourniquet",-19.599,-44.026,0,"_앰프_",-13.784,-64.069,0,"장덕춘_",21.476,-47.155,0,"ke ro",11.565,-64.304,0,"muyang_",42.422,-88.916,0,"Gonyong",1.035,-108.822,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,307.815,"_이누_",R,10,68,112,-1.245,0.483,-0.069,1.953,-36.622,2,0,-131.022,400,4.186,0,0,1,1,2,L,"Pring__",180.3,95.172,0.477,3,74,308.81,168,14,96,79,43,150,87,107.43,-63.297,-0.82,-0.02,-0.042,0.167,0,0.138,-0.51,-36.9,0,"HANA_ARASHI",-0.09,-17.209,0,"CAT tourniquet",-18.011,-47.027,0,"_앰프_",-13.017,-64.04,0,"장덕춘_",21.498,-46.992,0,"ke ro",11.728,-63.689,0,"muyang_",42.612,-93.356,0,"Gonyong",0.694,-107.722,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
5,1,1,0,0,0,1,1,0,0,0,255,255,255,4,319.703,"_이누_",R,28,79,130,-0.733,-0.355,-0.069,1.65,-36.39,2,0,14.368,-73.588,3.754,0,0,1,1,2,L,"Pring__",180.3,95.172,0.477,3,74,320.579,196,22,64,82,64,142,102,27.452,-8.587,0.02,-0.007,-0.066,0.146,0,0.518,-0.072,-36.839,0,"HANA_ARASHI",-0.091,-17.164,0,"CAT tourniquet",-18.252,-46.627,0,"_앰프_",-14.225,-63.989,0,"장덕춘_",21.316,-47.682,0,"ke ro",12.298,-65.301,0,"muyang_",43.024,-92.337,0,"Gonyong",14.698,-117.892,0,"AI",-35.7,-81.8,0,325.48,27.668,-102.844,325.655,6,"muyang_",26.388,-99.895,0,0,0,0,0,0,0,1
6,1,1,0,0,0,0,2,0,0,0,255,255,255,5,346.449,"_이누_",R,1,56,114,-1.024,-0.494,-0.136,1.974,-36.987,2,0,0,0,0.53,0,0,0,2,1,L,"Kr_Luna",190,94.523,0.497,3,72,347.336,134,29,89,108,34,143,103,27.267,-23.528,0.91,-0.016,-0.004,0.145,0,0.059,-0.4,-36.848,0,"HANA_ARASHI",-0.091,-17.252,0,"CAT tourniquet",-18.231,-46.912,0,"_앰프_",-11.441,-64.598,0,"장덕춘_",21.427,-47.897,0,"ke ro",12.623,-65.012,0,"muyang_",41.999,-88.445,0,"Gonyong",6.798,-117.921,0,"AI",-35.7,-81.8,0,352.038,42.046,-97.92,352.205,6,"muyang_",39.962,-94.516,0,0,0,0,0,0,0,1
7,1,0,0,0,0,0,0,0,0,0,255,255,255,0,452.192,"_Chun",L,26,81,132,0.984,0.887,0.121,1.563,-36.453,2,0,-112.563,-200,-2.81,0,0,1,0,4,R,"장덕춘_",164.6,94.682,0.8,3,71,453.119,159,14,54,94,72,138,93,27.708,4.077,0,-0.038,-0.009,0.052,0,0.218,0.096,-36.958,0,"Kr_Luna",0.13,-17.337,0,"Pring__",-22.026,-48.077,0,"ゆっち一",-12.86,-64.742,0,"인생최패망자",15.696,-48.565,0,"-라후이-",9.777,-66.362,0,"소솨소솨",39.045,-86.12,0,"오그림_",2.882,-110.909,0,"AI",-35.7,-81.8,0,464.905,-21.004,-132.319,469.972,3,"ゆっち一",5.445,-69.981,1,0,0,0,0,0,0,2
8,1,0,0,0,0,0,0,0,1,0,255,13,255,1,498.481,"_Chun",L,6,61,106,1.689,1.015,0.277,1.788,-36.753,2,0,-460.201,0,0.41,0,0,0,1,7,R,"Gonyong",174.6,80,0.2,3,70,499.716,73,6,15,36,19,17,35,-89.275,89.197,0.91,0.069,0.048,0,0,0.133,0.332,-37.149,0,"Kr_Luna",0.258,-17.329,0,"Pring__",-21.691,-48.357,0,"ゆっち一",-13.016,-64.073,0,"인생최패망자",16.781,-47.118,0,"-라후이-",8.736,-63.293,0,"소솨소솨",36.155,-86.546,0,"오그림_",0.904,-106.925,0,"AI",-35.7,-81.8,0,499.888,-0.672,-18.852,0,0,"",0,0,0,0,0,0,0,0,0,3
9,1,0,0,0,0,1,0,0,1,0,255,13,255,2,519.866,"_Chun",L,26,77,128,1.179,-0.989,0.096,1.382,-36.487,2,0,-38.368,-200,0.381,0,0,1,1,7,R,"Gonyong",174.6,80,0.2,3,70,521.013,255,19,67,56,19,142,127,90.105,-89.88,0.56,-0.001,-0.026,0.058,0.048,0.191,0.193,-37.147,0,"Kr_Luna",0.094,-17.458,0,"Pring__",-21.673,-47.814,0,"ゆっち一",-12.658,-63.69,0,"인생최패망자",16.165,-47.026,0,"-라후이-",10.845,-63.428,0,"소솨소솨",33.911,-84.865,0,"오그림_",3.27,-106.838,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
10,1,0,0,0,0,2,0,0,1,0,255,13,255,3,539.577,"_Chun",L,27,79,130,-0.389,-0.864,-0.075,1.441,-36.562,2,0,-59.36,-103.018,-4.975,0,0,1,1,7,R,"Gonyong",174.6,80,0.2,3,70,540.655,193,19,36,68,18,120,117,25.121,37.134,0.46,0.007,-0.038,0.079,0.048,0.17,0.092,-37.084,0,"Kr_Luna",-0.006,-17.346,0,"Pring__",-21.521,-47.225,0,"ゆっち一",-15.556,-62.142,0,"인생최패망자",16.976,-46.778,0,"-라후이-",6.536,-60.779,0,"소솨소솨",39.391,-89.43,0,"오그림_",1.997,-105.862,0,"AI",-35.7,-81.8,0,548.555,-68.511,-79.702,0,0,"",0,0,0,0,0,0,0,0,0,2
