id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,264.418,"Pugeuk",R,26,92,140,-31.304,-0.959,-0.102,1.163,-36.416,2,0,-65.122,-200,15.619,0,0,1,0,2,L,"encounter v",190,92.863,0.497,3,84,265.489,255,9,71,64,22,147,86,4.417,-29.148,-0.91,0.051,-0.143,0.213,0,0.425,-0.192,-37.027,0,"Yaksok~",0.023,-17.068,0,"Pring__",-22.432,-49.06,0,"IllilliIIIIllil",-12.705,-64.448,0,"Slaris",21.683,-46.766,0,"HANA_ARASHI",13.803,-61.822,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,269.244,35.55,-70.347,272.561,3,"IllilliIIIIllil",1.29,-59.562,1,0,0,0,0,0,0,2
2,1,1,0,0,0,0,0,1,0,0,2,255,255,1,292.94,"Pugeuk",R,3,78,116,-1.447,0.608,0.029,1.438,-36.466,0,0,-492.797,84.567,22,0,0,0,1,5,R,"ByeolBam",174.5,90,0.5,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.265,-37.657,0,"Yaksok~",-0.298,-17.426,0,"Pring__",-20.615,-42.191,0,"IllilliIIIIllil",-12.138,-64.523,0,"Slaris",21.219,-48.48,0,"HANA_ARASHI",15.681,-61.112,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,1,0,0,0,0,0,0
3,1,1,0,0,0,1,1,0,0,0,255,255,255,2,321.946,"Pugeuk",R,26,86,140,0.707,0,-0.007,1.331,-36.477,0,0,15.679,-156.467,22.732,0,0,1,1,5,R,"ByeolBam",174.5,90,0.5,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.475,-37.368,0,"Yaksok~",-0.106,-17.328,0,"Pring__",-21.663,-47.193,0,"IllilliIIIIllil",-11.836,-63.537,0,"Slaris",20.193,-49.962,0,"HANA_ARASHI",13.812,-63.105,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,2,1,0,0,0,255,255,255,3,334.742,"Pugeuk",R,3,75,115,-1.98,-0.243,0.066,1.238,-36.5,2,0,-472.684,0,16.007,0,0,1,1,5,R,"ByeolBam",174.5,90,0.5,3,82,335.736,157,14,46,75,53,131,103,32.302,16.733,0.88,-0.023,-0.1,0.07,0,0.096,-0.341,-36.809,0,"Yaksok~",-0.167,-17.19,0,"Pring__",-21.675,-47.199,0,"IllilliIIIIllil",-11.88,-63.56,0,"Slaris",20.376,-49.774,0,"HANA_ARASHI",13.764,-63.378,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,344.002,-36.169,-119.303,347.71,3,"IllilliIIIIllil",-13.118,-81.252,1,0,0,0,0,0,0,2
5,1,1,0,0,0,0,1,0,1,0,255,7,255,4,374.885,"Pugeuk",R,27,89,140,0.228,0.026,0.012,1.26,-36.408,0,0,36.091,-127.533,16.335,0,0,0,2,1,R,"それいゆ るな",160,89.534,0.45,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,-37.579,0,"Yaksok~",-0.123,-17.244,0,"Pring__",-22.401,-48.715,0,"IllilliIIIIllil",-10.491,-64.108,0,"Slaris",20.21,-48.179,0,"HANA_ARASHI",13.397,-64.649,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,1,1,0,1,0,255,7,255,5,388.493,"Pugeuk",R,3,80,121,0.652,-0.209,0.114,1.346,-36.438,2,0,-326.035,149.895,8.91,0,0,1,2,1,R,"それいゆ るな",160,89.534,0.45,2,80,389.654,237,11,121,49,17,150,90,35.141,38.246,-0.24,0.059,0.03,0.12,0.048,0.231,-0.429,-36.972,0,"Yaksok~",-0.106,-17.196,0,"Pring__",-22.413,-48.689,0,"IllilliIIIIllil",-11.293,-65.469,0,"Slaris",20.181,-48.481,0,"HANA_ARASHI",12.545,-62.896,0,"AI",35.7,-81.8,0,"AI",0,-100.61,0,"AI",-35.7,-81.8,0,394.327,-53.228,-71.235,0,0,"",0,0,0,0,0,0,0,0,0,2
7,1,1,0,0,0,2,1,0,1,0,255,7,255,6,412.921,"Pugeuk",R,27,89,140,-0.915,1.954,-0.009,1.527,-36.372,1,0,82.777,-117.154,19.541,0,0,0,2,1,R,"それいゆ るな",160,89.534,0.45,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.051,-37.638,0,"Yaksok~",-0.172,-17.318,0,"Pring__",-21.073,-46.187,0,"IllilliIIIIllil",-12.82,-63.695,0,"Slaris",20.521,-47.019,0,"HANA_ARASHI",14.98,-62.163,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,1,2,1,0,1,0,255,7,255,7,427.67,"Pugeuk",R,14,87,126,-1.624,-1.85,-0.128,1.163,-36.423,1,0,238.698,400,34.004,0,0,0,2,1,R,"それいゆ るな",160,89.534,0.45,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002,-37.497,0,"Yaksok~",-0.196,-17.358,0,"Pring__",-20.66,-42.889,0,"IllilliIIIIllil",-12.121,-64.63,0,"Slaris",19.859,-43.903,0,"HANA_ARASHI",14.524,-61.631,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,2,2,1,0,1,0,255,7,255,8,442.506,"Pugeuk",R,7,74,108,-1.813,-0.804,-0.291,1.126,-36.347,1,0,234.346,0,24.116,0,0,0,2,1,R,"それいゆ るな",160,89.534,0.45,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.265,-37.856,0,"Yaksok~",-0.228,-17.267,0,"Pring__",-20.406,-46.719,0,"IllilliIIIIllil",-12.805,-64.287,0,"Slaris",20.224,-45.844,0,"HANA_ARASHI",13.66,-61.558,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,3,2,1,0,1,0,255,7,255,9,457.345,"Pugeuk",R,27,87,140,0.602,-0.276,0.04,1.218,-36.33,0,0,56.534,-132.053,10.102,0,0,1,2,1,R,"それいゆ るな",160,89.534,0.45,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-37.352,0,"Yaksok~",-0.093,-17.351,0,"Pring__",-20.415,-46.643,0,"IllilliIIIIllil",-11.411,-64.332,0,"Slaris",20.546,-44.898,0,"HANA_ARASHI",12.903,-60.051,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
