id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,279.628,"_Chun",L,26,79,130,0.706,1.172,0.087,1.652,-36.482,0,0,-80.427,-200,-7.914,0,0,0,0,5,R,"Multeinn",160,94.907,0.5,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,-37.668,0,"Kr_Luna",0.045,-17.137,0,"WhiteMountain",-21.988,-49.658,0,"Sabo_10",-15.571,-59.346,0,"magimari",18.352,-46.446,0,"Chunsik03",11.253,-64.484,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,294.159,"_Chun",L,6,76,103,1.018,0.022,0.448,1.497,-36.591,0,0,-468.182,0,-23.43,0,0,0,0,5,R,"Multeinn",160,94.907,0.5,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,-37.243,0,"Kr_Luna",0.018,-17.111,0,"WhiteMountain",-21.478,-49.779,0,"Sabo_10",-14.548,-58.171,0,"magimari",17.751,-47.082,0,"Chunsik03",11.931,-62.23,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,309.835,"_Chun",L,40,56,99,0.464,2.83,0.017,2.066,-36.654,2,0,-3.366,-131.384,0,0,0,1,0,5,R,"Multeinn",160,94.907,0.5,2,81,310.936,211,15,96,74,25,150,118,25.131,-7.086,0.29,-0.083,-0.052,0.209,0,0.342,0.244,-37.105,0,"Kr_Luna",0.049,-17.129,0,"WhiteMountain",-21.597,-49.342,0,"Sabo_10",-15.457,-58.868,0,"magimari",17.933,-47.104,0,"Chunsik03",11.73,-61.78,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,322.465,1.473,-68.025,323.215,3,"Sabo_10",0.297,-60.911,1,0,0,0,0,0,0,2
4,1,1,0,0,0,0,0,0,1,0,255,5,255,3,347.284,"_Chun",L,26,84,137,-1.305,0.258,-0.089,1.523,-36.476,0,0,-11.608,-200,-7.927,0,0,1,1,2,L,"Pring__",179.6,95.172,0.477,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,-37.87,0,"Kr_Luna",0.118,-17.192,0,"WhiteMountain",-21.422,-48.947,0,"Sabo_10",-11.329,-60.083,0,"magimari",19.837,-48.087,0,"Chunsik03",9.522,-58.213,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,1,0,0,1,0,255,5,255,4,362.309,"_Chun",L,29,71,124,-0.382,0.031,-0.119,1.444,-36.518,0,0,250,-178.429,-29.103,0,0,1,1,2,L,"Pring__",179.6,95.172,0.477,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311,-37.885,0,"Kr_Luna",0.023,-17.151,0,"WhiteMountain",-21.291,-49.089,0,"Sabo_10",-9.504,-59.859,0,"magimari",19.606,-47.365,0,"Chunsik03",7.906,-59.136,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,2,0,0,1,0,255,5,255,5,376.766,"_Chun",L,10,67,99,1.16,0.094,0.023,1.905,-36.654,0,0,65.124,400,0,0,0,1,1,2,L,"Pring__",179.6,95.172,0.477,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,-37.786,0,"Kr_Luna",0.017,-17.129,0,"WhiteMountain",-21.433,-48.946,0,"Sabo_10",-9.498,-61.942,0,"magimari",20.991,-48.843,0,"Chunsik03",11.658,-60.053,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,0,1,0,1,0,255,5,255,6,397.081,"_Chun",L,27,84,138,2.126,0.196,0.202,1.486,-36.465,2,0,-15.903,-147.082,0,0,0,1,2,3,R,"ByeolBam",175,90,0.5,3,76,397.992,184,11,79,54,37,146,85,55.555,-21.336,-0.8,-0.035,-0.086,0.198,0,0.214,0.324,-37.16,0,"Kr_Luna",0.161,-17.153,0,"WhiteMountain",-21.141,-49.2,0,"Sabo_10",-9.866,-63.63,0,"magimari",20.915,-48.067,0,"Chunsik03",12.813,-62.771,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,403.807,5,"Chunsik03",18.433,-66.213,0,0,0,0,0,0,0,1
8,1,1,0,0,0,0,2,0,1,0,255,5,255,7,427.035,"_Chun",L,26,88,140,0.772,0.859,0.096,1.662,-36.495,0,0,-64.979,-200,0,0,0,0,3,4,R,"인생최패망자",190,80,0.4,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248,-37.837,0,"Kr_Luna",0.053,-17.147,0,"WhiteMountain",-22.255,-48.981,0,"Sabo_10",-13.035,-63.715,0,"magimari",19.596,-50.026,0,"Chunsik03",11.545,-63.194,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,1,2,0,1,0,255,5,255,8,441.136,"_Chun",L,29,77,128,2.635,0.307,0.186,1.509,-36.519,2,0,191.026,-137.02,0,0,0,1,3,4,R,"인생최패망자",190,80,0.4,3,76,442.175,255,15,114,88,90,150,119,97.29,70.186,0.77,-0.009,-0.057,0.075,0,0.351,0.442,-37.537,0,"Kr_Luna",0.101,-17.202,0,"WhiteMountain",-22.002,-49.16,0,"Sabo_10",-14.012,-63.288,0,"magimari",19.6,-49.766,0,"Chunsik03",12.434,-63.403,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
10,1,1,0,0,0,2,2,0,1,0,255,5,255,9,459.771,"_Chun",L,6,68,111,0.186,2.081,0.211,1.965,-36.647,1,0,-486.582,0,0,0,0,0,3,4,R,"인생최패망자",190,80,0.4,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.519,-37.668,0,"Kr_Luna",-0.144,-17.14,0,"WhiteMountain",-21.862,-49.245,0,"Sabo_10",-12.804,-61.57,0,"magimari",21.156,-48.851,0,"Chunsik03",10.928,-64.442,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
