id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,297.072,"하루（Haru）",R,27,91,140,0.445,0.877,0.02,1.925,-36.336,2,0,87.877,-127.343,10.545,0,0,1,0,5,R,"소솨소솨",165.6,80,0.5,2,81,297.939,113,12,74,41,24,138,106,28.154,41.783,0.68,-0.01,-0.052,0.213,0,0.153,-0.026,-36.751,0,"WhiteMountain",-0.034,-16.544,0,"Pring__",-24.837,-50.44,0,"_Chun",-13.421,-61.599,0,"인생최패망자",15.081,-45.925,0,"-라후이-",10.534,-64.25,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,309.002,-7.605,-62.807,309.624,5,"-라후이-",-2.203,-60.184,1,0,0,0,0,0,0,2
2,1,1,0,0,0,0,0,0,1,0,255,5,255,1,338.044,"하루（Haru）",R,0,48,107,0.186,0.004,-0.004,1.865,-36.852,0,0,0,0,0.837,0,0,1,1,3,R,"Pugeuk",160,93.173,0.5,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.557,-37.761,0,"WhiteMountain",-0.063,-16.673,0,"Pring__",-20.148,-41.325,0,"_Chun",-14.126,-58.434,0,"인생최패망자",18.722,-39.842,0,"-라후이-",5.379,-58.277,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,1,0,0,1,0,255,5,255,2,356.383,"하루（Haru）",R,10,45,98,0.178,-1.52,-0.028,1.826,-36.686,2,0,0,357.796,-5.085,0,0,1,1,3,R,"Pugeuk",160,93.173,0.5,3,82,357.404,16,12,34,17,11,7,29,-87.545,-83.822,0.93,-0.042,-0.179,0.137,0.286,0.726,-0.599,-36.855,0,"WhiteMountain",-0.071,-16.794,0,"Pring__",-20.325,-45.592,0,"_Chun",-12.155,-59.025,0,"인생최패망자",15.026,-41.096,0,"-라후이-",8.665,-61.252,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,357.446,0.167,-20.163,0,0,"",0,0,0,0,0,0,0,0,0,3
4,1,1,0,0,0,2,0,0,1,0,255,5,255,3,376.552,"하루（Haru）",R,27,82,134,0.127,1.552,-0.011,2.009,-36.5,4,0,76.185,-111.758,5.831,0.214,-6.973,1,1,3,R,"Pugeuk",160,93.173,0.5,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.376,-37.274,0,"WhiteMountain",-0.023,-16.699,0,"Pring__",-19.911,-40.848,0,"_Chun",-14.998,-56.126,0,"인생최패망자",9.459,-32.471,0,"-라후이-",5.759,-57.916,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,1,0,0,0,0,0,0,0
5,1,1,0,0,0,0,1,0,1,0,255,5,255,4,411.735,"하루（Haru）",R,3,44,94,0.747,0.044,0.233,1.777,-36.766,0,0,-427.273,0,8.94,0,0,0,2,4,L,"Kr_Luna",190,94.523,0.497,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.245,-37.469,0,"WhiteMountain",-0.046,-16.849,0,"Pring__",-20.076,-42.54,0,"_Chun",-13.723,-62.087,0,"인생최패망자",18.265,-40.896,0,"-라후이-",6.356,-59.341,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,1,1,0,1,0,255,5,255,5,428.119,"하루（Haru）",R,27,90,140,-0.353,0.388,-0.056,1.871,-36.316,0,0,83.429,-135.461,8.088,0,0,1,2,4,L,"Kr_Luna",190,94.523,0.497,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.088,-37.201,0,"WhiteMountain",0.193,-16.966,0,"Pring__",-19.596,-40.742,0,"_Chun",-13.724,-62.074,0,"인생최패망자",18.463,-41.377,0,"-라후이-",5.932,-60.584,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,2,1,0,0,1,255,255,5,6,448.943,"하루（Haru）",R,28,82,135,-0.96,0.656,-0.104,1.933,-36.316,2,0,51.765,-88.339,4.214,0,0,1,2,4,L,"Kr_Luna",190,94.523,0.497,5,83,449.765,162,18,141,105,47,150,130,-12.494,2.451,0.51,-0.01,-0.017,0.125,0,0.107,-0.897,-36.913,0,"WhiteMountain",-0.041,-16.916,0,"Pring__",-20.201,-45.208,0,"_Chun",-11.46,-61.182,0,"인생최패망자",18.99,-43.291,0,"-라후이-",9.287,-62.059,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,452.857,-3.344,-92.24,456.935,2,"Pring__",-18.623,-41.615,1,0,0,0,0,0,0,2
8,1,1,1,0,0,0,1,1,0,0,4,255,255,7,484.626,"하루（Haru）",R,13,43,93,-1.346,-0.769,0.008,1.83,-36.525,2,0,-330.095,312.348,-5.814,0,0,0,3,2,L,"Sabo_10",179.7,92,0.499,2,84,485.826,143,22,44,104,53,126,62,-10.931,-30.082,0.96,0.078,-0.103,0.154,0,0.549,-0.569,-36.855,0,"WhiteMountain",-0.036,-16.884,0,"Pring__",-18.63,-43.115,0,"_Chun",-11.098,-60.356,0,"인생최패망자",19.85,-46.087,0,"-라후이-",10.881,-63.347,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,486.024,1.788,-24.804,487.868,4,"인생최패망자",12.715,-41.267,1,0,0,0,0,0,0,2
9,1,1,1,0,0,0,1,0,1,1,255,2,4,8,531.027,"하루（Haru）",R,27,89,140,-0.385,0.714,-0.056,1.934,-36.432,0,0,83.535,-130.215,4.843,0,0,0,4,1,L,"눈꽃",190,89.906,0.496,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151,-37.213,0,"WhiteMountain",-0.022,-16.767,0,"Pring__",-20.232,-44.966,0,"_Chun",-12.019,-62.391,0,"인생최패망자",18.61,-40.201,0,"-라후이-",13.183,-59.778,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,1,0,0,1,1,0,1,1,255,2,4,9,548.506,"하루（Haru）",R,12,43,100,-0.884,-0.59,-0.065,1.823,-36.832,0,0,0,136.65,-13.321,0,0,1,4,1,L,"눈꽃",190,89.906,0.496,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.207,-37.159,0,"WhiteMountain",0.15,-16.909,0,"Pring__",-20.475,-44.15,0,"_Chun",-5.505,-62.587,0,"인생최패망자",18.765,-40.038,0,"-라후이-",13.045,-59.371,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
