id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,221.68,"인생최패망자",R,26,83,135,1.799,1.887,0.204,2.004,-36.587,4,0,129.794,-191.743,0,0,0,1,0,1,L,"NABIMan",190,90.361,0.376,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,-37.893,0,"Kr_Luna",-0.016,-17.181,0,"하루（Haru）",-16.469,-45.653,0,"Oort__Cloud",-13.267,-64.615,0,"눈꽃",18.568,-43.57,0,"아침땅_",15.233,-63.58,0,"Pugeuk",48.804,-91.108,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,233.723,"인생최패망자",R,26,96,140,-0.544,-0.53,-0.116,1.627,-36.354,2,0,67.882,-194.783,0,0,0,1,0,1,L,"NABIMan",190,90.361,0.376,3,72,234.778,189,13,92,82,42,150,90,47.341,27.71,-0.79,0.102,-0.025,0.062,0,0.204,0.007,-37.17,0,"Kr_Luna",-0.014,-17.205,0,"하루（Haru）",-18.319,-45.595,0,"Oort__Cloud",-13.127,-64.488,0,"눈꽃",18.594,-43.747,0,"아침땅_",15.254,-63.779,0,"Pugeuk",47.009,-97.453,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,239.921,-36.911,-73.695,240.866,3,"Oort__Cloud",-36.656,-73.643,0,0,0,0,0,0,0,1
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,261.87,"인생최패망자",R,3,71,101,1.638,0.188,0.483,1.74,-36.645,1,0,-391.34,0,0,0,0,0,1,3,R,"ゆっち一",179.7,88.105,0.417,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153,-37.763,0,"Kr_Luna",-0.014,-17.093,0,"하루（Haru）",-19.633,-43.105,0,"Oort__Cloud",-13.059,-64.321,0,"눈꽃",18.329,-44.656,0,"아침땅_",12.684,-65.092,0,"Pugeuk",45.172,-93.822,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,0,1,0,0,0,255,255,255,3,273.768,"인생최패망자",R,26,88,140,-2.098,-0.122,-0.209,1.621,-36.384,1,0,48.314,-183.842,0,0,0,0,1,3,R,"ゆっち一",179.7,88.105,0.417,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176,-38.155,0,"Kr_Luna",-0.009,-17.08,0,"하루（Haru）",-21.606,-44.596,0,"Oort__Cloud",-13.148,-64.341,0,"눈꽃",18.431,-44.363,0,"아침땅_",12.68,-65.062,0,"Pugeuk",45.153,-93.778,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,2,0,1,0,0,0,255,255,255,4,289.034,"인생최패망자",R,26,92,140,0.532,0.272,0.068,1.688,-36.352,2,0,-66.592,-187.189,0,0,0,1,1,3,R,"ゆっち一",179.7,88.105,0.417,3,71,290.086,131,9,108,48,34,142,128,-30,9.2,0.6,-0.085,-0.123,0.295,0,0.42,0.064,-37.305,0,"Kr_Luna",0.001,-17.091,0,"하루（Haru）",-20.765,-47.363,0,"Oort__Cloud",-13.02,-64.321,0,"눈꽃",18.415,-44.368,0,"아침땅_",12.701,-65.202,0,"Pugeuk",45.509,-93.569,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,289.921,-0.164,-20.73,291.821,3,"Oort__Cloud",-7.383,-64.696,1,0,0,0,0,0,0,2
6,1,1,0,0,0,0,1,1,0,0,3,255,255,5,316.6,"인생최패망자",R,26,85,139,-0.845,0.245,-0.078,1.689,-36.32,2,0,-2.503,-163.44,0,0,0,1,2,2,L,"Pring__",180,95.172,0.477,3,69,317.405,213,17,64,76,58,142,92,-6.547,-2.709,-0.48,-0.005,-0.069,0.245,0,0.285,0.121,-37.223,0,"Kr_Luna",-0.014,-17.096,0,"하루（Haru）",-16.7,-43.577,0,"Oort__Cloud",-13.083,-64.411,0,"눈꽃",19.125,-45.231,0,"아침땅_",14.932,-63.915,0,"Pugeuk",50.36,-91.434,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,321.044,2.346,-85.779,323.899,3,"Oort__Cloud",0.128,-60.738,1,0,0,0,0,0,0,2
7,1,1,0,0,0,0,1,1,1,0,255,3,255,6,347.208,"인생최패망자",R,27,84,136,-1.438,-0.301,-0.143,1.601,-36.284,0,0,38.413,-118.386,0,0,0,0,3,4,L,"_Chun",190,80,0.452,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.187,-37.483,0,"Kr_Luna",-0.006,-17.28,0,"하루（Haru）",-18.502,-45.361,0,"Oort__Cloud",-7.23,-62.448,0,"눈꽃",19.119,-42.332,0,"아침땅_",14.659,-64.184,0,"Pugeuk",42.202,-89.961,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,1,1,1,1,0,255,3,255,7,363.488,"인생최패망자",R,26,81,132,-0.288,0.945,-0.03,1.823,-36.396,0,0,10.826,-179.05,0,0,0,1,3,4,L,"_Chun",190,80,0.452,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-37.629,0,"Kr_Luna",0.033,-17.247,0,"하루（Haru）",-18.357,-44.423,0,"Oort__Cloud",-7.072,-61.545,0,"눈꽃",19.315,-40.284,0,"아침땅_",15.053,-63.973,0,"Pugeuk",44.741,-90.799,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,2,1,1,1,0,255,3,255,8,380.899,"인생최패망자",R,10,65,97,-0.532,0.626,-0.062,2.167,-36.698,0,0,0,400,0,0,0,0,3,4,L,"_Chun",190,80,0.452,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,-37.589,0,"Kr_Luna",0.016,-17.265,0,"하루（Haru）",-18.483,-45.169,0,"Oort__Cloud",-7.012,-62.847,0,"눈꽃",19.087,-41.364,0,"아침땅_",15.084,-63.995,0,"Pugeuk",44.637,-90.758,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,0,2,1,1,0,255,3,255,9,418.122,"인생최패망자",R,27,79,130,0.354,1.015,0.02,1.849,-36.382,1,0,48.014,-132.629,0,0,0,0,4,0,L,"CAT tourniquet",190,80,0.597,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241,-38.019,0,"Kr_Luna",-0.116,-17.355,0,"하루（Haru）",-17.771,-44.676,0,"Oort__Cloud",-8.035,-64.196,0,"눈꽃",19.512,-41.255,0,"아침땅_",15.196,-63.611,0,"Pugeuk",45.224,-90.105,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
