id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,338.246,"Pugeuk",R,27,96,140,-0.084,0.045,-0.024,1.266,-36.39,2,0,59.244,-127.203,19.628,0,0,1,0,9,L,"Sabo_10",180,92,0.499,2,72,339.304,150,17,87,60,31,150,128,27.487,-12.026,0.33,0.032,-0.053,0.227,0,0.449,-0.221,-36.781,0,"それいゆ るな",0,-16.827,0,"Pring__",-22.552,-49.672,0,"Oort__Cloud",-12.975,-64.384,0,"bdg06213",21.905,-55.351,0,"Chunsik03",13.26,-65.409,0,"눈꽃",41.151,-92.45,0,"ByeolBam",6.969,-116.845,0,"甲斐野柊太",-46.214,-100.209,0,345.096,22.768,-130.58,345.651,7,"ByeolBam",21.908,-129.578,0,0,0,0,0,0,0,2
2,1,1,0,0,0,0,0,0,1,0,255,0,255,1,367.511,"Pugeuk",R,3,83,124,-0.055,-0.757,0.117,1.167,-36.403,0,0,-431.739,0,16.701,0,0,0,1,7,R,"紅さかな",173,96,0.455,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135,-37.81,0,"それいゆ るな",-0.019,-17.169,0,"Pring__",-21.636,-46.734,0,"Oort__Cloud",-13.185,-64.69,0,"bdg06213",21.969,-53.286,0,"Chunsik03",6.51,-62.146,0,"눈꽃",35.239,-96.298,0,"ByeolBam",0.566,-112.151,0,"甲斐野柊太",-37.96,-88.919,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,1,0,0,1,0,255,0,255,2,380.366,"Pugeuk",R,3,82,123,1.128,-0.342,0.249,1.233,-36.544,0,0,-421.596,0,26.141,0,0,1,1,7,R,"紅さかな",173,96,0.455,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,-37.225,0,"それいゆ るな",0.021,-16.866,0,"Pring__",-21.729,-46.701,0,"Oort__Cloud",-13.063,-64.583,0,"bdg06213",21.703,-52.992,0,"Chunsik03",8.165,-60.189,0,"눈꽃",33.095,-97.988,0,"ByeolBam",0.525,-112.151,0,"甲斐野柊太",-40.54,-95.243,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,2,0,0,1,0,255,0,255,3,395.801,"Pugeuk",R,6,91,126,1.005,-0.893,0.039,1.145,-36.301,0,0,500,0.254,30.728,0.723,-17.024,0,1,7,R,"紅さかな",173,96,0.455,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,-37.801,0,"それいゆ るな",0.022,-16.816,0,"Pring__",-21.6,-46.864,0,"Oort__Cloud",-12.837,-64.51,0,"bdg06213",21.855,-54.983,0,"Chunsik03",7.761,-60.939,0,"눈꽃",33.917,-100.078,0,"ByeolBam",0.489,-112.169,0,"甲斐野柊太",-40.57,-95.304,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,0,1,0,1,0,255,0,255,4,424.377,"Pugeuk",R,26,85,138,3.038,1.181,0.25,1.448,-36.533,3,0,147.472,-200,44.377,0.482,-20.23,0,2,2,R,"WhiteMountain",190,84,0.579,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,-36.787,0,"それいゆ るな",0.058,-16.92,0,"Pring__",-21.45,-47.775,0,"Oort__Cloud",-13.023,-64.441,0,"bdg06213",21.011,-55.812,0,"Chunsik03",1.944,-61.199,0,"눈꽃",35.037,-111.425,0,"ByeolBam",0.077,-112.115,0,"甲斐野柊太",-44.072,-93.405,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,6
6,1,1,0,0,2,0,1,0,1,0,255,0,255,5,449.75,"Pugeuk",R,6,84,123,4.1,-1.285,-0.007,1.239,-36.321,4,0,500,0,35.475,0.557,-20.131,1,2,2,R,"WhiteMountain",190,84,0.579,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,-37.314,0,"それいゆ るな",0.04,-16.966,0,"Pring__",-21.338,-43.194,0,"Oort__Cloud",-13.231,-64.611,0,"bdg06213",21.244,-55.31,0,"Chunsik03",3.838,-59.711,0,"눈꽃",35.852,-108.313,0,"ByeolBam",1.028,-111.604,0,"甲斐野柊太",-44.373,-93.479,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,2,1,1,0,1,0,255,0,255,6,476.452,"Pugeuk",R,3,81,119,-0.845,-0.533,0.084,1.233,-36.419,2,0,-479.697,141.034,24.248,0,0,1,2,2,R,"WhiteMountain",190,84,0.579,5,43,477.562,139,25,123,59,0,156,129,-19.571,11.801,0.5,-0.092,-0.05,0.082,0,0.381,0.043,-36.848,0,"それいゆ るな",0,-17.03,0,"Pring__",-20.489,-47.453,0,"Oort__Cloud",-13.093,-64.391,0,"bdg06213",21.117,-55.691,0,"Chunsik03",5.212,-64.157,0,"눈꽃",35.615,-108.401,0,"ByeolBam",0.231,-111.958,0,"甲斐野柊太",-44.19,-93.58,0,477.607,-0.615,-22.125,479.618,3,"Oort__Cloud",-9.254,-62.577,0,0,0,0,0,0,0,2
8,1,1,0,0,0,0,2,0,0,1,255,255,0,7,503.304,"Pugeuk",R,26,92,140,1.471,0.959,0.107,1.423,-36.412,0,0,54.901,-190.246,17.388,-0.28,-20.092,0,3,5,R,"NABIMan",190,90.361,0.376,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,-37.086,0,"それいゆ るな",-0.047,-17.14,0,"Pring__",-22.376,-48.901,0,"Oort__Cloud",-12.995,-64.397,0,"bdg06213",19.075,-54.834,0,"Chunsik03",6.769,-66.181,0,"눈꽃",41.163,-97.104,0,"ByeolBam",0.149,-109.601,0,"甲斐野柊太",-43.148,-93.067,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,1,2,0,0,1,255,255,0,8,523.005,"Pugeuk",R,3,88,127,0.25,0.101,0.163,1.309,-36.45,0,0,-439.309,0,26.171,0,0,0,3,5,R,"NABIMan",190,90.361,0.376,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08,-37.225,0,"それいゆ るな",-0.065,-16.934,0,"Pring__",-21.846,-44.252,0,"Oort__Cloud",-12.941,-64.639,0,"bdg06213",19.778,-54.657,0,"Chunsik03",6.527,-65.392,0,"눈꽃",41.161,-97.119,0,"ByeolBam",0.089,-111.384,0,"甲斐野柊太",-43.504,-92.981,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,2,2,0,0,1,255,255,0,9,537.564,"Pugeuk",R,27,83,136,2.757,2.028,0.236,1.641,-36.732,2,0,67.035,-149.553,22.689,0,0,1,3,5,R,"NABIMan",190,90.361,0.376,3,31,538.601,216,13,96,75,15,150,90,112.757,15.798,-0.85,-0.06,-0.018,0.249,0,0.372,0.059,-36.729,0,"それいゆ るな",0.017,-17.107,0,"Pring__",-20.823,-47.226,0,"Oort__Cloud",-13.029,-64.628,0,"bdg06213",20.16,-56.887,0,"Chunsik03",7.221,-66.042,0,"눈꽃",41.265,-103.053,0,"ByeolBam",0.342,-116.119,0,"甲斐野柊太",-43.458,-92.944,0,544.796,16.959,21.944,0,0,"",0,0,0,0,0,0,0,0,0,3
