id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,239.044,"양_뭉이",R,3,72,113,-2.287,-1.323,0,0,0,1,0,-450.775,216.338,0,-0.645,-17.398,0,0,1,L,"encounter v",190,92.537,0.447,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.498,-37.668,0,"甲斐野柊太",11.628,-18.159,0,"NABIMan",13.987,-55.692,0,"Sabo_10",-16.399,-22.29,0,"WhiteMountain",17.319,-39.139,0,"HANA_ARASHI",14.192,-56.394,0,"sano jpn",37.287,-81.156,0,"ByeolBam",-2.459,-96.402,0,"소솨소솨",14.821,-16.694,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,0,0,0,0,0,255,255,255,0,357.921,"양_뭉이",R,32,80,131,0.075,-0.354,-0.054,1.871,-36.685,2,0,219.013,-200,0,0,0,1,0,8,R,"Pizzallaris",165.8,88.63,0.302,3,51,359.058,117,24,19,51,0,34,40,-46.749,21.421,0.56,-0.043,-0.002,0.021,0.048,0.406,-0.479,-37.5,0,"甲斐野柊太",0.039,-16.072,0,"NABIMan",-21.364,-44.591,0,"Kr_Luna",-15.99,-61.794,55,"WhiteMountain",22.951,-47.228,0,"HANA_ARASHI",15.766,-59.835,0,"sano jpn",37.288,-91.506,0,"ByeolBam",0.64,-111.887,0,"소솨소솨",-38.379,-83.454,0,359.263,-0.233,-19.878,364.007,3,"Kr_Luna",-7.573,-44.72,1,0,0,0,0,0,0,2
3,1,1,0,0,0,0,0,1,0,0,8,255,255,1,399.22,"양_뭉이",R,32,72,125,0.268,-0.414,-0.042,1.857,-36.69,0,0,228.754,-148.208,0,0,0,0,1,7,L,"_Chun",190,80,0.452,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.91,-38.248,0,"甲斐野柊太",0.294,-18.488,120,"NABIMan",-18.751,-41.206,0,"Kr_Luna",-7.291,-58.973,0,"WhiteMountain",23.092,-51.012,0,"HANA_ARASHI",10.676,-60.737,0,"sano jpn",45.149,-94.561,0,"ByeolBam",0.263,-110.943,0,"소솨소솨",-41.682,-82.758,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,1,0,0,1,0,255,8,255,2,423.272,"양_뭉이",R,3,78,117,2.51,-1.768,0.262,1.706,-37.033,1,0,-474.58,0,0,0,0,0,1,7,L,"_Chun",190,80,0.452,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.158,-37.947,0,"甲斐野柊太",1.509,-18.346,0,"NABIMan",-20.387,-44.936,0,"Kr_Luna",-3.183,-61.132,85,"WhiteMountain",21.404,-44.38,89,"HANA_ARASHI",14.177,-59.012,0,"sano jpn",43.3,-95.274,0,"ByeolBam",-0.089,-109.202,0,"소솨소솨",-41.114,-81.759,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,2,1,0,0,1,0,255,8,255,3,466.947,"양_뭉이",R,32,76,128,1.049,-0.139,0.029,1.896,-36.671,0,0,213.63,-200,0,0.464,-16.628,1,1,7,L,"_Chun",190,80,0.452,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.623,-37.638,0,"甲斐野柊太",0.321,-16.964,0,"NABIMan",-19.736,-45.161,0,"Kr_Luna",-5.88,-58.705,0,"WhiteMountain",19.344,-40.193,0,"HANA_ARASHI",15.504,-60.646,0,"sano jpn",40.987,-93.693,0,"ByeolBam",-0.35,-113.889,0,"소솨소솨",-39.629,-81.25,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,2,2,0,0,1,0,255,8,255,4,486.753,"양_뭉이",R,4,66,115,0.377,-0.774,0.13,1.833,-36.891,2,0,-245.837,0,0,0,0,1,1,7,L,"_Chun",190,80,0.452,3,90,487.785,235,12,56,57,47,140,89,-1.51,37.706,-0.72,0.055,-0.068,0.184,0,0.293,-0.4,-37.659,0,"甲斐野柊太",0.123,-16.348,0,"NABIMan",-21.514,-45.783,75,"Kr_Luna",-6.355,-61.149,0,"WhiteMountain",21.946,-44.891,0,"HANA_ARASHI",12.127,-60.864,0,"sano jpn",38.885,-93.045,0,"ByeolBam",3.86,-116.774,0,"소솨소솨",-39.717,-81.513,0,488.363,-6.731,-29.554,489.708,2,"NABIMan",-17.294,-42.994,0,0,0,0,0,0,0,2
7,1,1,0,0,0,0,1,0,0,1,255,255,8,5,513.324,"양_뭉이",R,32,76,128,1.864,-0.159,0.102,1.896,-36.706,4,0,250,-200,0,0,0,0,2,3,L,"Pring__",172.852,95.172,0.477,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.631,-38.023,0,"甲斐野柊太",0.082,-16.755,0,"NABIMan",-19.917,-43.271,0,"Kr_Luna",-14.996,-62.606,0,"WhiteMountain",19.76,-40.777,0,"HANA_ARASHI",12.473,-62.714,0,"sano jpn",39.315,-86.834,0,"ByeolBam",1.288,-112.272,0,"소솨소솨",-40.561,-82.043,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,1,1,0,0,1,255,255,8,6,530.588,"양_뭉이",R,34,66,121,-0.282,-1.556,-0.054,1.788,-36.938,2,0,56.325,49.444,0,0,0,0,2,3,L,"Pring__",172.852,95.172,0.477,3,90,531.497,169,22,79,79,48,150,127,-30,29.41,0.52,0,-0.055,0.186,0,0.424,-0.61,-37.169,0,"甲斐野柊太",0.033,-16.317,0,"NABIMan",-20.443,-43.883,0,"Kr_Luna",-14.999,-62.443,88,"WhiteMountain",19.38,-40.133,0,"HANA_ARASHI",12.761,-61.939,0,"sano jpn",39.305,-86.749,0,"ByeolBam",1.006,-112.263,0,"소솨소솨",-41.295,-83.348,85,531.585,-0.382,-20.678,541.074,8,"소솨소솨",-47.525,-103.192,1,0,0,0,0,0,0,2
9,1,1,2,0,0,0,1,0,0,0,255,255,255,7,582.268,"양_뭉이",R,32,72,125,-0.64,-0.411,-0.115,1.859,-36.721,0,0,186.959,-143.262,0,0,0,1,3,4,R,"인생최패망자",190,80,0.4,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.24,-37.664,0,"甲斐野柊太",-0.092,-16.321,0,"NABIMan",-20.108,-45.043,0,"Kr_Luna",-9.32,-65.386,0,"WhiteMountain",24.87,-49.785,0,"HANA_ARASHI",10.05,-62.57,0,"sano jpn",37.057,-101.419,0,"ByeolBam",-0.185,-110.069,0,"소솨소솨",-40.016,-81.782,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,2,0,0,1,1,0,0,0,255,255,255,8,601.037,"양_뭉이",R,4,53,108,0.77,-1.259,0.179,1.719,-37.197,4,0,-154.166,-14.287,0,0,0,1,3,4,R,"인생최패망자",190,80,0.4,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.629,-37.503,0,"甲斐野柊太",-0.166,-16.308,0,"NABIMan",-20.332,-44.642,0,"Kr_Luna",-15.304,-60.959,0,"WhiteMountain",24.806,-49.842,0,"HANA_ARASHI",11.671,-60.714,0,"sano jpn",37.068,-101.431,0,"ByeolBam",0.567,-110.27,0,"소솨소솨",-40.358,-83.477,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
