id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,312.009,"소솨소솨",R,33,81,133,1.85,0.976,0.282,1.648,-36.771,3,0,109.153,-94.555,0,0.322,-20.207,0,0,5,R,"とりらむ",175.3,95.029,0.653,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,-37.756,0,"_Chun",0.044,-17.489,0,"WhiteMountain",-22.916,-50.137,0,"하나노 히나",-7.133,-57.642,0,"신과함께1",20.495,-46.88,0,"AI",12.4,-58.2,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,6
2,1,1,0,0,2,0,0,0,0,0,255,255,255,1,329.605,"소솨소솨",R,28,79,130,-2.907,-1.227,-0.136,1.256,-36.677,4,0,27.768,-61.203,0,-0.665,-14.521,1,0,5,R,"とりらむ",175.3,95.029,0.653,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.095,-37.829,0,"_Chun",-0.09,-17.173,0,"WhiteMountain",-23.06,-49.979,0,"하나노 히나",-7.351,-61.165,0,"신과함께1",19.003,-46.58,0,"AI",12.4,-58.2,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,2,1,0,0,0,0,255,255,255,2,341.075,"소솨소솨",R,34,87,140,-0.831,-0.315,0.047,1.409,-36.692,0,0,62.723,-59.281,0,0,0,1,0,5,R,"とりらむ",175.3,95.029,0.653,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.134,-37.957,0,"_Chun",-0.101,-17.128,0,"WhiteMountain",-22.924,-50.035,0,"하나노 히나",-7.356,-61.204,0,"신과함께1",20.058,-47.978,0,"AI",12.4,-58.2,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,2,2,0,0,0,0,255,255,255,3,352.308,"소솨소솨",R,28,82,134,-1.758,-1.552,-0.031,1.205,-36.714,4,0,32.627,-56.031,0,0,0,1,0,5,R,"とりらむ",175.3,95.029,0.653,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,-37.709,0,"_Chun",-0.141,-17.037,0,"WhiteMountain",-23.053,-49.916,0,"하나노 히나",-8.209,-61.658,0,"신과함께1",20.373,-47.896,0,"AI",12.4,-58.2,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,0,1,0,0,0,255,255,255,5,371.62,"소솨소솨",R,28,78,129,-3.278,-0.859,-0.172,1.299,-36.619,1,0,36.388,-95.407,0,0,0,0,1,2,L,"Pring__",179.966,95.172,0.477,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.221,-37.663,0,"_Chun",-0.083,-17.075,0,"WhiteMountain",-22.493,-49.124,0,"하나노 히나",-8.221,-63.251,0,"신과함께1",21.463,-47.661,0,"AI",12.4,-58.2,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,1,0,1,0,0,0,255,255,255,6,382.166,"소솨소솨",R,33,72,125,3.416,1.235,0.408,1.665,-36.867,2,0,149.841,-76.509,0,0,0,0,1,2,L,"Pring__",179.966,95.172,0.477,3,81,383.076,225,16,94,93,59,150,93,30.762,-29.942,0.93,-0.021,-0.002,0.141,0,0.472,-0.061,-37.323,0,"_Chun",-0.048,-17.067,0,"WhiteMountain",-22.624,-49.066,0,"하나노 히나",-8.196,-63.077,0,"신과함께1",21.416,-47.859,0,"AI",12.4,-58.2,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,392.532,-4.548,-56.401,393.821,2,"WhiteMountain",-14.548,-50.436,0,0,0,0,0,0,0,1
7,1,1,0,0,0,0,2,0,0,0,255,255,255,6,412.173,"소솨소솨",R,26,73,126,-2.897,-0.841,-0.134,1.253,-36.855,4,0,25.308,-200,0,0,0,1,2,4,R,"인생최패망자",190,80,0.4,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,-37.826,0,"_Chun",-0.132,-17.11,0,"WhiteMountain",-22.13,-49.144,0,"하나노 히나",-7.313,-61.415,0,"신과함께1",22.534,-47.938,0,"AI",12.404,-58.206,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,0,1,2,0,0,0,255,255,255,7,424.611,"소솨소솨",R,26,72,125,-3.505,-0.246,-0.198,1.376,-36.824,4,0,44.06,-171.941,0,0,0,1,2,4,R,"인생최패망자",190,80,0.4,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.162,-37.892,0,"_Chun",-0.115,-17.045,0,"WhiteMountain",-22.407,-48.916,0,"하나노 히나",-7.799,-64.528,0,"신과함께1",22.761,-47.9,0,"AI",12.401,-58.201,0,"AI",35.702,-81.802,0,"AI",0,-100.602,0,"AI",-35.702,-81.802,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,2,2,0,0,0,255,255,255,8,435.657,"소솨소솨",R,33,83,136,-3.272,-0.435,-0.193,1.363,-36.743,2,0,105.848,-103.57,0,0,0,1,2,4,R,"인생최패망자",190,80,0.4,3,81,436.746,124,15,118,99,19,141,96,112.201,-53.723,-0.32,-0.109,-0.025,0.13,0,0.318,-0.044,-37.734,0,"_Chun",-0.229,-17.124,0,"WhiteMountain",-22.216,-49.132,0,"하나노 히나",-7.285,-62.748,0,"신과함께1",22.838,-48.004,0,"AI",12.4,-58.2,0,"AI",35.702,-81.802,0,"AI",0,-100.602,0,"AI",-35.702,-81.802,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
10,1,1,0,0,0,2,2,0,0,0,255,255,255,9,448.669,"소솨소솨",R,33,72,125,-1.146,-0.02,-0.013,1.446,-36.847,2,0,145.423,-76.34,0,0,0,1,2,4,R,"인생최패망자",190,80,0.4,3,82,449.788,177,18,85,103,85,150,107,-30,-46.223,0.01,-0.066,0.027,0.109,0,0.461,-0.054,-37.54,0,"_Chun",-0.956,-16.791,0,"WhiteMountain",-22.328,-48.944,0,"하나노 히나",-7.433,-62.924,0,"신과함께1",22.734,-48.679,0,"AI",12.4,-58.2,0,"AI",35.702,-81.802,0,"AI",0,-100.602,0,"AI",-35.702,-81.802,0,457.187,72.904,-86.196,0,0,"",0,0,1,0,0,0,0,0,0,2
