id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,275.26,"Pugeuk",R,26,88,140,-2.387,0.967,-0.213,1.661,-36.438,2,0,-34.804,-152.766,18.938,0,0,1,0,5,L,"Sabo_10",180,92,0.499,2,100,276.237,215,11,116,104,45,150,86,51.924,-14.99,-0.88,0.043,-0.047,0.122,0,0.431,-0.496,-37.151,0,"encounter v",-0.043,-17.352,0,"M_lunatic",-19.558,-42.853,0,"甲斐野柊太",-11.736,-65.488,0,"눈꽃",18.609,-44.291,0,"_이누_",13.416,-59.696,0,"AI",35.7,-81.8,0,"HANA_ARASHI",3.597,-116.395,0,"아침땅_",-30.205,-94.977,0,281.318,15.341,-71.465,281.438,5,"_이누_",14.891,-70.03,0,0,0,0,0,0,0,1
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,312.095,"Pugeuk",R,6,87,126,-0.791,0.399,-0.004,1.614,-36.45,0,0,500,0,24.395,-0.108,-18.527,1,1,6,R,"양_뭉이",190,95,0.5,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07,-37.875,0,"encounter v",-0.065,-18.044,0,"M_lunatic",-21.292,-45.91,0,"甲斐野柊太",-13.81,-64.306,0,"눈꽃",18.422,-42.787,0,"_이누_",12.727,-57.602,0,"AI",35.7,-81.8,0,"HANA_ARASHI",-7.162,-112.755,0,"아침땅_",-41.681,-83.407,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,1,1,0,0,0,255,255,255,2,325.868,"Pugeuk",R,26,89,140,0.453,-0.502,0.166,1.394,-36.481,0,0,-86.084,-180.658,12.026,0,0,1,1,6,R,"양_뭉이",190,95,0.5,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.208,-37.439,0,"encounter v",-0.034,-18.057,0,"M_lunatic",-21.14,-45.449,0,"甲斐野柊太",-13.669,-64.318,0,"눈꽃",17.479,-43.834,0,"_이누_",12.363,-65.67,0,"AI",35.7,-81.8,0,"HANA_ARASHI",-6.237,-110.781,0,"아침땅_",-41.742,-83.337,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,2,1,0,0,0,255,255,255,3,339.19,"Pugeuk",R,6,68,98,1.493,0.441,-0.214,1.808,-36.66,4,0,436.861,0,12.904,0.189,-21.009,1,1,6,R,"양_뭉이",190,95,0.5,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394,-37.243,0,"encounter v",0.045,-18.594,0,"M_lunatic",-19.947,-43.906,0,"甲斐野柊太",-13.732,-64.297,0,"눈꽃",17.048,-44.07,0,"_이누_",10.751,-66.3,0,"AI",35.7,-81.8,0,"HANA_ARASHI",-6.911,-115.128,0,"아침땅_",-41.76,-83.303,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,0,2,0,0,0,255,255,255,4,358.456,"Pugeuk",R,26,94,140,-0.456,-0.836,-0.017,1.344,-36.487,0,0,-103.453,-200,11.059,0,0,0,2,3,R,"-라후이-",177.6,80.74,0.5,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,-37.168,0,"encounter v",-0.045,-18.142,0,"M_lunatic",-21.629,-46.126,0,"甲斐野柊太",-12.991,-65.058,0,"눈꽃",18.623,-43.165,0,"_이누_",12.231,-64.249,0,"AI",35.7,-81.8,0,"HANA_ARASHI",-4.124,-121.07,0,"아침땅_",-42.797,-84.582,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,1,2,0,0,0,255,255,255,5,369.091,"Pugeuk",R,3,82,121,0.298,0.368,0.195,1.645,-36.545,0,0,-481.721,133.959,19.555,0,0,0,2,3,R,"-라후이-",177.6,80.74,0.5,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.304,-37.61,0,"encounter v",-0.036,-18.12,0,"M_lunatic",-21.658,-46.086,0,"甲斐野柊太",-13.29,-64.483,0,"눈꽃",18.379,-43.404,0,"_이누_",13.01,-64.12,0,"AI",35.7,-81.8,0,"HANA_ARASHI",-7.062,-120.725,0,"아침땅_",-42.833,-84.541,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,2,2,0,0,0,255,255,255,6,382.013,"Pugeuk",R,26,89,140,-1.08,1.798,-0.062,1.788,-36.642,4,0,-132.677,-200,22.496,-0.562,-19.033,1,2,3,R,"-라후이-",177.6,80.74,0.5,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255,-37.133,0,"encounter v",-0.113,-18.185,0,"M_lunatic",-20.703,-44.833,0,"甲斐野柊太",-13.574,-64.283,0,"눈꽃",17.992,-43.814,0,"_이누_",12.986,-64.135,0,"AI",35.7,-81.8,0,"HANA_ARASHI",-7.128,-118.587,0,"아침땅_",-42.863,-84.573,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,255,255,255,0,513.085,"NABIMan",R,26,85,139,-3.248,-1.477,-0.322,1.624,-36.261,4,0,113.465,-152.259,35.802,0,0,1,0,1,L,"encounter v",190,85.758,0.497,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105,-37.165,0,"소솨소솨",-0.118,-18.318,0,"Pring__",-21.539,-47.253,0,"-라후이-",-12.416,-64.36,0,"Slaris",22.043,-51.302,0,"Sabo_10",13.452,-62.385,0,"양_뭉이",33.365,-88.805,0,"Oort__Cloud",2.457,-108.673,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,1,0,0,0,0,255,255,255,1,527.743,"NABIMan",R,10,81,122,-0.719,-2.529,-0.067,1.559,-36.365,4,0,0,400,12.609,-0.214,-19.075,1,0,1,L,"encounter v",190,85.758,0.497,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,-37.255,0,"소솨소솨",-0.114,-18.737,0,"Pring__",-21.443,-47.258,0,"-라후이-",-12.393,-64.439,0,"Slaris",22.151,-51.123,0,"Sabo_10",13.346,-61.942,0,"양_뭉이",33.348,-88.804,0,"Oort__Cloud",2.649,-108.544,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,2,0,0,0,0,255,255,255,2,537.688,"NABIMan",R,3,75,119,-2.588,0.959,0.104,1.92,-36.515,2,0,-309.42,119.072,12.592,0,0,1,0,1,L,"encounter v",190,85.758,0.497,3,38,538.782,251,15,119,106,51,150,91,20.345,1.235,-0.72,0.036,-0.127,0.159,0,0.535,-0.104,-36.579,0,"소솨소솨",-0.031,-18.358,0,"Pring__",-21.435,-47.277,0,"-라후이-",-12.465,-64.302,0,"Slaris",22.168,-51.234,0,"Sabo_10",13.451,-62.209,0,"양_뭉이",32.394,-86.423,0,"Oort__Cloud",2.497,-108.618,0,"AI",-35.7,-81.8,0,542.518,-0.177,-94.489,542.705,7,"Oort__Cloud",-0.198,-91.328,0,0,0,0,0,0,0,1
11,1,0,0,0,0,0,1,0,0,0,255,255,255,3,564.284,"NABIMan",R,0,71,125,0.312,0.071,0.029,1.958,-36.565,2,0,0,0,11.588,0,0,1,1,5,R,"_이누_",175.3,89.841,0.501,3,65,565.36,229,18,75,43,10,141,100,29.246,13.718,0.03,-0.03,-0.056,0.225,0,0.198,-0.258,-36.627,0,"소솨소솨",-0.068,-18.327,0,"Pring__",-22.013,-48.295,0,"-라후이-",-14.383,-64.198,0,"Slaris",21.583,-50.997,0,"Sabo_10",11.494,-62.469,0,"양_뭉이",35.512,-84.893,0,"Oort__Cloud",-4.736,-110.251,0,"AI",-35.7,-81.8,0,574.652,3.892,-54.213,574.358,5,"Sabo_10",-1.582,-60.969,0,0,0,0,0,0,0,1
