id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,134.651,"주저하는 연인들을 위해",R,0,64,120,-1.764,-0.979,0.124,1.266,-36.813,1,0,0,0,0,0,0,0,0,9,L,"Sabo_10",180.1,90,0.502,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-37.909,0,"눈꽃",-0.042,-17.536,0,"encounter v",-23.112,-50.494,0,"vovopo 보보포",-7.96,-66.176,0,"magimari",21.875,-47.852,0,"それいゆ るな",14.41,-61.824,0,"아침땅_",43.658,-83.72,0,"ByeolBam",0.091,-111.867,0,"Pugeuk",-35.796,-95.902,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,148.986,"주저하는 연인들을 위해",R,10,49,100,1.029,0.264,0.096,1.863,-36.599,2,0,0,399.978,0,0,0,1,0,9,L,"Sabo_10",180.1,90,0.502,3,83,150.127,206,15,86,114,85,150,97,19.278,-19.454,0.92,0.051,-0.036,0.275,0,0.579,-0.19,-37.385,0,"눈꽃",-0.044,-17.35,0,"encounter v",-23.498,-51.123,0,"vovopo 보보포",-8.378,-66.518,0,"magimari",21.548,-47.798,0,"それいゆ るな",13.675,-61.883,0,"아침땅_",47.166,-87.414,0,"ByeolBam",0.139,-111.945,0,"Pugeuk",-34.433,-96.299,0,153.66,32.053,-80.725,160.293,6,"아침땅_",52.97,-111.469,1,0,0,0,0,0,0,2
3,1,1,0,0,0,0,0,0,0,1,255,255,0,2,193.471,"주저하는 연인들을 위해",R,0,70,124,-0.976,-0.539,0.07,1.399,-36.683,0,0,0,0,0,0,0,0,1,4,R,"NABIMan",190,89.844,0.376,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.346,-37.998,0,"눈꽃",-0.116,-17.037,0,"encounter v",-23.131,-51.093,0,"vovopo 보보포",-11.378,-64.594,0,"magimari",21.04,-46.499,0,"それいゆ るな",13.414,-61.058,0,"아침땅_",38.574,-87.086,0,"ByeolBam",-0.029,-112.153,0,"Pugeuk",-37.953,-98.971,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,1,0,0,0,1,255,255,0,3,207.797,"주저하는 연인들을 위해",R,0,58,115,0.707,-0.857,0.232,1.353,-36.792,0,0,0,0,0,0,0,0,1,4,R,"NABIMan",190,89.844,0.376,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11,-37.953,0,"눈꽃",-0.043,-17.044,0,"encounter v",-23.2,-51.127,0,"vovopo 보보포",-14.312,-64.024,0,"magimari",21.486,-44.518,0,"それいゆ るな",12.983,-61.391,0,"아침땅_",37.85,-87.508,0,"ByeolBam",0.097,-109.605,0,"Pugeuk",-38.758,-98.658,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,2,0,0,0,1,255,255,0,4,220.926,"주저하는 연인들을 위해",R,0,49,108,-2.304,0.052,-0.214,1.647,-36.647,2,0,0,0,0,0,0,1,1,4,R,"NABIMan",190,89.844,0.376,3,83,221.929,255,23,92,117,36,150,117,5.742,7.774,0.72,-0.157,-0.109,0.052,0,0.667,-0.393,-37.443,0,"눈꽃",-0.244,-16.99,0,"encounter v",-21.636,-49.99,0,"vovopo 보보포",-14.833,-64.072,0,"magimari",20.368,-45.314,0,"それいゆ るな",13.522,-61.698,0,"아침땅_",37.024,-87.922,0,"ByeolBam",0.116,-109.794,0,"Pugeuk",-38.742,-98.72,0,223.737,-10.462,-67.026,223.871,3,"vovopo 보보포",-8.921,-61.84,0,0,0,0,0,0,0,1
6,1,1,0,0,0,0,1,0,0,1,255,255,0,5,248.315,"주저하는 연인들을 위해",R,0,55,113,0.5,-1.051,0.214,1.38,-36.834,2,0,0,0,0,0,0,1,2,7,R,"ke ro",164.9,80,0.251,2,84,249.333,150,16,57,67,47,139,122,16.529,1.914,0.53,-0.035,-0.096,0.123,0,0.195,-0.215,-37.056,0,"눈꽃",-0.094,-17.011,0,"encounter v",-22.922,-51.117,0,"vovopo 보보포",-15.433,-63.983,0,"magimari",20.921,-45.737,0,"それいゆ るな",12.875,-63.724,0,"아침땅_",34.424,-87.412,0,"ByeolBam",-0.31,-111.126,0,"Pugeuk",-36.365,-88.683,0,0,0,0,253.904,7,"ByeolBam",-6.096,-118.204,0,0,0,0,0,0,0,1
7,1,1,1,0,0,0,2,0,0,0,255,255,255,6,281.768,"주저하는 연인들을 위해",R,0,58,115,-0.028,-0.866,0.213,1.411,-36.837,2,0,0,0,0,0,0,1,3,3,R,"장덕춘_",164.7,94.644,0.8,3,85,282.618,148,24,74,113,48,148,123,7.769,-26.912,0.4,-0.04,-0.009,0.057,0,0.189,-0.186,-36.962,0,"눈꽃",-0.018,-17.183,0,"encounter v",-21.679,-49.844,0,"vovopo 보보포",-13.993,-64.511,0,"magimari",21.625,-46.917,0,"それいゆ るな",13.986,-61.762,0,"아침땅_",35.685,-85.868,0,"ByeolBam",-0.262,-112.169,0,"Pugeuk",-38.103,-93.935,0,284.337,20.17,-62.375,291.571,7,"ByeolBam",36.419,-107.858,1,0,0,0,0,0,0,2
8,1,1,1,0,0,0,2,0,1,0,255,3,255,7,313.718,"주저하는 연인들을 위해",R,0,48,107,-2.128,-0.465,-0.1,1.528,-36.807,4,0,0,0,0,0,0,1,4,5,R,"Yaksok~",173.2,89.922,0.303,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.303,-37.65,0,"눈꽃",-0.283,-16.903,0,"encounter v",-22.632,-51.452,0,"vovopo 보보포",-12.426,-63.92,0,"magimari",20.522,-45.6,0,"それいゆ るな",11.314,-63.376,0,"아침땅_",34.08,-86.233,0,"ByeolBam",0.918,-110.884,0,"Pugeuk",-37.622,-92.983,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,1,0,0,1,2,0,1,0,255,3,255,8,329.687,"주저하는 연인들을 위해",R,0,53,111,-0.008,-0.787,0.166,1.445,-36.789,2,0,0,0,0,0,0,1,4,5,R,"Yaksok~",173.2,89.922,0.303,3,74,330.68,192,22,130,32,0,150,91,2.589,40.03,0.94,-0.124,-0.087,0.236,0,0.685,-0.172,-36.917,0,"눈꽃",-0.026,-17.074,0,"encounter v",-22.672,-51.427,0,"vovopo 보보포",-13.938,-62.626,0,"magimari",20.477,-46.947,0,"それいゆ るな",3.424,-61.856,0,"아침땅_",35.318,-86.977,0,"ByeolBam",1.015,-110.875,0,"Pugeuk",-38.494,-92.922,0,331.649,-11.884,-34.724,332.793,2,"encounter v",-22.02,-46.842,0,0,0,0,0,0,0,2
10,1,0,1,0,0,0,0,0,0,0,255,255,255,0,373.748,"HANA_ARASHI",R,14,67,110,2.594,-1.889,0.125,1.691,-36.317,1,0,358.349,348.692,4.12,0.576,-18.604,0,0,3,L,"vovopo 보보포",159.5,80,0.6,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154,-36.986,0,"_Chun",0.119,-17.079,0,"Pring__",-22.585,-46.59,0,"장덕춘_",-13.771,-63.342,0,"NABIMan",20.802,-47.097,0,"Yaksok~",14.289,-63.334,0,"소솨소솨",41.798,-84.579,0,"ke ro",8.326,-106.54,0,"Kr_Luna",-49.306,-85.711,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
