id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,452.409,"bdg06213",R,27,79,130,-4.26,-2.64,-0.179,1.394,-36.474,1,0,39.348,-135.383,14.707,-1.144,-17.247,0,0,2,R,"Ayu_Yua",181.4,95,0.5,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093,-37.513,0,"Pugeuk",-0.321,-17.082,0,"Pring__",-21.461,-46.944,0,"vovopo 보보포",-14.607,-61.346,0,"소솨소솨",18.574,-49.52,0,"눈꽃",12.623,-59.225,0,"",0,0,0,"",0,0,0,"",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,467.886,"bdg06213",R,27,77,128,1.729,0.855,0.142,1.752,-36.505,1,0,59.527,-117.815,5.72,0,0,0,0,2,R,"Ayu_Yua",181.4,95,0.5,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,-37.65,0,"Pugeuk",-0.042,-16.851,0,"Pring__",-21.466,-46.953,0,"vovopo 보보포",-15.517,-62.352,0,"소솨소솨",18.604,-49.603,0,"눈꽃",9.841,-63.259,0,"",0,0,0,"",0,0,0,"",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,2,0,0,0,0,0,255,255,255,2,481.562,"bdg06213",R,28,78,129,-1.816,-1.284,-0.007,1.682,-36.554,1,0,51.125,-90.524,6.945,0,0,0,0,2,R,"Ayu_Yua",181.4,95,0.5,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.095,-37.858,0,"Pugeuk",-0.211,-17.043,0,"Pring__",-21.473,-46.947,0,"vovopo 보보포",-14.758,-60.541,0,"소솨소솨",19.044,-49.909,0,"눈꽃",9.901,-63.276,0,"",0,0,0,"",0,0,0,"",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,2,1,0,0,0,0,255,255,255,3,497.218,"bdg06213",R,28,73,126,1.175,0.708,0.093,1.737,-36.539,0,0,49.53,-79.147,3.976,0.146,-17.373,0,0,2,R,"Ayu_Yua",181.4,95,0.5,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112,-37.718,0,"Pugeuk",-0.035,-16.889,0,"Pring__",-21.204,-46.663,0,"vovopo 보보포",-16.816,-62.527,0,"소솨소솨",19.565,-50.115,0,"눈꽃",9.118,-64.366,0,"",0,0,0,"",0,0,0,"",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,516.914,"bdg06213",R,0,74,126,-1.025,-0.471,0.085,1.839,-36.631,0,0,0,0,4.09,0,0,0,0,2,R,"Ayu_Yua",181.4,95,0.5,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,-37.878,0,"Pugeuk",-0.22,-16.781,0,"Pring__",-20.685,-44.535,0,"vovopo 보보포",-15.697,-63.244,0,"소솨소솨",18.03,-48.272,0,"눈꽃",7.629,-62.647,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,0,1,0,0,0,255,255,255,5,542.475,"bdg06213",R,10,82,124,0.024,-0.456,0.002,1.672,-36.541,2,0,0,400,12.002,0,0,1,1,4,R,"아침땅_",180.2,95.405,0.5,2,76,543.408,158,10,106,88,0,150,117,-22.771,18.304,0.14,-0.062,-0.072,0.075,0.048,0.33,0.124,-37.4,0,"Pugeuk",-0.044,-16.867,0,"Pring__",-21.798,-47.609,85,"vovopo 보보포",-16.086,-63.348,0,"소솨소솨",19.265,-50.434,0,"눈꽃",9.859,-65.879,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,543.461,-0.489,-20.992,545.238,3,"vovopo 보보포",-12.311,-56.369,0,0,0,0,0,0,0,2
7,1,1,0,0,0,0,2,0,0,0,255,255,255,6,570.592,"bdg06213",R,12,81,131,0.292,0.173,0.027,1.687,-36.458,2,0,0,80.153,9.191,0,0,1,2,3,R,"mochi_2929",179.7,94,0.453,3,76,571.715,255,10,87,75,32,150,127,107.272,-63.231,0.7,0.074,-0.047,0.165,0,0.249,0.054,-37.738,0,"Pugeuk",-0.073,-16.919,0,"Pring__",-21.324,-47.364,0,"vovopo 보보포",-15.424,-62.416,0,"소솨소솨",18.664,-50.82,0,"눈꽃",9.43,-66.086,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
8,1,1,0,0,0,1,2,0,0,0,255,255,255,7,585.15,"bdg06213",R,0,86,140,2.365,1.663,0.22,1.923,-36.638,1,0,0,0,2.181,0,0,0,2,3,R,"mochi_2929",179.7,94,0.453,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104,-37.718,0,"Pugeuk",-0.077,-16.827,0,"Pring__",-21.248,-46.996,0,"vovopo 보보포",-15.901,-61.912,0,"소솨소솨",19.383,-50.86,0,"눈꽃",10.535,-66.502,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,1,1,2,0,0,0,255,255,255,8,595.728,"bdg06213",R,27,82,134,1.088,0.174,0.254,1.932,-36.669,0,0,68.531,-133.454,4.007,0,0,0,2,3,R,"mochi_2929",179.7,94,0.453,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225,-37.717,0,"Pugeuk",-0.003,-16.844,0,"Pring__",-21.266,-47,0,"vovopo 보보포",-12.19,-61.776,0,"소솨소솨",19.291,-50.764,0,"눈꽃",10.207,-65.405,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,1,2,2,0,0,0,255,255,255,9,609.486,"bdg06213",R,0,76,128,1.447,1.097,0.345,2.079,-36.776,2,0,0,17.489,3.32,0,0,1,2,3,R,"mochi_2929",179.7,94,0.453,3,77,610.671,49,17,76,29,20,54,59,111.379,-52.083,0.99,0.096,-0.046,0.237,0,0.194,0.23,-37.388,0,"Pugeuk",0.002,-16.832,0,"Pring__",-21.235,-46.962,0,"vovopo 보보포",-17.24,-61.746,0,"소솨소솨",19.548,-50.741,0,"눈꽃",10.041,-65.298,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,615.472,-23.758,0.406,0,0,"",0,0,0,0,0,0,0,0,0,3
