id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,217.046,"Pugeuk",R,26,91,140,-2.412,0.322,-0.265,0.997,-36.415,2,0,172.862,-200,12.375,0,0,1,0,2,L,"Pring__",180.2,95.172,0.477,3,79,217.891,176,25,100,108,99,150,130,32.524,23.672,0.47,0.02,-0.061,0.081,0,0.514,-0.275,-37.061,0,"인생최패망자",-0.123,-18.056,0,"encounter v",-22.288,-49.57,0,"Kr_Luna",-9.573,-62.171,0,"NABIMan",22.639,-47.265,0,"소솨소솨",17.19,-62.442,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,224.065,-37.512,-137.226,0,0,"",0,0,0,0,0,0,0,0,0,4
2,1,1,1,0,0,0,0,0,0,0,255,255,255,1,252.31,"Pugeuk",R,3,77,116,-0.07,0.896,0.147,1.18,-36.525,2,0,-491.067,94.09,14.124,0,0,1,1,3,R,"mochi_2929",180.1,95,0.453,3,78,253.496,242,15,112,81,55,150,71,103.881,-66.811,0.98,0.072,-0.029,0.09,0,0.19,-0.168,-36.679,0,"인생최패망자",0.001,-18.238,0,"encounter v",-22.543,-51.947,0,"Kr_Luna",-15.323,-62.243,0,"NABIMan",21.392,-48.452,0,"소솨소솨",15.313,-62.36,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,258.543,-35.389,-5.111,0,0,"",0,0,0,0,0,0,0,0,0,3
3,1,1,1,0,0,1,0,0,0,0,255,255,255,2,271.474,"Pugeuk",R,26,86,139,-2.263,0.899,-0.267,1.097,-36.528,2,0,194.42,-200,5.996,0,0,1,1,3,R,"mochi_2929",180.1,95,0.453,3,77,272.515,231,6,76,55,19,146,120,-3.876,-26.307,0.18,0.024,-0.054,0.155,0,0.205,-0.149,-37.046,0,"인생최패망자",-0.084,-18.225,0,"encounter v",-21.848,-49.951,120,"Kr_Luna",-18.402,-62.559,0,"NABIMan",20.357,-46.701,0,"소솨소솨",15.437,-64.046,107,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,272.865,5.345,-32.116,274.443,5,"소솨소솨",17.941,-60.723,0,0,0,0,0,0,0,2
4,1,1,1,0,0,0,1,0,0,0,255,255,255,3,298.084,"Pugeuk",R,6,88,129,0.75,-0.911,-0.083,0.938,-36.449,0,0,359.187,0,37.125,0,0,0,2,5,L,"_Chun",190,80,0.452,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.364,-37.471,0,"인생최패망자",-0.022,-18.109,120,"encounter v",-23.449,-51.016,0,"Kr_Luna",-7.079,-63.536,0,"NABIMan",20.383,-48.078,0,"소솨소솨",15.883,-61.884,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,1,0,0,1,1,0,0,0,255,255,255,4,310.507,"Pugeuk",R,3,79,118,0.003,0.556,0.191,1.208,-36.65,2,0,-429.121,2.11,33.412,0,0,1,2,5,L,"_Chun",190,80,0.452,3,76,311.474,255,12,88,66,46,150,94,56.936,-11.417,-0.63,-0.093,0.058,0.271,0,0.246,-0.115,-37.124,0,"인생최패망자",-0.009,-18.122,0,"encounter v",-22.771,-51.815,0,"Kr_Luna",-7.156,-63.862,0,"NABIMan",21.034,-48.655,0,"소솨소솨",16.018,-62.252,90,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,317.832,16.454,-71.76,317.665,5,"소솨소솨",15.601,-70.537,0,0,0,0,0,0,0,1
6,1,1,1,0,0,0,2,0,0,0,255,255,255,5,335.046,"Pugeuk",R,32,89,140,-1.156,0.777,-0.162,1.092,-36.54,0,0,217.928,-200,10.399,0,0,0,3,4,R,"ゆっち一",190,88.105,0.417,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.203,-37.099,0,"인생최패망자",-0.197,-18.081,0,"encounter v",-20.638,-51.206,0,"Kr_Luna",-13.956,-61.613,0,"NABIMan",21.073,-48.536,0,"소솨소솨",16.337,-64.3,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,1,0,0,1,2,0,0,0,255,255,255,6,349.154,"Pugeuk",R,13,81,120,1.216,-0.091,0.239,1.103,-36.63,2,0,-353.505,353.601,0.098,0,0,1,3,4,R,"ゆっち一",190,88.105,0.417,3,76,350.265,201,20,91,90,72,150,130,90.099,-89.856,0.44,0.021,-0.061,0.266,0,0.336,-0.496,-37.345,0,"인생최패망자",0.013,-18.337,0,"encounter v",-22.173,-48.218,0,"Kr_Luna",-16.463,-60.701,0,"NABIMan",21.083,-48.612,0,"소솨소솨",16.085,-63.081,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,357.487,-95.579,-28.606,0,0,"",0,0,0,0,0,0,0,0,0,3
8,1,1,1,0,0,2,2,0,0,0,255,255,255,7,405.451,"Pugeuk",R,13,81,120,-0.717,0.006,0.102,1.258,-36.787,0,0,-410.62,285.291,9.949,0,0,1,3,4,R,"ゆっち一",190,88.105,0.417,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.235,-37.287,0,"인생최패망자",-0.037,-18.176,0,"encounter v",-23.268,-49.627,0,"Kr_Luna",-17.508,-60.61,0,"NABIMan",19.313,-48.018,0,"소솨소솨",15.475,-62.673,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,0,1,0,0,0,0,0,0,0,255,255,255,0,526.974,"눈꽃",R,41,57,100,-0.886,-0.785,-0.035,1.695,-36.591,0,0,-53.546,-78.504,3.463,0,0,0,0,2,L,"encounter v",190,89.758,0.547,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161,-37.695,0,"HANA_ARASHI",-0.106,-16.778,0,"Pring__",-21.444,-46.922,0,"mochi_2929",-7.998,-64.548,0,"ゆっち一",21.166,-45.6,0,"_Chun",11.496,-60.871,0,"AI",35.702,-81.802,0,"AI",0,-100.602,0,"それいゆ るな",-44.432,-91.42,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,0,1,0,0,1,0,0,0,0,255,255,255,1,540.332,"눈꽃",R,0,57,114,0.562,-0.819,0.092,1.93,-36.612,2,0,18.064,0,4.504,0,0,1,0,2,L,"encounter v",190,89.758,0.547,3,75,541.437,234,19,137,109,88,150,122,30.486,-34.038,0.55,-0.01,-0.184,0.171,0,0.563,0.02,-37.18,0,"HANA_ARASHI",0.243,-16.681,0,"Pring__",-21.05,-46.967,0,"mochi_2929",-10.695,-61.306,0,"ゆっち一",17.094,-39.752,0,"_Chun",10.837,-60.866,85,"AI",35.702,-81.802,0,"AI",0,-100.603,0,"それいゆ るな",-43.656,-92.469,0,548.054,64.752,-88.634,0,0,"",0,0,1,0,0,0,0,0,0,2
11,1,0,1,0,0,0,0,0,1,0,255,12,255,2,573.39,"눈꽃",R,0,81,133,0.62,-0.023,0.281,1.943,-36.701,0,0,46.647,-17.867,2.022,0,0,0,1,1,R,"인생최패망자",190,80,0.4,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,-37.378,0,"HANA_ARASHI",0.173,-16.624,120,"Pring__",-20.686,-46.797,0,"mochi_2929",-9.486,-63.224,0,"ゆっち一",21.194,-43.779,0,"_Chun",8.068,-61.899,0,"AI",35.702,-81.802,0,"AI",0,-100.602,0,"それいゆ るな",-41.538,-90.902,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
12,1,0,1,0,0,1,0,0,1,0,255,12,255,3,587.663,"눈꽃",R,6,67,111,4.772,-1.069,0.204,1.742,-36.464,2,0,462.786,9.626,10.709,0,0,1,1,1,R,"인생최패망자",190,80,0.4,3,74,588.773,205,22,120,98,101,150,130,107.464,69.023,0.59,-0.031,-0.065,0.069,0,0.384,0.196,-37.083,0,"HANA_ARASHI",-0.01,-17.043,0,"Pring__",-20.679,-46.801,0,"mochi_2929",-10.472,-62.265,0,"ゆっち一",22.062,-46.403,0,"_Chun",9.465,-62.128,0,"AI",35.702,-81.802,0,"AI",0,-100.603,0,"それいゆ るな",-41.546,-90.909,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
13,1,0,1,0,0,2,0,0,1,0,255,12,255,4,605.531,"눈꽃",R,0,69,122,-0.319,-0.673,0.168,1.695,-36.437,2,0,-27.585,0,-10.583,0,0,1,1,1,R,"인생최패망자",190,80,0.4,3,74,606.621,149,16,101,103,76,150,90,48.667,-18.103,-0.81,-0.04,-0.091,0.085,0,0.4,0.046,-37.08,0,"HANA_ARASHI",-0.038,-16.852,0,"Pring__",-20.622,-46.764,0,"mochi_2929",-11.083,-63.02,0,"ゆっち一",23.056,-45.855,0,"_Chun",8.885,-64.31,84,"AI",35.702,-81.802,0,"AI",0,-100.603,0,"それいゆ るな",-40.81,-89.861,0,612.354,17.549,-79.013,0,0,"",0,0,0,0,0,0,0,0,0,1
14,1,0,1,0,0,0,1,0,1,0,255,12,255,5,631.775,"눈꽃",R,32,87,140,0.47,0.194,0.011,1.922,-36.49,2,0,246.66,-172.083,22.369,0,0,1,2,5,R,"소솨소솨",174.6,80,0.5,2,51,632.582,255,7,95,0,9,132,128,-15,37.665,0.5,0,-0.079,0.14,0,0.414,-0.017,-37.005,0,"HANA_ARASHI",-0.12,-16.913,0,"Pring__",-19.999,-45.584,91,"mochi_2929",-10.476,-63.356,0,"ゆっち一",21.098,-48.92,68,"_Chun",10.848,-62.077,0,"AI",35.715,-81.813,0,"AI",0,-100.62,0,"それいゆ るな",-38.424,-84.772,0,632.521,-1.99,-21.707,0,0,"",0,0,0,0,0,0,0,0,0,2
15,1,0,1,0,0,0,2,0,0,1,255,255,12,6,661.555,"눈꽃",R,3,73,113,0.649,-1.355,0.161,1.737,-36.389,1,0,-488.143,108.243,43.402,0,0,0,3,3,L,"Kr_Luna",164.429,95.049,0.497,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386,-37.454,0,"HANA_ARASHI",-0.083,-17.199,0,"Pring__",-21.18,-45.359,0,"mochi_2929",-8.748,-62.077,0,"ゆっち一",22.606,-48.028,0,"_Chun",10.737,-62.357,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"それいゆ るな",-41.165,-89.103,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
16,1,0,1,0,1,0,2,0,0,1,255,255,12,7,676.636,"눈꽃",R,3,55,101,4.408,1.326,0.678,2.016,-36.5,1,0,-459.091,0,9.23,0,0,0,3,3,L,"Kr_Luna",164.429,95.049,0.497,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488,-37.306,0,"HANA_ARASHI",0.076,-17.224,0,"Pring__",-20.726,-45.571,0,"mochi_2929",-9.895,-62.619,0,"ゆっち一",20.911,-44.362,0,"_Chun",11.695,-62.149,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"それいゆ るな",-41.185,-89.115,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
17,1,0,1,0,2,0,2,0,0,1,255,255,12,8,690.759,"눈꽃",R,0,94,140,-0.649,0.17,-0.094,1.975,-36.471,0,0,10.923,-6.145,2.465,0,0,0,3,3,L,"Kr_Luna",164.429,95.049,0.497,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096,-37.177,0,"HANA_ARASHI",0.014,-16.856,0,"Pring__",-20.949,-45.851,0,"mochi_2929",-8.124,-62.21,0,"ゆっち一",20.386,-44.465,0,"_Chun",11.615,-62.194,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"それいゆ るな",-41,-89.241,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
18,1,0,1,0,2,1,2,0,0,1,255,255,12,9,705.496,"눈꽃",R,13,65,109,0.823,-0.47,0.2,1.766,-36.353,2,0,-386.885,312.348,10.441,0,0,0,3,3,L,"Kr_Luna",164.429,95.049,0.497,2,74,706.416,124,11,87,56,47,140,97,-3.638,-38.441,0.92,0.001,-0.023,0.172,0,0.079,-0.051,-36.878,0,"HANA_ARASHI",-0.106,-17.121,0,"Pring__",-21.269,-47.363,86,"mochi_2929",-11.176,-63.836,0,"ゆっち一",20.354,-44.404,108,"_Chun",11.722,-62.39,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"それいゆ るな",-40.5,-89.525,0,706.499,5.047,-25.839,0,0,"",0,0,0,0,0,0,0,0,0,2
19,2,1,1,0,0,0,0,0,0,0,255,255,255,8,747.753,"Pugeuk",R,3,66,109,5.115,0.058,0.476,1.191,-37.075,3,0,-474.14,0,27.444,1.653,-19.294,0,4,1,R,"HANA_ARASHI",190,85,0.254,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,-39.262,0,"인생최패망자",0.165,-18.256,0,"encounter v",-22.821,-51.526,0,"Kr_Luna",-16.551,-59.599,0,"NABIMan",20.025,-46.074,0,"소솨소솨",15.794,-63.372,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,6
20,2,1,1,0,2,0,0,0,0,0,255,255,255,9,767.622,"Pugeuk",R,26,92,140,-2.334,0.67,-0.272,1.072,-36.49,1,0,196.974,-200,-0.616,0,0,0,4,1,R,"HANA_ARASHI",190,85,0.254,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141,-37.642,0,"인생최패망자",-0.268,-17.911,0,"encounter v",-22.226,-50.76,0,"Kr_Luna",-17.042,-59.466,0,"NABIMan",20.552,-48.138,0,"소솨소솨",15.615,-62.707,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
21,2,1,1,0,3,0,0,0,0,0,255,255,255,10,779.22,"Pugeuk",R,26,85,138,-1.418,0.265,-0.18,1,-36.384,0,0,166.202,-176.126,12.964,0,0,0,4,1,R,"HANA_ARASHI",190,85,0.254,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,-37.642,0,"인생최패망자",-0.037,-18.16,0,"encounter v",-22.15,-50.733,0,"Kr_Luna",-16.79,-59.689,0,"NABIMan",20.418,-48.726,0,"소솨소솨",15.597,-62.779,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
