id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,288.267,"coder_",R,14,53,87,-0.856,-1.006,-0.423,1.796,-36.866,2,0,291.223,338.259,10.257,0,0,1,0,5,R,"Ayu_Yua",175.8,95,0.5,3,73,289.32,162,12,83,115,33,150,111,-30,47.368,0.9,0.017,-0.048,0.048,0,0.414,-0.312,-37.414,0,"Kr_Luna",0.029,-17.373,0,"encounter v",-23.083,-51.11,0,"Penguin_iDOL",-13.268,-63,0,"Pugeuk",18.794,-46.904,0,"아침땅_",12.087,-65.383,0,"AI",35.7,-81.8,0,"Gonyong",-0.048,-113.5,0,"甲斐野柊太",-37.453,-90.481,0,289.297,-0.997,-20.68,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,307.975,"coder_",R,10,53,88,-1.726,-1.158,0.003,1.767,-36.868,4,0,-123.524,400,7.015,-0.409,-18.035,1,0,5,R,"Ayu_Yua",175.8,95,0.5,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,-37.636,0,"Kr_Luna",0.029,-17.308,0,"encounter v",-21.984,-49.093,0,"Penguin_iDOL",-13.572,-62.019,0,"Pugeuk",18.599,-45.217,0,"아침땅_",12.792,-65.23,0,"AI",35.7,-81.8,0,"Gonyong",0.09,-113.741,0,"甲斐野柊太",-45.522,-94.032,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,318.211,"coder_",R,26,66,121,0.962,0.263,0.093,1.579,-36.543,0,0,-10.133,-161.17,10.636,0,0,1,0,5,R,"Ayu_Yua",175.8,95,0.5,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.065,-37.03,0,"Kr_Luna",0.059,-17.29,0,"encounter v",-21.745,-48.944,0,"Penguin_iDOL",-13.56,-62.254,0,"Pugeuk",18.59,-45.201,0,"아침땅_",12.211,-65.143,0,"AI",35.7,-81.8,0,"Gonyong",-1.306,-111.01,0,"甲斐野柊太",-45.705,-95.244,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,336.68,"coder_",R,11,53,106,4.902,2.426,0.478,2.148,-36.936,1,0,-58.96,235.038,8.602,0,0,0,1,1,L,"_Chun",190,80,0.452,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,-37.332,0,"Kr_Luna",0.449,-17.221,0,"encounter v",-23.655,-50.394,0,"Penguin_iDOL",-10.79,-64.602,0,"Pugeuk",19.589,-47.3,0,"아침땅_",14.988,-63.682,0,"AI",35.7,-81.8,0,"Gonyong",9.521,-123.226,0,"甲斐野柊太",-44.572,-97.241,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,1,0,1,0,0,0,255,255,255,4,346.531,"coder_",R,14,60,93,-1.726,0.047,-0.459,1.811,-36.733,4,0,296.587,276.546,15.651,0,0,1,1,1,L,"_Chun",190,80,0.452,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.269,-37.256,0,"Kr_Luna",0.03,-17.327,0,"encounter v",-23.158,-49.788,0,"Penguin_iDOL",-10.69,-64.599,0,"Pugeuk",19.603,-47.293,0,"아침땅_",15.08,-63.655,0,"AI",35.7,-81.8,0,"Gonyong",9.13,-123.7,0,"甲斐野柊太",-44.545,-97.23,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,1,1,1,0,0,0,255,255,255,5,356.51,"coder_",R,14,57,90,-0.665,-0.216,-0.331,1.773,-36.704,2,0,313.588,321.094,13.131,0,0,1,1,1,L,"_Chun",190,80,0.452,3,70,357.683,160,19,128,90,53,150,130,26.834,-8.255,0.68,-0.006,-0.049,0.176,0,0.289,-0.495,-37.166,0,"Kr_Luna",0.082,-17.371,0,"encounter v",-22.487,-48.985,0,"Penguin_iDOL",-11.04,-64.597,0,"Pugeuk",19.629,-47.232,0,"아침땅_",15.074,-63.669,0,"AI",35.7,-81.8,0,"Gonyong",9.137,-123.712,0,"甲斐野柊太",-44.258,-97.205,0,363.031,36.671,-133.322,0,0,"",0,0,0,0,0,0,0,0,0,4
7,1,1,1,0,0,0,1,0,0,0,255,255,255,6,395.125,"coder_",R,10,51,87,1.331,-0.234,0.267,1.922,-36.844,0,0,0,373.962,19.106,0,0,1,2,6,R,"즉석카레",175.2,94.662,0.398,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,-37.498,0,"Kr_Luna",0.126,-17.269,0,"encounter v",-22.837,-50.039,0,"Penguin_iDOL",-13.463,-62.038,0,"Pugeuk",18.028,-47.666,0,"아침땅_",12.369,-64.92,0,"AI",35.7,-81.8,0,"Gonyong",-0.537,-121.219,0,"甲斐野柊太",-42.517,-91.506,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,1,0,0,1,1,0,0,0,255,255,255,7,406.898,"coder_",R,26,80,132,0.487,-1.141,0.056,1.343,-36.511,2,0,-43.056,-174.12,30.321,0,0,1,2,6,R,"즉석카레",175.2,94.662,0.398,2,68,407.755,224,18,83,139,129,150,85,-44.9,41.295,-0.77,-0.097,-0.089,0.032,0,0.083,0.206,-37.568,0,"Kr_Luna",0.032,-17.324,0,"encounter v",-22.883,-50.076,0,"Penguin_iDOL",-14.002,-62.203,0,"Pugeuk",18.118,-47.651,0,"아침땅_",12.389,-64.93,0,"AI",35.7,-81.8,0,"Gonyong",-0.454,-121.857,0,"甲斐野柊太",-42.327,-91.377,86,407.697,-0.439,-22.509,412.775,8,"甲斐野柊太",-40.063,-72.18,1,0,0,0,0,0,0,2
9,1,1,1,0,0,0,1,1,0,0,6,255,255,9,437.455,"coder_",R,26,73,126,-1.589,0.084,-0.138,1.553,-36.666,4,0,-29.049,-152.809,9.116,0,0,0,3,2,L,"Pring__",178.99,95.172,0.477,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17,-37.544,0,"Kr_Luna",0.03,-17.288,119,"encounter v",-18.226,-42.734,0,"Penguin_iDOL",-12.841,-57.021,0,"Pugeuk",18.989,-47.892,0,"아침땅_",14.955,-63.66,0,"AI",35.7,-81.8,0,"Gonyong",-0.469,-121.192,0,"甲斐野柊太",-38.861,-89.716,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,1,0,0,1,1,1,0,0,6,255,255,10,452.887,"coder_",R,14,64,94,1.567,-0.575,-0.014,1.686,-36.73,2,0,317.805,334.203,4.618,0,0,0,3,2,L,"Pring__",178.99,95.172,0.477,3,68,453.905,187,18,98,101,73,150,97,25.369,10.527,0.92,-0.02,-0.026,0.214,0,0.619,-0.349,-37.461,0,"Kr_Luna",0.069,-17.267,0,"encounter v",-17.928,-40.353,0,"Penguin_iDOL",-12.934,-57.189,0,"Pugeuk",17.605,-48.584,0,"아침땅_",14.777,-63.954,94,"AI",35.7,-81.8,0,"Gonyong",0.458,-122.767,0,"甲斐野柊太",-38.93,-89.738,0,458.564,-0.981,-104.025,458.997,7,"Gonyong",-1.066,-102.427,0,0,0,0,0,0,0,1
