id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,263.469,"Sabo_10",L,26,78,129,0.452,1.193,-0.292,1.166,-36.717,4,0,-173.819,-200,-27.967,0,0,1,0,8,L,"CAT tourniquet",190,80,0.597,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.29,-37.301,0,"HANA_ARASHI",-0.075,-16.913,0,"Pring__",-20.988,-47.342,0,"Ayu_Yua",-12.603,-64.578,0,"인생최패망자",21.504,-47.566,0,"レビノア",14.89,-62.671,0,"아침땅_",42.482,-83.906,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,274.517,"Sabo_10",L,32,80,131,-1.405,1.051,-0.44,1.154,-36.695,1,0,-216.855,-153.241,-23.524,0,0,0,0,8,L,"CAT tourniquet",190,80,0.597,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.288,-37.614,0,"HANA_ARASHI",-0.142,-16.95,0,"Pring__",-21.549,-47.459,0,"Ayu_Yua",-12.602,-64.606,0,"인생최패망자",21.424,-47.644,0,"レビノア",14.042,-64.426,0,"아침땅_",43.111,-83.978,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,285.924,"Sabo_10",L,33,71,125,-3.147,0.649,-0.772,1.103,-37.001,4,0,-126.966,-59.394,-7.864,-0.834,-6.146,1,0,8,L,"CAT tourniquet",190,80,0.597,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154,-37.329,0,"HANA_ARASHI",-0.119,-16.958,0,"Pring__",-21.576,-47.475,0,"Ayu_Yua",-12.571,-64.549,0,"인생최패망자",20.983,-47.481,0,"レビノア",13.579,-64.086,0,"아침땅_",43.053,-84.273,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,435.74,"Sabo_10",L,32,82,134,-2.252,1.02,-0.523,1.162,-36.841,4,0,-213.918,-104.433,-33.542,0,0,1,0,8,L,"CAT tourniquet",190,80,0.597,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.491,-38.006,0,"HANA_ARASHI",-0.17,-16.647,0,"Pring__",-21.24,-44.795,0,"Ayu_Yua",-9.383,-64.545,0,"인생최패망자",21.452,-47.811,0,"レビノア",9.72,-65.131,0,"아침땅_",43.199,-84.443,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,452.624,"Sabo_10",L,33,86,140,0.756,1.316,-0.277,1.157,-36.75,1,0,-139.815,-58.831,-29.596,0.548,-17.738,0,1,3,R,"Multeinn",160,94.907,0.5,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.272,-37.896,0,"HANA_ARASHI",0.082,-16.784,0,"Pring__",-21.099,-46.953,0,"Ayu_Yua",-12.759,-63.746,0,"인생최패망자",18.243,-52.766,0,"レビノア",9.466,-66.193,0,"아침땅_",33.284,-84.115,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,1,0,1,0,0,0,255,255,255,5,464.034,"Sabo_10",L,32,80,131,-3.719,0.481,-0.671,1.053,-36.823,1,0,-160.05,-15.401,-19.938,0,0,0,1,3,R,"Multeinn",160,94.907,0.5,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31,-37.723,0,"HANA_ARASHI",-0.109,-16.722,0,"Pring__",-21.062,-46.955,0,"Ayu_Yua",-13.284,-62.969,0,"인생최패망자",18.21,-52.689,0,"レビノア",7.423,-66.602,0,"아침땅_",32.955,-86.077,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,2,0,1,0,0,0,255,255,255,6,473.686,"Sabo_10",L,32,85,139,-1.194,1.367,-0.43,1.156,-36.745,1,0,-224.297,-86.551,-47.876,0,0,0,1,3,R,"Multeinn",160,94.907,0.5,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.338,-37.887,0,"HANA_ARASHI",-0.12,-16.847,0,"Pring__",-21.106,-46.931,0,"Ayu_Yua",-13.293,-62.982,0,"인생최패망자",18.218,-52.7,0,"レビノア",8.293,-66.188,0,"아침땅_",32.979,-86.077,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,0,0,3,0,1,0,0,0,255,255,255,7,484.79,"Sabo_10",L,0,7,77,-11.724,-2.97,-0.152,0.716,-37.039,1,0,0,0,2.813,-0.946,-30.495,0,1,3,R,"Multeinn",160,94.907,0.5,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,-37.89,0,"HANA_ARASHI",-1.487,-17.173,0,"Pring__",-21.137,-46.913,0,"Ayu_Yua",-13.289,-62.995,0,"인생최패망자",18.207,-52.675,0,"レビノア",9.66,-66.419,0,"아침땅_",33.052,-86.21,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,5
9,1,1,0,0,3,1,1,0,0,0,255,255,255,8,504.502,"Sabo_10",L,3,74,115,0.291,-0.012,-0.546,1.063,-36.796,2,0,441.057,0,-28.343,0,0,1,1,3,R,"Multeinn",160,94.907,0.5,2,62,505.417,255,21,64,66,7,142,77,40.499,21.675,-0.88,-0.093,-0.105,0.09,0,0.392,-0.352,-37.386,0,"HANA_ARASHI",-0.133,-16.349,0,"Pring__",-21.247,-47.094,0,"Ayu_Yua",-11.117,-64.739,0,"인생최패망자",18.55,-52.396,0,"レビノア",8.376,-66.514,0,"아침땅_",32.97,-86.401,0,"AI",0,-100.61,0,"AI",-35.7,-81.8,0,508.066,-24.21,-73.973,512.222,0,"Sabo_10",-1.214,-39.663,0,0,0,0,0,0,0,1
10,1,1,0,0,0,0,2,0,0,0,255,255,255,9,526.91,"Sabo_10",L,28,80,132,-0.575,0.42,-0.426,1.143,-36.74,2,0,-84.849,-95.635,-21.061,0,0,1,2,2,L,"encounter v",190,85.758,0.497,3,60,527.943,233,19,110,131,60,150,89,108.124,-29.721,-0.88,0.011,-0.087,0.089,0,0.651,-0.279,-37.299,0,"HANA_ARASHI",-0.145,-16.948,0,"Pring__",-21.188,-46.757,0,"Ayu_Yua",-9.676,-63.974,0,"인생최패망자",22.483,-48.738,0,"レビノア",9.478,-65.935,0,"아침땅_",41.907,-86.136,0,"AI",0,-100.603,0,"AI",-35.702,-81.802,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,3
