id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,337.69,"Kr_Luna",L,32,88,140,-0.268,-0.093,0.05,1.766,-36.756,0,0,-203.25,-200,0,0,0,1,0,2,R,"Ayu_Yua",190,88.98,0.483,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391,-37.878,0,"눈꽃",-0.052,-17.772,0,"Pring__",-20.554,-45.814,0,"Pugeuk",-13.449,-62.154,0,"즉석카레",21.711,-51.637,0,"AI",12.401,-58.201,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,355.016,"Kr_Luna",L,27,80,118,-0.401,-0.101,0.151,1.62,-36.732,2,0,-111.175,-116.46,0,0,0,1,0,2,R,"Ayu_Yua",190,88.98,0.483,2,82,356.188,162,10,47,87,43,134,123,25.276,-9.924,0.28,0.022,0.006,0.124,0,0.165,0.604,-37.772,0,"눈꽃",-0.01,-17.949,0,"Pring__",-20.832,-47.011,0,"Pugeuk",-13.093,-61.386,93,"즉석카레",21.449,-51.393,0,"AI",12.366,-57.653,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,363.606,19.987,-125.798,368.35,3,"Pugeuk",1.241,-63.213,0,0,0,0,0,0,0,2
3,1,1,0,0,0,0,0,0,1,0,255,2,255,2,389.296,"Kr_Luna",L,14,78,105,-1.474,-1.405,0.091,1.418,-36.751,1,0,-368.959,317.169,0,0,0,0,1,3,R,"とりらむ",174.5,90.029,0.653,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,-37.813,0,"눈꽃",-0.063,-17.821,107,"Pring__",-22.183,-47.326,0,"Pugeuk",-9.814,-61.677,0,"즉석카레",21.705,-47.36,0,"AI",12.4,-58.2,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,0,0,0,1,0,255,2,255,3,408.335,"Kr_Luna",L,10,68,99,0.893,0.096,0.177,1.894,-36.621,2,0,0,400,0,0,0,1,1,3,R,"とりらむ",174.5,90.029,0.653,3,80,409.548,251,14,140,107,71,150,102,-0.674,10.373,0.04,-0.06,-0.046,0.264,0,0.676,0.509,-37.965,119,"눈꽃",-0.034,-17.739,55,"Pring__",-22.183,-47.333,0,"Pugeuk",-4.246,-62.398,95,"즉석카레",21.068,-48.732,0,"AI",12.281,-57.799,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,417.217,-22.152,-132.76,421.306,3,"Pugeuk",-13.782,-80.778,1,2,0,0,0,0,0,2
5,1,1,1,0,0,0,1,0,0,0,255,255,255,4,460.194,"Kr_Luna",L,14,73,101,-0.634,-0.489,0.165,1.667,-36.588,0,0,-344.104,330.984,0,0,0,1,2,4,R,"소솨소솨",190,80,0.2,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,-38.076,0,"눈꽃",-0.084,-17.586,107,"Pring__",-22.161,-48.493,0,"Pugeuk",-12.551,-62.295,0,"즉석카레",22.618,-50.021,0,"AI",12.4,-58.2,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,1,0,0,1,1,0,0,0,255,255,255,5,474.178,"Kr_Luna",L,3,62,96,-0.118,-0.067,-0.356,1.883,-36.821,0,0,309.542,0,0,0,0,1,2,4,R,"소솨소솨",190,80,0.2,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207,-37.977,0,"눈꽃",-0.034,-17.731,0,"Pring__",-21.824,-47.811,0,"Pugeuk",-12.997,-62.349,0,"즉석카레",22.622,-50.019,0,"AI",12.4,-58.2,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,1,0,0,2,1,0,0,0,255,255,255,6,486.985,"Kr_Luna",L,27,96,140,0.207,0.371,0.279,1.587,-36.612,2,0,-89.282,-137.021,0,0,0,1,2,4,R,"소솨소솨",190,80,0.2,2,80,487.83,239,11,127,89,81,150,127,29.637,7.577,0.5,-0.076,-0.142,0.073,0,0.331,0.233,-37.839,0,"눈꽃",-0.003,-17.721,0,"Pring__",-21.799,-47.815,0,"Pugeuk",-11.946,-62.2,86,"즉석카레",21.177,-50.765,0,"AI",12.4,-58.2,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,493.561,-24.91,-132.276,499.217,3,"Pugeuk",-4.955,-75.514,1,0,0,0,0,0,0,2
8,1,1,1,0,0,0,1,0,1,0,255,4,255,7,526.83,"Kr_Luna",L,14,75,115,-0.317,-0.856,0.156,1.35,-36.617,0,0,-390.434,312.348,0,0,0,0,3,5,R,"HANA_ARASHI",174.2,86,0.254,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,-38.092,0,"눈꽃",-0.038,-17.628,0,"Pring__",-21.683,-47.49,0,"Pugeuk",-7.291,-61.206,0,"즉석카레",20.989,-49.595,0,"AI",12.4,-58.2,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,1,0,0,1,1,0,1,0,255,4,255,8,552.027,"Kr_Luna",L,26,90,140,0.436,1.097,0.32,1.579,-36.6,4,0,-48.782,-159.829,0,0,0,1,3,5,R,"HANA_ARASHI",174.2,86,0.254,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388,-37.741,0,"눈꽃",-0.064,-17.582,0,"Pring__",-21.679,-47.491,0,"Pugeuk",-7.02,-61.326,0,"즉석카레",20.997,-49.214,0,"AI",12.4,-58.2,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,1,1,0,0,2,1,0,1,0,255,4,255,9,567.817,"Kr_Luna",L,14,71,99,-1.092,-0.803,0.116,1.477,-36.664,2,0,-351.391,312.348,0,0,0,1,3,5,R,"HANA_ARASHI",174.2,86,0.254,3,54,568.974,139,8,80,97,73,144,127,28.878,33.941,0.54,-0.04,-0.054,0.061,0,0.511,0.571,-37.453,0,"눈꽃",-0.118,-17.873,0,"Pring__",-21.69,-47.492,0,"Pugeuk",-7.188,-61.742,0,"즉석카레",21.013,-49.215,0,"AI",12.334,-57.94,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,574.506,-66.456,-118.196,0,0,"",0,0,0,0,0,0,0,0,0,4
